页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4876634677315559,Zz当众孤独向阳花开,2023-03-07 12:36:13,这几天都会经过 义勇军进行曲 的纪念地 就会想起罗哥的聂👂捏 以及旁边就是一家屈臣氏 再看几眼帅哥广告牌嘞 ,0,0,1,上海,上海,上海,中国
1,4644061899920288,上海普陀,2021-06-03 17:55:02,#学党史 悟思想 办实事 开新局# 【沪西工人半日学校遗址纪念标识今天揭幕！】6月3日上午，上海市重要革命遗址旧址纪念标识揭幕活动举行。位于静安区的中共中央秘书处机关遗址、位于黄浦区的中共中央特科机关遗址、位于虹口区的中共中央宣传部遗址、位于杨浦区的电通公司遗址（《义勇军进行曲》纪念地）、位于普陀区的沪西工人半日学校遗址、位于长宁区的中共中央组织部干训班旧址、位于崇明区的1929年中共崇明县委机关旧址等7处革命遗址旧址纪念标识分别在各区同步揭幕。区委书记曹立强在普陀为沪西工人半日学校遗址纪念标识揭幕。区委常委、宣传部部长郝炳权出席。 沪西工人半日学校遗址纪念标识今天揭幕！,3,0,3,,,,
1,4413574136634228,徐汇文旅,2019-09-06 17:18:57,2019上海旅游节徐汇区活动红色·徒步丨“70周年70站”初心之旅时间：2019年9月20日起点、终点：徐家汇公园、龙华烈士陵园此次活动将从国歌《义勇军进行曲》的诞生地——徐家汇公园小红楼出发，通过7 条线路串联70 个精选红色景点，涵盖徐汇红色纪念地、博物馆、艺术展馆、名人故居以及区域内重点企业，组成徐汇区特有的“红色行走地图”。70位来自各个领域具有代表性的特邀市民，包括新中国同龄人、城市建设者、巾帼英雄、优秀党员、企业代表等，以“行走+阅读+打卡”的形式，感受新中国成立70年来徐汇发展的红色记忆。,0,0,0,,,,
1,3969574662257330,-经年往事,2016-04-29 12:23:33,俄然知道有这么个纪念国歌的地方，今经过特地过来看看----国民精神支柱的#义勇军进行曲#纪念地 上海·国歌广场 ,0,0,0,,,,
1,3640483085365749,上海杨浦,2013-11-03 09:31:07,#岁月流金#【《义勇军进行曲》纪念地】1933年，由中共中央文化工作委员会领导组建电影小组，并于次年正式创立了左翼影片拍摄基地——上海电通影业公司。1935年，电通影业公司迁至荆州路现址，并拍摄了电影《风云儿女》，随即诞生了《义勇军进行曲》。@杨浦区文化局 ,1,1,0,,,,
1,3633351422791466,1973786034_968,2013-10-14 17:12:26,#岁月流金# 【《义勇军进行曲》纪念地】1933年，由中共中央文化工作委员会领导组建电影小组，并于次年正式创立了左翼影片拍摄基地——上海电通影业公司。1935年，电通影业公司迁至荆州路现址，并拍摄了电影《风云儿女》，随即诞生了《义勇军进行曲》。@上海杨浦  ,0,0,0,,,,
1,3623998870628599,守江山守民心,2013-09-18 21:48:45,看到学生们静静的站在“九.一八”纪念地听警报的电视画面，我想如果是老人们站在那里沉思和静听警报还好，年轻人是爱动的，是有活力的。今后可否改为学生们齐唱“义勇军进行曲”或者“大刀向鬼子们的头上砍去”等抗日救亡歌曲。 ,0,0,0,,,,
1,4311610136932724,上海黄浦,2018-11-29 08:30:24,【建国路之八十七】#海派影像 黄浦记忆#左图：西门路（今自忠路）355号是《新少年报》社旧址，《新少年报》是1946年2月16日由中共上海地下组织创办的。解放战争期间，《新少年报》向孩子们开展革命宣传，地下少先队“铁木儿团”则踊跃投入迎接申城解放的战斗。右图：郭长耀摄于2018年10月 ,2,1,0,,,,
1,4284087352583839,种豆得瓜谢不谦,2018-09-14 09:44:43,昨天，我判断下榻的北科大会议中心建在学生宿舍9斋旧址，但学弟@a8ej  说不是，9斋和10斋还保留着。今天早餐后，骑单车去寻找记忆中的9斋，寻找大学时代的故事。呵呵，绕行一大圈，终于找到了。但，这不是我们的9斋，不是有很多故事的9斋！我们的9斋和10斋、11斋是并排而且同一样式的小高层红砖房，不是高楼大厦。根据10斋的方位判断，我们的9斋应该是会议中心旁边的校医院？ 北京·北京科技大学会议中心,0,13,54,,,,
1,4865299184615552,移民2000804,2023-02-04 05:53:01,上海5A级景区（四）上海中囯共产党一大、二大、四大纪念馆景区（2）1、中共一大纪念馆。2、中共一大代表宿舍旧址。3、《星期评论》编辑部遗址。4、又新印刷所旧址。5、《新青年》编辑部旧址。6、周公馆。7、上海孙中山故居纪念馆。8、马恩雕像广场。9、一大会址。10、序厅。11、会议室。12、一大会址全貌。13、中共一大纪念馆。14、陈列序厅。15、二大会址纪念馆。16、序厅。17、四大纪念馆。18、序厅。,2,0,18,广西,百色,广西,中国
