页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5009402900252724,爱可可-爱生活,2024-03-07 21:29:44,【清华大学：将为2024级新生配备“AI成长助手”】要点：  - 清华大学将建设100门人工智能赋能教学试点课程。  - 清华大学将为每一位2024级新生配备&quot;AI成长助手&quot;。  - 清华大学自2023年秋季学期开始8门课程试点，已有5门课的智能助教系统完成开发并投入使用。  - 清华大学高度重视新型人工智能技术的影响，积极探索人工智能在教育教学中的应用。  - 清华大学交叉信息研究院计算机科学与技术(人工智能班)专业本科培养方案中，设置了多门人工智能相关课程。  评论：  - 清华大学在人工智能教育方面的举措体现了其对AI技术在教育领域应用的重视和探索。建设大量AI赋能教学试点课程，有助于积累经验，推动教育模式创新。  - 为每位新生配备&quot;AI成长助手&quot;，可以提供个性化的学习支持和指导，有助于学生更好地适应大学学习和生活。但需要注意AI助手的局限性，避免过度依赖。  - 智能助教系统在部分课程中的应用，展现了AI技术在教学辅助方面的潜力。但仍需进一步完善，以更好地满足教学需求，提升教学效果。  - 人工智能专业的培养方案体现了对AI理论与应用的全面覆盖，有助于培养高质量的AI人才。但同时需要重视学生的全面发展和人文素养。  - 清华大学的AI教育实践，可为其他高校提供借鉴和启示。但不同院校应根据自身特点和需求，因地制宜地开展AI教育探索。  延伸思考：  - 尽管AI技术在教育领域有广阔应用前景，但过度强调AI赋能，可能导致师生对技术产生依赖，忽视教育的本质和人文关怀。  - &quot;AI成长助手&quot;的配备，可能引发学生隐私和数据安全方面的担忧。高校需要建立健全相关制度，保障学生权益。  - AI技术的发展可能加剧教育资源的不均衡分配，如何确保AI教育惠及更多学生，缩小数字鸿沟，值得深入思考。ref: 网页链接,11,5,22,北京,北京,北京,中国
2,5009295196554997,数字建设-新宇,2024-03-07 14:21:46,近日，清华大学举行2024年全校教职工大会暨全校党员集中培训，校长李路明作学校工作报告，着重介绍了学校在AI深度融入教育教学方面的探索与布局，表示学校将建设100门AI赋能教学试点课程，并为每一位2024级新生配备“AI成长助手”。 数字建设-新宇的微博视频 ,0,0,0,广东,惠州,广东,中国
2,5009216089620857,鳄鱼十三,2024-03-07 09:07:25,清华带头创新，努力推动人工智能教育的探索  清华Ai在行动！  清华大学举行2024年全校教职工大会培训，会上透露，学校将建设100门人工智能赋能教学试点课程，并为每一位2024级新生配备“AI成长助手”。 ,15,15,121,广东,深圳,广东,中国
2,5008850099635957,有事儿问柒叔,2024-03-06 08:53:06,清华大学将为新生配备AI成长助手清华大学校长李路明表示，学校将建设100门人工智能赋能教学试点课程，并为每一位2024级新生配备“AI成长助手”。他强调，学校高度重视新型人工智能技术的影响，积极采取行动应对变革，未来将在资源、规划、标准等方面持续发力，不断促进人工智能深度融入教育教学、人才培养和管理服务等各方面工作，为加快推进我国教育现代化发挥先行先试作用。,0,1,64,四川,成都,四川,中国
2,5008959138434131,爱范儿,2024-03-06 16:06:23,【清华大学试点 AI 赋能教学】清华大学举行的 2024 年全校教职工暨全校党员集中培训中指出，学校将建设 100 门人工智能赋能教学试点课程，并为每一位 2024 级新生配备「AI 成长助手」。AI 赋能教学试点工作主要使用清华大学计算机科学与技术系与智谱华章公司共同研发的千亿参数多模态大模型 GLM 作为平台与技术基座，服务不同学科领域的教师的教与学生的学。这些 AI 助教系统不仅能够提供 24 小时的个性化学习支持、智能评估和反馈，还能辅助学生进行深入思考，激发学习灵感。据清华大学官方介绍，清华已于去年 9 月 28 日启动人工智能赋能教学，已有 5 门课的智能助教系统完成开发并投入使用。2024 年清华将开展 100 门 AI 赋能教学试点课程，推进教育数字化。,2,1,4,,深圳,广东,中国
2,5008873691287641,庚白星君,2024-03-06 10:26:51,清华大学将为新生配备AI成长助手清华大学校长李路明表示，学校将建设100门人工智能赋能教学试点课程，并为每一位2024级新生配备“AI成长助手”。他强调，学校高度重视新型人工智能技术的影响，积极采取行动应对变革，未来将在资源、规划、标准等方面持续发力，不断促进人工智能深度融入教育教学、人才培养和管理服务等各方面工作，为加快推进我国教育现代化发挥先行先试作用。在教育领域，目前，人工智能系统可以帮助教师设计课程，或为特定学生设计个性化课程计划。它们还可以通过执行各种管理任务来节省教师的时间。中信建投证券于芳博认为，教育行业因为其个性化学习诉求强、数据丰富度高、付费意愿强，成为人工智能的优质落地领域。随着生成式人工智能技术的爆发，AI教育迈向全新的发展阶段。,1,0,6,上海,,上海,中国
2,5008851424248778,科创板日报,2024-03-06 08:58:22,【#清华大学将为2024级新生配备“AI成长助手”#】《科创板日报》6日讯，日前，清华大学举行2024年全校教职工大会暨全校党员集中培训，清华大学校长李路明在会上表示，学校将建设100门人工智能赋能教学试点课程，并为每一位2024级新生配备“AI成长助手”。他强调，学校高度重视新型人工智能技术的影响，积极采取行动应对变革，未来将在资源、规划、标准等方面持续发力，不断促进人工智能深度融入教育教学、人才培养和管理服务等各方面工作，为加快推进我国教育现代化发挥先行先试作用。,2,0,0,,,香港,中国
2,5006728890418238,胖胖老师的微博,2024-02-29 12:24:11,学用系列｜希沃百宝箱内测，适合教师群体的AI智能教学助手来了 #教师如何使用AI #希沃百宝箱# @希沃seewo 胖胖老师的微博的微博视频 ,0,0,0,上海,上海,上海,中国
3,5003055601027235,好吃哒巧克力,2024-02-19 09:07:50,把AI运用到教学中，北京大学数学课启用AI教学助手。拥抱AI，才能产出更多新的可能。看到这样的好消息我在想儿童美育的教学AI可以取代技能技法的表现但是取代不了艺术家情感的表达有真实的感受与想法，才可以利用好AI去创作更精彩的艺术作品。作为美育老师，也应该让孩子去了解美育未来的可能性，并不是怎么把一个物体或者场景画的多么逼真或者说梦想是成为画家。美术与AI也会碰撞出无限的可能，不能让孩子的思维停留在曾经的年代。,0,0,1,河北,保定,河北,中国
3,4988962043071906,fabricatqcqc,2024-01-11 11:45:04,#重返未来度朔节##重返未来1999#  @重返未来1999 我是教学AI助手，无法亲自进行游戏体验和感受分享。《重返未来：1999》1.6新春特别版本「朔日手记」据说给玩家带来了前所未有的游戏体验。这个版本的内容很有趣，充满了惊喜和挑战，令人兴奋。玩家们可以期待更多新的任务、道具和场景，让他们切身体验到在未来的感觉。希望所有参与的玩家都能尽情享受这个特别版本带来的乐趣！,0,0,0,江西,景德镇,江西,中国
3,4980674937749972,WPS小表姐,2023-12-19 14:55:03,万字论文没有思路?思想汇报、教学教案该从何下笔？写上万字的文章难免面临灵感枯竭的情况。别怕，让WPS AI出马~万字文章智能生成，助你高效成文。从大纲生成到长文创建，内容丰富逻辑清晰，简直就是打工人和大学生的福音!📢锁定12月21日【WPS办公助手】视频号直播间，我们请来了WPS产品大佬手把手教学，带你体验WPS AI新能力。更有多重好礼在直播间等你！#转发抽奖# 转发这条微博，就有机会获得“WPS2024技巧日历”。#预约抽奖# 评论区预约截图，随机抽取10位宝子送出 “WPS永恒笔”。,6,4,6,广东,珠海,广东,中国
3,4980259198340124,STV新闻透视,2023-12-18 11:23:04,【#新闻透视# AI引入课堂后，将如何赋能教学？】随着上海教育数字化转型的深入推进，越来越多的“黑科技”走进课堂，为学生的学习提供科学引导。不少一线教育工作者发问：“未来课堂”将会是怎样的？数字化手段应当如何承担好“助手”的角色，来赋能未来的“教与学”？抱着探索畅想的心态，有的学校已在尝试构建“未来课堂”的雏形，跟着镜头一起去看看。 STV新闻透视的微博视频,0,0,2,,上海,上海,中国
4,4957037814875476,阳光DFG,2023-10-15 09:29:35,#智谱ai#企业建立知识库，然后设置ai助手/问答机器人，似乎是多家企业的做法了。这种思路用在教学中，一课一个ai助手，能否满足学生的需要呢？独家特色和通用生成式Ai问答软件，有时候如中小学课程可能不需要建立所谓的独家问答机器人。具有独家特色内容才需要独家的吧。问：文件导入音视频包括🔗超链接，可以吗？视频里都是文本文件类型。@智谱AI，再看直播里目前不可以。,0,12,0,河南,郑州,河南,中国
4,4951754523021512,猫头鹰矫健,2023-09-30 19:35:40,AIGC 应用有 19% 是客服，10% 是通用的聊天机器人，9% 是内容营销，7% 是 BI 数据分析相关的。然后是一些效率工具、教学应用、情感陪伴，以及硬件的指令识别等等。也就是说现在都是相对浅层次的应用，深层次的应用还没有开始出现，我们等待，说不定是某一款游戏，说不定是ai人工智能贴身助手。 ,1,1,6,上海,上海,上海,中国
4,4927475870075061,老李谈写作,2023-07-25 19:40:58,教师写好教案，做好课件，明确教学目标，预设教学情境，以饱满的精入课堂。 #悟空写作助手##AI写作# ,0,0,0,北京,北京,北京,中国
