页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4915608158472759,美鸥阅读,2023-06-23 01:42:55,聊天AI本来就不是“正道”，chatgpt实际更像是openai的一个技术演示。生成式ai真正的前途，可能是使用封闭的专业或企业数据的训练基础上得到的专用场景机器人，如客服、专业咨询、写作辅导等。但公共聊天接口确实有滥用的问题。,5,1,9,上海,上海,上海,中国
2,4914646094185225,央视影音,2023-06-20 10:00:01,#真香好发明# 主打一个家庭和睦，孩子开心家长省心全靠它！如何辅导孩子的功课已经成为家庭的一种“刚需”了，有什么办法能减轻一些家长们的负担，提高孩子们主动学习和思考的兴趣呢？#发明# #AI学习机器人# 网页链接 ,0,0,1,,北京,北京,中国
2,4913274266586954,华夏时报,2023-06-16 15:08:52,【家长不会？商汤元萝卜AI下棋机器人围棋版给孩子专业辅导】七年前人类和AI上演的围棋人机大战举世瞩目，将围棋这项历史悠久的智力运动带进了AI时代，AI也从人类的对手逐渐转变为职业棋手训练提升的重要助手。今天，一款“有手有眼”的AI下棋机器人，把前沿的AI技术带进家庭场景，让广大青少年在成长之路上也能有“AI”相伴，开启高水平的进阶之路。 家长不会？商汤元萝卜AI下棋机器人围棋版给孩子专业辅导,1,0,0,,北京,北京,中国
2,4897750409286691,舒小曼says,2023-05-04 19:02:36,可汗学院创始人萨尔曼·可汗发表TED演讲：1、1对1的辅导可以提高学生成绩2 sigma2、GPT可以为每个人提供1对1的辅导3、可汗学院开发了智能机器人Khanmigo，让1对1辅导变成现实，并且还会继续完善4、Khanmigo也可以成为教师的助手5、通过人类积极的行动，AI或许可以帮助增进人类智慧、人类潜力和人类目的GitHubDaily的视频可汗学院创始人 TED 演讲：GPT-4 将如何改变教育行业？,1,0,3,广东,深圳,广东,中国
2,4893952865733280,方建兴老师,2023-04-24 07:32:31,人工智能在ChatGPT 3 问世以后，发展速度可谓一日千里。最新消息，微软创始人比尔盖茨认为，AI聊天机器人将18个月内，可以做到教孩子阅读，辅导家庭作业，提高学习效率以及考试分数。评：将刺激今ChatGPT概念股活跃，人工智能发展日新月异！将改变世界次序和生活。#板块热点分析##大盘板块分析# ,0,0,5,福建,厦门,福建,中国
3,4893948768420469,金蝴蝶探索者杨永兴,2023-04-24 07:16:14,比尔盖茨：ChatGPT有望辅导学生阅读写作 在全球教育科技峰会上，盖茨表示，“AI将成为像人类一样优秀的导师。”盖茨称，今天的聊天机器人在阅读和写作方面有着“令人难以置信的流利”，将很快应用于辅导学生提高阅读和写作能力，它能成为你的阅读研究助理，并为写作提供反馈。 ,0,0,0,山西,运城,山西,中国
3,4883874998652562,自来水制药,2023-03-27 12:06:40,小光素一款……ai小黄鸭，聆听机器人，诊疗室开在说酱的心理辅导室正对面 ,0,1,3,天津,天津,天津,中国
3,4877063473074322,西滨-Ivan,2023-03-08 17:00:06,微软联合创始人比尔·盖茨（Bill Gates）声称，他对 AI 聊天机器人 ChatGPT 以及 AI 领域去年取得的诸多成就感到非常兴奋。他为 ChatGPT 的潜在用途提供了三个建议：充当数学辅导老师、为缺少医疗条件的部分非洲人充当医学顾问（这个应该还要需要大力改进，目前ChatGPT太喜欢一本正经胡说八道。）以及像莎士比亚那样写诗。 盖茨说，自从他开始了解 ChatGPT 以来，他就对 AI 感兴趣，并表示 AI 与个人电脑和互联网诞生具有同样的历史意义。他在接受采访时表示：“计算机能看、能听、能写是整个行业长期追求的目标。”他还承认：“AI 将引发许多争议，但它将是‘2023 年最热门的话题’，它有能力改变就业市场，但也可能会失控或走向错误的方向。”,0,0,0,广东,深圳,广东,中国
3,4866570230437329,凤凰卫视欧洲台,2023-02-07 18:03:42,【比尔盖茨赞ChatGPT写的诗比自己的好 提三个潜在用途】2月7日消息，在最近接受媒体采访时，微软联合创始人比尔·盖茨（Bill Gates）声称，他对AI聊天机器人ChatGPT以及AI领域去年取得的诸多成就感到非常兴奋。盖茨表示，这类AI可以成为数学辅导老师，帮助学生加强学习。他们也可以充当医疗顾问，帮助那些通常终生都没见过医生的部分非洲人提供医学建议。目前，没有足够的白领来从事这样“有价值的事业”，而AI可以帮助满足这些需求。盖茨承认：在他读完ChatGPT写的诗后，他承认这些诗自己写不出来。“AI将引发许多争议，但它将是‘2023年最热门的话题’，它有能力改变就业市场，但也可能会失控或走向错误的方向。 燃新闻的微博视频,2,3,0,,,英国,英国
3,4866569883353513,计算机世界,2023-02-07 18:02:18,【#盖茨谈ChatGPT三个用途#：辅导学生，医疗顾问和写诗】#美国89%的大学生都是用ChatGPT做作业# 当地时间2月6日，据《福布斯》报道，盖茨在接受专访时表示，聊天机器人#ChatGPT#以及AI领域的进展令人激动，AI将是“2023年最热门的话题”。盖茨为ChatGPT的潜在用途提供了三个建议：数学辅导老师、为缺少医疗条件的部分非洲人提供医学建议以及像莎士比亚那样写诗。,0,1,0,中国香港,,香港,中国
