页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023349935705129,论文期刊辅导代发,2024-04-15 09:10:17,黑龙江教师***学院学报，  年内10-12月  要求 硕讲以上作者+省级课题  出生年要求在1990年之前   4版  版面费自理  1.生态文明教育融入高职教育的价值、困境与推进路径2.职业院校产学研协同创新模式及对策研究3.数字化转型背景下高职在线课程教学策略研究4.人工智能赋能职业教育高质量发展的价值、挑战与实现路径5.基于中国式职业教育现代化特色的学徒制高质量建设研究6.新时代职业教育质量保障体系建设路径研究7.技能型社会建设背景下职业教育人才培养研究8.高质量发展背景下职业教育评价反思与优化对策9.高质量发展背景下增强职业教育适应性对策研究10.人工智能驱动下职业教育高质量发展路径研究 11.以大学生就业导向的职业教育强化路径探究12.基于拔尖技术创新人才培养的职业教育路径研究论文发表论文发表,0,0,0,山东,济南,山东,中国
2,5022897967988881,白日MAERDYAD,2024-04-14 03:14:19,周二争取把闽清做出来 晚上还有川子实验课 周三课程轻松一些要做一下谢青的作业 周四晚上有人工智能的实验课 期中考试之前要把数值分析跟一跟 野比的作业抽空做吧 事情好多好多我的妈呀 明天一整天党课下周中午还要上党课我的妈呀 ,0,0,0,辽宁,沈阳,辽宁,中国
2,5022755029779949,建筑狂人,2024-04-13 17:46:20,又上了一下午的课，教学生们用AI辅助概念方案设计，学以致用、当场演练，涌现出了不少成果  会不会使用人工智能，在未来应该会产生非常大的区别，期待这批学生在其他课程里的作业成绩 杭州·浙江工业大学屏峰校区 ,6,6,8,浙江,杭州,浙江,中国
2,5022657769113527,张力先生,2024-04-13 11:19:51,【攻博记录】完成LinkedIn Learning 课程《什么是生成式人工智能（Generative AI）》 咸阳·咸阳师范学院 ,0,0,0,陕西,咸阳,陕西,中国
2,5022646707684504,用户7887972677,2024-04-13 10:35:54,天津电子信息职业技术学院#新生求助#人工智能技术应用怎么样 都需要学什么课程 毕业就业是哪方面 ,0,0,0,河南,洛阳,河南,中国
2,5022345981329536,澳洲小方糖,2024-04-12 14:40:54,英国约克大学创意产业人工智能理学硕士：课程名称：MSc Artificial Intelligence for the Creative Industries；课程时长：1年；课程学费：29400英镑每年；学术要求：申请人需拥有2:1学位；语言要求：雅思总分6.5，单项不低于6.0。小方糖提醒：该课程要求申请人有相关专业本科背景。拥有相关工作经验的申请人也会被考虑。【澳洲本地留学中介】，不收取中介费，【免费】澳洲、新西兰、英国、爱尔兰留学申请～#英国约克大学##英国留学#,1,2,1,澳大利亚,,,澳大利亚
2,5022162983322292,HAIYAN_Miranda,2024-04-12 02:33:45,#工作日记#开始了自学Data Engineer的课程。今天在Lakehouse和Power BI的连接卡住了。数据传输是成功的，但老说格式不对，连不上。明天约印度同事去咖啡厅研究一下！#一些题外话#上周微软在伦敦开了人工智能中心，好想进去看看啊，不知道能不能找到相关的项目潜进去。作为事务所的合作伙伴之一，应该是有合作的项目的吧？ 下个月regional 夏日派对，今年的主题是盖茨比。看到以前s 码的礼服，肯定塞不下了，还是得加个码数。就算没有身材焦虑，为了健康也得去健身塑形了，公司给开的健身房会员，半年都没去（因为更喜欢骑行和攀岩）。,0,0,1,英国,,英国,英国
2,5022040547131998,蚁工厂,2024-04-11 18:27:14,厦门大学的公开课 深度学习网页链接该课程为厦门大学信息学院/人工智能研究院研究生选修课，以基于深度学习平台TensorFlow和PyTorch的编程实践为主，算法理论为辅，使学生能够领悟深度学习的基本原理以及适用场景，并且对使用深度学习方法来解决问题具有一定的动手能力，为学生今后开展科研工作和业界求职打下基础。,123,15,95,山东,济南,山东,中国
3,5022078332045803,浙江大学苏德矿,2024-04-11 20:57:23,《清华大学人工智能专业都开设哪些课程？》随着人工智能技术的快速发展和广泛应用，清华大学也紧跟时代步伐，开设了人工智能专业，致力于培养更多的人工智能领域优秀人才。网页链接 ,1,1,2,浙江,杭州,浙江,中国
3,5021979670741102,张力先生,2024-04-11 14:25:19,【攻博记录】完成LinkedIn Learning 课程《人工智能（AI）入门》 咸阳·咸阳师范学院 ,0,0,0,陕西,咸阳,陕西,中国
