页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023599905736099,空本良,2024-04-16 01:43:34,好吧，拒绝拖延症。没啥好说的了我对不起OR 作业 ,0,0,0,广东,深圳,广东,中国
2,5023591471515183,阿拉琪琪儿,2024-04-16 01:10:03,明天早八要交的作业我竟然现在还没写我的拖延症已经到这地步了…. ,0,0,0,湖南,湘潭,湖南,中国
2,5023588675748599,MY无厘辣鱼,2024-04-16 00:58:57,哇拖延症又犯了喝喝明天三门作业截止挑战极限。🫰🏻 ,0,0,0,浙江,杭州,浙江,中国
2,5023585602897520,没感情的杀猪兄,2024-04-16 00:46:44,拖延症 不想做作业 坚信船到桥头自然沉 ,0,0,2,广东,广州,广东,中国
2,5023583703664242,Alllwayslikethis,2024-04-16 00:39:11,作业和困难就恒定的那些 待在家里拖延真的头晕 焦虑在身体里翻腾 出门走走心态立马平和清晰 最大的困难其实就是自己猫着会把畏难情绪反复咀嚼 需要户外和运动 少想多感受 ,0,0,1,荷兰,,荷兰,荷兰
2,5023583124850846,给我美式加冰_,2024-04-16 00:36:53,上学的时候狂补作业 现在上班了狂补教案 拖延症真的要我命 ,0,0,0,浙江,宁波,浙江,中国
2,5023571501910603,不吃蛋黄aklty,2024-04-15 23:50:42,今天和潘子吃了冰淇凌聊了许多许多从家庭聊到工作和未来感觉时间过的飞快～有点意犹未尽的今天做了好多好多事//寄了拖延很久的快递 补了延时很久的作业 改了不是很工整的ppt 拿了一直让我操心的手册感觉今天非常的充实而丰盈 所以我要记录今天虽然未来有很多不确定 但是享受当下也有许多乐趣～～永远不要美化一条你没走过的道路,0,0,2,江苏,淮安,江苏,中国
2,5023571317621742,1无所惧,2024-04-15 23:49:58,作业拖延 卫生不搞 玩烂梗的姐能不能滚出去 ,0,0,0,浙江,绍兴,浙江,中国
2,5023569404495349,块冰酪奶,2024-04-15 23:42:22,921组合  Day 7 给仙米/给自己的一段话  本来想偷懒今天不写作业了 但是本重度拖延症患者觉得还是要给这七天画一个完美的句号  写给仙米们： 话不多说只有爱你们爱你们爱你们么么么么么么（重复921次）跟大家认识是我最开心的事情🫶 ,0,0,2,山西,太原,山西,中国
3,5023566887914525,花落时相遇198711,2024-04-15 23:32:22,完蛋了  作业没交上 卧槽 怎么就忘记看截止时间了呀 关键是给了挺长时间的  结果我还做的稀烂 导致都不敢拿去找老师单独交  现在就是一整个难受难受难受难受  被自己拖延气晕 ,1,0,0,重庆,,重庆,中国
3,5023565675499654,南川不下雪,2024-04-15 23:27:33,小姐姐真的有一两天不看微信的人吗？你自己拖延就算了，每次小组作业你都要拖到最后。发微信是不回的，一有作业是又复活来问答案的。一点责任感没有，基本礼貌也没有，为啥别人给你发微信，你看到了不能回一下？有毛病，真想跟这位大姐解绑 ,0,0,0,湖北,武汉,湖北,中国
3,5023560638662510,一点沙拉酱,2024-04-15 23:07:32,好希望有人逼着我把作业改完 我真的好能拖延 ,0,0,0,河南,郑州,河南,中国
3,5023558516343522,不凋不败玄之又玄,2024-04-15 22:59:06,拖延……不到最后一刻那作业是不愿意动一下 ,0,1,0,河南,,河南,中国
3,5023556457732640,PuppyFalling,2024-04-15 22:50:55,拖延症的后果就是作业哐哐哐全要交，一个字没动翻车在即，一支笔，一个晚上，极限拉扯 ,0,4,1,江苏,镇江,江苏,中国
3,5023555979314951,一口炫几个山楂汉堡,2024-04-15 22:49:01,上帝，我是造了什么孽，带一群拖延症患者，只会收到不会做事，任务布置下去半个月找不出素材，有的甚至消息都不回复，这样下去社团没落了我都不感到意外呢，我是什么很见的人吗。小组作业同理，都是见人，我做了百分之九十的工作量为什么要让你们分一杯羹，也就庆幸吧，出了社会混吃等死，欧不对，人家这么聪明肯定是会去吸食别人的血啦,0,0,1,中国,,,中国
3,5023554357690744,Sjjj_L,2024-04-15 22:42:34,拖延拖得逐渐走火入魔 周二喊交的作业打算明天晚上23.59分再交 后来又想了个怕打扰休息的理由延迟到周三一早再交 这很合理也不过分吧 ,0,0,4,重庆,重庆,重庆,中国
3,5023548636665133,贰yy1234567,2024-04-15 22:19:51,被比赛压迫的一周终于过去了——自从脑子一抽，接下了这个比赛之后。从假期开始，虽然没有动，但是心里始终很忐忑。到了三月份，更是数着倒计时。没想到他居然还推到四月中旬，更给了我这个拖延症重度患者快乐的空间。于是我终于在清明节的时候开动了。上周整整六天，课也没上，作业也没改，全身心扑在这个事情上。训练孩子、构思上课流程、设计台词……一个比赛，三个项目，真的很折磨人加的班，熬的夜比任何一次比赛都来的多绝大部分原因都来自于拖延症但也有一部分原因，基本都是孤军奋战迄今为止整整七天，都是心力交瘁的整个备赛期间，参加了两场与巴蜀的大型活动一场是主持，一场是会务筹备但两场都写了宣传今天终于可以暂时告一段落了，所以开心的去吃了个烧烤然而现在又开始后悔，最近加班都坐着不动，确实胖了,0,1,0,重庆,,重庆,中国
3,5023545960963377,上课时间,2024-04-15 22:09:13,工作日记：上午考试 上午改作业中午出发去听课，下午回来改两个班的试卷，晚上发下去讲 学生：？就改完了？（不可置信）就改完了？！ 孩子…是我平时太拖延还是你真的惊叹于我的效率高 我真的困得要死，强撑着困意改试卷 ,0,0,1,湖南,岳阳,湖南,中国
4,5023541829309377,胡蝶啵啵,2024-04-15 21:52:48,来学校一天就想回家了… 会做饭的人真的是天使 想喝麦门的豆浆 不想写作业==大学拖延症 ,0,0,4,山东,淄博,山东,中国
4,5023541738871185,黄帽小学生,2024-04-15 21:52:26,不能喝酒不能喝咖啡 只能喝茶 明天要交的作业现在还没写 拖延症又犯了…莫名有点焦虑起来了 ,0,0,0,福建,福州,福建,中国
4,5023540435487997,LZ雨歇微凉,2024-04-15 21:47:15,啊啊啊，作业怎么这么多，改了好久都改不完，下次假期抽时间改完，不拖延了 ,0,1,0,广西,南宁,广西,中国
