页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022667115594627,房小旗,2024-04-13 11:57:00,网友：小旗，我投个稿，据我了解，学院路这边的学区提升早就开始了，比如网上传说的最怂的“海淀实验三小”在三四年已经有质的提升了，网上的消息一般是比较滞后的，因为现在不允许过多宣传基础教育各学校的具体情况，但实质上，学院路学区的提升非常明显。石油附中和矿大附中几年前被101集团收编后，提升也非常明显；这次科大附中和地大附中被清华附中集团收编。基本上，学院路学区算是稳了。,0,1,0,北京,北京,北京,中国
2,5022646267545784,耿子编辑,2024-04-13 10:34:09,时代教育Time Education基本信息曾用刊名：城市改革与发展主办单位：成都日报报业集团出版周期：旬刊ISSN：1672-8181CN：51-1677/G4出版地：四川省成都市语种：中文;开本：16开创刊时间：2004出版信息来源数据库 ： 基础教育出版文献量：47933篇总下载次数： 2663991次总被引次数： 48129次评价信息北京大学《中文核心期刊要目总览》来源期刊：2000年版,0,0,0,山东,烟台,山东,中国
2,5022637224888030,中国雄安官网,2024-04-13 09:58:13,#最美雄安建设者#【胡友永：让雄安成为基础教育的新高地】胡友永积极推进教师专业发展改革，建构教师校本课程培训体系和教师发展机制，实施“青蓝工程”“名师工程”等教师发展工程，指导2名教师获评河北省优质课比赛一等奖。深化课程改革，开设“双师课堂”，探索“大单元教学”，创设“澄明课堂”模式，设置社会实践活动课程，打造20多个品牌社团、30多门校本课程。（雄安新区文明办） 中国雄安官网的微博视频,1,0,0,,保定,河北,中国
2,5022634192666923,泰兴融媒,2024-04-13 09:46:10,【获教育部表彰】泰兴市襟江小学教师孙琴、王庆的课程“十几减9”、“用算盘表示数”入选2023年教育部“基础教育精品课”名单。 ,1,3,4,,泰州,江苏,中国
2,5022625530645156,职称论文投稿专著专利标书课题,2024-04-13 09:11:45,《第二课堂》省级，知网，96页，少量1版排！以教学随笔或教学反思的形式呈现，收基础教育各科，需要结合ai或信息技术教学或科学教学 张家口·怀安 ,0,0,0,河北,张家口,河北,中国
2,5022617228544180,公益时报,2024-04-13 08:38:46,#整治中小学暗箱操作掐尖招生乱象#【专项行动如何真正落地？】白岩松：人们常说一句话叫“上有政策下有对策”，过去这十年事件，相关政策也陆续出台了不少，具体到这一次，如何让专项行动真正落地，能有效果？接下来推进的的步伐节奏又是什么样？中国教育科学研究院基础教育研究所副研究员 牛楠森：这一次从通知的名称上就能看得出来，专项行动是一个行动性非常强的文件。教育部层面，也是成立了由部内有关司局、地方教育行政部门人员、国家督学、基础教育教学指导委员会的专家来共同组成的专项工作组。这个专项工作组将会加强对各地招生入学工作全过程的监管和工作指导，特别是会适时开展专项行动调研，参与到全国范围内的跨省交叉互检当中，而且也会对违规行为和查处情况进行通报。另一方面，省级教育行政部门马上要做的事情就是要细化相关的工作安排，明确接下来的工作步骤和责任分工。 新闻一加一的微博视频,0,0,0,,保定,河北,中国
2,5022616362680521,铜川日报,2024-04-13 08:35:18,【自能教育为学生成长赋能】教育是国之大计，基础教育更是教育根基。近年来，铜川市聚焦办全省一流基础教育的目标，抓改革激活力，在推进全市教育高质量发展上取得了新成效。全市各学校紧盯目标，笃行实干，锐意进取，在基础教育改革探索之路上稳步前进。近日，记者走进铜川市桃园第二中小学，探访该校“自能教育”成果，看见了不一样的校园，感受到了不一样的教育，听到了不一样的奋斗故事。网页链接,0,0,0,,铜川,陕西,中国
2,5022613228750686,看宜兴,2024-04-13 08:22:52,【阳光招生，家长是受益者也是参与者】中国教育科学研究院基础教育研究所副研究员 牛楠森：这一次，专项行动文件信息公开部分，特别提到了各地教育行政部门要主动加强信息公开，其中重点工作就包括建立开通专门的招生入学热线，并向社会公布，赋予了家长的监督权利。换言之，家长们如果有诉求、有困惑，包括有问题反映，电话都是打得通的。这次专项行动还特别强调，信息公开要做到招生信息可以获得，招生困惑可以得到咨询，招生问题可以申诉等等，这其实就是把监督的权利交到了社会，交给了家长。因此，可以说每个家长、每个公民也都是监督者。 新闻一加一的微博视频（新闻一加一）,0,0,0,,无锡,江苏,中国
2,5022511874704551,中国武警,2024-04-13 01:40:07,为培养更多德才兼备的高素质、专业化新型军事人才。近日，武警工程大学军事基础教育学院组织人员专程赴江西赣州一中等学校开展“武警工程大学优质生源基地”挂牌暨招生宣传活动，旨再不断强化交流合作，在立德树人、为战育人中不懈努力。（军事基础教育学院  边远） ,3,5,22,,北京,北京,中国
2,5022606379975089,新闻一加一,2024-04-13 07:55:39,#整治中小学暗箱操作掐尖招生乱象#【前期调研过程怎样？治理难点又在哪里？】白岩松：您和团队参与到了文件起草当中的哪些环节？治理相关问题难点又体现在哪？中国教育科学研究院基础教育研究所副研究员 牛楠森：教育部政策研制，特别强调研制过程的科学性和专业性。这次在教育部的部署下，我们团队从三个路径进行了前期的调研环节。（1）常规的文献研究。（2）对网络上的有关招生入学这些年的一些舆论报道也进行了梳理。（3）也是非常重要的一点，我们进入到学校进行了实地的调研访谈。当然，不仅是一些较为优质的学校，也包括一些普通学校，访谈了对招生问题比较熟悉的校长和老师，形成了相关研究结论，也同教育部的相关部门进行了多次研讨。可以说经过这些年的政策执行，我们中小学招生入学工作整体上还是平稳有序的，比如说曾经存在的学区房问题，得到了大幅度的“降温”，全民择校的情况得到根本扭转。但是现实中，部分地方个别学校，我们发现还是存在着违规招生、变相收费，“掐尖招生”的问题，包括新建小区对口划片对口学校划片是否科学合理的一些新问题。当然了，这样的一些问题我们也反映到了这次的文件当中，它们所体现的也就是这次专项行动要着力攻坚的难点所在。 新闻一加一的微博视频,2,3,8,,北京,北京,中国
