页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023347588992776,湖北省政府门户网站,2024-04-15 09:00:57,【首届全国地下水资源与生态环境大会在鄂举办】4月13日，首届全国地下水资源与生态环境大会在鄂举办。大会以“珍视地下水资源，保护健康生态环境”为主题，旨在促进地下水科学领域创新与科教产业融合，推动学术交流与合作。吸引了国内外多所高校、科研院所及相关行业单位的1200余名代表参加参会，包括7位中国科学院、中国工程院院士和百余位国家级高层次人才。网页链接,1,0,0,,武汉,湖北,中国
2,5023338159672165,张桂源_GY·Z平行时空超管组,2024-04-15 08:23:29,桂咪们的学术交流基地 1 ,0,0,0,广东,汕头,广东,中国
2,5023096400775203,陈静瑜肺腑之言,2024-04-14 16:22:49,带领浙二肺移植团队因公赴布拉格参加2024年国际心肺移植年会学术交流，团队一个会议发言、二个壁报交流，今天顺利回国。明天周一上午在无锡人民医院特诊中心正常出诊。 上海·上海浦东国际机场 ,6,13,251,上海,,上海,中国
2,5023259336901087,猫卷森源_,2024-04-15 03:10:16,桂咪们的学术交流基地 谁来 ,0,5,0,马来西亚,,,马来西亚
2,5023241030861841,桂茶薰雨_,2024-04-15 01:57:32,桂咪们的学术交流基地🈷️🈷️桂咪 ,0,11,0,广东,广州,广东,中国
2,5023232711460420,春夏秋冬的熊,2024-04-15 01:24:28,笑死了，找文献，下载量第一的是张明楷的实质解释论的再提倡，排在第二位的是陈兴良的形式解释论的再宣示，你俩学术交流得好有意思，还同一个期刊同一个发表时间 ,0,0,0,广东,广州,广东,中国
2,5023226994361966,想分桂源10斤肉,2024-04-15 01:01:45,桂咪们的学术交流基地 月月 ,0,9,0,湖南,邵阳,湖南,中国
2,5023219757092611,呆毛小狗ovo,2024-04-15 00:33:00,桂咪们的学术交流基地 月月深交 ,0,1,0,湖南,长沙,湖南,中国
2,5023215447179651,犯懒中请勿扰,2024-04-15 00:15:52,桂咪们的学术交流基地🈷️🈷️桂唯 ,0,5,0,浙江,温州,浙江,中国
2,5023212027251736,桧灵序枝_Pearflower,2024-04-15 00:02:17,桂咪们的学术交流基地月5个桂丝 拒zhr ,0,7,0,四川,德阳,四川,中国
3,5023208231406984,养呼少女_,2024-04-14 23:47:12,精英人士讨论学术交流的模样,0,0,0,浙江,杭州,浙江,中国
3,5023196669023532,我喊小妤,2024-04-14 23:01:15,桂咪们的学术交流基地 🈷️常在线i互动的桂咪 ,0,3,2,黑龙江,哈尔滨,黑龙江,中国
3,5023195369836070,有只小狗叫哥哥,2024-04-14 22:56:05,桂咪们的学术交流基地 带灯牌🈷️ 桂梦🈚️因数 ,0,7,0,河南,商丘,河南,中国
3,5023188805487392,海峡都市报闽南版,2024-04-14 22:30:00,【#福建医科大学吴宇涉嫌学术不端# 被通报】4月12日，国家自然科学基金委员会官网，发布2024年不端行为案件处理结果通报（第一批次），其中福建医科大学吴宇存在抄袭他人研究成果、伪造申请书研究基础的问题。经查，吴宇在学术交流中得到了他人的部分实验数据、图片，在撰写本人2023年基金项目申请书时，将他人的实验数据、图片等成果直接标注为申请项目相关的实验结果，并作为“研究基础”写入申请书。经国家自然科学基金委员会监督委员会六届二次会议审议、国家自然科学基金委员会2023年第21次委务会议审定，决定撤销吴宇2023年国家自然科学基金项目申请，取消吴宇国家自然科学基金项目申请和参与申请资格5年（2023年12月26日至2028年12月25日），给予吴宇通报批评。@海峡都市报,0,0,0,,福州,福建,中国
3,5023187603819553,海大高级工商管理研修班王老师,2024-04-14 22:25:14,2024年4月13日，海南新商界（原海大总裁班）班长、会长座谈会在海南大学国际学术交流中心隆重举办。此次座谈会汇聚了来自总裁1-34班、国学1-4班、资本班1-2班及生命班1-3班的班长，各班级历任会长、海大总裁班各协会会长，以及部分同学代表共同参与。👏👏👏,0,0,0,海南,海口,海南,中国
3,5023182929529685,饲圆循烬_,2024-04-14 22:06:39,桂咪们的学术交流基地 🈷️桂唯 ,0,9,0,河北,沧州,河北,中国
3,5023181830887490,宅妹兔包,2024-04-14 22:02:17,桂咪们的学术交流基地 桂唯桂毒快来🈷️我 ,0,4,1,江苏,,江苏,中国
3,5023180075045775,整形美容科婷婷,2024-04-14 21:55:19,学术周末：我科罗滔教授受邀参加南京智美峰会学术交流，鼻整形专场专题授课 ,1,0,0,湖南,长沙,湖南,中国
3,5023179398188029,桂圆贵三元,2024-04-14 21:52:37,桂咪们的学术交流基地想月i互动的桂唯/毒 婉拒yg ybw ,0,11,2,山东,德州,山东,中国
4,5023160147644182,这个月见面吧_,2024-04-14 20:36:08,桂咪们的学术交流基地每日一🈷️ ,0,3,0,云南,昆明,云南,中国
4,5023153080501600,桂神降临,2024-04-14 20:08:03,桂咪们的学术交流基地再约一个桂毒🔒啦 ,0,2,0,江苏,苏州,江苏,中国
4,5023132170323466,小龙养成记,2024-04-14 18:44:57,桂咪们的学术交流基地 🈷️桂唯 i书局i互动 ,0,8,1,安徽,池州,安徽,中国
4,5023131475378317,快乐的猪猪极之我有龙哥版,2024-04-14 18:42:11,桂咪们的学术交流基地 ,0,9,1,陕西,西安,陕西,中国
4,5023131410893458,小巷楸树,2024-04-14 18:41:56,桂咪们的学术交流基地 我来🈷️🈷️ 玩具带有ybw属的 ,0,10,0,福建,南平,福建,中国
4,5023124971588515,桂味千层糕,2024-04-14 18:16:21,桂咪们的学术交流基地 想把所有不雷奇的桂咪都🈷️一遍 ,0,7,0,江苏,盐城,江苏,中国
4,5023123214436705,困困困鼠了,2024-04-14 18:09:22,桂咪们的学术交流基地🈷️🈷️，不要gr ,0,14,0,广东,,广东,中国
4,5023121073504811,眼整形隋长清医生,2024-04-14 18:00:52,#医学美容##隋医生眼整形#  5月海峡两岸医学美容精英高峰论坛  感谢主办方邀请参与学术交流 分享内眦赘皮修复重建术后畸形分析 ,0,1,0,四川,成都,四川,中国
4,5023109010950598,麻辣烫到底烫不烫啊,2024-04-14 17:12:56,桂咪们的学术交流基地老公们想月点桂咪 ,0,13,0,浙江,嘉兴,浙江,中国
4,5023099471530238,呆咪桂少,2024-04-14 16:35:01,桂咪们的学术交流基地这里可以月到czg吗？ ,0,0,0,河北,石家庄,河北,中国
5,5023096451105382,我是青苹果公主吗,2024-04-14 16:23:01,桂咪们的学术交流基地 月点 ,0,20,4,四川,泸州,四川,中国
5,5023095578689885,龙帝驾到_,2024-04-14 16:19:32,桂咪们的学术交流基地你们月月我呗 ,0,8,0,马来西亚,,,马来西亚
5,5023092915307737,双眼皮修复-刘辅容,2024-04-14 16:08:58,南京学术交流结束，回成都了 ,0,1,0,四川,绵阳,四川,中国
5,5023086968048405,禹意正发芽,2024-04-14 15:45:20,桂咪们的学术交流基地有没有南京的bb我们月月可以一起去线下 ,0,2,1,江苏,南京,江苏,中国
5,5023085407240658,桂源味小龙尝尝嘛,2024-04-14 15:39:08,桂咪们的学术交流基地  🈷️到500 🈷️养铁的桂唯/毒 ,0,6,2,安徽,合肥,安徽,中国
5,5023083867672974,小桂耀早睡,2024-04-14 15:33:01,桂咪们的学术交流基地 随缘🈷️🈷️ 张桂源至上就行 ,0,6,2,四川,成都,四川,中国
5,5023080372240884,老公缠你一辈子,2024-04-14 15:19:07,桂咪们的学术交流基地 月点桂咪不要gr ,0,21,1,广东,广州,广东,中国
5,5023076362488449,look是龙帝-,2024-04-14 15:03:12,桂咪们的学术交流基地🈷️一个 ,0,7,0,福建,泉州,福建,中国
5,5023075836628509,-极味桂圆ii,2024-04-14 15:01:06,桂咪们的学术交流基地🈷️🈷️爱互动的桂咪 ,0,7,1,山西,太原,山西,中国
5,5023075162653506,碳酸桂茶,2024-04-14 14:58:26,桂咪们的学术交流基地月月桂唯我线下批接上下班都去过 不介意我三楼朱志鑫solo半跑路就行 ,0,12,1,重庆,重庆,重庆,中国
6,5023066874973187,龙帝驾到_,2024-04-14 14:25:30,桂咪们的学术交流基地月 i互动的 ,0,10,0,马来西亚,,,马来西亚
6,5023065530698464,菌汤芋圆ya,2024-04-14 14:20:09,桂咪们的学术交流基地随缘🈷️🈷️桂咪 具体属性查看置顶 我是线下批可以一起组团～ ,0,12,1,重庆,,重庆,中国
6,5023062136718286,蝴蝶鱼_7,2024-04-14 14:06:40,桂咪们的学术交流基地 🈷️🈷️桂咪 i互动的宝宝！！ ,1,23,1,浙江,金华,浙江,中国
6,5023060958645452,-kaka摩鸭-,2024-04-14 14:01:59,桂咪们的学术交流基地 🈷️🈷️你们 ,0,12,0,江苏,南京,江苏,中国
6,5023058009788693,源味橙汁100分,2024-04-14 13:50:16,张桂源周边中转站我是带起了月月潮流吗（但是老公们还是要以出收卡为主哦，月月有专门超话）桂咪们的学术交流基地 ,0,3,0,辽宁,营口,辽宁,中国
6,5023057141304304,峋恋秋豪詩,2024-04-14 13:46:49,桂咪们的学术交流基地sjz買的大旗什麼時候發货呀 ,0,0,0,福建,宁德,福建,中国
6,5023050212837844,龙芸冬衍,2024-04-14 13:19:17,桂咪们的学术交流基地🈷️桂唯/毒/桂一推 ,0,8,0,江苏,连云港,江苏,中国
