页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022356825178322,广州市科学技术局,2024-04-12 15:24:00,【活动预告】硅基生命和数字孪生｜珠江科学大讲堂专题讲座第120期 【活动预告】硅基生命和数字孪生｜珠江科学大讲堂专题讲座第120期 时间：2024年4月13日（星期六）10:30-12:00 地点：广东科学中心学术交流中心多功能厅（广州市番禺区广州大学城科普路168号） 报名二维码 ↓↓↓ ,1,0,0,,广州,广东,中国
2,5022087841841590,邮电设计技术,2024-04-11 21:35:09,#资讯# 【韩国基础科学研究院与德国马克斯·普朗克研究所加强战略合作】据韩联社  4月11日首尔报道，韩国基础科学研究院（IBS）与德国马克斯·普朗克研究所11日宣布，将加强在基础科学领域的战略合作，共同推动学术交流、人力资源培训及联合研究中心的建设。此次合作是在首尔西大门区延世大学举办的“全球科学领袖论坛”上达成的重要共识。IBS与马克斯·普朗克研究所计划通过发现战略领域、共同利用研究设施以及培养年轻研究人员等方式，深化研究合作。此外，延世大学也成立了纳米医学领域的研究合作中心，并举行了挂牌仪式。据悉，IBS与马克斯·普朗克研究学会已于2021年5月签署了一份修订和扩展的合作协议，IBS纳米医学研究中心和马克斯·普朗克医学研究所也签署了一份单独的谅解备忘录。此次合作将进一步加强两国在基础科学研究领域的交流与合作，推动科技创新和人才培养，共同应对全球性挑战。韩国科学与信息通信技术部（MSIT）第一副部长李昌云在论坛上表示：“韩国计划通过加入欧盟的研究和创新计划‘地平线欧洲’来加强与欧洲的科技合作。我希望韩国和德国能够扩大战略研究合作，以增强两国之间的科技能力和友谊，为解决人类的挑战做出贡献。”（编译：雅慧）,0,0,0,,廊坊,河北,中国
2,5022087387289216,眼科视光医生梅颖,2024-04-11 21:33:22,COOC2024大会于2024年4月11日-13日在上海跨国采购会展中心举行，此次会议将为国内知名专家和各省市县卫生系统专家搭建一个高水平、大范围、多层次的学术交流平台。国内众多顶尖大咖受邀参与。在COOC2024的会前会上，众多眼视光领域的顶尖专家纷纷展示了各自的研究成果，并分享了新颖的学术观点，为我们呈现了眼视光医学的前沿知识和发展趋势。我也借此机会，向与会者深入介绍了关于角膜塑形术数字个性化验配的研究。这次参会，不仅为我们个人提供了一个向同行展示研究成果的窗口，更为所有与会者创造了一个深入交流、思想碰撞的难得机会。,0,0,3,上海,,上海,中国
2,5022020507013702,编辑部马编辑,2024-04-11 17:07:36,《内蒙古医学》知网，万方收录基本信息曾用刊名：内蒙古卫生主办单位：内蒙古自治区健康管理服务中心(内蒙古自治区医学学术交流中心)出版周期：月刊ISSN：1004-0951CN：15-1108/R(2023版)复合影响因子：0.227(2023版)综合影响因子：0.163该刊被以下数据库收录：JST 日本科学技术振兴机构数据库(日)(2022)期刊荣誉：Caj-cd规范获奖期刊;主要栏目述评 医学专栏 论蓍 临床医学 综述 经验交流 临床护理 继续医学教育,0,0,0,河北,张家口,河北,中国
2,5021595808565253,那些珍贵老照片,2024-04-10 13:00:00,谢烨看到顾城写李英的乳和野合，她情绪彻底崩溃。1992年，顾城谢烨两人的命运发生变化。那年德意志学术交流中心给顾城发来邀请，去做驻会作家，赴德创作和访学一年。顾城起先犹豫，不舍得离开，在谢烨的鼓励下，他最终还是决定去。一个阳光明媚的下午，顾城和谢烨再次踏上前往柏林的飞机。走前，谢烨曾在李英面前哭，暗示她应该离开。她说，如果我们回来的时候你还在，那就是我的命，我就彻底接受这个现实。李英决定离开。她和一个50多岁的英国老头私奔了。这老头是她和谢烨在岛上的英语老师，向李英求过一次婚。第一次李英拒绝了。这一次，李英同意。她说在老头这里，有被爱的感觉。这种被爱的感觉，应该指的是独一份。年底，两人火速去了悉尼。李英过上了「正常」的生活。顾城从德国回来岛上，见不到李英，情绪开始爆发。谢烨安慰他，让他写本书，在书里发泄自己的情绪，这样会好很多。顾城写了本《英儿》，本意是想忏悔，但写着写着，发现他还很爱李英。在书里，他写两人的野合，写她的乳，写得事无巨细。光写《初夜》，就有三个章节。顾城不会敲字。这本书，是由顾城口述，谢烨打字，最终出世的。顾城每讲一次，谢烨的心就要抽抽一下。每个字，都像一颗带刺的仙人球，在一个女人心里无情碾压千万次，鲜血淋漓后，最后才呈现在大众面前。谢烨也动摇了。她的心慢慢倾向大渔，一个在德国追求过她的中国人。准备离开前，两人爆发激烈地争吵。谢烨说，你写那样的书我受不了，我老一个人哭。这个时候，只要有一个人来安慰我，我都会爱上他！那个来安慰谢烨的，就是大渔。顾城问了一个直击灵魂的问题，他问谢烨，要是没有书这个事情，你会爱上大渔吗？谢烨沉默。谢烨的离开，让顾城害怕起来。他已经失去了英儿，不能再失去谢烨。他见谢烨要决然离去，就说，把木耳留下吧。木耳不该成为大渔的儿子，我会让他好好长大。谢烨怒吼，我能相信你吗？你踢木耳那一脚我能忘记吗？你也说过谁做三木父亲都比你强！顾城不甘示弱，你什么都要……你要大×，要三木，还要我的一切。名誉你也要，实际你也要，精神也让我给你，你好写小说……1993年10月8日下午，最后一次争吵爆发，顾城用斧头砍死谢烨，随后又自缢于一颗大树之下。,89,45,477,陕西,西安,陕西,中国
2,5021896900870712,廊坊日报廊坊传媒网,2024-04-11 08:56:26,#廊坊本地新闻# 【廊坊市中心血站全方位提升采供血服务能力】近年来，市中心血站积极对标先进，广泛开展人才培养、学术交流、科研建设等工作，全方位提升采供血工作综合实力，更好地服务广大献血者和用血者。深入推进采供血京津冀协同发展，提升血站综合实力。积极联络京津冀等国内输血专家队伍，通过人员培训进修、质量体系联合审核、现场业务咨询指导等方式，广泛开展学术交流，不断提升采供血队伍人员专业技术水平。建立人才培养机制，强化血站队伍建设。通过合理推进科室职能调整和人员配置，建强中层干部队伍，实施“人才强站”战略，不断强化制度管理和人才培养机制。培养和选拔了一批以中层干部和业务骨干为主力的青年人才，血站人才梯队建设初见成效。采取“走出去、请进来”，以考促学、以讲促学的“费曼”学习方法等多种形式强化培训，提升中层干部队伍和采供血专家业务水平与履职能力，常态化开展多种形式的岗前教育、继续教育、业务理论和岗位练兵等技能操作竞赛，提升业务水平、专业能力和职业精神，落实每人每年不少于75小时的学习制度，计划性开展中层干部和业务骨干外出进修学习工作。加强技术能力建设，提升血站服务水平。为发挥质控中心作用，每年定期组织全市临床用血质量管理与控制中心工作会议，对全市各医疗机构输血技术人员开展培训。2023年度成功为三例稀有血型和特殊血型患者提供了临床用血保障，临床输血服务满意度100%。,0,0,0,河北,廊坊,河北,中国
2,5021883607027415,东致智库,2024-04-11 08:03:37,案例回顾｜三创大讲堂·创新发展战略专题由三创学院主办的三创大讲堂2023年4月25日在山西应用技术学院学术交流中心举行。穗华集团创始人、董事长张志杰先生做了题为穗华集团创新发展理念战略专题讲座。黄东升主持本次专题讲座活动。在专题讲座中，张志杰董事长用生动形象的语言诠释了穗华集团打造“中国领先的综合型智慧物流园平台”战略内涵中的“1个平台”、“2个基本点”、“3张网络”；用穗华创新实践案例阐述了“以供应链思想为核心，打造现代物流产业基地”中秉持的“开放 协同 共享”、“链接 整合 服务”、“利他 融合 成长”、“存量交换、增量分润”的“穗华理念”。站在新的发展高度阐明穗华“新的使命”：“再造一个新穗华”。穗华的战略目标就是“构建新的供应链生态和产业发展集群”。,0,0,0,山西,太原,山西,中国
2,5021580709856825,德国汉堡市,2024-04-10 12:00:00,#教育# #汉堡大学# 德国汉堡市 在汉堡及其周边地区，数学、信息学与自然科学领域（MIN）以及教育领域的专业人士日益短缺。为此，汉堡大学推出&quot;MIN För Hamburg&quot;项目，旨在吸引国际学生学习这些专业，并为他们进入德国就业市场做好准备。据悉，该项目将从德国学术交流中心获得超过100万欧元的资助。汉堡大学的国际学生将根据所学专业获得来自学校的支持。此外，汉堡大学学生会还可以提供有关汉堡大学日常学习生活以及入学和入境德国的针对性信息和建议，同时也会在学习期间为新生提供有关语言课程以及专业资格和指导的研讨会。&quot;MIN För Hamburg&quot;项目还将与汉堡大学&quot;PIASTA——面向所有学生和校友的国际项目&quot;等已有项目相结合。同时，学校还将在汉堡大都会地区与诸如“汉堡欢迎中心”等当地机构合作开展试点项目。配图|汉堡大学&quot;MIN För Hamburg&quot;项目预计将惠及约1300名国际学生。Foto: UHH/Dingler原文|网页链接,0,2,1,,上海,上海,中国
2,5021188126148360,德国学术交流中心北京代表处,2024-04-09 10:00:01,"#留学问答# 奖学金德国提供多种多样的奖学金(Stipendien), 与其他国家不同，这些奖学金并不全是由大学颁发。德国学术交流中心(DAAD)就为国际学生提供了广泛的奖学金。你可以在当地的DAAD代表处中得到这方面的建议。同时，由政党背景的基金会、宗教机构、有经济界背景的组织和支持优秀学生的组织也提供奖学金。DAAD奖学金数据库(Stipendiendatenbank)：(www.funding-guide.de)提供重要奖学金的信息。请注意，只有在极少数情况下，奖学金才能资助整个学习期间的全部生活费用。大多数情况下，它只是一种补充。",0,1,3,,北京,北京,中国
2,5021185940914537,苏州零售新视野,2024-04-09 09:51:20,#苏州城建# 桑田科学岛科创中心设计方案，包括学术会堂，学术交流中心，专家公寓等 ,1,5,9,江苏,苏州,江苏,中国
