页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5018394971866514,北部湾在线,2024-04-01 17:01:01,#你好东盟# 【2024中国—东盟青年文化周暨第七届中国—东盟青年风汇在北京启动】2024中国—东盟青年文化周暨第七届中国—东盟青年风汇3月28日在北京大学燕京学堂正式启动。此次活动以“美美与共·文明互鉴中的青年实践”为主题，开展学术交流与文化交流活动，旨在为中国—东盟青年相知相亲搭建友谊平台。 北部湾在线的微博视频,0,0,0,,南宁,广西,中国
2,5018394578126738,智慧浑南,2024-04-01 16:59:27,#振兴新突破辽宁杠杠滴#【一图读懂｜沈阳市高水平人才学术交流活动补贴细则（试行）及《沈阳市高水平人才学术交流活动补贴细则（试行）》补充条款】（沈阳发布） #贯彻二十大辽宁在行动##追寻先烈足迹辽宁在行动# ,0,0,0,,沈阳,辽宁,中国
2,5017304972134595,寻医问药服务平台,2024-03-29 16:49:45,需转！口腔大咖义诊来了！广大患者及家属朋友们：由甘肃省口腔医学会口腔颌面外科专委会、甘肃省口腔医疗质量控制中心组织的甘肃省口腔颌面外科专家将于3月30日（本周六）上午在州人民医院举行学术交流活动并义诊，请有就诊需求的患者前来就诊咨询！义诊对象：牙槽外科疾病、颌面部炎症、创伤、肿瘤、颞下颌关节紊乱综合征、错颌畸形、唇腭裂、面部神经疾病患者。咨询电话：马大夫 13993007667义诊地址：门诊五楼西侧口腔科4诊室名医团队简介：1.谢富强，教授，主任医师，硕士生导师，甘肃省领军人才，国际牙医师学院院士。现任兰州大学第二医院口腔科主任、口腔医学教研室主任。2.马东洋，主任医师，博士研究生导师，解放军第940医院口腔颌面外科主任。陆/空军军医大学、兰州大学兼职教授。3.李志革，主任医师，硕士研究生导师，兰州大学口腔医学院口腔颌面外科（教研室）主任。长期从事口腔颌面外科学临床、教学、科研工作及口腔慢性疾病防治工作。4.孙健，副主任医师，医学硕士，现任中华口腔医学会会员，中华口腔医学会甘肃分会口腔颌面外科专业秘书。擅长颌面部创伤的治疗、口腔癌及头颈肿瘤救治及同期应用显微外科技术移植各种皮瓣、骨瓣、肌瓣以最大限度保存及恢复患者外形及功能，肿瘤外科及颌面缺损的修复重建。来源：临夏回族自治州人民医院微信公众号,0,0,0,,兰州,甘肃,中国
2,5016961742275993,自贡恐龙博物馆,2024-03-28 18:05:53,3月28日，四川省博物馆学会自然类博物馆专业委员会2024年年会暨“川渝地区自然类博物馆高质量发展”学术交流活动在自贡开幕。活动中，中国自然博物馆协会副理事长孟庆金进行了主旨演讲；高端论坛上，来自川渝两地的自然类博物馆馆长、专家代表围绕“探索区域协同发展新路径 共创自然类博物馆新未来”主题，通过分享经验、交流思想，和与会者们共同探讨了自然类博物馆在保护、传承和展示自然遗产方面的作用等，为推动博物馆事业的持续健康发展贡献智慧和力量。,0,0,0,,自贡,四川,中国
2,5016868883007533,南昌市第九医院,2024-03-28 11:56:53,市重点专科学科带头人熊墨龙赴基层义诊交流3月27日，南昌市重点专科、我院重症肝病科学科带头人熊墨龙主任赴萍乡市芦溪县中医院，参加该院举办的“3.18全国爱肝日”义诊及学术交流活动。参加此次活动的领导和专家还有芦溪县中医院党委书记、院长彭斌、副院长陈铭、大内科主任何婷，萍乡矿务局总医院消化科主任吴文朝等。义诊活动在芦溪县中医院门诊大厅举行。当地居民群众闻讯从各地赶来参加专家咨询问诊和义诊体检。熊墨龙主任耐心解答群众疑问，查看患者带来的体检报告，有针对性提出诊疗建议，并积极宣讲肝病防治相关知识，以提高群众积极预防、主动检测、规范肝病治疗的意识。义诊过后，熊墨龙一行来到中医院大内科病房，为多例感染病疑难危重患者进行了查房。熊墨龙对疑难病例一一进行了详细的分析和讲解，指导当地医师制定诊疗方案，对下一步治疗提出了详细的建议。在中医院医生办公室，熊墨龙与病房医师们就“慢性病毒性肝炎扩大病毒治疗适应症”以及疑难重症肝病治疗等话题进行了学术交流。中医院医师们表示，熊墨龙教授常来医院指导，带来三甲医院的临床技术经验和前沿理论。我院积极响应国家分级诊疗政策，牵头的江西省肝病专科联盟专家团队通过基层义诊、查房、讲座等方式推进优质医疗资源下沉，不仅提高了基层医院感染性疾病的综合诊疗水平，也使三甲医院专家的精湛技术和优质服务便捷地惠及到了基层百姓，让基层广大群众直接受益。 南昌·南昌市第九医院,0,1,2,江西,南昌,江西,中国
2,5016842696917029,自贡网,2024-03-28 10:12:49,【扩大“朋友圈” 47家博物馆齐聚自贡共话发展】3月27日下午，四川省博物馆学会自然类博物馆专业委员会2024年年会暨“川渝地区自然类博物馆高质量发展”学术交流活动在自贡启动。网页链接 ,1,0,0,四川,自贡,四川,中国
2,5016613732483884,那年的胖虎-,2024-03-27 19:03:01,请假条：本人之前已向童话同学郑重承诺，在其复出前不参与偶像活动，但近日接上级有关单位通知，本周四将于兆丰广场举行“STARWINK～木曜の乱 试运营～”主题学术交流活动，因该活动与本人学术研究方向较为一致，对本人正在进行的课题有系统性的帮助，故向童话同学申请特别允许参与该活动。本人保证在参与该活动期间以学术精神为重，除学术研究环节外（舞台），在学术交流环节（特典会）仅探讨舞台相关课题，学术探讨对象限为1人，探讨时长限为特典券2张，且交流内容不包含任何噶比行为，本人保证以上承诺真实有效并愿意接受监督。妥否，请批示！@童话Douwa-StarLight,0,2,5,上海,,上海,中国
2,5016489153266619,科学未来人,2024-03-27 10:47:59,1972年的学术交流活动。“避孕药之父”、“试管婴儿之父”张明觉教授访华，代表团团长是任之恭、林家翘。张专门去了岳阳路的生理所，张香桐院士主持，讲“避孕丸的发展及其生理机制”。因为当时国内也在研究避孕药（包括用中草药）。#科学人医疗社会史# ,4,1,7,上海,,上海,中国
2,5016459130702291,最爱广元,2024-03-27 08:48:41,【#川渝自然类博物馆共聚自贡#】 2024年3月27日-29日，四川省博物馆学会自然类博物馆专业委员会2024年会暨“川渝地区自然类博物馆高质量发展”学术交流活动将在自贡举办。此次活动旨在汇聚业内专家学者，共同探讨自然类博物馆的高质量发展之道，为川渝地区的自然类博物馆事业注入新的活力。 ,0,0,0,四川,广元,四川,中国
2,5016125655484479,青海藏文科技报,2024-03-26 10:43:34,青海省女科技工作者协会举办学术交流活动暨2024年会员代表大会3月25日，青海省女科技工作者协会学术交流活动暨2024年会员代表大会在西宁举办。此次大会汇聚了来自全省各行各业的专家、学者等近50名女性科技工作者，通过广泛凝聚思想共识 全面汇聚发展合力，进一步推动协会高质量发展。    会上，会长郭青云研究员对青海省女科协2023年的工作进行了总结，她回顾了协会过去一年取得的成绩，同时展望了新的一年里协会的发展蓝图。郭会长的报告鼓舞人心，激励着每一位在场的科技工作者为实现更高的科技目标而努力奋斗。    随后，会议安排了两场引人入胜的讲座。首先由中国科学院西北高原生物研究所副研究员李云博士带来了科普学术讲座《转基因与我们的生活》。李博士用通俗易懂的语言，结合生动的实例，向大家讲解了什么是转基因、为什么要研究转基因、转基因生产的流程、转基因的安全评价等方面，揭示了转基因的奥秘，让大家对转基因技术有了更多更全面的了解，同时也告诉大家不能人云亦云、盲目跟风，要善于学会用科学的方法冷静客观分析看待转基因。紧接着，国家二级心理咨询师、青海缘杰心生健康研究院的吴姝锐老师为大家带来了心理健康讲座《幸福女人与“心”同行》。吴老师用温柔的声音和贴心的建议，引领大家深入探索内心世界，学会珍爱自己，以更加健全的心态勇敢面对生活中的种种考验。她通过自身的真实经历，强调了情绪价值在心理健康发展中的作用。她的演讲情感真挚，让在场的每一个人都深受启发。此次讲座不仅提供了实用的心理健康知识，还引发了听众对积极教育和心理健康发展的深入思考。    在随后的讨论环节中，与会者们纷纷发表见解，共同商讨协会未来的发展计划。经过深入的交流和讨论，大家就协会各专业组的分工和2024年度工作计划达成了一致意见。这一共识不仅凝聚了人心，更为协会的未来发展指明了方向。会议最后，郭青云会长对本次会议进行了全面的总结，她表示，将以省女科协为平台，带动我省女科技工作者们奋战在科技创新第一线，以巾帼之力助力科技进步，同时也希望大家坚持科技创新谋发展，脚踏实地做实业，把满腔热情转化为干事创业的实际行动，为推动经济社会高质量发展书写巾帼担当、贡,0,0,0,,西宁,青海,中国
