页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023357462381437,Alice和她的小屋,2024-04-15 09:40:11,大家都知道学术会议的目的，来到昆明之前我不断为此而焦虑，担心自己去了既没学到东西，也认识不了几个人。尽管上学期已经有了许多次参会经验，来昆明那几天我仍不可避免的紧张的情绪失常，并最终在L的耐心询问下说出了这些担忧。L和我说，不一定要认识xx，也不一定有用。凡是经历皆为经验，当去玩玩就好。他的话让我很惊讶，也让我放心了许多。于是我就这样来到了第六届青马大会现场。我自然地向老师、师兄师姐请教，与大家成为好朋友，在会上大胆的表达观点，我第一次感受到了参会的快乐。,0,0,0,云南,昆明,云南,中国
2,5023346473829792,溧阳发布,2024-04-15 08:56:31,第五届非晶态物理和材料春季学术会议在溧召开4月12日-15日，第五届非晶态物理和材料春季学术会议在溧阳高新区长三角物理研究中心举行。本次会议共有500余位非晶态物理和材料领域的专家学者参会，旨在探讨非晶态物理和材料的前沿技术和未来发展方向，重点关注科技供给与市场需求的对接，以需求驱动科技成果研发和转化，特别是新能源、精准医疗大健康和智能制造等产业，实现非晶态物理和材料学科跨越式发展，同时为地方经济和科技发展提供创新思路。,1,0,3,,常州,江苏,中国
2,5023339854954619,叫陈英俊咋这么难,2024-04-15 08:30:12,杭电两日游 #学术会议# 杭州·杭州电子科技大学科技馆 ,0,7,8,浙江,,浙江,中国
2,5023337745484668,日暮乡关何处喵,2024-04-15 08:21:50,北大4.19-4.20（本周五、六）去王克桢楼开学术会议。有北大的同学可以帮忙预约参观嘛，一共4人，我们一定遵守学校规定，接受有偿，非常感谢 ,0,2,0,河北,石家庄,河北,中国
2,5023335624740997,历十元,2024-04-15 08:13:25,这么大阵仗搞个学术会议 结果也是上台对着数据念PPT 数据也是平铺直叙 ,0,0,0,广东,广州,广东,中国
2,5023328345000776,腿毛是个好东西啊,2024-04-15 07:44:29,梦到老板带我去参加学术会议，但我们几个人全程没参加然后到处去玩，回程路上老板问我这次有什么收获，仔细给他说说，我半天憋不出来后被吓醒 ,0,4,1,中国,,,中国
2,5023323138556119,Cindecoco,2024-04-15 07:23:48,人生第一次大型学术会议，加了无数个人的联系方式，口袋里一堆名片。 co，要变得更强啊 ,0,3,7,美国,,,美国
2,5023323044447224,用户2855180516,2024-04-15 07:23:25,随感/参加学术会议作为东道主你犯困了怎么办？抬起头，眼睛看天花板！ ,0,0,0,北京,,北京,中国
2,5023220182551396,钢铁牛马,2024-04-15 00:34:41,这一年来真的是在焦焦虑虑中干了许多事啊换了新手机，拿了执医证，发了两篇文章，写好了大论文，拿到答辩资格，学会系统健身，还通过心理咨询更好地认识自己。保佑后面俩月的事情也都顺顺利利✧٩(ˊωˋ*)و✧最近参加学术会议还蹭上酒店自助，吃上鹅肝和小青龙。这三年在餐饮上的见识都是科室给的，去年答辩宴上的澳龙刺身也让我久久难以忘怀,0,0,1,湖北,武汉,湖北,中国
3,5023217439998127,锦琳呗,2024-04-15 00:23:46,听了两天学术会议，见到了很多大牛，这辈子难以企及的高度，再次确认我的人生设定就是来世上凑数的。好累，身心俱疲。 ,0,0,2,福建,福州,福建,中国
3,5023211269390843,小羊苏西33,2024-04-14 23:59:16,又是一次快乐的学术会议（✗）蹭吃蹭喝（✓） ,0,2,2,广东,深圳,广东,中国
3,5023205549151124,西安牙齿矫正张军主任,2024-04-14 23:36:32,解决临床痛点满满干货的学术会议 西安·西安交通大学口腔医学院 ,0,0,0,陕西,西安,陕西,中国
3,5023204277486911,Pacobuyaozhaowo,2024-04-14 23:31:29,今天下午开始嗓子疼，刚刚开始头疼打喷嚏！完蛋了！昨天学术会议，不是累感冒就是被传染了啥病毒的样子希望后天上课的时候能好点，这样太要命了啊啊啊 ,0,0,0,广东,广州,广东,中国
3,5023200641814273,Emmm言浪猫,2024-04-14 23:17:02,研究生退学 学术会议被拒麻了再投心里都有阴影了 ,0,0,0,北京,,北京,中国
3,5023199282596037,today干正事了吗,2024-04-14 23:11:38,第一次跑这么远参加学术会议学到了也玩到了，连着三晚去夜市逛吃，领略了南宁的生活气息；夜晚邕江边上载歌载舞，当地人对音乐和生活的热爱尽数体现 南宁 ,0,3,4,广西,南宁,广西,中国
3,5023181917657787,Sandorayaki,2024-04-14 22:02:38,好山好水好无聊的校园再次一游本科生：之前你们可以申请交换来这边时候你为什么不申我：住不了一点与世隔绝的地方，怕来第二个月就想跳海这次终于住上了尊贵的酒店，之前学术会议时候博士生及以下不给入住，因为位置都留给教授了。这次沾本科生来调研的光，免费住上了我宣布我们学校最幸福的助教就是我 香港·香港科技大学-小蜜蜂幼稚园,0,1,1,广东,广州,广东,中国
3,5023159961259203,千堆堆堆,2024-04-14 20:35:23,这几天生病要死掉了 吃了好多好多种药 可能是副作用吧 现在好点了 但是非常非常焦虑不安 感觉是不是浪费了这几天的时间（虽然我本来也不会做些什么） 也可能是👂室友说别的同学导师都给他们投核心投学术会议找项目 而我们组无动于衷有些不安 。 然后就在想 我都想了不读博了，也没有必要参加吧 但是总会看别人而感到焦虑,0,2,0,浙江,杭州,浙江,中国
3,5023155619628782,明天会变得棒,2024-04-14 20:18:08,寻常又不同寻常的周末 本科同学好多来西安参加学术会议，喜相逢！ ,0,0,0,陕西,咸阳,陕西,中国
4,5023151572650201,我很红很幸运,2024-04-14 20:02:03,以我的耍宝性格，不管我的科研进展(发的专利，软著，待投论文)或者这次学术会议拿到的优秀墙报奖，还是之前画的画，做的小摆件，考的语言成绩，任何一丁点小成就，我都得昭告天下，势必让组内每个人都收到通知，往届毕业的师兄，我也得挨个私聊，确保每个人都把我夸了一遍，夸的我通体舒畅才能消停。 ,0,0,0,安徽,合肥,安徽,中国
4,5023117863551060,给你扔曈里,2024-04-14 17:48:05,主线任务：炫茶歇 支线任务：学术会议... ,0,1,4,江苏,南京,江苏,中国
4,5023109969350156,感冒灵超lingling,2024-04-14 17:16:44,第一次去参加学术会议，直接失眠、晕车、无措全叠buff 做的很好，下次这种活动还是谨慎参加 #冒个泡##宝宝的少女心##日常碎片plog# ,0,2,0,江西,南昌,江西,中国
4,5023103463460304,少女八个胃buss,2024-04-14 16:50:53,“这时已不是战前的肃反年代，仅凭无端的猜测是不能定一个人罪的。然而就在这时，我的父亲在东德参加学术会议时叛逃到西德。父亲是一名生物学家，是执着的基因学派，但在当时的苏联，基因学说还处于大逆不道的境地，他的学术观点受到压制，精神上陷入一种深深郁闷，我想这也就是他叛逃的主要原因。他的这个举动给我带来的后果是灾难性的，调查集中到了我身上。我领导的小组中的一些人为了明哲保身，按照纳尔诺夫的授意对我百般诬陷，最终使我的间谍罪名成立，被判处二十年徒刑。 “但纳尔诺夫在技术上却离不了我，就向上面建议，让我服刑期间回基地继续原来的工作。回到基地后，我过着低人一等的生活，没有人身自由，活动范围只能在基地之内，连穿的工作服颜色都同别人不一样。最难受的还是孤独，除了在工作中，没人愿意同我接触，只有组里一位刚分配来的女大学生平等地对待我，给了我许多温暖，后来她成了我的妻子。 “作为一种逃避，我把全部身心都投入到研究中。我对纳尔诺夫的憎恨是难以用语言表达的，但说来奇怪，对他的那套‘化身博士’猜想，除去不相信有人故意破坏外，我还是基本同意的，我真的认为是未知的参数偏离导致了那次试验的成功。这让我心灰意冷，因为如果最后找到了那个或那些偏离的参数，只能使我更难以证明自己的清白，但我在工作中丝毫没有考虑这些，尽了自己最大的努力，期望再次成功地产生球状闪电。 “这以后的研究路线是很明确的：参数的偏离不可能太大，否则在放电时各种监测仪器甚至肉眼都会觉察到，于是试验时应该依次使各个参数在记录值上下进行微小波动，如果考虑到多个参数同时偏离的情况，这是一个庞大的组合，要进行大量的试验。在这个过程中我更加肯定纳尔诺夫是故意陷害我，因为如果他相信是我搞的破坏，自然会想方设法让我说出使哪些参数偏离了，但他一次也没有问过我。而被无休止的繁重试验任务搞得筋疲力尽的其他人则对我充满了憎恨。但这时包括我在内，都相信再次成功产生球状闪电只是时间问题。 “事情的发展再次出乎所有人的意料：当所有可能的参数偏离都试验过之后，仍然没有成功，这倒使我意外地证明了自己的清白。当时正值勃列日涅夫上台，与那个养猪出身的前任相比，他喜欢附庸风雅，对知识界要温和得多。我的案子被重新审理，虽然没有宣判无罪，但还是被提前释放了，并给我提供了一个回莫斯科大学任教的机会。这可是在这偏远基地工作的人渴望的机会，但我留了下来，球状闪电已成为我生活的一部分，我不可能离开它。 “现在要倒霉的是纳尔诺夫了，他要对研究的失败负责了，虽不至于像我那么惨，但他在学术上和政治上的前程算完了。他挣扎了一下，坚持他的‘化身博士’猜想，与以前不同的是认为偏离的参数可能在其他三个系统，于是又开始进行了大量的试验，这个试验计划更加庞大，如果不是被一个意外的发现打断，它不知要进行多久。,0,0,0,福建,龙岩,福建,中国
4,5023098430817495,椰奶青补涼-,2024-04-14 16:30:53,学术会议之时，俺老猪现形之日。学术野猪驾到，通通闪开～噜噜噜噜噜噜 秦皇岛·秦皇岛香格里拉 ,0,4,1,河北,唐山,河北,中国
4,5023090889459625,我要申气啦,2024-04-14 16:00:55,学术会议（猪八戒版🐷 ,0,0,6,江苏,苏州,江苏,中国
4,5023056955443734,雪儿菲菲1018,2024-04-14 13:46:05,原来今天答应去做学术会议服务的，临时通知，可能改由教授带的大学生们服务了！正好可以安排做自己的事情了，好久没上瑜伽🧘🏻♀️课了，约节上午的肩颈瑜伽课，上完回家正好赶上吃午餐。今天课后淋浴间里一位女生哭🉐撕心裂肺的，沐浴前接了一个电话，好像关于学校的什么事，因为她洗澡前说了句“这是什么学校”，听到她这么伤心的哭声，我也挺难受，不是滋味的，但作为陌生人，也不知怎么办，心想哭哭发泄一下也许就好了。谁知她越哭越伤心，我真担心她会出什么事，想不开。收拾瑜伽包离开时忍不住隔着玻璃门对她说：“姑娘，没有过不去的坎，遇到问题好好解决！”人生道路哪有一帆风顺，现在也许你会觉得很难很难，等若干年后再看，轻舟已过万重山，那都不是事！很多事情人生也不是只有唯一的答案，你选择的答案就是正确的答案。希望她的身边能出现贵人，帮她化解，帮她顺利渡过困难🙏！,0,0,0,江苏,扬州,江苏,中国
4,5023055487438795,太阳出来星星就看不到了,2024-04-14 13:40:15,参加学术会议，至少一半人是同胞，连会场主持人都是中国的，我们已经占领世界 ,0,1,1,韩国,,韩国,韩国
4,5023053095113359,用户7825315737,2024-04-14 13:30:44,参加个学术会议，主持人跟婚礼司仪一样上蹿下跳 ,0,0,0,上海,上海,上海,中国
5,5023039416438721,小妖怪咿呀咿儿呦,2024-04-14 12:36:23,学术会议上开小差的废物罢了 宜昌·宜昌均瑶国际酒店 ,0,2,1,湖北,宜昌,湖北,中国
5,5023028209259936,赵没事吹泡泡,2024-04-14 11:51:51,参加学术会议。难以想象有些新闻传播“专家学者”的知识体系之陈旧腐朽、专业水平之低下落后的程度。基本逻辑、基本事实都漏洞百出，甚至压根到不了去讨论其“立场”“倾向”的必要… 杭州·杭州国家版本馆(文润阁) ,0,2,0,浙江,杭州,浙江,中国
5,5023014330302521,zxcvbnm123456654321,2024-04-14 10:56:41,支撑我参加学术会议的唯一动力,0,0,0,陕西,西安,陕西,中国
