页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5011048128056397,A-期刊职称论文专利著作发表,2024-03-12 10:27:17,《轻工标准与质量》3期含因子 国家级 知网  双月刊 第二批学术目录！ 主办：中国轻工业信息中心  中国轻工业质量认证中心 CN:11-2763./TS ISSN:1004-4108 邮发代号：82-927 ,0,0,0,河北,张家口,河北,中国
2,5005677502923898,中国建筑,2024-02-26 14:46:20,#创新建证美好#【西安电子科技大学广州研究院项目交付启用】近日，中国建筑旗下@中建三局 承建的西安电子科技大学广州研究院项目交付启用。项目位于广州市黄埔区，建筑面积约33.58万平方米，建设内容包含校园会议中心、教职工宿舍、学术交流中心、科技信息中心、行政办公用房、研究及创业用房、体育设施、师生教学活动中心等，项目致力将建设成为粤港澳大湾区的国家级国际合作平台。@国资小新 @中国广州发布 @微博央企 @微博政务,2,1,0,北京,北京,北京,中国
2,4994900942130866,职称论文专利课题标书,2024-01-27 21:04:08,《中国医药导刊》国家级知网 河南、陕西、天津、湖南目录，第二批学术目录主管部门：国家药品监督管理局     主办单位：国家食品药品监督管理局信息中心出版周期：月刊ISSN：1009-0959CN：11-4395/R收稿方向:临床医学、管理与实践、临床药学、基础研究、病例分析、合理用药、经验交流、数据挖掘、智慧监管、检验分析、智慧监管专栏、检验检测、基础医学、病历分析、病例报告、管理实践、疾病治疗及质量评价分析、医药信息研究、药物分析,0,0,0,河北,张家口,河北,中国
2,4971642167232305,李小编辑,2023-11-24 16:42:04,财经界      国家级    知网     旬刊主管：国家发展和改革委员会主办：国家信息中心ISSN： 1009-2781CN： 11-4098/F邮发代号：82-5695500-5700字符/3版，不收半版主收经济/思政/社科类文章经济研究、改行业经济、管理纵横、财会探析、工程建设、名校采风、高教研究、教研探索、素质培养、学术论坛等,0,0,0,河北,张家口,河北,中国
2,4969017406915615,大河财立方,2023-11-17 10:52:12,【周民：平台支撑体系是构建数字政府的先导性工程，需把握5个建设方向】11月17日，数字政府发展论坛在郑州中原龙子湖学术交流中心召开，国家信息中心副主任周民作主题演讲。周民指出，平台支撑体系是构建数字政府的先导性工程。在平台支撑体系建设上，需把握5个重点方向，一是强化数据赋能；二是强化云网支撑；三是强化技术融合；四是强化大模型研究；五是筑牢安全防线。（大河财立方记者 郝楠楠 丁洋涛/文 朱哲 李博/摄影）,1,1,1,,郑州,河南,中国
2,4967984462562397,期刊发表_王编辑,2023-11-14 14:27:39,《信息系统工程》  省级   知网    月刊 主办单位：天津市信息中心 ISSN：1001-2362 CN：12-1158/N 邮发代号：82-173 4版7400字符 第一批学术期刊 主要栏目：新闻透视、CIO博客、专家视点、海外来风、系统实践、系统安全、数字地方、经验交流、统计调查、学术研究、高教论坛、CIO宝典等栏目。 ,0,0,0,河北,张家口,河北,中国
2,4967170225997578,电磁波007,2023-11-12 08:32:10,Pubscholar 学术平台 11月1日是中国科学院建院74周年，也是在这一天，PubScholar公益学术平台正式发布。这个全新的公益学术平台由中国科学院文献情报中心、中国科学院计算机网络信息中心、中国科技出版传媒股份有限公司（科学出版社）为主建设。上线首日，访问量即达876万次，11月3日的单日访问量达到2141万次。PubScholar公益学术平台创新了学术资源共建共享模式，是对高质量公益性学术资源旺盛需求的回应。人们期待以此为契机，进一步降低科技文献资源获取成本，让公共财政支持的创新成果真正实现共享。约1.7亿篇可检索资源、约8000万篇免费全文资源 打造学术资源共建共享平台正当其时,0,0,1,北京,,北京,中国
2,4966471874905445,广西大数据发展局,2023-11-10 10:17:10,【自治区信息中心15项成果荣获2023年广西计算机学会成果奖】近日，2023年广西计算机学会学术年会顺利举办，会议期间公布了2023年广西计算机学会成果奖获奖名单，自治区信息中心15项成果获得表彰。网页链接 ,0,0,0,,南宁,广西,中国
2,4963745210304014,kestrel_wangwenjun,2023-11-02 21:42:23,【1.7亿篇科技文献  PubScholar公益学术平台今日向社会开放】       今天（11月1日），由中国科学院文献情报中心、中国科学院计算机网络信息中心、科学出版社等单位联合建设的PubScholar公益学术平台正式对社会公众开放。该平台提供公益性的学术文献服务，为有相关需求的机构、社会公众等提供了内容丰富的学术资源。       PubScholar公益学术平台首期整合集成了中国科学院的科技成果资源、科技出版资源和学术交流资源，内容包含期刊论文、学位论文、预发布论文、专利文献、领域快报、动态快讯、科学数据、图书专著等，目前通过平台可检索的科技文献资源量约1.7亿篇。中国科学院文献情报中心刘细文主任介绍，他们对这些论文做了专业化的分类，提供精准化服务。比如医学领域的学者要去获取医学领域的文献，就可以在医学、卫生这个领域，看到不同年代、不同机构所发表的科技论文。       PubScholar公益学术平台向广大公众提供了公益性学术资源的集成检索功能，查询者可以多途径导航获取全文资源，平台集成了科大讯飞翻译引擎，还可给用户主动推送相关领域的高价值文献。未来，平台的二期建设将继续丰富学术资源，完善服务功能，持续提升精准度，最大限度发挥学术资源的作用。中国科学院文献情报中心刘细文主任介绍，在他们从事科技文献服务的过程当中，发现了一个问题，就是作为科研机构获取科技文献相对来说比较容易，但是公众和企业的科研人员在阅读和获取文献方面还是面临很多的障碍。因此他们开发了这样一个公益学术平台，为全社会提供公益服务。PubScholar公益学术平台访问地址：网页链接——————————————————————————1.7亿篇科技文献 PubScholar公益学术平台今日向社会开放,14,1,16,江苏,南京,江苏,中国
2,4963679361828367,财经网,2023-11-02 17:20:43,#访问骤增PubScholar呼吁合理使用#【#PubScholar可检索1.7亿文献访问骤增#】11月1日，由中国科学院文献情报中心、中国科学院计算机网络信息中心、科学出版社等单位联合建设的PubScholar公益学术平台正式对社会公众开放。11月2日，“PubScholar公益学术平台”项目组在官网发布了一则《PubScholar公益学术平台当前服务情况的说明》：#PubScholar访问骤增# PubScholar公益学术平台在2023年11月1日正式发布以来，得到了社会的高度关注，访问量骤增，当前服务响应缓慢，我们正努力进行服务扩容。项目组呼吁：请大家合理使用平台服务，禁止使用高并发工具访问和下载文献，希望大家共同营造和维护公益学术环境。（澎湃新闻）,17,5,26,,北京,北京,中国
