页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022411179426776,中图网官方微博,2024-04-12 19:00:00,#荐书# 《美国大学写作与研究》#每满100减50 ，满108送五指山印章# 是美国大学的经典写作教材Writing Matters第3版的英文影印版，本书引进自美国知名教育出版社McGraw Hill，是一本百科全书式的学术论文写作指南。全书分为12个部分、61章，分别针对论文写作流程、选题、规划布局、搜集资料、各类文献引用格式、语言风格、语法知识、标点符号等进行讲解。在知识点讲解后，用“专业范文”（Professional Model）及“学生范文”（Student Model）作为实例供参考对比。本书既可作为工具书查阅，也可作为课堂教学和自学教材。,5,1,13,河北,保定,河北,中国
2,5022373729798281,北京民俗博物馆,2024-04-12 16:31:11,《北京民俗论丛》第十二辑征稿启事《北京民俗论丛》（以下简称《论丛》）是@北京民俗博物馆 主办的社会科学综合性学术年刊，由中国社会科学出版社出版，面向国内外公开发行。《论丛》开设栏目丰富，主要栏目设有 “各地民俗研究” “非遗文化研究”“文物文献研究”“博物馆理论与实践”“节俗专题研究”等。2025年度《论丛》第十二辑现诚向各界专家学者、博物馆同行征集稿件。有关事宜启事如下：一、来稿须为作者本人原创，且未公开发表，稿件内容要求文字精炼、层次清晰、观点鲜明。来稿确保不涉及保密，署名无争议，因文字、引注、图片等引发的观点或版权问题，皆由作者本人承担。二、本刊只接受word版电子文本。文稿须包括题目、提要（100～300字）、关键词（3～5个）、正文及作者简介（姓名、工作单位、职称、通信地址、邮政编码、联系电话、电子信箱，务必准确）。三、来稿一般以8000字左右为宜。编辑部有权酌情删改来稿，如不同意请予说明。四、文中数字请遵照中华人民共和国国家标准GB/T15835—2011《出版物上数字用法》的相关规定，凡公元纪年、年代、年、月、日、时刻、各种记数与计量等均采用阿拉伯数字；夏历、清代及其以前纪年、星期几、数字作为语素构成的定型词、词组、惯用语、缩略语以及临近两数字并列连用的概略语等采用汉字数字。五、文中注释是对文章某一特定内容的解释或说明，其序号为①②③……，注释以脚注形式标于正文页面下方，需注明作者、书（或文章）名、出版单位（或期刊名）、出版年份（或第*期）、页码。（请遵循中华人民共和国国家标准GB/T 7714—2015《信息与文献——参考文献著录规则》）。六、获得国家基金资助和省部级科研项目的文章请注明基金项目名称及编号，按项目证明文字材料标注清楚。七、来稿请勿一稿多投。本刊处理稿件自投稿日起以6个月为限，逾期如未接到采用通知，请自行处理。稿件概不退还，烦请自留底稿。八、本刊已被中国知网、国家哲学社会科学文献中心（含国家哲学社会科学学术期刊数据库）全文收录；作者文章有可能会以图书、期刊、电子出版物、信息网络传播等方式出版发行。如作者不同意文章被收录入该数据库或以其他形式出版发行，请在来稿时向本刊声明。九、2025年度《论丛》（第十二辑）征稿截止日期为2024年12月15日，出版时间为2025年。十、稿件一经刊发即酌致稿酬，所付稿酬包括本文第八条的报酬。通信地址：北京市朝阳区朝外大街141号北京民俗博物馆《北京民俗论丛》编辑部。邮政编码：100020编辑部联系电话：010-65514148转817投稿邮箱：bjmslc@126.com,1,3,3,,北京,北京,中国
2,5022297110872438,书肆巡阅使,2024-04-12 11:26:44,"#港台書訊# 【关注+转评赞】《台灣社會運動史》（1-5）01.台灣社會運動史Ⅰ文化運動（1913-1936）林書揚等編輯 , 王乃信等翻譯 / 海峽學術出版社02.臺灣社會運動史Ⅱ政治運動(1913-1936)林書揚等編輯 , 王乃信等翻譯 / 海峽學術出版社 / 200603.台灣社會運動史Ⅲ共產主義運動（1913-1936）林書揚等編輯 , 王乃信等翻譯 / 海峽學術出版社 / 200604.台灣社會運動史Ⅳ無政府主義運動（1913-1936）林書揚等編輯 , 王乃信等翻譯 / 海峽學術出版社05.台灣社會運動史Ⅴ勞動運動、右翼運動（1913-1936）王乃信等翻譯 、林書揚等編輯 / 海峽學術出版社 / 2006",22,12,25,浙江,金华,浙江,中国
2,5022365883303966,尓湾阅读,2024-04-12 16:00:00,"【西部城市土地利用绩效分析及优化对策研究——以钦州市为例】研究区域土地利用绩效是提高其可持续发展的有效手段，本文采用TOPSIS法、极差标准化法和障碍度模型，分析钦州市土地利用绩效。通过相关模型评价2013至2022年钦州市土地利用绩效和识别诊断障碍因子，发现钦州市城市土地利用结构不合理、土地利用经济效益低等问题，土地利用综合绩效整体波动下降。因此，钦州市应要加强土地优化配置与土地利用科技投入，加快调整用地结构，探索土地利用经济、社会、生态和公平绩效的协同发展。#毕业论文# #论文投稿咨询# #学术论文# #期刊论文#  #论文写作# #汉斯出版社#黄毓, 罗苑菲. 西部城市土地利用绩效分析及优化对策研究——以钦州市为例[J]. 社会科学前沿, 2024, 13(4): 15-25. 网页链接论文投稿咨询移步汉斯出版社公众号联系小编",1,0,1,湖北,武汉,湖北,中国
2,5022077218719681,陈利-多伦多大学,2024-04-11 20:52:57,第11期云里国际学术前沿讲座。由加拿大麦吉尔大学讲师蒲德文(David Porter)博士将于美东时间5月4日晚9-11点（北京时间5月5日早9-11点）给听众朋友分享他刚由哥伦比亚大学出版社的新英文专著《皇帝之奴：清代八旗的奉公、特权与身份》。我们也很高兴邀请到中国人民大学的胡祥雨教授和昆山杜克大学林蕾教授作为本次讲座的评议人。我主持本次讲座。本次活动由云里公号和昆山杜克大学合作举办。感谢林蕾教授组织本次活动。也感谢她与胡祥雨教授参与评议！@林蕾Lei  @张泰苏 @歷史阿牛 云里学术前沿讲座#11，麦吉尔大学蒲德文(David Porter)谈新书《皇帝之奴》,9,1,9,加拿大,,加拿大,加拿大
2,5021984197182135,经典教材,2024-04-11 14:43:18,@西北大学出版社  西北大学出版社社长马来推荐“思想学术与历史文化”书单　　西北大学出版社社长马来推荐“思想学术与历史文化”书单，本书单包含13种图书，分别是：《探究（一）》《探究（二）》《连线大脑里的黑格尔》《怎么办？》《黑格尔或斯宾诺莎》《古典拉丁语语音》《古典希腊语语音》《重音与节奏：拉丁语和希腊语的韵律特点》《梁启超与近代中国自由主义》《出入龙门：晋陕黄河右岸的历史与人文（增订本）》《陟彼山河：晋陕黄河左岸的历史与人文》《石头的记述：寻访史前岩画随笔》《观念的叙述：考古学的认知与散记》，以飨读者。网页链接,0,0,7,北京,北京,北京,中国
2,5021944925914923,节奏刀,2024-04-11 12:07:16,12345就能修理住建部的学术期刊 @城市空间 ，不知各地是否都有。叫他们就知道吃版面费。为什么国家正规期刊也如此无赖？？说什么他们不是出版社，那期刊社就可以如此违反知识产权法规盗发不给样刊稿费吗？？到处都是草台班子各种混蛋 #北邮为郑某所指导学生调换导师# ,0,0,0,北京,,北京,中国
2,5021733361549387,一只小贝y,2024-04-10 22:06:34,案例分享day31 第七周 4.10 周三《三重阶：当代中国手工艺学术提名展作品》山东美术出版社书籍设计：韩湛宁 亚洲铜设计顾问设计亮点：本书的设计采用了三个颜色，分别表述“遗所思” “忽如寄”“道无因”的三个工艺追问，以此来表达书的主题。同时，三种不同颜色基调的文字让版面分类层次变得清晰，繁复的文本与图像交错，与画面吻合；图像的灵动分布与局部扩张的页面，一张一弛，富有律动感。整体版面设计简约而细部不失三重阶抽象符号的精心考量，最后还做了视觉化的图表索引，阅读后对全书信息一目了然，是一份用心的设计。,0,0,0,上海,上海,上海,中国
2,5021220838049885,牛津大学出版社学术出版-北京,2024-04-09 12:10:00,#牛津在线资源# 【在众多学者的强烈呼吁下，Oxford Scholarship Online (OSO) Archive 将牛津大学出版社在1990-2009年间出版的7500多本图书进行了数字化，覆盖艺术与人文、法律、医学与健康、科学与数学以及社会与行为科学这5大学科，欢迎您访问牛津学术官网阅读网页链接！】💡书籍推荐：📘Antigone网页链接📘Bad Business: Professional Crime in Modern Britain 网页链接📘Fear网页链接📘Females Are Mosaics网页链接📘Mating and Marriage网页链接如果无法访问，可以推荐给您的图书馆免费试用或购买哦网页链接！ （图片源于牛津大学出版社，经由Canva国际版编辑）,64,9,81,北京,北京,北京,中国
2,5021666594001034,书肆巡阅使,2024-04-10 17:41:17,《至正条格笺注》王阳  笺注 出版社：安徽大学出版社出版时间：2023年10月定价：90.00元 ISBN：978-7-5664-2669-7内容简介本书系2020年国家社科基金后期资助项目。《至正条格》是元代的一部具有重要学术价值的法典，但元刻本《至正条格》存在讹、脱、衍、倒等方面的问题。本书以元刻《至正条格》庆州残本为底本，参以同时期的同类文献（如《元典章》《通制条格》等），运用语言学、文字学、文献学等学科的相关知识和方法，对《至正条格》进行全面整理点校，进而对该书中的疑难文字、词汇和特殊语法现象等进行精当注释，以此还原《至正条格》的原貌，为学界提供一个便于阅读和研究的精当整理本。    整理者简介王阳，语言学博士，商丘师范学院副教授，主要研究方向为汉语史。在《浙江师范大学学报》《古籍整理研究学刊》等期刊发表学术论文30余篇。主持国家社科基金后期资助项目“《至正条格》笺注”。,5,1,3,浙江,金华,浙江,中国
3,5021658633209913,叮当小编,2024-04-10 17:09:39,《书法赏评》创刊于1987年，由黑龙江出版传媒股份有限公司主管、黑龙江美术出版社有限公司主办，是国内外发行的书法专业性杂志。以学术研究为主旨，为书法专业工作者及书法爱好者服务。宗旨为:继承和繁荣我国的书法艺术事业，丰富人们的生活，为培养人才、发现人才而努力。主要栏目:研究生天地、理论研究、鉴赏评析、书法教育、书画同源、书印沙龙。#论文投稿#,0,2,0,四川,德阳,四川,中国
3,5021639351992998,论文发表马编辑,2024-04-10 15:53:02,《数字通信世界》国家级知网万方维普第二批学术刊主管单位：信息产业部主办单位：电子工业出版社ISSN：1672-7274CN：11-5154/TN周期：月刊《数字通信世界》的读者对象：工业和信息化部、广播电视系统、航空航天系统、国防军工系统各级管理部门的主管及技术人员；海洋、交通、公安、石油、电力、煤炭、水利等专网用户；通信运营商，设备制造商、设备供应商、系统集成商，网络服务商及使用部门；卫星通信、导航定位、对地观测等设备商、运营商；广播、电视企业和全国各地市县级广播电视局、台、站等相关机构及运营商；科研机构、研发部门、专业院校的专家学者及广大工程技术人员和师生。,0,0,0,河北,张家口,河北,中国
3,5021571309109642,重庆嘉米商贸,2024-04-10 11:22:39,聚焦“三新”改革 推动教育发展2024高中语文新教材教学研讨及课例展示专题会暨重庆市巴蜀中学校第十二届学术年会开幕式主办单位人民教育出版社 重庆市教育科学研究院 重庆出版集团有限公司 重庆新华书店集团公司承办单位重庆市巴蜀中学校 人民教育出版社科文中心 重庆出版社教育分社协办单位重庆出版集团图书发行有限公司重庆至弘文化传媒有限公司青春飞扬的校园🏃♀️➡️🏃➡️ 重庆·巴蜀中学,0,0,0,重庆,,重庆,中国
3,5021491915129575,熊越TylertheAustrian,2024-04-10 06:07:10,“追求真理，不要追求发表在哪里”是一种非常似是而非的说法。《通往奴役之路》的确是一本面向大众的书，但它也是权威学术出版社劳特里奇出版社出版的。哈耶克的大部分论文都发在Economica、America Economic Review这些当时的顶级刊物上。《人的行动》是耶鲁大学出版社出版的。米塞斯在欧洲的时候论文发在韦伯主编的欧洲整个社会科学的最顶级刊物上。他们都不是随便编个东西发在自己的公众号上。,7,3,19,上海,上海,上海,中国
3,5021373628153970,无语的雨人,2024-04-09 22:17:07,无意中，看完李济先生的“安阳”。书，挑选自商务印书馆“中华现代学术名著丛书”，去年去过一次安阳。无意，是孤陋寡闻，之前并不知道李济的鼎鼎大名。微信读书上的“安阳”，是外语教学与研究出版社双语版本。起初，以为是中文写作，翻译英文对照。中间，有些疑惑，书的布局怎么先是英文，然后是中文；而个别文字显然是面向英文读者的解释。后得知，此书是作者用英语写作，为其一生最后的著作。“安阳”一书非常流畅，说是科普著作，但非常显功底，从甲骨文背景、涉及人物，到殷墟挖掘，及最后分专题分析，尽是大家风范，专业、文字均为一流，化繁为简的功夫尤其了得。完全符合“大师”定义：通俗易懂，讲清楚复杂问题。,0,0,4,上海,,上海,中国
3,5021296918528865,书肆巡阅使,2024-04-09 17:12:19,#好书推荐# 《马鸣丝路蹄声远：唐五代马匹贸易研究》作者: 丁君涛出版社: 九州出版社出版年: 2021-3页数: 228定价: 58ISBN: 9787510894275内容简介 本书主要由六个部分组成：部分为本文的导论，进行了学术研究综述和探讨选题意义及研究架构等。第二部至第六部分分别论述了唐五代时期官私养马业的发展状况、政府对于马匹贸易的管理政策、官方和民间的马匹贸易发展状况、马匹贸易的演变及影响等。本书对唐五代马匹贸易研究有助于我们具体理解唐五代时期丝绸之路的经济贸易情况，这一项选题目前较少有人研究，本书填不了这一空白，该研究对于我们今天的 一带一路 建设有着重要的借鉴意义。目录  第一章 导论第一节 选题背景第二节 选题意义一、影响唐五代马匹贸易发展的因素二、问题的提出第三节 文献综述与研究架构一、文献综述二、本研究对唐五代马匹贸易史论述的架构三、创新尝试与不足之处第二章 唐五代的马政及养马业第一节 唐五代的马政一、唐五代的马政机构二、晚唐监牧的南迁三、唐代政府对民间养马业的管理第二节 唐五代的养马业一、唐前期对于官营养马业的投入及成就二、晚唐五代时期的官营养马业三、唐前期民间养马业的发展四、晚唐五代时期民间养马业的衰落第三章 唐五代马匹贸易的管理第一节 官方互市一、官方互市的机构和职责二、政府对互市的管理第二节 朝贡贸易一、朝贡贸易的机构和职责二、聘赐贸易及朝贡贸易的变化第三节 民间马匹贸易的管理一、政府对于民间越境贸易的限制二、民族间贸易的发展第四章 唐五代官方马匹贸易第一节 中原与回鹘的马匹贸易一、唐与回鹘的朝贡贸易二、唐与回鹘的互市贸易三、五代时期中原与回鹘的马匹贸易第二节 中原与突厥、吐蕃、吐谷浑的马匹贸易一、唐与突厥的朝贡贸易二、唐与突厥的互市贸易三、中原王朝与吐蕃及吐谷浑的马匹贸易第三节 中原与契丹、奚、党项的马匹贸易一、中原王朝与契丹及奚的马匹贸易二、中原王朝与党项的马匹贸易第四节 中原王朝与西域多国及私人的马匹贸易一、中原王朝与西域多国的马匹贸易二、官私马匹贸易第五节 官方马匹贸易的价格一、唐代官方马匹贸易价格二、五代时期的官方马匹贸易价格第五章 唐五代丝路沿线的民间马匹贸易第一节 丝路民间马匹贸易一、唐代丝路沿线的民间马匹贸易二、五代时期丝路沿线的民间马匹贸易第二节 民间市场上的马匹价格一、唐代丝路沿线的马匹价格二、五代时期丝路沿线的马匹价格第六章 唐五代马匹贸易的演变第一节 唐五代马匹贸易的演变一、茶马贸易的逐渐兴起二、马匹贸易的羁縻色彩逐渐淡化三、马匹贸易的管控日益严格第二节 唐五代马匹贸易发生演变的原因一、晚唐五代的财政压力二、军事上垄断马匹贸易的需要第七章 唐五代马匹贸易的影响第一节 对中原地区其他行业的影响一、交通运输业二、丝织业和制革业第二节 唐五代马匹贸易演变的影响一、促进了茶叶经济的发展二、推动新商路的开拓和兴盛三、政府垄断对商贸的限制第三节 对少数民族地区的影响一、中原货币畅行西北二、对于回鹘政治和经济的影响三、改变西域经济结构第四节 对沿线城市的影响一、商路的兴盛二、沿线城镇的发展结语一、唐五代马匹贸易的特点二、唐五代马匹贸易的历史价值三、唐五代马匹贸易对“一带一路”建设的借鉴意义参考文献,9,2,2,浙江,金华,浙江,中国
3,5021268586005811,经典教材,2024-04-09 15:19:44,@南京大学出版社  南京大学出版社推荐《外国文学研究散论》　　《外国文学研究散论》精选了聂珍钊教授自20世纪80年代以来在外国文学研究方面发表的专题论文、学术访谈、图书评论及著作序言等，从中可以了解这位知名学者在外国文学研究领域耕耘的历史脉络及其学术特色，特别是其对文学研究中跨学科研究的关注、文学伦理学批评理论的创见，为文学研究界提供了重要参考与启示。网页链接,0,0,7,北京,北京,北京,中国
3,5021247644109488,检索宝,2024-04-09 13:56:31,发布了头条文章：《创造新纪录！原Hindawi出版社撤稿超过1万篇文章，中国学者贡献9814篇》 #期刊# #学术# #热点#  创造新纪录！原Hindawi出版社撤稿超过1万篇文章，中国学者贡献9814篇 ,0,0,0,河南,郑州,河南,中国
3,5021221097573842,燕乌曲,2024-04-09 12:11:02,不想看国内的，但看国外的又好痛苦，不管是哪家出版社，哪个出版公司，又不论是已经有多本译作的（甚至是那种退休年纪的），还是一看就像是为爱发电的新手，他们的译文读起来都有好痛苦，句子不通顺，上下句逻辑性有问题，都不知道是译者自己的问题还是编辑的问题。娱乐性质的小说都这样，是不是学术资料就更糟糕了,0,0,0,上海,上海,上海,中国
3,5020982823618517,陈先枢,2024-04-08 20:24:13,《绘长沙 · 五一广场》由同济大学出版社出版，王蔚等著，陈先枢为学术指导之一，并为其部分撰文和供图 ,4,7,45,湖南,长沙,湖南,中国
4,5020954568954950,广西师大出版社新民说,2024-04-08 18:31:57,#招聘公告# 新民说深圳编辑室2024年春季招聘，期待你的加入➡️关于我们广西师范大学出版社旗下人文分社图书出版品牌新民说，2013年昉始桂林，2016年扎根深圳。我们坚守人文、学术和思想，同时关切历史与当下、中心与边缘，力图以新锐、优雅的姿态为大众图书市场贡献更多有质感的出版物。我们正不断成长为以内容生产为中心，以沙龙、新媒体、读者服务、周边文创为外延的创意型全媒体出版平台。出版的图书常年荣登各媒体/机构评选的年度十大好书，并曾获坡州图书奖、“中国好书”等重磅奖项。重要出版物包括鲍勃·迪伦系列、“吴钩说宋”系列、塞巴尔德系列、《枢纽》《中文打字机》《韦伯传》《动物寻古》等。这里是一个友善、稳定的团队，鼓励新点子和新发现，希望更多有志于出版行业的朋友加入我们！➡️我们提供1.五险一金+国家法定假日+带薪年假+春节额外休假2.8小时工作制+无加班文化+无办公室政治3.职业培训+友善的同事➡️我们需要营销编辑（1名）人文社科类图书编辑（1名）详情请见图片➡️联系我们对于以上岗位，能力强者，可适当放宽学历要求。工作地点为深圳市福田区联合广场简历请投：xinminshuo@bbtpress.com投图书编辑岗请额外提供：能代表个人水平的原创或翻译作品1—3篇，体裁、篇幅不限。,5,0,9,广西,桂林,广西,中国
4,5021015598171179,双清科研喵,2024-04-08 22:34:27,征稿启事：双清学术出版社专注学术期刊出版，出版的学术期刊领域涉及自然科学、社会科学、工程与技术、生命科学与医学领域。当前，双清学术出版社已正常运营期刊70多本，包括中文、英文期刊，其中，约有30%的期刊具有中英文两个版本。双清学术出版社的期刊涉及研究包括：经济、金融、心理学、计算机、人工智能、化学、物理、数学、临床医学、中医、教育、文化、艺术、管理、社会计算等领域研究。投稿方式有两种：第一种是邮件投稿：发送到paper@qingpress.com邮箱即可；第二种是：作者登录双清学术出版社官方网站，点击网站上方的“投稿”按钮直接投稿。所有稿件可以在线跟踪审稿、发表全程进度状况。审稿期一般7-14天。#期刊##论文##发表论文##发表论文#,3,3,3,北京,,北京,中国
4,5020945909289708,道教与神话,2024-04-08 17:57:32,《回到神话本身的神话学》作者: 吕微出版社: 中国社会科学出版社副标题: 神话学的民俗学现象学—先验论革命出版年: 2023-3本书是一部用现象学直观与先验论演绎的还原方法，研究神话理论兼及神话学逻辑史的学术专著。本书的讨论始于对神话学理论的经典概念所规定的神话现象的经验性直观。通过神话概念在理论使用中凸显的叙事对象—题材内容规定性与信仰意向—体裁形式规定性的二论背反，指出神话概念的内部矛盾起源于传统神话学对神话实践的理论遮蔽。通过直观神话信仰意向形式在文化叙事制度实践中的观念功能，进而分析地还原文化性叙事表演实践的交往意向形式，演绎出文化表演的责任理念，并通过对责任理念意向形式的进一步分析还原，最终演绎出人在道德上应然的理性信仰意向形式和意向对象的双向结构，即人的纯粹理性和任意对纯粹理性情感神圣意志的反思性敬重，以及纯粹理性情感神圣意志对人的纯粹理性和任意的规定性立法，而这也就是人应然的神话（信仰—叙事）性本体存在方式。以此，神话不仅仅是历史现象，而首先在逻辑上是人应然的本原（道德神圣）性、本真（超验真实）性存在。作为本体条件，神话应然地存在于人的任何生活—实践（不仅仅是神话）现象的普遍意向形式当中。,9,2,19,四川,成都,四川,中国
4,5020604703705835,书肆巡阅使,2024-04-07 19:21:42,#新书推送# @中国人民大学出版社 《佛罗伦萨的文艺复兴人：从但丁到伽利略》作者：〔英〕保罗·斯特拉森译者：孙超群出版社：中国人民大学出版社出品方：学术守望者出版时间：2024年4月定价：98.00元丛书：守望者·世界史ISBN：978-7-300-32504-0内容简介从1265年但丁诞生到1642年伽利略去世，在近四百年的时间里，西方文明经历了一次重要蜕变。在表象上，绘画、雕塑、建筑都发生了引人注目的进步：在更深层次，人文主义思想的诞生、自我概念的觉醒则为蜕变提供了非常原始的动力。中世纪蒙昧的浓雾逐渐散去，古典时期的知识被重新重视，科学技术空前发展，而驱散浓雾的火种就来自意大利中部的佛罗伦萨。从《神曲》到《十日谈》，从西斯廷教堂天顶壁画到日心说，这座城市为文艺复兴做出了巨大贡献。本书将带领读者经历一场跨越四个世纪的旅行，去探寻，为什么文艺复兴会源于佛罗伦萨？这里的人们在文艺复兴中扮演了怎样独特的角色？这次蜕变为西方文明烙下了怎样的印记？作者简介保罗·斯特拉森（Paul Strathern），英国作家、历史学者。他于1940年出生在伦敦，毕业于都柏林三一学院。著有畅销书《美第奇家族》、《拿破仑在埃及》和《艺术家、哲学家和战士》，作品曾获毛姆奖。译者简介孙超群，硕士毕业于意大利比萨大学。欧洲历史文化爱好者。从事意大利语及英语翻译工作多年，已出版翻译作品十余本，包括《亚平宁的韧性：意大利饮食史》《爸爸，然后呢？》《一个乐观主义者在美国：1959—1960》《发现儿童的秘密：玛丽亚·蒙台梭利传》等。目录序言第一章  但丁与佛罗伦萨第二章  财富、自由与人才第三章  乱世中的清醒头脑第四章  薄伽丘与彼特拉克第五章  战争与和平第六章  圆顶第七章  精通数学的艺术家们第八章  付账单的人第九章  文艺复兴展开双翼第十章  美第奇崛起第十一章  美第奇艺术家第十二章  “伟大的洛伦佐”第十三章  莱奥纳多·达·芬奇第十四章  根基动摇第十五章  暗流汹涌第十六章  焚烧虚荣的圣火第十七章  马基雅维利第十八章  米开朗琪罗第十九章  伽利略尾声参考文献及拓展阅读美第奇家族图谱致谢,3,1,6,浙江,金华,浙江,中国
4,5020452960865194,合著社-哈罗学姐,2024-04-07 09:18:44,国外出版的书籍，尤其是学术专著，有很多用途，而用途的实现，离不开考核和佐证。比如评职称认可国外学术专著，参评人可以提供图书馆等权威平台的检索页面，也可以提供国外出版社的出版证明，具体要看职称单位的要求提供的书面材料。出版 职称  在新加坡出版的书籍如何查询？ ,0,0,0,四川,成都,四川,中国
4,5020177341876674,塵外居,2024-04-06 15:03:31,杜家骥老师学术成果（不含论文）一、独撰、第一作者1、《中国古代人际交往礼俗》，商务印书馆国际有限公司1996年，台湾商务印书馆股份有限公司1998年。2、《清朝简史》，福建人民出版社1997年。3、《清皇族与国政关系研究》，五南图书出版公司1998年。4、《清朝满蒙联姻研究》，人民出版社2003年，故宫出版社2013年。5、《皇太极事典》，远流出版事业股份有限公司2005年，紫禁城出版社2010年。6、《嘉庆事典》，远流出版事业股份有限公司2006年，紫禁城出版社2010年。7、《八旗与清朝政治论稿》，人民出版社2008年。8、《杜家骥讲清代制度》，天津古籍出版社2014年。9、《清代八旗官制与行政》，中国社会科学出版社2015年。10、《多面的中国古代史与清史》，中华书局2022年。11、《清朝皇族与国政关系》，天津古籍出版社2023年。12、《清朝制度及其史事探实》，河北教育出版社2024年。二、主编、第二编著者、第二作者1、《清嘉庆朝刑科题本社会史料辑刊》，天津古籍出版社2008年。2、《清代社会基层关系研究》，岳麓书社2017年。3、《清史研究概说》（第二编著者），天津教育出版社1991年。4、《中国古代官僚政治》（第二作者），书目文献出版社1993年，中华书局2015年。,31,1,18,吉林,长春,吉林,中国
