页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5021707566318883,这杀手不太凉,2024-04-10 20:24:05,🎶✨ 重磅消息！ Scopus新增一区权威刊物《音乐教育》啦！🎉📚 该刊物专注于音乐教育的科学研究、教学应用及深度应用研究，为广大音乐教育领域的同学和老师提供了一个展示学术成果、交流教学心得的绝佳平台。🎵💡 无论你是正在探索音乐教育的新理念，还是已经在教学实践中积累了丰富经验，都欢迎你来投稿，与我们一同分享你的智慧与见解！📝🎵 音乐教育方向的小伙伴们，快来咨询吧！#期刊发表#,0,0,0,江苏,南京,江苏,中国
2,5021632355893653,一品论文吴迪迪,2024-04-10 15:25:14,"社内刊物推荐：《智慧健*》国家级知网、万方收录，中国医师协会期刊，第二批学术目录，25年4-5月版面！《电子元器件与**技术》国家级纸质月刊，知网、万方收录，现收24年4-5月！《汽车零*件》国家级知网、万方收录，第一批学术目录期刊，现收24年4-5月版面！《首席财*官》国家级万方收录F刊号，纸质半月刊，经济专刊，25年3-4月版面《新金融*界》国家级万方收录F刊号，纸质月刊，经济专刊，25年2-3月版面《消费*刊》国家级万方收录，纸质刊，主收经济相关文章，23年7月版面,出刊上网快！《IT经理*界》国家级万方收录，收计算机、大数据、管理经营方向，安排24年4-5月版面！《问答与*学》教育部主管，国家级万方收录，收全科教育教学文章，24年刊期价格实惠（可全包）！《中国多媒体与**教学学报》下旬刊，教育部主管，国家级知网收录，收中小学教育教学文章，25年1月版面！#期刊#",0,0,0,江西,南昌,江西,中国
2,5021566868652435,中图网官方微博,2024-04-10 11:05:00,#淘书团#大型工具书《20世纪中国学术大典：哲学》，大16开精装，中国当代哲学家汝信、学者陈筠泉主编，介绍了百年来中国哲学方面的研究成果。全书内容丰富，体系完备，囊括了学科研究、专题研究、学术事件、学术人物、学术名著名篇、学术刊物、学术机构团体等多元条目，以哲学学科体系为参照系编排，让读者一览20世界中国哲学研究的全貌。,2,2,13,河北,保定,河北,中国
2,5021491915129575,熊越TylertheAustrian,2024-04-10 06:07:10,“追求真理，不要追求发表在哪里”是一种非常似是而非的说法。《通往奴役之路》的确是一本面向大众的书，但它也是权威学术出版社劳特里奇出版社出版的。哈耶克的大部分论文都发在Economica、America Economic Review这些当时的顶级刊物上。《人的行动》是耶鲁大学出版社出版的。米塞斯在欧洲的时候论文发在韦伯主编的欧洲整个社会科学的最顶级刊物上。他们都不是随便编个东西发在自己的公众号上。,7,3,19,上海,上海,上海,中国
2,5021226365616496,1只猫耳朵一,2024-04-09 12:31:57,"什么期刊发表论文有影响力？表发论文是很多科研工作者都会经历的事情，发表一篇Sci论文是一种莫大的荣誉。我们经常会看到有一些工作者发表了Sci论文，在学术界得到了较高的认可，那么什么期刊发表论文有影响力呢?国内外有不少关于影响力很高的刊物，例如国内核心期刊以及国外sci期刊等，而且sci期刊是学术界公认得高的一类。同时也方便了国内外科研工作者的交流。可以说是非常有影响力的一类期刊，除此之外，一本有影响力的期刊还包括以下期刊。国外影响力比较大的期刊主要包括：SCI、EI和ISTP,俗称国际三大检索。SCI推出后成为国内判断一个学者学术水平的一个标准，一些大学或科研所，引进高层次人才的时候常要求在SCI几区几区发过几篇文章才行。国内方面如果期刊被CSCD、中文核心期刊目录、CSSCI，那么就可以认为期刊在它所属的领域是较为优秀的期刊。是根据期刊影响因子等诸多因素所划分的期刊。中文核心期刊是北京大学图书馆联合众多学术界权威专家鉴定，受到了学术界的广泛认同。总之，什么期刊发表论文有影响力，汇总一下，就是专业性强、级别高、影响因子高的期刊影响力更大，这类期刊论文被收录后可以带来较高的学术优势，在学术界具有较高的影响力。#学术期刊论文发表##知识早点#",0,0,0,陕西,西安,陕西,中国
2,5021189166075962,用户7904913098,2024-04-09 10:04:09,超级水刊，几乎不退稿||大家好，今天推荐一本《西北农林科技大学学报（社会科学版）》创刊于2001年，是由中华人民共和国教育部主管、西北农林科技大学主办的学术刊物。69据2019年2月《西北农林科技大学学报（社会科学版）》官网显示，《西北农林科技大学学报（社会科学版）》第三届编委会共有顾问6人、校外编委3人、校内编委31人，编辑3人。②据2019年2月23日中国知网显示，《西北农林科技大学学报（社会科学版）》出版文献共3124篇，总被下载1092651次、总被引 28635次，（2018版）复合影响因子为2.087、（2018版）综合影响因子为1.260［4］。据2019年2月23日万方数据知识服务平台显示，《西北农林科技大学学报（社会科学版）》载文量为3021篇、基金论文量为1442篇，被引量为17608、下载量为105434，2015年影响因子为1.27。国际期刊：1009-9107国内期刊：61-1376/C出版周期：双月刊心类别：教育与社会科学综合C属性：中文核心期刊、CSSCI#论文发表[话题]##期刊发表[话题]##期刊发表论文发表[话题]##核心期刊[话题]##核心期刊发表[话题]#,0,0,0,山东,烟台,山东,中国
2,5020913034332026,杂志社--马老师,2024-04-08 15:46:54,学术期刊论文发表档案专刊  年内版面有限，有稿速投：  《兰台内外》省级，知网收录，第二批学术目录刊物  84页，3版5600字符起发，收档案，图书馆，非遗文化等，24年8-12月刊期 （现代数字阅读推广 、 图书情报文献分析、文史天地、地方志研究、非遗稿件 和档案稿件价位不一样） 征稿要求： 1.图书馆教育内容不收，只收图书馆自身建设和图书阅读、图书文献分析等内容稿件。 2.吉林省，中小学单位和内容不收。 3.特色栏目只收非物质文化遗产文献内容稿件，党史和国家政治历史不收。,0,0,0,河北,石家庄,河北,中国
2,5020891199310404,嗷嗷里给11,2024-04-08 14:20:08,SCI全称Science Citation Index，翻译成中文的意思就是科学引文索引。SCI可以说是当今世界上最重要的几个检索性刊物之一。一般搞学术的人都知道，如果可以发表一篇SCI，这对你的职业发展是多么的重要。一、发表一篇SCI意味着保研几率大增如果你非常优秀，可以在大学期间，发表1篇SCI论文，这对你保送研究生帮助是非常大的，分区越高，加分越多。但是，发表 Sci并不意味着你一定可以成功哦!同时也要看你的学分绩点、专业课的成绩单、在班级和学院的排名等。本科发表SCI对保研的好处还需要看具体的院校情况，每个学校保研都是有名额的，但是在同等条件下，发表SCI的本科生，容易优先获得保研名额;另一方面，保研的学生，往往还是要进行面试，有含金量高的SCI，获得的认可度也会比较高，通过面试非常容易。总之，本科发表SCI对保研有好处，同时也要注意保研的其他要求。另外，发表SCI对本科生来说是一个很好的机会，而且SCI期刊的水准越高，对本科生的好处也会越多。二、发表一篇SCI意味着可以快速晋升职称三、发表一篇SCI意味着你有能力从事科研事业所以说，如果可以发表一篇SCI论文，有着莫大的好处，对学业、事业，还有你的能力都是好处多多#scopus# ，#sci# ，马来西亚留学,0,0,0,江苏,南京,江苏,中国
2,5020487671350776,皇帝不称朕,2024-04-07 11:36:40,与编辑的对话……现在学术刊物动辄发两万字以上的“大稿”，说实话，一篇论文写成中篇小说的规模，真的有必要吗？就那么一个论题，读者需要花那么长的时间来读，对于读者来说是不是没意义的时间和耐心的消耗？编辑部有必要调查一下，有多少读者是读完了的？ 也有人说，稿子越来越长，跟选题越来越宏大也有关系，那么，如此“宏大”的论题，为什么不写书，非要一篇文章写完它？一篇文章搞定的，这“宏大”是否有点大而不当？,11,10,23,湖北,宜昌,湖北,中国
2,5020454622856622,用户7911757654,2024-04-07 09:25:20,正规的学术期刊，都有对应的刊物级别，从高到低常见的是A级 B级C级和D级，他们也是大家俗称的四大类期刊。Scopus期刊被划分在B级刊物中，等于Scopus收录的刊物等级是B级。B级刊物在我国学术评价中，比如评职称，有着很高的认可度。#学术期刊##学术期刊论文发表# ,0,1,0,江苏,南京,江苏,中国
