页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023232711460420,春夏秋冬的熊,2024-04-15 01:24:28,笑死了，找文献，下载量第一的是张明楷的实质解释论的再提倡，排在第二位的是陈兴良的形式解释论的再宣示，你俩学术交流得好有意思，还同一个期刊同一个发表时间 ,0,0,0,广东,广州,广东,中国
2,5023224801001504,这里people,2024-04-15 00:53:01,@西安交通大学  西安交大4人因学术不端被通报涉及资金277万元：此次通报中，国家自然科学基金委员会监督委员会对西安交通大学刘志奎、刘青光、涂康生、杨楠等发表的论文涉嫌学术不端开展了调查。#看不见的守护正无处不在# 西安交大4人因学术不端被通报涉及资金277万元 ,0,0,1,陕西,西安,陕西,中国
2,5023192886548024,大熊猫康康,2024-04-14 22:46:13,申报项目 边填边感慨啊 一个人的学术生涯真是不容易啊！ 一路走来 论文发表 项目申报 评职称 博后 讲师 副教授 教授 CSSCI SSCI A&amp;HCI EI 博后面上 留学基金 省部级 教育部 国家级…… 一路走到尽头成为大教授又如何？ 然后呢 还有什么在你的期待中？ 青春不再 我不想要这样的生活 ,0,0,0,山西,太原,山西,中国
2,5023186524048791,非著名熬夜咖,2024-04-14 22:20:56,这论文改来改去的，改得我自己都嫌弃了。现在发不发表的已经不重要了，行不行给个痛快话，已经不想再修改半点了！我果然不适合搞学术啊！ ,0,2,0,河北,保定,河北,中国
2,5023161055187283,咸菜粥55,2024-04-14 20:39:44,SCI与ESCI以及SCIE分别是什么❓🔴SCI（Science Citation Index）是科学引文索引，是由科睿唯安（Clarivate Analytics）出版的一种文献检索工具，主要收录自然科学领域的高水平学术期刊文章。SCI的文章被收录后可以被SCI-E和SCIE所引用。🔵ESCI（Emerging Sources Citation Index）是科睿唯安（Clarivate Analytics）出版的一种文献检索工具，是SCI的扩展版，收录了一些新兴领域的期刊文章，如社会科学、人文科学、艺术等领域的高水平学术期刊文章。🟣SCIE（Science Citation Index Expanded）是SCI的扩展版，也是由科睿唯安（Clarivate Analytics）出版的一种文献检索工具，主要收录自然科学、工程技术和医学领域的高水平学术期刊文章。与SCI相比，SCIE还增加了一些新的期刊收录。期刊发表#sci#,0,0,0,江苏,南京,江苏,中国
2,5023154235245391,这杀手不太凉,2024-04-14 20:12:38,scopus的分区是怎样的？Scopus是一个全球性的学术数据库，它涵盖了广泛的学术领域，包括自然科学、工程技术、医学、社会科学和人文学科等。Scopus的分区是基于期刊在各个学科中的影响力进行划分的，具体分为四个级别：Q1区（第一区）：这一区收录的是属于该学科影响力最高的25%的期刊。Q2区（第二区）：这一区收录的期刊影响力位于该学科的25%~50%之间。Q3区（第三区）：这一区收录的期刊影响力位于50%~75%之间。Q4区（第四区）：这一区收录的是影响力最低的25%的期刊。Scopus在划分分区时，会考虑多种因素，包括期刊在过去3年的发文量、被引用频率等，以更全面反映其学术影响力。此外，期刊是否被收录在其他重要数据库如SCI或SSCI等，以及期刊是否来自知名出版社、采用严格的同行评议制度等因素，也会影响其被归入哪一个区块。总的来说，Scopus的分区系统为研究者提供了一个评估期刊学术影响力的工具，有助于他们在投稿或选择参考文献时做出更明智的决策。然而，需要注意的是，Scopus的分区并不是唯一的评估标准，研究者还应结合其他因素如期刊的声誉、专业领域的影响力等进行综合考量。#scopus期刊投稿#期刊发表 #期刊发表#,0,0,0,江苏,南京,江苏,中国
2,5023097453543847,乐生活在长沙,2024-04-14 16:27:00,【#头顶脱发更易患心脏病#】脱发本就是件伤心事，但更令人伤“心”的是，头顶脱发者心脏病风险更高。2023年全国中西医结合皮肤性病学术会议上发表的一项研究提醒，脱发人群不仅要考虑减压，还要注意心脏问题。研究分析发现，冠心病的发生与雄激素性脱发相关，且关联程度取决于冠心病患者的脱发部位，其中以头顶脱发关联度最大。若每天掉发超过100根，持续2个月以上，同时伴有糖尿病、血脂异常和高血压等慢性疾病，一定要高度警惕，可以到医院心内科就诊，通过心电图、血管超声等排查隐患。（生命时报）,0,0,0,湖南,长沙,湖南,中国
2,5023004185067956,西南交通大学,2024-04-14 10:16:22,"#点赞交大人# #交大新闻眼# 【西南交大毕业生以第一作者在Nature发表最新研究成果】 近日出版的国际顶级学术期刊Nature发表了西南交通大学材料科学与工程学院2017届博士毕业生张彬彬（现为香港城市大学博士后）为第一作者的文章A three-dimensional liquid diode for soft, integrated permeable electronics(Nature628, 84–92 (2024),网页链接)。该工作提出了三维定向汗液输运新技术（三维液体二极管），基于此，开发了一套高透气、透汗的柔性集成电子设备，显著提升了柔性电子在长期服役中的监测精度、稳定性及用户舒适性，为研发临床监护、长期健康监测的可穿戴设备提供了新策略。我校杨维清教授，香港城市大学于欣格副教授、王锋教授、邱美娈助理教授与香港理工大学郑子剑教授、王钻开教授为该文章的共同作者。详情请戳网页链接 西南交大毕业生张彬彬博士以第一作者在Nature发表最新研究成果",1,2,21,四川,成都,四川,中国
2,5023020449792037,风启学林,2024-04-14 11:21:00,#风启学林# 【优秀！ #西安一高校博士研究生这份履历厉害了#】高翔宇是@空军军医大学 博士研究生，上学期间他始终坚守医学梦想，课业成绩十分优秀，博士期间专业课排名年级第一。与此同时，他还热衷于搞科研，专注脑梗治疗。在不断实验中，最终作为第一作者发表SCI论文，学术成果在国际学术会议上作壁报交流。据悉，他以第一或者共一作者发表SCI论文10篇，单篇最高影响因子17.1，累计影响因子60。西部网的微博视频,0,0,0,,北京,北京,中国
3,5023017657437551,釕铹鈀大稗子,2024-04-14 11:09:55,"陈哲甫创办燕京大学国文系轶闻                                                             【七】         陈哲甫参与燕京大学的筹备工作一项重要任务就是编辑学术刊物。陈哲甫在燕京大学季刊创刊号上发表了《燕京大学季刊祝词》，该季刊创刊于1919年12月陈哲甫为编辑部成员之一。祝词原文如下             《燕京大学季刊》祝词         国文主任 陈哲甫  司徒校长招余而言曰：“燕校开学矣，彬彬学子，分部课功，求所谓科学门径者无不窥。而私意尤注重国文与旧学，以培植其本根，而保守国粹。愿辑《季刊》，与他校互换知识，且以彰吾誉焉。”余曰：“唯。”  夫所谓国文学者，非仅辞章考据之末，将以载道也。秦汉已来，黄老说兴，大道渐灭。汉之中叶，始招学士，崇儒术，而古籍散亡强半，何论儒道哉。唐兴，文教复昌，于时阐道之文，尚不能见重于世。韩柳承坠绪，志乎复古，起而肩之，习为古文。至宋儒高谈性理，各尊师说，传诸其徒，各立门户，理义浃洽于人心。而文体一变，其自号通儒，不过沾滞自守。而济世利物，明先王之道，发为文章者，曾不一遇焉。自后科举取士，驰逐于应制之文，而斯文扫地殆尽。  民国革新，海内优秀争航欧美，竞求新学，中西并营，新旧交符，尚矣。然又有所谓欧化热者，尽弃所学而学彼。视子史为陈迹，鄙道德为迂疏。学成归国，分饷后学，或通译欧文，或直授东籍；或以所知输入于报章，或以所闻传衍于科目。然旧学荒落，举笔为文，病其不能达意。甚或就正宿儒冀出，其文言以为之。佽摹拟探索，卒莫能工，其属辞比事，艰苦厄塞之状，方以甫学西文。其难能犹有过之。此学子之大悔，亦学界之深忧也。司徒雷登有鉴于此，为今后学子计深远，又洞然留学生所抱憾，恨不一湔涤之。  故有燕校国文部之组织，而预防其患，其注重国文学，有由来矣。《季刊》编辑余亦与事，书成例为祝词，以寿此册。篇帙简短，中西文字兼载，并及乎校内大事，使他日文献足征，闳兹绝学，萃中西古先哲士学案、学说合一炉而冶之，庶中西文士，颉颃乎道德之域，藉载道之文，以粗传吾道焉，此素志也。于斯刊望之。 该文介绍了司徒雷登到校后极为重视出版工作在与国文系主任陈哲甫教授商议中，他提出：“学校已开办……私意尤注重国文与旧学，以培植其根本，而保守国粹，愿辑季刊，与他校互换知识，且以彰吾誉焉”。 《燕京大学季刊》创刊于1919年12月，分中文部分和英文部分，是当时燕京大学唯一的学术性杂志。郭察理教授被推举为燕京大学季刊社主席，瞿世英被推为副主席，陈哲甫教授为编辑部成员之一。1920年，随着燕京大学与华北协和女子大学的合并，季刊社也吸收了女性代表参加编辑工作，邀请了何静安女士（(Miss Botnyon，外籍)、谢婉莹女士[冰心(1900.10.5—1999.2.28),原名为谢婉莹,笔名为冰心,取“一片冰心在玉壶”为意,被称为 “世纪老人”。籍贯福建福州长乐横岭村人,现代著名诗人、作家、翻译家]和韩淑秀女士，分担了经理和编辑事务，谢婉莹还被选为编辑副主任。这年年底，她因病辞职，继任者为尤慈爱女士。冰心也是编辑部成员之一。有记载说系主任陈哲甫看过她在《燕京大学季刊》上发表的多篇小说、诗、杂感，觉得她很有才华还破例让她跳了一级。冰心在燕京大学的时候又兼任《燕大季刊》的编辑，分担文学方面的组稿，编审工作。                                  结论        陈哲甫在教育界交游甚广，与严修、蔡元培都有书信往来，以1919年为例10月23日，陈哲甫致严范孙信，就《益世报》所载南开学校尚不安宁之事，甚表关心，希望能“进一二言，以扶助之，以尽友爱之意也”。10月24日，陈哲甫致蔡元培信，告知已到燕京大学主持国文部工作，此前寄赠的《北京大学日刊》，“增益学识不少”，请日后改寄燕京大学。10月29日，收到蔡元培回信。10月31日，再致蔡元培信。并不是区区前清迂腐文人。         燕京大学成立初期其规模和声誉并不显赫，直至1926年迁移到北京西郊海淀镇的新校址以后才得以扩充和发展。至于有人著述说吴雷川参与筹备燕京大学国文系根本没有任何记载证明。据记载吴雷川先生仅于1917年元旦到陈哲甫家拜访过一次，是教友有面识而已。吴雷川正式参与燕京大学教课是1925年，而且是兼职讲师。他的正式工作是在教育部，所以现在许多关于国文系滥觞记载不实。",0,0,1,海南,陵水黎族自治县,海南,中国
