页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5016905465989890,EDUHK-ELE,2024-03-28 14:22:15,"香港教育大學英語教育學院教授約翰·特倫特教授參與了一個能力建設項目，以促進跨機構合作和潛在知識轉移的機會。作爲該項目的一部分，特倫特教授於2024年1月23日至26日前往新西蘭採訪了一位成功的香港教育大學博士畢業生，他現在奧克蘭大學擔任學術人員。這項計劃旨在突出傑出的香港教育大學畢業生的經歷和成就，爲香港教育大學樹立正面形象，並激勵現在和未來的香港教育大學學生。香港教育大學英語教育學院比以往任何時候都更加致力於全球參與。我們相信擁抱多樣性，促進聯繫，並在全球範圍內發揮作用。Prof John Trent, Professor of ELE, joined a capacity-building project to promote opportunities for cross-institutional collaboration and potential knowledge transfer. As part of this project, Prof Trent travelled to New Zealand from January 23-26, 2024 to interview a successful EdUHK PhD graduate who now works as an academic staff member at the University of Auckland. This project aims to highlight the experiences and accomplishments of outstanding EdUHK graduates, creating a positive image for EdUHK and inspiring current and prospective EdUHK students. ELE is more committed than ever to global engagement. We believe in embracing diversity, fostering connections, and making a difference worldwide. 香港教育大学#香港教育大学ELE#",0,0,0,中国香港,,香港,中国
2,5016610605631842,八七会议会址纪念馆,2024-03-27 18:50:35,为充分发挥八七会议会址纪念馆的特色优势和红色教育功能，2023年我馆与湖北省团校签署“实践教学基地”合作协议，利用双方的资源及优势，合力开展实践教学，共同研发产学研项目，常态化合作举办文化活动、开展学术交流与志愿服务，开展多层次、多渠道、多方式的合作交流。以红色为底 让青春飞扬 | 八七红色惠民巡展走进湖北省团校 ,0,0,1,,武汉,湖北,中国
2,5016507198998924,遨游何必故乡耶,2024-03-27 11:59:41,就是一边自己工作一边研发课程（准确的说是我妈创业我帮她hhhhh附带的还有文秘工作，笑死我妈自己课题忙到转筋所以这个合作项目只能我来搞）一边还有学术部一堆事 真的忙到翻白眼 ,0,1,1,浙江,,浙江,中国
2,5016499632736251,世界腾冲___天下和顺,2024-03-27 11:29:37,#2024腾冲科学家论坛# 《院士讲坛｜《云南温泉康复治疗地图》项目启动》 3月25日，2024腾冲科学家论坛“地热资源与温泉医康养产业发展”院士讲坛在腾冲恒益东湖温泉健康管理中心成功举办，不仅促进了地热资源与温泉医康养产业领域的学术交流与合作，也为腾冲打造“温泉之都”提供了有力的支撑。（来源：腾冲科学家论坛）#腾冲资讯#  院士讲坛｜《云南温泉康复治疗地图》项目启动,0,1,2,,保山,云南,中国
2,5015909456152358,徐强国,2024-03-25 20:24:28,#每日分享# 上午送一个人到杭州未来科技城学术交流中心，然后跟一个做医疗机器人的老板谈项目合作，下午跑去绍兴平水，送一个人到九里，九里大变样了，还有新的长城中学…… ,0,1,0,浙江,杭州,浙江,中国
2,5014652808859515,德国百事通Deutschland,2024-03-22 09:11:00,记住这个名字：赛博谷（Cyber Valley）。作为人工智能研究和创新中心，赛博谷不仅在欧洲，而且在全世界都享有盛誉。该项目于 2016 年启动，是一项学术机构与领先科技企业之间的合作项目，其中包括马克斯-普朗克协会、斯图加特大学、图宾根大学、巴登-符腾堡州以及亚马逊、博世、梅赛德斯-奔驰和保时捷等企业。这些合作伙伴关系将人工智能领域的前沿研究与工业应用独特地结合在一起。 “如果您想在德国从事人工智能和机器人研究，赛博谷是您的不二之选。” 赛博谷的首席执行官莱施这样说。德国 人工智能 #创新# 德国百事通Deutschland的微博视频,6,2,13,德国,,德国,德国
2,5014101765393034,纯洁的万事屋,2024-03-20 20:41:21,我今天发了一个微博讲了15年前一件旧事这个事情我全程看了录像的当时有个老先生去台湾本来是以学术交流访问的形式过去，而且呢，他也是要跟当地谈一些合作项目的，其实呢，对两岸之间都是有好事，但是就被台独分子盯上了但是我个人是不太能理解的，因为这个老人当时被袭击以后，台湾方面派了50个警力在他的酒店那边做安保，那请问在之前做了什么呢？大家要知道15年前是什么时候2008年10月发生的事情，是马英九时期一个大陆来的贵客没有任何安保措施，完全暴露在台独分子的包围下大家想一想就知道背后原因是不简单的然后这个老人在几乎是强烈的冲击，反复的推撞，最后仰面摔倒，然后又被人从地上拖起，大吼大叫，旁边的随行人员根本无力阻挡周围不断汹涌而来的暴民他们表面上是在喊口号，实际上就在进行推搡挤压压迫，而周围的媒体就像是苍蝇见了臭肉一样蜂拥而至我可以告诉大家，事情还没到此结束随行人员的全力阻挡，好不容易把老人家送上车大家知道发生了什么事情吗？这帮台独分子把车团团围住，并且趴到了车顶，站在车顶上蹦跳，把车顶都给踩扁了这是人能做的事情吗？推，打，还在车顶上蹦打完了以后民进党公开说你国民党不要见猎心喜，我就是不道歉咋滴，我就是暴力党咋滴，我爱台湾你能奈我何？暴徒找了一个黑道朋友，打了自己两拳，这个黑道也很有意思，说暴徒作为一个台湾人是没问题的，只是对朋友不礼貌哦呵呵呵，真的会演这件事情对我造成了很大的冲击，我对马英九的看法从那个时候改变了，我没想到马英九作为不粘锅，他出卖自己的蓝营同志，他对大陆派来的贵客也可以随便民进党摆布而无所谓我也对所谓台湾民众的表现，通过这件事情得到了很好的观察从那之后再有说什么，我都不吭声了有些工作做就做吧，但我就不表态了即便是在当下，我都不知道这个微博发出来会不会导致我的账号被关闭，真的讲不清楚，因为有些时候在中文互联网上做一个中国人也需要勇气，并且要承担风险我心里有数#我是厅长#,111,53,646,福建,漳州,福建,中国
2,5014437039966747,cara嘉树,2024-03-21 18:53:37,昨天都灵大学学术委员会以绝大多数票通过了2024年该校不参与跟以色列大学机构的合作项目。这几天都灵的大学生社团，比萨的大学生社团，博洛尼亚的大学生社团等都纷纷抗议要求各个大学回应去年11月份由1700名讲师教授联名签署的公开信，建议暂停意大利教育机构和以色列大学机构之间的合作。因为加沙地带的教育体系被以色列摧毁，大学校园被夷为平地。我记得前几天新闻上看到米兰的一家理科高中学生也展开了“占领校园”活动来抗议。#以色列对巴勒斯坦人的屠杀战争#,1,0,0,意大利,,,意大利
2,5014377633942417,东莞时报,2024-03-21 14:57:33,【校地合作探索基层医疗新模式！#松山湖基层公共卫生工作室揭牌#】3月20日，松山湖举办“智领健康传播，携手筑梦未来”主题健康教育学术论坛暨松山湖基层公共卫生工作室揭牌活动，正式启动松山湖基层公共卫生工作室项目，同时发布松山湖社会事务局第四党支部(松山湖社区卫生服务中心)“党旗扬，促健康”党建品牌。校地合作探索基层医疗新模式！松山湖基层公共卫生工作室揭牌,0,0,0,,东莞,广东,中国
3,5014014364486989,游佛UFO,2024-03-20 14:54:03,有否国内(非国际)学术会议一网打尽的公众号/网站？与基建投融资/PPP/工程管理/项目管理/对外投资合作相关的，去年资助所有在读弟子恶补了3次学术/实务会议，后几年拟资助自己仅参加学术会议，以弥补3年疫期与学术同仁交流减少的遗憾和履行&quot;游佛&quot;职责 ,0,0,0,北京,北京,北京,中国
3,5013723632370110,撸铁的猴先生,2024-03-19 19:38:47,呵呵，叔叔找了个同事，专程开车来长沙面聊，说要合作搞科研项目。饭桌上，两人一唱一和，他同事找项目我来做，写论文挂他一作我挂通信，名给他利给我，如意算盘咔咔响，就是不知道要做啥。科研嘛，定个题目就写，有个课题就冲，学术问题不存在，天下文章一大编。 ,0,1,3,湖南,长沙,湖南,中国
3,5013362344200136,ZoeStern,2024-03-18 19:43:09,别人读研：项目  实验   学术交流会   我：写作业 小组合作 写作业   小组合作 🙉 ,0,12,4,湖南,岳阳,湖南,中国
3,5012189035629377,深圳卫健委,2024-03-15 14:00:51,【香港玛丽医院与港大深圳医院正式“结对发展”，深港合作更紧密了】2023年12月8日，香港玛丽医院与香港大学深圳医院签署了为期三年的“结对发展”合作协议，推进了深港医疗的健康合作。2024年3月14日，两家医院首次联合，在深圳举办“结对发展”合作项目启动会暨首次学术研讨会，共同推动优质资源融合。据介绍，双方已确定人才交流计划，互相借鉴，促进医疗服务的优化提升。同时，两家医院将定期举办学术交流活动，促进双方医院高质量发展，共同打造深港医疗合作典范样板。#小卫新鲜事儿#,2,6,17,,深圳,广东,中国
3,5012286869081248,长江网_留言板,2024-03-15 20:29:36,【相约πDay 武汉科技馆与华中农业大学签署战略合作框架协议】3月14日，华中农业大学第七届数学文化节开幕式举行。本次活动以“数·生万物，智·启未来”为主题，开展高水平学术讲座和师生融乐的系列实践项目。活动当日，武汉科技馆与华中农业大学签订战略合作框架协议，共建科学技术普及平台。华中农业大学副校长严建兵出席开幕式并致辞，他表示，数学文化节旨在探索数学这门古老学科与现代科技的交汇点，搭建一个探讨数学与人工智能融合的平台，激发学生的创新意识和实践能力，促进学术交流，加强科学文化的普及和提升。本次活动将拉开与武汉科技馆长期合作的帷幕，武汉科技馆的许多珍贵展品也将在活动中展出。,0,0,0,,武汉,湖北,中国
3,5011752549090409,金融硕士管理学博士,2024-03-14 09:06:24,中国社科院与新加坡社科大学合作举办全球战略领导力博士项目，免联考，中文授课，招收具有硕士学位和三年管理经验者，提供中文授课和面试，招生25人小班授课。学制3-7年。颁发新加坡社科大学博士学位证书。旨在培养具备高度学术素养和领导才能的商业精英。课程涵盖领导力、管理、金融、技术等领域，培养商业精英。教师来自两校知名学者，提供实践课程和专题研讨。2024级招生中,0,0,0,山东,青岛,山东,中国
3,5011713366163799,哆啦熊子,2024-03-14 06:30:42,今天听说小组合作的同学想拿这个项目当毕设 我请问呢？我们其他四个人给你当奴隶？你有事吗？如果她真这么干了 我保证肯定让她开上学术听证会 ,0,0,0,英国,,英国,英国
3,5010148688922648,只是余万里,2024-03-09 22:53:14,院里一个合作的博士 要弄一个院里的项目课题 大晚上九点半发给我项目申报书卷我 被我反手丢回去一堆意见和想法反卷 于是他放弃了卷我 说下周再聊  我导可是凌晨一点半能和师兄在群里卷学术的 我虽不才 但九点半反卷到十点半还是游刃有余的 ,0,0,3,重庆,重庆,重庆,中国
3,5009909339127826,Eyhpc,2024-03-09 07:02:08,我对我导的人品定位十分清晰：他就是那种掌握着很多社交资源，无论是临床、学术和大厂，特别是大厂的资源，他跟大厂的合作项目特别特别特别多。但是我兢兢业业干活，到最后他也不会给我介绍一点人脉，或者推给我任何工作机会。我导就是这种人。Leader属于是我学术路上的mentor，他无论如何都会给我背书，帮我推资源。大老板虽然跟我交集不多，但是非常善良靠谱，在需要的时候绝对是往我推荐信上写很多好话的人，而且一口唾沫一个钉，找他帮忙，无论是医疗还是document程序，他说了算，很快事情就能给办好。我导，呵呵他付出什么，他就配得上什么对待,0,0,0,瑞士,,瑞士,瑞士
3,5009793966409318,朱汉斌,2024-03-08 23:23:42,#创新给力广东# 国家重点研发计划政府间国际科技创新专项启动3月5日，国家重点研发计划政府间国际科技创新专项——中法空气污染对物种间化学通讯影响联合实验室项目启动会暨学术交流会在中国科学院华南植物园以线下线上相结合的形式举行。来自中国、法国、英国、泰国、南非等国家的合作伙伴以及法国驻广州总领事馆等近70名代表参加。网页链接,0,0,0,广东,广州,广东,中国
4,5009624380216255,多向选择崔老师,2024-03-08 12:09:49,有很多人咨询是基于地理信息的在线社交网络模型矩阵内容新媒体，定位是“有技术、有经验、有项目、有学术、有人才、有资金、有交流、有合作”的服务型平台。“有很多人咨询”做的是一个分享平台，我们团队在分享的过程中，还尽量加入“美”的元素，另外输出人文地理的知识，可能大多数人都不太注意。可能大部分朋友知道我们，加入我们是为了资料或社群，功利心太重，不在乎这些。以人为本，影响人，感染人，陶冶人，需要时间，需要细嚼慢咽的，给人带去价值是一份工作，给人带去“美”是一种情怀，是需要有功德心。,0,0,0,北京,北京,北京,中国
4,5009396503677619,imurava_,2024-03-07 21:04:19,【滑铁卢大学】 北美地区第一个经认可建立数学系的大学 拥有世界上最大的合作办学项目 教学设施完🥇  学术力量雄厚🔥 #留学那些事##留学中介##留学#滑铁卢大学  ,0,0,0,江苏,盐城,江苏,中国
4,5008621008063635,文军社会学微观察,2024-03-05 17:42:47,今天上海市社联举行“2024年度学术团体负责人大会暨党建工作会议”。我们上海市社会学学会在上海市社会科学界联合会第十七届（2023）“学会学术活动月”举行的项目中，考核结果为“优秀”。同时，我们申报的上海市社会科学界联合会2023年度合作项目，考核结果也为“优秀”。同时获得两个优秀项目，这是学会换届后各位年轻的同仁共同努力的结果，也彰显了上海社会学界的活力。,0,0,17,上海,上海,上海,中国
4,5008519168000949,麻薯脑袋顺利毕业,2024-03-05 10:58:06,研究生退学我制造的学术垃圾被嫌弃了明明就是怕我丢他脸才不想挂我文章的通讯 非得说啊呀我都要退休了这些没什么用了，是怕和另一个老师合作的项目结不了题才让另一个老师通讯 ,0,1,1,湖北,武汉,湖北,中国
4,5007415260480949,Real佩姐,2024-03-02 09:51:34,#报拒信##Upenn IMPA# 佩姐 报个拒信 宾大impa bg中外合作 gpa87+(wes3.54) 三段实习(有政府相关) 很多学术项目 雅6.5(6)(以为能waive雅思结果没waive 临时考了一个) tl: 1.15－3.2 攒个人品 希望好运在后面 ,0,1,7,北京,,北京,中国
4,5006734944897725,张祥龙Jy,2024-02-29 12:48:14,🎓 免联考，直通硕士！北京中外合作办学新机遇 🚀🌟 梦想照进现实：你是否曾梦想过，在国内就能接受到国际化的硕士教育，而无需经历繁琐的联考？现在，这个梦想触手可及！北京地区的中外合作办学硕士项目，让你轻松迈向学术殿堂。🌐 国际视野，本土情怀：我们的项目结合国内外优质教育资源，为你提供国际化的学术氛围和前沿知识。在这里，你既能接触到国际前沿的学术理念，又能深深扎根于中国的文化土壤。🎯 保录取，无后顾之忧：我们承诺，只要你符合招生条件，通过简单的面试和评估，就能获得宝贵的录取机会。无需担心联考压力，我们助你一步跨越，直通硕士之路。📚 课程设置，实用为先：我们的课程设置紧密结合市场需求和行业趋势，旨在培养具备国际竞争力的专业人才。在这里，你不仅能学到理论知识，更能掌握实用技能，为未来的职业生涯奠定坚实基础。💼 职业发展，助力腾飞：我们的校友网络遍布各行各业，为你提供丰富的职业发展资源和机会。在这里，你能结识到志同道合的伙伴，共同开拓未来的无限可能。📣 行动起来，为未来加油！现在，是时候为你的未来做出明智的选择了！加入我们的中外合作办学硕士项目，开启你的学术之旅，成就更加辉煌的人生！🌟 走进北京，走向世界，与我们一起，书写未来的辉煌篇章！,0,0,2,河北,廊坊,河北,中国
5,5006394098977014,半夜惊醒数论文的苦逼奔三研究生,2024-02-28 14:13:50,我其实觉得做项目在数据分析阶段一定不能给做分析的人强加时间压力，会把人逼到去糊弄，甚至开始搞学术不端。道德水平再高也没用的。我两次产生学术造假的念头都是因为合作者或者老板给了完全不讲道理的时间压力又不给任何技术支持，人被逼到没有睡眠没有健康的时候什么事情都干得出来，冷静下来以后都打住了。,0,0,0,江苏,苏州,江苏,中国
5,5005959406288936,六安市人力资源和社会保障局,2024-02-27 09:26:30,【全国博士后管委会办公室关于开展2024年博士后国（境）外交流项目申报工作的通知】为培养高层次创新型青年人才，加强博士后学术交流与合作，2024年人力资源社会保障部、全国博士后管理委员会将继续实施香江学者计划、澳门青年学者计划、中德博士后交流项目和博士后国（境）外学术交流项目。经研究，我们编制了《2024年博士后国（境）外交流项目申报指南》（见附件），内容包括以上4个项目的主要内容、申请条件、遴选程序及有关要求等。全国博士后管委会办公室关于开展2024年博士后国（境）外交流项目申报工作的通知,0,0,0,,六安,安徽,中国
5,5005954206926871,金融硕士管理学博士,2024-02-27 09:05:52,中国社科大-新加坡社科大学合作举办全球战略领导力博士项目，面向有硕士学位和三年管理经验的企业高级管理人员。学费28万+66708新币，颁发新加坡社科大学博士学位证书。学制3-7年，小班授课，中文面试、中文授课。面试前需提交完整的研究计划，特色为中新人文社科领域顶尖学术机构强强联合，理论与实践相结合，中新双导师共同指导，课程强调企业可持续发展和道德规范。,0,1,0,山东,青岛,山东,中国
5,5005289487598896,芥鳥鳥,2024-02-25 13:04:30,2024农历二月大众运势合伙项目会增多，很多人会投入新的平台或者开展新的合作会面对许多需要动脑的工作，也容易对一些新想法进行草拟，但不着急决定，因为下月会有反复的情况在躺平和该干活了之间仰卧起坐后，开始干活，干劲提升适宜更换家居用品、打扮自己，以及清洁打扫房子适宜考试、学术文章发表时常容易犯困会有饮食方面的卫生问题，也会有呼吸道传染疾病多关注上呼吸道、口腔咽喉、肠胃系统、泌尿系统人际方面多口舌是非，财务方面多财务纠纷、房产纠纷情感方面多争吵和欺骗行为被暴露,1,1,25,上海,上海,上海,中国
