页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023207781040851,法学黄埔,2024-04-14 23:45:23,西政社会科学文献出版社与#西南政法大学# 签订战略合作框架协议  学校举行与社会科学文献出版社战略合作框架协议签约仪式。根据协议，双方将在联合申报国家级重点重大项目、主办法学集刊、搭建法学智库平台、协助学术成果和学者“走出去”等方面展开合作。 北京 ,0,0,0,北京,,北京,中国
2,5023188805487392,海峡都市报闽南版,2024-04-14 22:30:00,【#福建医科大学吴宇涉嫌学术不端# 被通报】4月12日，国家自然科学基金委员会官网，发布2024年不端行为案件处理结果通报（第一批次），其中福建医科大学吴宇存在抄袭他人研究成果、伪造申请书研究基础的问题。经查，吴宇在学术交流中得到了他人的部分实验数据、图片，在撰写本人2023年基金项目申请书时，将他人的实验数据、图片等成果直接标注为申请项目相关的实验结果，并作为“研究基础”写入申请书。经国家自然科学基金委员会监督委员会六届二次会议审议、国家自然科学基金委员会2023年第21次委务会议审定，决定撤销吴宇2023年国家自然科学基金项目申请，取消吴宇国家自然科学基金项目申请和参与申请资格5年（2023年12月26日至2028年12月25日），给予吴宇通报批评。@海峡都市报,0,0,0,,福州,福建,中国
2,5023182117671412,木知莫觉,2024-04-14 22:03:26,11/15是医学类的～～～为什么呢？因为写文章搞课题是通向利益的捷径，也是获得名誉的捷径，医院从上到下都希望放卫星般地产出学术成果，可是这怎么可能呢？重重指令导向压力之下，不就只能开始骗人骗己么。 涉及多所高校！一批学术不端案件被通报 ,0,0,0,浙江,杭州,浙江,中国
2,5023171543565913,中新社福建,2024-04-14 21:21:25,【伪造！#福建医科大学一人被通报# ！】4月12日，国家自然科学基金委员会官网发布2024年不端行为案件处理结果通报（第一批次）中，福建医科大学吴宇存在抄袭他人研究成果、伪造申请书研究基础的问题。         国家自然科学基金委员会监督委员会对福建医科大学吴宇涉嫌学术不端开展了调查。        经查，吴宇在学术交流中得到了他人的部分实验数据、图片，在撰写本人2023年基金项目申请书（申请号8237100127）时，将他人的实验数据、图片等成果直接标注为申请项目相关的实验结果，并作为“研究基础”写入申请书。吴宇存在抄袭他人研究成果、伪造申请书研究基础的问题，应对上述问题负责。        经国家自然科学基金委员会监督委员会六届二次会议审议、国家自然科学基金委员会2023年第21次委务会议审定，决定依据《国家自然科学基金项目科研不端行为调查处理办法》第四十条，撤销吴宇2023年国家自然科学基金项目“ERK1和ERK2在甲状腺癌中对YAP的调控机制的探究”（申请号8237100127）申请，取消吴宇国家自然科学基金项目申请和参与申请资格5年（2023年12月26日至2028年12月25日），给予吴宇通报批评。#闽小新说福建##福建#,0,0,0,,福州,福建,中国
2,5023165280162090,宇宙大橘子_,2024-04-14 20:56:31,妈个头 学术成果一个没有 腰肌劳损睡眠不足偏头痛一个不落 ,0,1,1,上海,上海,上海,中国
2,5023115390485468,席慕amber,2024-04-14 17:38:16,研究生让我过成了拍照健身的生活 学术成果是一点没动静 好想拥有理想身材但管不住嘴 人家是吃的干净我是吃干净 西安·陕西师范大学长安校区 ,0,0,1,陕西,西安,陕西,中国
2,5023104386728242,我说这肯定不行,2024-04-14 16:54:32,我的学术很有成果啊啊啊啊啊啊啊服了 ,0,1,0,重庆,重庆,重庆,中国
2,5023096398676862,爱瓶邪一生推3399,2024-04-14 16:22:49,学术成果好难出 ,0,0,0,天津,,天津,中国
2,5023088716022947,一颗骰子_or_not_骰子,2024-04-14 15:52:17,记录近日和老公的学术讨论成果《婚驴高手》《产品基础决定xp建设》《你的翅膀怎么自发银趴了》《冠亚军测没论》 ,0,1,3,荷兰,,荷兰,荷兰
2,5023073191331113,中国网丝路中国,2024-04-14 14:50:36,#中国网消息#【西安市第五医院举办痛风学术沙龙】4月14日，陕西西安市第五医院举办了高尿酸血症与痛风学术沙龙。国内知名专家学者齐聚一堂，分享痛风防治的最新研究成果和临床经验。此次沙龙旨在推动痛风治疗的规范化进程，提升防治水平。与会者积极互动，共同探讨痛风的发病机制与治疗方案。此次学术沙龙的举办，对推动高尿酸血症与痛风防治工作具有重要意义，为患者带来福音。#健康中国#,0,0,0,,三门峡,河南,中国
3,5023066765919467,海浪不发愁aa,2024-04-14 14:25:04,宿舍真的很吵，今天大家为什么不睡觉呢。不想开口让她们闭嘴，我也不知道为什么不想，不是想要维持宿舍关系的那种原因，好像就是一句话都不想说。今天上午都在干一些无意义的东西，我已经知道最终成果是一堆学术垃圾。时间花在做我不喜欢且没有价值的事情上，到底有什么意思呢？读研究生如果也是搞这些，那考研的结果无论如何，都可以当做是不同方面的好事吧。自己其实是好容易焦虑的那种性格。想到我已经长到要自己决定人生的很多事情的年纪，常常感到不可思议。现在也有所进步了，知道不用担心过于遥远的事情，想法会变，心会变，静观其变。大家听起来好开心，聊着什么电视剧，是我老早就看完的一部，无心加入，只是觉得很吵闹很烦。躺在床上看喜欢的博主的微博，感到扑面而来的活人感。我也好想有一天去看看那些景色。在车窗外都是连绵的山的路上，我想我肯定不会晕车吧。负责人微信又艾特我，烦。,0,0,0,北京,,北京,中国
3,5023063722429975,善德古茶,2024-04-14 14:12:58,四月13日上午，第一场2024年度肖相如师门“一专多能”临床实战经验学术研讨会：张扣启讲《外感病医案成果分享交流，许建平师兄讲咳嗽症的临床诊治心得。下午第二场，付亚杰师姐讲失眠症的临床治验，李丕照师兄讲外感湿热病治疗经验分享，刘伟师兄讲中风病的中医治疗。 ,0,0,1,贵州,六盘水,贵州,中国
3,5023055313897076,社会大学教师杨杰,2024-04-14 13:39:33,社会大学科研之科研成果转化在基础理论研究中，研究者针对某个研究对象开展基础理论研究，每个研究成果都有一个主题。该对象的所有理论研究成果构成该对象的知识体系。这套知识体系可以转化成专著（如：本草纲目）或者学术性教材（如：自动控制原理）。学术性教材记载了教学内容，所以被教师用于教学。专著被用于传播学术见解，体现个人对社会的学术贡献。在应用研究中，研究者针对某个具体问题开展研究。在某种基础理论的指导下，研究者找到解决问题的方法。在创造某种价值的过程中，所有技术问题都被解决后，创造价值的技术方案就自然有了。如果想把这些解决问题的方法转化成教学资源，那么这些方法性知识转变为任务型学材（如：建筑施工技术——项目化教材）。如果作者想体现对社会的学术贡献，那么这些解决问题的方法转化为指导书（如：食谱、技术指导书等）。除此之外，在可行性分析通过后，技术方案也可以转变成设计方案（建筑设计图纸、应急救援方案），进一步变成产品或者服务。这也是应用研究成果的一种转化形式（如：专利）,0,0,0,贵州,,贵州,中国
3,5023004185067956,西南交通大学,2024-04-14 10:16:22,"#点赞交大人# #交大新闻眼# 【西南交大毕业生以第一作者在Nature发表最新研究成果】 近日出版的国际顶级学术期刊Nature发表了西南交通大学材料科学与工程学院2017届博士毕业生张彬彬（现为香港城市大学博士后）为第一作者的文章A three-dimensional liquid diode for soft, integrated permeable electronics(Nature628, 84–92 (2024),网页链接)。该工作提出了三维定向汗液输运新技术（三维液体二极管），基于此，开发了一套高透气、透汗的柔性集成电子设备，显著提升了柔性电子在长期服役中的监测精度、稳定性及用户舒适性，为研发临床监护、长期健康监测的可穿戴设备提供了新策略。我校杨维清教授，香港城市大学于欣格副教授、王锋教授、邱美娈助理教授与香港理工大学郑子剑教授、王钻开教授为该文章的共同作者。详情请戳网页链接 西南交大毕业生张彬彬博士以第一作者在Nature发表最新研究成果",1,2,21,四川,成都,四川,中国
3,5023020449792037,风启学林,2024-04-14 11:21:00,#风启学林# 【优秀！ #西安一高校博士研究生这份履历厉害了#】高翔宇是@空军军医大学 博士研究生，上学期间他始终坚守医学梦想，课业成绩十分优秀，博士期间专业课排名年级第一。与此同时，他还热衷于搞科研，专注脑梗治疗。在不断实验中，最终作为第一作者发表SCI论文，学术成果在国际学术会议上作壁报交流。据悉，他以第一或者共一作者发表SCI论文10篇，单篇最高影响因子17.1，累计影响因子60。西部网的微博视频,0,0,0,,北京,北京,中国
3,5023015106513925,治愈笑笑,2024-04-14 10:59:47,#清华作业你胆敢用北大的纸交#在一次学术交流会上，清华和北大的学生们齐聚一堂，共同讨论着研究成果。在一次小组讨论中，一位清华学生拿出了北大的试卷纸做笔记，引起了旁人的不满。一个北大学生忍不住站起来质问：“清华作业你胆敢用北大的纸交？”清华学生微微一笑，放下手中的纸张，从书包里拿出自己的笔记本。他说：“我愿意和你们分享我的纸张。”在他的引领下，大家不再计较纸张的来历，而是共同分享知识和心得。这次交流会成为了友谊的开端，也让大家更加珍惜彼此的合作与交流。,0,0,8,广东,深圳,广东,中国
3,5023013353296270,灵魂支撑器,2024-04-14 10:52:49,只瞄准国外顶刊就是只能够按别人的规则去游戏，不和规则的一律不发，没有发的就没有成果。 社会学不仅仅是学术，更多的是意识形态的博弈。,0,0,0,海南,海口,海南,中国
3,5023005600383298,桐庐发布,2024-04-14 10:22:01,【第八届磁性材料与器件大会在桐庐举行】4月13日上午，2024第八届磁性材料与器件大会在桐庐举行，吸引了全国各大高校及企业代表共500余人前来参会。磁性材料与器件大会是国内磁性材料与器件领域内卓有成效的学术交流平台和新成果发布渠道。本次大会邀请了国内行业知名院士、专家学者发表课题演讲与成果分享，为当下磁性材料产业发展建言献策。,0,0,0,,杭州,浙江,中国
4,5022836390891143,in百色,2024-04-13 23:09:38,【关注！科研人员在百色发现一新物种】近期，@广西师范大学 科研团队在广西百色德保一带发现了洞穴鱼类新物种长肋原花鳅。这一研究成果发表在国际学术期刊《动物学科学》上。#微百色# 百色 ,0,0,0,广西,百色,广西,中国
4,5022832566471778,南山下的一颗土豆,2024-04-13 22:54:26,感觉自己又在生产学术垃圾，内心很纠结，不知道为啥要费脑子花时间来生产垃圾……想到可能还要用它们找工作，有些难受又觉得惭愧转念一想，发表的文章和成果都是老板的，心里稍微好受了些。毕业了之后能不能摆脱这些垃圾啊成为自己想成为的大人太难了，成为不了一点 ,0,1,0,北京,北京,北京,中国
4,5022823778615368,竹本三少有少女心,2024-04-13 22:19:30,吞噬我的学术成果，连两百块都不给 ,0,5,0,北京,,北京,中国
4,5022796751307501,转生之我要当水豚,2024-04-13 20:32:06,近期学术成果总结，如下 ,0,0,5,江苏,无锡,江苏,中国
4,5022768033172194,相思赋予骄,2024-04-13 18:38:00,读这本书刚开始的部分，对做学术有了新的理解：学术的本质是一门投资。如果是严肃的做学术的人，是把自己的人生的时间投入到一个事儿上。可能研究的出来，可能没啥成果，但是TA愿意投入。然后，国家也好学校也好在资金资源上也要投资进来——也需要游说。研究是否有所谓的成果都是结果，都是为人类认知往前稍稍推进一丢丢。如果有成果，为啥要写致谢（很多学校，机构，名字其实读者可能没那么在意就翻过了），因为真的有很多人为这一丢丢成果贡献了很多。当然，这件事其实在很大程度上也适用于商业。我们事业上的任何一点进展，行业里的任何一点推进，其实也都有很多人的贡献。而我们是把自己的时间精力美好年华投入到这个事业中去。我们应该选择让我们能有点儿自豪的事儿去做——年纪越大越这样觉得。,0,0,0,北京,,北京,中国
