页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5017620275005781,洛阳交通广播,2024-03-30 13:42:39,展示成果、交流经验、拓展视野，3月30日，“肺癌诊疗技术新进展研讨会”在洛阳市中心医院学术报告厅举行。 洛阳交通广播的微博视频 ,0,0,0,,洛阳,河南,中国
2,5017385853521792,游戏要闻,2024-03-29 22:11:09,#游戏头条# 国家信息中心报告：预计2024年GDP将增长5%左右国家信息中心于3月28日在北京召开2024年国家信息中心学术年会。会上发布了《前稳后高 持续向好—2024年中国宏观经济形势展望》等9项成果。据分析，总体来看，2024年我国经济运行将呈现“前稳后高、持续向好”走势，经济回升向好态势更加巩固，各季度间增速波动更趋平缓，供给需求结构更趋均衡，就业物价水平更趋稳定，预计2024年GDP将增长5%左右。,0,0,0,北京,,北京,中国
2,5017256213610768,津云,2024-03-29 13:36:00,#云观津城#【天津院创新研究中心项目通过主体结构验收】3月27日，天津院创新研究中心项目顺利通过主体结构验收。该项目位于天津市红桥区，为天津市2022年重点建设项目。天津院创新研究中心项目是集研究开发及技术创新中心、行业服务对外服务中心、院科技成果展示中心、学术报告厅等建设，是集研究开发、技术创新、科技成果展示、学术交流等功能于一体的创新研究中心。网页链接,0,0,0,,天津,天津,中国
2,5016611507668853,ValderAgnes,2024-03-27 18:54:10,开题报告打印废了，扔掉的时候舍友们问我为啥要分好几个垃圾桶扔，我说害怕别人剽窃我的学术成果，然后我们大家开始笑，可能我们这乱七八糟的写作不配称为学术成果哈哈哈哈哈哈 ,0,9,2,陕西,西安,陕西,中国
2,5016320217188970,民诉张佳,2024-03-26 23:36:41,与其说是一本书，倒不如说是一个学术报告的成果展示，语言表述上读起来跟啃论文相仿，但研究话题倒还蛮有意思 #金榜题名之后# ,0,0,1,上海,,上海,中国
2,5015433608171413,木有鱼丸也木粗面,2024-03-24 12:53:37,学术研习营第二期来了！主办单位复旦大学与谭嗣同爱国公益基金会，时间2024.8.20—8.23，报名者需提供至少一项未发表的晚清史研究代表性学术成果（包括但不限于论文形式，书评、读书札记、文献整理成果等亦可，与谭嗣同研究相关者优先）以供组委会遴选。形式包括：论文讲评、学术报告、读书会、学术沙龙、学术考察等。人数15—20名，入选学员入营食宿、学费等全部由组委会承担。名师云集、择优录取、学费全免。#历史##历史人物##讲座预告##中国近代史##学术#,0,0,5,北京,,北京,中国
2,5014883332264681,bsjiemdndhjf,2024-03-23 00:27:01,2024很忙碌。1️⃣月 改论文、拾起来行测、改论文改论文改论文 玩玩玩 回家2️⃣月 过年 改论文 准备送审 准备市考3️⃣月 答辩、答辩前后的一系列手续表格、写了研究报告，做了学术成果认定、备考、生病发烧两星期….参加省属事业编考试、参加市考…狠狠玩：打麻将 喝酒 唱歌 蹦迪！！4️⃣月：投简历、写小论文（谁家好人都毕业了还写小论文啊..）等待成绩5️⃣月：视市考成绩和小论文情况而定。是准备面试还是准备读博的事情。（读博并不是对工作的逃避，工作一直以来都是退路。是老师让我写小论文我觉得是一个机会 看到了读博的希望，我爸又非常支持我，所以我想拾起来自己心里的遗憾）,0,0,0,天津,,天津,中国
2,5012506445350061,纳木措湖_40867,2024-03-16 11:02:07,举世闻名的殷墟西北冈发掘的成果，经过了硝烟炮火的熏染与政治的阻隔和桎梏《侯家庄一00一号大墓报告》和《西北冈殷代墓地发掘报告》等著作出版问世是梁思永用尽了自己全部生命的结晶。梁思永的学术耀眼夺目，赫赫有名。而把一顶小小的官帽扣在他死后的头颅之上，九泉之下的梁思永不安。台湾李敖曾说“世俗的职位不值得谈，不值得重视。”李白在《江上吟》中写道：“屈平词赋悬日月，楚王台榭空山丘。”楚王当年耗尽百姓血汗建筑的豪华美丽的楼堂馆所，随着日月星辰早已飘散无存。而屈原留下的名篇佳构永垂不朽。梁启超以自己沈邃的思想和宏阔的历史见地对其儿子的教导，就是对于文化与文明进步过程中所充当的角色作比较。梁思成看到父亲的来信，对于梁思永墓碑题款的问题，心中的愤怒才得以缓解。郭沫若为梁思永墓碑的题款是错误的，不能掩盖梁思永的学术成果。梁思永的学术成果是永存的！2024.3.16,0,0,0,湖北,咸宁,湖北,中国
3,5011943599120244,永平法硕李志勇学长,2024-03-14 21:45:34,#法硕榜样##中南财经政法大学# 2022级法硕学姐（经济法方向）：国家奖学金、一等学业奖学金校科研与实践优秀成果奖一等奖研究生学术节“先进个人”中国法学会第七届法律职业技能大赛，提交关于代位权的案例分析报告，获全国二等奖第五届“搜知杯”全国财经高校大学生信息素养大赛，获全国一等奖和最佳检索报告奖,0,0,4,吉林,吉林市,吉林,中国
3,5010824576373257,跳动的指玄,2024-03-11 19:38:58,#管理挑战赛全国大学生管理挑战赛已举办两届赛事，自开办以来获得全国各高校、各经济管理领域学者以及各位老师和同学们的支持，比赛得以顺利举行，并取得良好的成绩  现各主办单位联合举办第三届全国大学生管理挑战赛。赛事通过基础知识答题（个人赛）、案例报告（团队赛），以及赛后的成果出版、学术论坛等严谨、科学的比赛模式，打造全国知名管理品牌赛事，促进高校毕业生更高质量就业。,0,0,0,广东,广州,广东,中国
