页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5015837413212272,Shiny_lq,2024-03-25 15:38:11,"什么是影响因子?一句话说就是：用来评价某学术期刊水平高低的一项指标。期刊的影响因子（Impact Factor），指的是该刊前二年发表的文献在当前年的平均被引用次数。刊物的影响因子越高，也即其刊载的文献被引用率越高，一方面说明这些文献报道的研究成果影响力大，另一方面也反映该刊物的学术水平高。由美国科学情报研究所创始人尤金.加菲得在1960年代创立，其后为文献计量学的发展带来了一系列的重大革新。从1975年开始，期刊的影响因子都会被收录在汤森路透出品的期刊引证报告(Journal Citation Reports,JCR)。JCR对包括SCI收录的3800种核心期刊(光盘版)在内的8000多种期刊(网络版)之间的引用和被引用数据进行统计、运算，并针对每种期刊定义了影响因子等指数加以报道。期刊影响因子是目前在中国流行的一个评价指标，许多著名学术期刊会在其网站上注明期刊的影响指数，以表明在对应学科的影响力。#学术期刊论文发表##博士#马来西亚留学",0,0,0,江苏,南京,江苏,中国
2,5015594513993351,妖精赫赫--,2024-03-24 23:33:00,太反智太愚蠢了，有些网友纠结的无非是年纪大、要求国外成果。长者≠尸位素餐的人，没有哪个团队会拒绝一个有理想有能力爱培养人的学科带头人。今天有人为了所谓学科评价和权势这么干，明天就会有人闻风而动，贴标签乱打倒，最后轰轰烈烈，把一件事变成阵营对立，学术休矣！//@西窗随记://@能杰:,0,0,0,新疆,乌鲁木齐,新疆,中国
2,5013743100756406,科协频道-科技工作者线上社群,2024-03-19 20:56:08,观点 | 推动科技类社会团体学术自律自净科技类社会团体可接受委托组成专家组，开展科研失信案件的学术调查，对是否构成学术不端作出独立、专业、客观的判断；各业务主管单位组织所主管科技类社会团体，结合本学科科学研究和科技成果特点，从分类评价、同行评议、代表作评价等方面探索制定本学科学术评价规范……观点 | 推动科技类社会团体学术自律自净,1,6,4,河北,石家庄,河北,中国
2,5011966722051636,慧海微澜·徐梦秋,2024-03-14 23:17:27,欢迎拍砖。文科学术成果的评价是一个难题，因为它不能像自然科学的成果那样，直接通过重复的实验来验证。因此，文科学术成果的评价标准与评价体系的建立，仍是一个有待完成的任务。 ,0,0,1,福建,厦门,福建,中国
2,5011932162036113,之江叁人行公考,2024-03-14 21:00:07,我国学术界也应重新审视“非升即走”的意义与实施方式，探索符合国情的人才评价机制，为青年人才卸下负担，激励他们产出更优质、更有长远价值的学术成果，从而在根本上扭转学术界的浮躁风气。《【光明网评】5年未升副教授需转岗后勤保卫？高校岂能随意“发配”人》 #浙江事业单位# #浙江事业单位招聘# #省考# 夜读 #结构化面试#  【光明网评】5年未升副教授需转岗后勤保卫？高校岂能随意“发配”人,0,0,0,浙江,杭州,浙江,中国
2,5010441102692361,晓撒嘛,2024-03-10 18:15:11,我常常觉得，对搞学术兴趣寡淡的我，如果在这方面能取得一丁点成果，都要归功于一个时时认可我、鼓励我、鞭策我而我又非常喜欢她、敬佩她、想要someday成为她（in some ways）的前辈。没办法，我就是很在意我喜欢的人对我的评价且无法跟她say no～～干杯☕️继续码字 ,1,0,3,新疆,阿克苏地区,新疆,中国
2,5008303678296213,学术月刊,2024-03-04 20:41:49,#学术月刊# 2024年第1期《人文学术评价报告选刊之八 ｜ 中国近代史研究（张仲民）》】过去三年中国近代史研究成果，可谓是百花齐放、百家争鸣。已经有许多先行的以期刊论文为主的研究回顾。本文仅以专书为主，从思想文化史、政治与制度史、中外关系史、社会经济史、书信日记文献研究、新领域的研究共六个主要方面对这三年研究情况做一个简略评价。人文学术评价报告选刊之八 ｜ 中国近代史研究（张仲民）,1,0,1,上海,,上海,中国
2,5005948866006172,lyy060411,2024-02-27 08:44:38,祝贺！谱尼集团科技成果成功入选2023年 “高影响力论文”PONY谱尼测试 2023-12-18 08:02 北京图片PONY成功入选2023年“高影响力论文”科技创新是谱尼测试集团发展的引擎，近日，《中国学术期刊》和中国科学文献计量评价研究中心发布2023年高影响力论文，谱尼测试集团联合谱尼集团研究院、北京谱尼医学在我国自然科学核心期刊《中草药》上发表科技成果：《基于UPLC-Q-TOF-MS指纹图谱和分子对接技术筛选藿香正气水抗新冠病毒潜在质量标志物》并成功入选中国知网学术精要（2023年11-12月）高影响力论文。图片“高影响力论文”是以中国知网收录的近十年论文数据进行统计，分别按照被引频次、下载频次、PCSI指数（论文引证标准化指数）遴选出学科前1％的论文，即高被引论文、高下载论文及高PCSI论文。《基于UPLC-Q-TOF-MS指纹图谱和分子对接技术筛选藿香正气水抗新冠病毒潜在质量标志物》该论文基于UPLC-Q-TOF-MS，融合指纹图谱、分子对接以及化学计量学等技术，通过挖掘与鉴定藿香正气水中抗新型冠状病毒的潜在质量标志物，为藿香正气水的质量控制与评价提供了科学依据，为新冠肺炎药物防治以及新靶向药物筛选提供了新思路。藿香正气系列中成药是《新型冠状病毒肺炎诊疗方案》中医学观察期表现为乏力伴胃肠不适者的推荐用药，已在抗疫一线初显成效，但其防治机制尚不明确。图片科技是国家强盛之基，创新是民族进步之魂谱尼测试集团作为大型综合性检测认证集团，高度重视科技创新，聚焦科研前沿追踪、创新技术研发、技术成果落地转化、专注于科研及检验检测分析方向的研究，尤其关注生物医药领域的技术研发与突破。谱尼测试集团是经国家发改委、科技部、海关总署联合发文认定的国家企业技术中心、是北京市批准的生物医药类工程实验室、北京市科委认定的工程技术研究中心、拥有多个挂牌的博士后科研工作站。多次承担国家各部委重要检验检测任务及国家重要科研项目，已参与完成863计划、自然科学基金、攀登计划等多个重点科研课题项目。,0,0,0,河南,郑州,河南,中国
2,5005676181195165,学者刘宏,2024-02-26 14:41:05,北核减刊的影响。如果北大核心在现有规模下继续减少入选刊物，那么，它影响的可能是大量的非211高校的教师科研。很多科研项目都是要求成果至少发表在北核期刊上。这当然会在一定程度上影响到现在的学术评价体系。这也会让北核和C刊的目录越来越类似。对刊物来说，保核和保C的压力变得接近了。 ,0,0,4,北京,,北京,中国
2,4998472845756040,舒雍,2024-02-06 17:37:36,学术造假行为为何会在高校中屡禁不止？学术造假行为在高校中屡禁不止的原因可能有以下几点： 1. 竞争压力：在高校中，科研人员面临着职称晋升、项目申请、经费争取等多方面的竞争压力。为了在竞争中取得优势，一些人可能会选择走捷径，通过造假来获得更好的成果和评价。 2. 利益驱动：学术成果与个人的声誉、地位和经济利益密切相关。一些人可能为了追求个人利益，不惜采取造假手段来获取更多的科研资源和奖励。 3. 评价体系：目前的学术评价体系可能过于注重量化指标，如论文数量、引用次数等，这导致一些科研人员为了追求表面上的成绩而忽视了学术诚信。 4. 监管不力：尽管高校普遍有针对学术不端行为的管理规定，但在实际执行中，可能存在监管不到位、惩处不严格的情况，这使得造假者心存侥幸。 5. 学术道德教育缺失：部分高校可能对学术道德教育重视不够，导致一些科研人员对学术规范和诚信的认识不足，缺乏自律意识。 6. 社会环境影响：在社会上，一些不良风气如急功近利、浮躁浮夸等也可能影响到高校的学术氛围，使得学术造假行为难以得到有效遏制。要解决学术造假问题，需要从多方面入手，包括加强学术道德教育、完善评价体系、加大监管力度、建立健全的惩戒机制等。同时，整个社会也需要营造尊重知识、尊重创新的良好氛围，倡导求真务实的科学精神。只有通过多方共同努力，才能有效地遏制学术造假行为，维护学术的尊严和公信力。#人民网评华中农大处理黄某某# 成都,3,6,15,四川,成都,四川,中国
