页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5021218845229109,瑶懿兔叽,2024-04-09 12:02:04,研究生退学咱就是说，为什么还有那种自己都没发几篇论文的导师每年还能带学生啊？一年一年每年学生开题学生交毕业论文，自己已经将近2年没有能看的学术成果了（基金啥的更不用看）就不是说瞧不起授课……是你自己都没啥产出你怎么还敢push学生的，或者说你自己都没啥田野经验学院怎么还敢让她指导老师的？我这个学科是水，但不能没有底线吧？,0,6,1,上海,上海,上海,中国
2,5020917168345462,脂肪整形鲁树荣,2024-04-08 16:03:20,中华医学会医美专家大讲堂暨中华医学会第十九次医学美容学术大会(会前会)面部过度充填综合症馒化脸预防与修复新技术学习班2024.5.31 中国·重庆学习班亮点：此次学习班将邀请多位权威专家实力授课，对“面部过度填预防与修复”热点专题展开新技术研习，系统讲解馒化脸修规范化注射要点等。主办单位：中华医学会医学美学与美容学分会承办单位：重庆星荣整形外科医院执行主席：宋建星教授授课专家：赵启明、郭澍、黄金龙、张晨、鲁树荣,0,0,0,四川,成都,四川,中国
2,5020571870167696,蛙趣芥末流,2024-04-07 17:11:14,老师我承认您做学术一流 但是您授课实在是 有这时间我不如宿舍睡觉 ,0,0,0,江苏,南京,江苏,中国
2,5019021393002941,达川法院,2024-04-03 10:30:11,达川区法院举办《公司法》专题培训为深入推进“通达之州·学术行”主题活动、抓实法院队伍建设、切实提升干警业务素质和履职能力，4月1日下午，达川区法院举办了新修订《中华人民共和国公司法》专题培训会议，西南政法大学副教授熊洁应邀授课。会议由党组副书记、常务副院长李官恒主持，达川区法院全体干警参加培训。会上，熊洁副教授以“股东责任与董事信义义务”为题，通过公司法新旧内容对比的方式，从公司法发展史、公司资本制度、董监高信义义务三个维度，结合典型案例深入浅出地讲解了《公司法》在股东出资责任、董监高信义义务方面的新变化，并就相关审判工作要点等进行工作提示。李官恒副院长指出，本次培训主题鲜明、内容详实，对全面理解适用《公司法》具有很强的启发性、指导性和实践意义，希望大家以本次培训为契机，认真梳理总结学习内容，融会贯通，结合实践抓好运用，为提升达川区法院审判执行工作高质量发展作出更多贡献。参训干警纷纷表示此次培训专业性强，干货满满，为今后民商事案件审理提供了及时的业务指导，并表示会将培训所学所思所悟积极运用于审判实践中，进一步提升审判工作质效。下一步，达川区法院将继续加强院校合作，加大培训力度，不断提升干警业务素质能力，强化队伍建设，锻造堪当现代化建设重任的法院铁军。,0,0,0,,达州,四川,中国
2,5017907803980669,魔法车废纸篓,2024-03-31 08:45:11,phd就是失败人生的入场券… 一写proposal一个不吱声…坐在电脑前面五个小时只写了一页不到 即使老板已经像我的学术亲爹一样一手包办选修课选课，一说有问题就给我一对一小班授课，甚至都计划好了明年我做什么项目…但是我还是憋不出来实验设计… 感觉周一又要滚到他办公室求助🥲 ,0,1,2,美国,,美国,美国
2,5017576438499506,安徽皖北煤电集团总医院,2024-03-30 10:48:28,2024年3月30日，由皖北总院东区——宿州心脑血管病医院消化内科组织的食管胃静脉曲张及内痔治疗沙龙成功举办。本次大会邀请了来自省内多位权威专家讲学授课。来自本地区的100余位医学同道齐聚一堂，共襄盛举。#学术##沙龙# ,0,0,0,,宿州,安徽,中国
2,5017421166938863,CiCi_昳,2024-03-30 00:31:28,#你眼里的大学老师是什么样的# 在我眼中，大学老师是知识的舵手，智慧的播种者。他们不仅在学术海洋中扬帆远航，更以博学之心，引领我们探寻真理的深渊。他们的言传身教，如同春风化雨，润物无声地滋养着我们的心田，让思维的种子在沃土中生根发芽。每一次授课，都是一场思想的盛宴，每一篇论文，都凝聚着他们的心血与汗水。他们是梦想的筑造者，未来的塑造者，用知识的光芒照亮我们前行的道路。,10,37,33,上海,,上海,中国
3,5017188131408056,叮叮车DLingling,2024-03-29 09:05:28,#总有人在名利场写诗# 去b站围观了陈志新老师的社会科学概论，真的被震撼到了，和有些高校教授只为了评职称、学术造假等行为真的形成反差。陈老师的每节课半小时到一小时，从自然科学、哲学聊到文学、美学、心理学……甚至是人工智能都有涉及。老师一个人在办公室操作着不太熟悉的设备，为了现在不太受人重视的学科努力“宣传”它们的魅力#北京师范大学教授 发传单授课#,1,2,3,浙江,杭州,浙江,中国
3,5016952290934971,镁铝二,2024-03-28 17:28:18,#北京师范大学教授 发传单授课# 陈老师有深厚的学术底蕴，而且教育也坚持着初心，确实很让人敬佩，一定要到小破站听听他的课#总有人在名利场写诗# ,0,1,0,贵州,毕节,贵州,中国
3,5016936104067768,闲听雨落时_,2024-03-28 16:24:00,#北京师范大学教授 发传单授课# 北京师范大学教授亲临发传单授课现场，小破站竟然能看到，教学风范令人敬佩！学术的殿堂里，传承着师者的责任与使命，让我们一同领略知识的魅力！#总有人在名利场写诗# ,0,0,2,广东,佛山,广东,中国
3,5016929495157903,小君悠悠_,2024-03-28 15:57:44,#北京师范大学教授 发传单授课# 北京师范大学教授亲自发传单授课，用心传承学术精髓，点燃学子求知激情！小破站竟然能看到。#总有人在名利场写诗# ,0,0,1,广东,佛山,广东,中国
