页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023354379045186,奶油小尚,2024-04-15 09:27:56,湖南农业大学《当代教育研究》知网学术期刊，北京大学图书馆收录 ,0,0,0,河北,邯郸,河北,中国
2,5023350973268941,社内李编,2024-04-15 09:14:24,《科教导刊》省级/旬刊   知网，第一批学术期刊，可收思政教育、师资建设、高教论坛、学科探索、教育观点、课程教学、教育心理、调研课题、 社科学论等。稳妥操作[爱心]审稿快，有稿速投[庆祝] ,0,0,0,辽宁,抚顺,辽宁,中国
2,5023346851321145,论文期刊辅导代发,2024-04-15 08:58:01,《经济师》，会计，财务，税务，经济师，人力资源，企业管理，市场营销，创业创新均可，X000元4800字符两个版，12月刊期次月见刊，知网万方维普，月刊，第一批学术期刊，影响因子，AMI入库。  《云端》，艺术、文化、媒体、传播，文学作品评论，经管均可，X600元4000字符三个版，24年5月刊期次月见刊，知网周刊。不刊登摘要关键词和参考文献，版权页查稿，一篇文章限3个作者，一篇文章只能一个项目。【摄影美术作品4版X800，需要简单介绍作品】  《今日财富》，经管，企业人力资源，税务，审计，知网，X200元5000字符三个版，财会类X500元，7-8月刊期，次月见刊。评职称论文发表,0,0,0,山东,济南,山东,中国
2,5023316123059973,顿河劲牛,2024-04-15 06:55:55,日本东北大学近日在英国某学术期刊上发表一项研究成果：取出小鼠肺部的部分细胞，把剩余细胞与人体细胞放在一起培养出“混合人工肺”。据称，人工肺被移植到其他小鼠体内后已确认恢复血流。研究团队认为该成果将大大促进人造器官研究。 天津·博朗园 ,0,0,1,天津,天津,天津,中国
2,5023161055187283,咸菜粥55,2024-04-14 20:39:44,SCI与ESCI以及SCIE分别是什么❓🔴SCI（Science Citation Index）是科学引文索引，是由科睿唯安（Clarivate Analytics）出版的一种文献检索工具，主要收录自然科学领域的高水平学术期刊文章。SCI的文章被收录后可以被SCI-E和SCIE所引用。🔵ESCI（Emerging Sources Citation Index）是科睿唯安（Clarivate Analytics）出版的一种文献检索工具，是SCI的扩展版，收录了一些新兴领域的期刊文章，如社会科学、人文科学、艺术等领域的高水平学术期刊文章。🟣SCIE（Science Citation Index Expanded）是SCI的扩展版，也是由科睿唯安（Clarivate Analytics）出版的一种文献检索工具，主要收录自然科学、工程技术和医学领域的高水平学术期刊文章。与SCI相比，SCIE还增加了一些新的期刊收录。期刊发表#sci#,0,0,0,江苏,南京,江苏,中国
2,5023074695253477,哈哈板栗8,2024-04-14 14:56:34,25年需要评职称的抓紧安排 最新刊期25年5-6月版面 《名师在线》 国家第二批学术期刊 中国知网全文收录 百页内超权威杂志 CNG4基础教育 ,0,0,0,河北,保定,河北,中国
2,5023004185067956,西南交通大学,2024-04-14 10:16:22,"#点赞交大人# #交大新闻眼# 【西南交大毕业生以第一作者在Nature发表最新研究成果】 近日出版的国际顶级学术期刊Nature发表了西南交通大学材料科学与工程学院2017届博士毕业生张彬彬（现为香港城市大学博士后）为第一作者的文章A three-dimensional liquid diode for soft, integrated permeable electronics(Nature628, 84–92 (2024),网页链接)。该工作提出了三维定向汗液输运新技术（三维液体二极管），基于此，开发了一套高透气、透汗的柔性集成电子设备，显著提升了柔性电子在长期服役中的监测精度、稳定性及用户舒适性，为研发临床监护、长期健康监测的可穿戴设备提供了新策略。我校杨维清教授，香港城市大学于欣格副教授、王锋教授、邱美娈助理教授与香港理工大学郑子剑教授、王钻开教授为该文章的共同作者。详情请戳网页链接 西南交大毕业生张彬彬博士以第一作者在Nature发表最新研究成果",1,2,21,四川,成都,四川,中国
2,5023009531758322,期刊论文发表王老师,2024-04-14 10:37:38,《通信电源技术》半月刊，万方、维普收录，第一批学术目录期刊5500字符起发，24年6月刊期，审核5个工作日来稿要求：1.题目、作者姓名、单位、单位省市、摘要、关键词部分需要英文翻译；2.文中图或表不少于2个；3.参考文献不少于5条，且参考文献都要有具体的来源，都需在文中上标。4.文章中有公式的话需要用公式编辑器编辑，且公式下标为正体。5.万方查重20以内 6.作者简介，单位基本信息必须要有。学术期刊论文发表#信息通信资讯##学术会议资讯##职称评审##工程类职称评审条件#,0,0,0,中国,,,中国
2,5022983538345372,东营区政务,2024-04-14 08:54:21,"#全球癌症死亡人数逼近千万# 2024年4月4日，世界影响因子最高的学术期刊 CA: A Cancer Journal for Clinicians 发布了最新的2022年全球癌症负担数据。最新数据显示，肺癌超过乳腺癌，重新成为全球第一大癌症。据估计，2022年癌症新增病例约2,000万例，死亡病例约970万例。癌症确诊后5年内存活人数约为5350万。约1/5的人在一生中会罹患癌症，约1/9的男性和1/12的女性死于癌症。（来源：医微客）@深度视频  肺癌全球第一！最新癌症负担数据发布，全球癌症死亡人数逼近千万",0,0,0,,,山东,中国
2,5022974883663322,小桃妈妈说,2024-04-14 08:19:57,发表在权威营养学学术期刊《美国临床营养学杂志》上的主编评论：日常饮食中碳水化合物的摄入情况，如血糖负荷（GL）、添加糖的摄入量、膳食纤维摄入量，以及可消化碳水化合物与膳食纤维的摄入比例，都与女性的怀孕几率相关。在膳食中碳水数量和质量与不孕症的前瞻性研究显示：与饮食中总血糖负荷较低的女性相比（GL&lt;100），总血糖负荷较高的女性（GL&gt;141）怀孕几率会下降 14%，在添加糖的摄入上也有类似的发现，摄入添加糖最多的女性，和最少的一组相比，怀孕几率下降17%。此外，膳食纤维的摄入有利于缩短备孕时间。与每天膳食纤维摄入小于 16g 的女性相比，每天摄入 25g 以上的膳食纤维，可以使怀孕几率提高13%。综上所述，降低血糖负荷、少吃添加糖、摄入足够的膳食纤维，这样的健康饮食，有利于提高怀孕几率。简单的说，就是日常主食尽量多吃富含纤维的谷物和粗粮，而非升糖指数高的精米精面，更别提那些额外的添加糖了。#养卵养身营##备孕##碳水##血糖#,0,0,0,福建,厦门,福建,中国
3,5022856364950146,腐烂电子小熊,2024-04-14 00:28:59,该篇论文已入编jjdjr学术期刊,0,1,1,湖北,,湖北,中国
