页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022433632850702,刘桂明总编辑,2024-04-12 20:29:13,新时代法律人，有啥不一样？ 不仅能开庭，还能跑马； 不仅能跑半马，还能跑全马； 不仅能够跑得好，还能够写得好。 2024，盐城马拉松赛，法律人来了，华政跑团来了！ 法律文书学术沙龙，盐城马拉松赛之前的预选赛，别具风采，分外精彩。 ,2,0,3,天津,,天津,中国
2,5022407284494195,-小赵改名啦-,2024-04-12 18:44:31,忙到头晕 怎么可以这么忙想不到清明假期是四月份仅有的休息时间 本周总结：上课 组织评比 校艺术节彩排➕演出 高中排球比赛 小学体育竞赛 团员入团谈话  组织教工团学术沙龙 备课组会 教研组会  好好好 期待小周接我明天下班吃火锅🍲  怎么他回了北京我俩还是周末情侣… ,0,7,6,北京,,北京,中国
2,5022402818347248,苏磊医生,2024-04-12 18:26:46,4月20日，济南思俊诊所即将举办首场活动——弗朗切斯基医学沙龙第一期：“CHIVA的历史、现在和未来”。 以FranceschF名字来命名学术报告厅， 是致敬， 也是一种传承。  #张强医生集团济南##苏磊医生聊静脉曲张##静脉曲张CHIVA# 济南·张强医生集团(济南)国际静脉病中心 ,0,0,1,山东,济南,山东,中国
2,5022375685656403,Etiteprueos,2024-04-12 16:38:57,好吧，开这场学术沙龙治好了我的无谓焦虑，因为感受到一种“落地” ,0,0,4,浙江,杭州,浙江,中国
2,5022341463804967,infinity_Mm,2024-04-12 14:22:58,很好奇来听导师学术沙龙的非师门学生为什么来  大家好热爱学术 ,0,0,1,广东,广州,广东,中国
2,5022004569440404,张强医生,2024-04-11 16:04:15,苏磊医生团队结束手术后，受邀到邻居企业总部传授健康知识。济南思俊诊所地处市中心CBD企业总部大楼，也是张强医生集团旗下面积最大的静脉病中心。期待本月的国际学术沙龙顺利召开！ #张强医生集团济南# ,0,1,14,澳大利亚,,澳大利亚,澳大利亚
2,5021718479378254,温文尔雅弱小无助且能吃的小青椒,2024-04-10 21:07:27,上班可真累啊……备课，培训，教学比赛，今年带3个毕业设计，夹杂着学术沙龙，招生，高层次人才会议，学院各种会议等等，根本来不及搞考核：专利，论文，项目……麻了麻了…… 发个肥仔开心开心吧 ,0,6,3,江苏,南京,江苏,中国
2,5021671512342811,--不要赫本要波姬--,2024-04-10 18:00:48,🔴工作室读书分享会要做课件🔴少先队员讲红色故事要写1000字🔴明天年级里的老师来听我的课还得备好课🔴班主任基本功大赛大纲还没想好🔴学术沙龙的稿子重新构思🔴安全家长会要开🔴月底合唱比赛还没开始组织🔴要去集团送课……浅浅死一下尸斑遍布全身……,0,3,0,重庆,,重庆,中国
2,5021657890816018,西安博物院,2024-04-10 17:06:41,#西博快讯# 2024年4月9日，西安博物院与西安市文物保护考古研究院联合发起的“雁塔论坛”首届学术沙龙在西安博物院成功举办。西安市文物局博物馆与社会文物处处长刘夏盈，西安博物院党委书记甘洪更，副院长王自力、王欢，西安市文物保护考古研究院副院长张翔宇等出席活动。论坛由王自力与张翔宇共同主持，邀请双方共40余位研究人员参加，大家围绕西安博物院拟创办的院刊《长安研究》进行畅谈。本次论坛就院刊创办、长安文化研究与传承、考古发现及出土文物的深度解读、文物的修复保护、博物馆的教育和研究等多方面进行了交流与研讨，随着后续学术沙龙的开展，将会进一步活跃西安文博科研的气氛、激励科研人员、提高科研水平、助推西安文博事业大发展。,0,0,2,,西安,陕西,中国
3,5021344560844744,你好台湾网,2024-04-09 20:21:38,【纪念郑成功诞辰400周年暨两岸青年“成功对话”读书沙龙活动在京举办】为纪念民族英雄郑成功的伟大历史功绩，弘扬爱国主义精神，促进两岸学术交流，纪念郑成功诞辰400周年暨两岸青年“成功对话”读书沙龙活动今日在北京举办。本次活动旨在深化两岸青年对郑成功文化的了解，探索“成功文化”、“成功精神”，打造两岸青年高端对话平台。来自两岸的台胞，郑成功祖地、故里的郑氏宗亲代表约70余人参加活动。（总台记者：陈静）#郑成功诞辰400周年##成功精神##成功文化#,0,0,1,,深圳,广东,中国
3,5021298543559878,废话很多_72770,2024-04-09 17:18:47,今日学术沙龙有感 法学院门面ace我导讲课超好 ,0,2,1,广东,广州,广东,中国
3,5021199876754021,是宇宇宇宇小朋友,2024-04-09 10:46:43,机票买好了 酒店定好了 论文终稿交完了  老师说 每周又要开始学术沙龙了 可是 对不起了我导儿！  明天这会儿 轻舟已过广东省 ,0,9,2,北京,北京,北京,中国
3,5021170787419267,Bless_21,2024-04-09 08:51:07,建议不是我们学术沙龙的人不要跟我合作项目，讨论起来太他妈费劲了 ,0,6,2,湖北,武汉,湖北,中国
