页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5021668428218682,妇女研究所,2024-04-10 17:48:34,【征文通知 | “庆祝新中国成立75周年：中国式现代化与妇女发展”学术研讨会】中国妇女研究会拟于2024年9月召开“庆祝新中国成立75周年：中国式现代化与妇女发展”学术研讨会。论文征集截止时间为2024年7月15日。会议主题、征文指南、论文要求见下图⬇️！期待大家的参与附件下载戳网页链接,0,0,1,,北京,北京,中国
2,5021610962587147,期刊论文发表编辑部,2024-04-10 14:00:13,《汉字文化》 主管单位：北京市社会科学界联合会 主办单位：北京国际汉字研究会 国际刊号：1001-0661 国内刊号：11-2597/G2 (2022)复合影响因子：0.229 (2022)综合影响因子：0.046 北京大学《中文核心期刊要目总览》来源期刊： 主要栏目 语言文字   学术研究  汉语文教学研究 讨论与争鸣 语文大家谈 ,0,0,0,河北,张家口,河北,中国
2,5021323602431094,文旅新洲,2024-04-09 18:58:21,近日，在湖北省乡村规划研究会年会暨“乡村振兴·规划先行”学术研讨会上，《新洲区旧街问津茶苑美丽乡村示范片建设规划》获评2023年度湖北省优秀乡村规划案例。省级！新洲这个规划获评优秀武汉·新洲 ,0,0,0,,武汉,湖北,中国
2,5021299577195858,运城发布,2024-04-09 17:22:53,【2024年4月“河东大讲堂”举行】4月8日，2024年4月“河东大讲堂”举行。中国金融四十人论坛学术顾问、国家创新与发展战略研究会学术委员会常务副主席、重庆市原市长黄奇帆受邀作专题报告。市委书记丁小强主持。市委副书记、市长储祥好，市委副书记、政法委书记王立刚，市人大常委会主任那志茂，市政协主席陈杰等市四大班子领导出席。黄奇帆以《新格局下中国经济开放的新特征、新成就及发展新质生产力的战略路径》为题，通过大量翔实的资料、数据和事例，深入浅出地对新格局、中国经济开放的特征、新质生产力等进行了清晰透彻的讲解。报告既有多年从事经济管理研究的经验总结和升华提炼，又有对先进生产力领域的深入思考和前沿探索，更加坚定了与会人员发展新质生产力的信心决心，为推动运城经济高质量发展提供了科学的决策参考。报告会现场，与会人员聚精会神、认真记录。大家一致表示，专题报告视野宽宏、主旨鲜明，脉络清晰、阐述深刻，内涵丰富、重点突出，具有很强的政策性、理论性、实践性和指导性。通过聆听报告对新格局下的中国经济开放有了更加深刻的认识，对新质生产力的理论内涵和实践要求把握更加准确，进一步开阔了发展视野、拓展了工作思路。一定要把思想和行动统一到习近平总书记关于发展新质生产力的重要论述，统一到党中央决策部署、省委部署要求上来，牢牢把握高质量发展这一首要任务，立足比较优势，因地制宜发展新质生产力，塑造更多发展新动能、新优势，为推动全市高质量发展实现新突破作出应有贡献。要以科技创新引领现代化产业体系建设，深入实施创新驱动发展战略，大力推进产业转型“五个行动”，着力抓好“晋创谷·运城”等高水平创新平台建设，努力提高全要素生产率，推动形成体现运城特色优势的现代化产业体系。要以低碳转型培育绿色生产力，坚持降碳减污扩绿增长协同推进，发展绿色制造业、绿色服务业、绿色能源产业，构建绿色低碳循环经济体系，厚植高质量发展的绿色底色。要以全面深化改革构建新型生产关系，狠抓体制机制创新，扩大高水平对外开放，积极融入新发展格局，不断深化区域合作，在更大范围内联动构建创新链、产业链、供应链。本期大讲堂以视频形式开到各县（市、区）。市直各部门各单位、市管各学校和企业、部分重点企业主要负责同志等在主会场参加。,0,2,0,,运城,山西,中国
2,5021263619687492,国家图书馆,2024-04-09 15:00:00,#国图讲坛# 中国典籍与文化系列讲座【拓片北京之永定河文化】主讲嘉宾：张云涛 北京联合大学民族宗教研究所特邀研究员，中国银龄达人、京津冀银发榜样传拓达人。中国民俗学会会员，中国文物学会会员、北京史地民俗学会学术委员。北京市门头沟区政协（第十一届）文史参事、北京永定河文化研究会监事长。著有“碑记三部曲”《北京戒台寺石刻》《潭柘寺碑记》《碑记 石刻中的北京永定河文化史》等多部著作。曾作为特邀学者、民俗专家在中央电视台、北京人民广播电视台、门头沟融媒等平台，以石碑、石刻、拓片为线索讲述北京历史文化节目90余集。活动时间：2024年4月13日 周六 9:30-11:30活动地点：国家图书馆古籍馆临琼楼二层讲座厅（北京市西城区什刹海街道文津街7号88545593）*本场讲座无需预约,0,0,3,,北京,北京,中国
2,5020991337529610,阿昊大导演永远开心,2024-04-08 20:58:02,#李昊#阿昊晚上好，太酷啦！！我们家阿昊也是去过清华，参加过研究会的人啦！真的好厉害啊，真的是在做大做强的路上，走出了不一样的新天地，现在已经进入学术圈了哈哈哈哈哈，真的好厉害，超级棒！ ,0,0,2,河南,郑州,河南,中国
2,5020983651991848,阳江日报,2024-04-08 20:27:30,【香港庄子文化研究会到阳江开展学术交流】近日，庄子文化基金有限公司（香港）、香港庄子文化研究会一行来到那龙镇历屯村阳江庄子文化推广中心，与阳江市庄子文化研究会开展学术交流活动，双方分享了庄学研究心得。 ,0,0,0,,阳江,广东,中国
2,5020805551099598,职称论文-著作专利,2024-04-08 08:39:48,《武当》 国家级 知网 主办单位：武当山武当拳法研究会 出版周期：月刊 ISSN：1004-5821 CN：42-1044/G8 本刊栏目：学术版  太极拳法  内家功夫  静功炼养  今日武当  大岳武话  武道人物  武坛动态  沧浪之光  散打搏击  名拳撷珍  今日武当  大岳武话。 ,0,0,0,河北,张家口,河北,中国
2,5020124589328921,河南春晚官方,2024-04-06 11:33:54,为什么英歌舞称为中华战舞呢？听潮学国际研究会学术委员会主任，汕头市华侨历史学会会长 林伦伦老师 讲述【英歌舞】的前世今生。2024#清明奇妙游# 一朝风起正春时！ 河南春晚官方的微博视频 ,9,10,62,,郑州,河南,中国
2,5019744183256512,作家赵威,2024-04-05 10:22:18,周燕芬&amp;nbsp; 陕西米脂人，文学博士，西北大学文学院教授，博士生导师，中国现代文学研究会理事，中国当代文学研究会理事。著有学术著作《执守·反拨·超越—七月派史论》《因缘际会—七月社、希望社及相关现代文学社团研究》《文学观察与史性阐述》等，获陕西省哲学社会科学优秀成果奖一等奖。出版随笔集《燕语集》。,0,0,1,贵州,六盘水,贵州,中国
