页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022000471082852,公式易推倒,2024-04-11 15:47:59,周一那天学校搞得讲座真的很精彩。明治学院的松野诚也研究员的演讲确实内容详实，引人深思，尤其是他收集这些证据的决心。还有让我觉得很佩服的是浙江历史学会抗日战争史研究分会会长，王选女士的演讲。她讲话真的掷地有声，精通日语只是她最微不足道的技能，真正的著作等身，醉心学术。 ,0,0,1,江苏,南京,江苏,中国
2,5021969935761857,1duang1duang1duang1,2024-04-11 13:46:39,前两天遇到一个无能狂怒的客户，气得我感觉自己结节复发必须去照彩超的程度。 今天遇到一个博士后研究员客户，专业客气，让我们如沐春风。 给这些学术老师们磕头！！！ ,0,6,0,北京,北京,北京,中国
2,5021281697138188,中国金融杂志,2024-04-09 16:11:50,【推动全国碳市场功能发挥】 作者｜宾晖　黄蓝「中国节能协会碳中和专业委员会副主任、清华大学全球证券市场研究院学术委员；上海环境能源交易所市场运营部高级研究员」《中国金融》｜推动全国碳市场功能发挥 ,0,0,0,,北京,北京,中国
2,5021263619687492,国家图书馆,2024-04-09 15:00:00,#国图讲坛# 中国典籍与文化系列讲座【拓片北京之永定河文化】主讲嘉宾：张云涛 北京联合大学民族宗教研究所特邀研究员，中国银龄达人、京津冀银发榜样传拓达人。中国民俗学会会员，中国文物学会会员、北京史地民俗学会学术委员。北京市门头沟区政协（第十一届）文史参事、北京永定河文化研究会监事长。著有“碑记三部曲”《北京戒台寺石刻》《潭柘寺碑记》《碑记 石刻中的北京永定河文化史》等多部著作。曾作为特邀学者、民俗专家在中央电视台、北京人民广播电视台、门头沟融媒等平台，以石碑、石刻、拓片为线索讲述北京历史文化节目90余集。活动时间：2024年4月13日 周六 9:30-11:30活动地点：国家图书馆古籍馆临琼楼二层讲座厅（北京市西城区什刹海街道文津街7号88545593）*本场讲座无需预约,0,0,3,,北京,北京,中国
2,5021205094466879,临淄发布,2024-04-09 11:07:27,#刘东祥解析寻齐记基本架构#【大型齐文化电视专题《#寻齐记#》引发广泛好评】近日，由淄博市委宣传部、淄博市委网信办等牵头组织拍摄的《寻齐记》在央视10套热播，播出后引发普遍反响和广泛好评。本期专访齐文化研究院学术研究部副主任、助理研究员刘东祥。（淄博日报 编辑：孙郅凯 审核：查考） #博览资讯##这就是淄博# 淄博日报的微博视频,6,4,5,,淄博,山东,中国
2,5020947801966376,淄博日报,2024-04-08 18:05:03,#刘东祥解析寻齐记基本架构#【大型齐文化电视专题《寻齐记》引发普遍反响和广泛好评——专访齐文化研究院学术研究部副主任、助理研究员刘东祥】近日，大型齐文化专题纪录片《寻齐记》在央视十套《探索与发现》栏目播出，引起我市各界对这部纪录片以及齐文化的关注和热议。齐文化研究院学术研究部副主任、助理研究员刘东祥解析了《寻齐记》的基本架构。（淄博日报 编辑：孙郅凯 审核：查考）#共谈《寻齐记》# #这就是淄博# 专访齐文化研究院学术研究部副主任、助理研究员刘东祥,0,1,2,,淄博,山东,中国
2,5020943386674190,江西省社会科学院微博,2024-04-08 17:47:31,"　　为推动2023年立项的国家课题顺利开展研究，加强院青年学者的交流学习,2024年3月22日，历史研究所在院四楼会议室举办了国家社科基金项目开题报告会暨青年学者学术沙龙。省委党史研究室原副主任何友良、省社会科学院副院长钟小武担任点评专家，历史研究所研究员庞振宇主持会议。　　钟小武指出，要加紧课题研究，保证质量，把每一项科研产出都做成精品，把自己研究的领域开辟成学术界绕不开的一个高地，发挥模范引领作用，增强社科院的影响力。钟小武殷殷希望年轻学者做实研究工作，着眼未来，拓宽视野，做好个人科研规划，一步步实现学术理想，并预祝2024年我院国家课题申报立项再创佳绩。　　易凤林和张丹两位国家课题立项人分别围绕“中共县委制度的发展演变及其历史经验研究（1921—1927）”“安源工人运动口述资料整理与研究”，做了比较系统全面的开题报告。何友良、钟小武两位点评专家从宏观与微观相结合、理论与实践相结合的视角，对课题资料的整理、课题框架的设置、课题研究的基本原则等方面提出了指导意见。 　　历史研究所2023年国社科基金项目申报取得了可喜的成果，为青年学者树立了榜样。在会议的自由发言环节，各个研究所的青年博士积极发言提问，就国家课题的申报进行了充分的交流学习。",0,0,0,,南昌,江西,中国
2,5020879738374974,科学网论文,2024-04-08 13:34:36,【科研团队多手段诊断地下水氟污染危害】近日，中国地质大学（武汉）环境学院高旭波研究员团队在国际期刊《危险材料杂志》上，发表学术论文《干旱半干旱地区高氟地下水水文地球化学—稳定同位素、污染源解析及健康风险》。该研究提出了有效的地下水管理技术、管理工具和氟中毒缓解措施，有望为地区供水安全提供重要理论和技术依据。论文传送门☞网页链接地下水氟污染是一个全球关注的问题，长期暴露于地下水高氟水平会引起病区社区人群氟中毒和非致癌疾病。全球25个国家、超过2.6亿人患有氟牙和氟骨症等氟污染相关疾病，巴基斯坦有超过1300万人面临地下水氟污染风险。吉尔吉特半干旱区是巴基斯坦北部氟中毒的流行地区之一，分析该地区地下水中氟的水文地球化学特征，探讨地下水中氟的运移和富集机制，对实现区域地下水资源可持续利用具有重要意义。论文系统采收集了96个不同来源的地下水、地表水和岩石样本，通过水文地球化学、稳定同位素、结合矩阵分解（PMF）、主成分分析多元线性回归模型（PCAMLR）技术，综合评估了巴基斯坦吉尔吉特半干旱地区高氟地下水的成因、污染来源以及人体健康风险。研究发现，该地区地下水氟含量严重超标不宜饮用，高氟水产生的主要物源包括水文地质过程、采矿活动、工业生产及农业污染，并建议以上四方面切入点，为解决高氟地下水健康威胁提供针对性的治理策略。据悉，该论文第一作者为该校2019级巴基斯坦籍博士研究生阿卜杜勒·拉希德，论文共同通讯作者为高旭波研究员。（来源：中国科学报 李思辉 许峰）,2,0,1,河北,保定,河北,中国
2,5020867945827050,scorpio-S,2024-04-08 12:47:44,#虐猫考生已参加兰大研究生调剂复试#有谁还记得当年清华“硫酸泼熊”大学生，已成中科院副研究员？等有了学术地位，就没有人讲德才了 ,0,0,0,浙江,杭州,浙江,中国
2,5020492205395027,明医好药君和堂,2024-04-07 11:54:41,本视频于2023年10月22日在上海君和堂录制，记录了闫崇文先生为数不多分享从医50年来核心的学术思想与临床实践经验的珍贵视频，谨以此片纪念闫崇文先生。沉重悼念中原智库终身荣誉提名奖、中原智库学术委员会委员，中原智库资深研究员、中原智库中医中药研究中心执行主任、海内外著名的中医中药学家、危急重症临症中医专家、旅居意大利知名中医师、意大利中医药学会荣誉主席闫崇文先生。闫崇文先生献身中医事业50余年，虽身在意大利，却心系中医药学的传承与弘扬，将心血倾注在急危重症的治疗中，更在新冠疫情期间，以精湛的中医中药医术，救助了世界各地众多患者。以医者之力，行中医效如桴鼓之实。仍记得先生踌躇满志邀请大家共同为组建中医急危重症救治中心而努力，奔走在国内外中医交流中，架起中医跨国交流的桥梁。相信在先生的影响下会有更多中医人发扬中医急危重症救治，为建立中医ICU而努力，捍卫中医尊严，让中医早日回归医学地位，走出国门、走向世界。悼念闫师崇文先生，牢记先生之志，接力相续，共勉之。中医#遇见明医#君和堂 明医好药君和堂的微博视频,47,6,36,上海,上海,上海,中国
