页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022407284494195,-小赵改名啦-,2024-04-12 18:44:31,忙到头晕 怎么可以这么忙想不到清明假期是四月份仅有的休息时间 本周总结：上课 组织评比 校艺术节彩排➕演出 高中排球比赛 小学体育竞赛 团员入团谈话  组织教工团学术沙龙 备课组会 教研组会  好好好 期待小周接我明天下班吃火锅🍲  怎么他回了北京我俩还是周末情侣… ,0,7,6,北京,,北京,中国
2,5022107933607119,NCDF2,2024-04-11 22:55:00,狗屎高中竞赛，赤裸裸的学术腐败，蒙卡这玩意怎么也得高年级本科生接触,0,0,0,江苏,南京,江苏,中国
2,5022032624617514,布兰戴斯国际商学院,2024-04-11 17:55:45,祝贺24届工商管理硕士专业的毕业生Peter Thabet！他将担任5月19日#Brandeis#布兰戴斯大学第73届毕业典礼的研究生代表发言人。自2022年8月来进入布兰戴斯大学以来，Peter一直积极参与校园的学术和课外活动。他在2023年获得了“年度迎新领袖奖”，并在股票推介大赛和咨询案例竞赛中分别荣获第一名。在攻读工商管理硕士项目之前，Peter曾在埃及通信和信息技术部门担任领导角色，负责管理一个科技创业加速项目。期间，他曾帮助500多名创业者创业和融资，这展示了他对于创新和商业发展的坚定承诺。我们非常期待在毕业典礼上听到他的就读感悟分享！@BrandeisUniversityCSSA @MBA智库 @校园头条,0,0,0,印度尼西亚,,印度尼西亚,印度尼西亚
2,5022007767073565,oip40307,2024-04-11 16:16:59,全国大学生奥林匹克数学竞赛，每年3-6月举办夏季赛，10-12月举办冬季赛，至今年已举办到第三届。2024年3月开始，由国际（澳门）学术研究院数学科学研究所与数学建模研究与应用期刊社联合举办的“第三届全国大学生奥林匹克数学竞赛”——夏季赛开放报名！大赛旨在通过独特创新的比赛模式和理念，给爱好数学的青年大学生提供发挥其才能和智慧的平台。在此，欢迎广大师生踊跃参与！#全国大学生奥林匹克数学竞赛 #数学竞赛,0,0,0,河北,,河北,中国
2,5021705791865444,诚朴留学背景提升,2024-04-10 20:17:02,🔥课程收获： ✅技能提升：提高数学建模、数据分析和论文撰写的能力。 ✅团队协作：学会在团队中发挥自己的长处，共同解决问题。 ✅创新思维：培养创新思维，学会从不同角度审视问题。 ✅背景强化：在国际竞赛中获得佳绩，为你的学术和职业生涯增添亮点 ,0,1,0,安徽,马鞍山,安徽,中国
2,5020932882041898,aa琴啊,2024-04-08 17:05:46,Day1：参观了吴淞中学的道尔顿工坊、校史馆，不得不说此学校不仅仅注重知识的传授，更加致力于培养学生的创新精神和实践能力，化工制作如口红香皂、陶艺、十字绣、扎染、航母等等，在学术竞赛、文体活动和社会服务等方面所获奖项包括上海市、全国乃至世界级别，这才是一所称得上有自己特色的示范学校  上海·吴淞中学,0,2,3,上海,上海,上海,中国
2,5020798050107823,超短辉哥,2024-04-08 08:10:00,商汤科技成立于2014年，商汤科技有40位教授，3000多名科学家和工程师。商汤科技已经获得70个全球人工智能竞赛冠军，发表了600篇顶级学术会议论文，拥有8000项人工智能专利。商汤科技已经成立了十年了，已经汇聚了这么多人才，真是人才高地。可能商汤科技的研发人员门槛就是博士毕业。基本上个个都是博士毕业吧？而且是世界名校博士毕业。例如麻省理工学院。麻省理工学院是世界前几名的大学，麻省理工学院拥有20多个图灵奖得主，90多个诺贝尔奖得主，真是群星璀璨。商汤科技的团队是来自麻省理工学院、香港中文大学、清华大学、北京大学的博士、硕士，还有来自微软、谷歌、联想、百度等公司的员工。清华北大也是名校，是中国学生最向往的两所大学。除了名校，还有大公司。微软和谷歌是美国著名公司，百度和联想是中国的著名公司。真是群英荟萃。,0,1,206,广东,韶关,广东,中国
2,5020663176496619,vivi喂喂喂1,2024-04-07 23:14:03,呵呵 狗屁小组作业丝毫没有头绪都给我再strong一个试试呢一群学术垃圾在这装什么东西好像能研究出什么东西一样我是研究不出来哈哈什么狗屁一回来净是破事一个水课还好意思说自己是竞赛神经病吃多了没事干就多去外面看看别人普通人都上什么班真要给社会做贡献就帮清洁工阿姨扫扫地在这天天研究这个思想那个思想自己明明屁都不是什么玩意儿啊装得要死睡觉了 写不出我就随便编了 惯不了这群人一点,0,2,0,湖南,长沙,湖南,中国
3,5020441435177375,一定能考7,2024-04-07 08:32:55,一、大赛背景全国大学生奥林匹克数学竞赛，每年3-6月举办夏季赛，10-12月举办冬季赛，至今年已举办到第三届。2024年3月开始，由国际（澳门）学术研究院数学科学研究所与数学建模研究与应用期刊社联合举办的“第三届全国大学生奥林匹克数学竞赛”——夏季赛开放报名！二、主办单位国际（澳门）学术研究院数学科学研究所数学建模研究与应用期刊社【资助单位】澳门基金会（行政长官直属）澳门霍英东基金会三、日程安排报名时间：2024年3月2日-5月18日模拟考试：2024年4月20日 10:00-12:00考试时间：2024年5月19日 10:00-12:00成绩公布时间：2024年6月17日证书发放时间：2024年6月20日四、参赛对象本次大赛为个人赛，全国在校大学生（专科、本科、研究生不限）、在职工作人员均可报名参赛。五、参赛规则组别设置：分数学类和非数学类，数学专业（学科代码0701）只可选择数学类，非数学专业可自由选择。最终按组别分别评奖。考试时长120分钟，总分10分。六、奖项设立1. 学生奖项：2. 优秀指导教师：组织 10 人及以上参赛的教师，颁发“优秀指导教师”证书。3. 优秀组织单位：组织 20 人及以上的参赛单位，颁发“优秀组织单位”证书；组织 50 人及以上的参赛单位，可申请“优秀数学教育基地”荣誉牌匾。4. 志愿者奖项：优秀志愿者、最佳志愿者和卓越志愿者奖按参与度进行登记评定。,0,1,1,山东,泰安,山东,中国
3,5019478393359501,诚朴留学背景提升,2024-04-04 16:46:09,✅今晚，我们将举行一场直播活动，深入分析申请藤校敲门砖的学术写作竞赛：John Locke，Re：think，IEA，马歇尔，LSE经济比赛；✅特别连线去年John Locke晋级学员Lynn（港大王牌专业全奖），详解John Locke比赛；✅帮助你在申请顶尖大学时更好地展示自己的人文思想和素养；✅适合学生：9-11年级学生（理工科同样适合）,0,0,0,安徽,马鞍山,安徽,中国
