页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5021240974377645,爱上吴兴,2024-04-09 13:30:00,【申报启动】职称是专业技术人才学术技术水平和专业能力的主要标志，职称评审结果是专业技术人才聘用、考核、晋升等的重要依据。今年职称初定要来啦！快看看你需要准备什么↓↓网页链接（来源：湖州发布） ,0,0,0,,湖州,浙江,中国
2,5021180332869374,张树vii,2024-04-09 09:29:03,不是评审制度的问题，而是人品与学术的问题//@书-会-儿:巧-列了投稿者存在的各种问题～～～算是一次隔空对话吧。//@陆既作:核心期刊论文外审制度也存在很大弊病，作者与专家无法对话，任凭专家宰割//@肥菴:有些不负责任的人真是瞎TM审，应该建立退出机制！,0,0,0,江苏,南京,江苏,中国
2,5020624399371995,台风监测,2024-04-07 20:39:58,台风所张旭研究员荣获2023年度第十二届“清华大学-浪潮集团计算 近日，2023年度第十二届“清华大学-浪潮集团计算地球科学青年人才奖”名单揭晓，评审委员会通过综合考量候选人的学术创新点、对学科的贡献与影响以及候选人的研究成果与计算地球科学的结合度，最终确定了2023年度“清华大学—浪潮集团计算地球科学青年人才奖”获奖者。中国气象局上海台风研究所张旭研究员凭借高分辨率数值模式物理过程参数化方面的研究荣获该奖项。清华大学-浪潮集团计算地球科学青年人才奖是国内计算地球科学领域首个、也是目前唯一一个人才奖励计划，由清华大学地球系统数值模拟教育部重点实验室与浪潮集团联合设立。领域涉及天气监测、地震、海啸预警、环境污染等与百姓生活密切相关的方方面面，旨在促进国内地球系统科学与高性能计算交叉领域的研究，推动交叉青年人才培养。该奖项每年颁发一次，由两院院士、长江学者和知名专家推荐候选人，经过专家评审团的审核之后，最终确定奖项得主。今年全国共有5位青年科学家获奖。张旭研究员任职于台风所数值室，长期从事高分辨率数值预报模式动力框架和物理过程参数化研究，在国产GRAPES模式动力框架的改进、尺度自适应的湍流参数化和对流参数化方案研发与应用等方面取得了创新成果。曾获中国气象学会“第九届全国优秀青年气象科技工作者”，并入选中国气象局“气象高层次科技创新人才青年气象英才计划”。,0,0,2,海南,儋州,海南,中国
2,5020536314790349,财税考培,2024-04-07 14:49:57,高会评审期刊论文发表注意事项1.期刊选择:选择正规、具有影响力和学术声誉的期刊，具备国内国际双刊号，可通过国家新闻出版署进行查询。2.投稿要求:了解目标期刊的投稿要求，包括论文格式、字数限制、参考文献格式等，并严格遵循。3.论文质量:内容具有创新性、实用性和学术价值。逻辑严谨，论证充分，数据准确。一般要求查重率不高于20%，且不要用 AI进行写作。3.研究方向:确保论文与会计领域相关，且与评审要求相符。4.时效性:一方面要关注研究内容的时效性，使其具有现实意义和应用价值;另一方面也要确保论文的出刊时间、上网时间赶得上评审时间，通常建议是提前2年开始准备论文发表事宜。5.严禁抄袭:保证论文的原创性，避免抄袭和剽窃。这在评审的时候会被一票否决、6.版权问题:了解并遵守期刊的版权规定。7.署名规范:遵循学术规范，正确署名，写清楚自己的发表单位也很重要，每年都有人因为单位署名错误的情况发生。8.伦理问题:遵守学术伦理，确保研究过程和结果的真实性和可靠性。尽量不要涉及一些禁忌问题的探讨。🌷详情咨询➕V：szja20192020#会计 #财务 #高级会计师#这证最吃香[话题]#,0,0,1,广东,深圳,广东,中国
2,5020526057622390,期刊论文发表王老师,2024-04-07 14:09:12,《中国机械》国家级 知网万方同步收录 第二批学术目录期刊 6000字符/4P现收24.3-4月刊期   次月见刊 可发票（审稿5-7个工作日出结果）可XF包录《中国机械》杂志设置工业设计、机械制造与智能化、机械工业应用、先进材料技术、先进动力与能源技术、现代交通技术、安全与生产、职业教育等机械相关栏目学术期刊论文发表#中国机械工业集团旗下中国机床控股的贷贷网##领先建设新型电力系统省级示范区主阵地##适应以新能源为主体的新型电力系统建设##职称评审#,0,0,3,辽宁,葫芦岛,辽宁,中国
2,5020473182913922,辽河油田,2024-04-07 10:39:05,#中华人民共和国科学技术进步法# 第五十条　科学技术研究开发机构享有下列权利：（一）依法组织或者参加学术活动；（二）按照国家有关规定，自主确定科学技术研究开发方向和项目，自主决定经费使用、机构设置、绩效考核及薪酬分配、职称评审、科技成果转化及收益分配、岗位设置、人员聘用及合理流动等内部管理事务；（三）与其他科学技术研究开发机构、高等学校和企业联合开展科学技术研究开发、技术咨询、技术服务等活动；（四）获得社会捐赠和资助；（五）法律、行政法规规定的其他权利。,10,50,12,辽宁,盘锦,辽宁,中国
2,5019800479468914,那些你陪我的日子13,2024-04-05 14:06:00,一想到我的学术垃圾2.0版本已经送审了就心慌，只希望评审老师眼下留情，我也知道我的东西就是💩，但是这坨💩我真的缝缝补补了很久，接心软盲审专家🙏🙏🙏 ,0,0,0,甘肃,兰州,甘肃,中国
2,5019741624471983,苹果沙滩,2024-04-05 10:12:08,本科生为什么要写学术垃圾 又说答辩论文与查重的必须一致 又说专家评审不合格不让过 还要先行查重再评审 这不是自相矛盾吗 不知道谁想出来的 ,0,0,0,江西,九江,江西,中国
2,5019171479621252,咕咕咕叶筱舞,2024-04-03 20:26:35,耶小屋  又把自己的学术垃圾扔出去了 希望遇到心软的评审专家 求求收掉见刊吧求求 ,0,4,1,浙江,宁波,浙江,中国
3,5019119973303546,电子麦芬三号机,2024-04-03 17:01:55,哈哈，搞学术，搞个屁啊🤗全是骗人的，最终只是比谁更擅长骗人而已。骗学生骗导师骗评审骗同行骗所有人，阿斯代伦来做学术都要获得激励点的程度🤗 ,0,1,4,四川,成都,四川,中国
3,5018994950013942,期刊论文发表王老师,2024-04-03 08:45:07,通知：《亚太教育》节后恢复收稿！24.7-9月省级G4 半月刊 知网万方 3版4000字 /4版5400字 （主收4P）摘要150-300字符 引言200字符征稿栏目：幼儿，小初高，中职，不看单位，所有高校单位基础教育方向皆可收录。查重30%以内。学术期刊论文发表研究生#教师#教师期刊论文发表#职称评审#,0,2,1,中国,,,中国
3,5018760826060919,阿幼朵朵丶,2024-04-02 17:14:47,Scopus为甚么宜早不宜迟1、如果是着急毕业，要知道期刊都是有不同的发布周期的，有的月刊，双月刊，季刊等等，在需要想要的时间段内能录用见刊的话，就要计算好投稿时间，返修时间。接收时间，上线见刊时间，检索时间等等。包括不确定因素，评审的时间也有快有慢，返修的次数，返修之后的审核时间2、好的期刊的版面费只会高不会低，越拖时间，版面费就会逐渐上涨3、期刊为了提高质量，对投稿论文的质量只会越来越高，所以越往后要求越难。   #scopus期刊投稿##留学马来西亚##学术期刊投稿#,1,0,0,江苏,南京,江苏,中国
3,5018738618794542,香榭主人牛婆婆,2024-04-02 15:46:32,来了一帮这教授那专家来我司搞评审，一个个像大牛大佬一样，结果提的建议全是“我司：我们拿这种砖头砌墙”“教授：你们这个砖头尺寸测量方法是非标的吧？”“专家：你们这个砖头里面为什么还有杂质？”……还真不是咱故意看不上学术派，咱自己也是学术出身，但让学术派来评审工业技术流是不是有点尴尬#牛婆婆的日常#,0,0,0,山东,淄博,山东,中国
3,5018398599676315,中南大学湘雅三医院,2024-04-01 17:15:26,湘雅三医院耳鼻咽喉头颈外科获得“华南眩晕中心联盟理事单位”授牌3月22日至23日，2024华南眩晕中心联盟第四届学术年会在四季如春的美丽昆明隆重举行，大会汇集了来自全国各地的专家学者以及业界领袖，共同探讨眩晕疾病的诊疗技术、最新研究成果、前庭康复和未来发展趋势。经过严格筛选和评审，#中南大学湘雅三医院# 耳鼻咽喉头颈外科眩晕中心，不负众望获得“华南眩晕中心联盟理事单位”，李维副教授代表科室上台领取授牌。这是全国大会对耳鼻咽喉头颈外科眩晕中心多年来在#眩晕# 疾病的诊治、前庭康复、研究成果、高质量服务水平等方面取得显著成绩的表现和贡献的高度评价和认可。,0,0,0,,长沙,湖南,中国
3,5018348792840193,有风有雨有雪有遗憾,2024-04-01 13:57:30,恳请各位评审专家高抬贵手 对我这个学术垃圾手下留情吧 放我这个傻孩子啊🤔 三月没让我好过一天啊 ,0,8,4,新疆,巴音郭楞,新疆,中国
