页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4795797541227354,自贡婚礼主持王丽丽,2022-07-27 10:58:18,自贡市婚庆行业协会 业务范围:宣传、理论研究、学术交流监督、指导婚庆市场运作、制定婚庆服务相关产业行业标准、行业规范、培训、考核及资格认证、开展婚姻文化知识和心理咨询等工作。 ,0,0,0,四川,,四川,中国
2,4737823964398264,训诂振译,2022-02-17 11:31:59,虽然在大多数国家，政治和政策制定原则上对任何人开放，而不是持牌企业，但学术政治科学家对政治、公共行政和政策的分析需要高水平的培训和专业资格。人们期望政治学家能说出权力的“真相”。但他们对权力也说真话吗？ ,0,0,0,,,,
2,4726408645970235,钱春喜的微博,2022-01-16 23:31:36,FIMA学术标准（中国）委员会(FIMA.CN)FIMA学术标准（中国）委员会是中国中小企业协会财务和投资工作委员会与FIA在中国地区共同授权、发起成立的专业标准研究和执行机构。承担FIA中国地区管理会计专业资格（Finance &amp; Investment Management Accounting以下简称：FIMA）培训、考试项目的中国地区本土化研发、评价、市场规划及推广工作。负责FIMA专业资格国际认证项目在中国技术体系的更新和专业技术支持。,0,0,0,,,,
3,4718252015487655,眼科教授林顺潮,2021-12-25 11:20:03,视界之光，湾区绽放 战略合作，着眼未来 希玛眼科与深圳市视光学会的战略合作， 将围绕眼视光人才联合培养、学术交流、 眼视光技能培训及资格认证等全面合作， 打造大湾区眼视光优质平台， 促进眼视光行业健康规范发展。 #2022新年新健康# @希玛眼科集团 ,0,0,11,,,,
3,4714731804034623,港新申请饲养员,2021-12-15 18:12:00,"【港大 中国法硕士】项目解析🔶项目简介港大法学院是世界上为数不多的提供中国法法学硕士课程的法学院之一，该课程在不受意识形态约束的学术环境中以英语进行。本课程主要讲述中国大陆的法律制度，既适用于正式的法律培训，也包括寻求获得中国法律专业资格证书的学生/从业人员，以及相关领域的专业/研究人员（如经济、金融、社会学、政治学、商业）。📌语言要求：雅思7(小分6.5)   托福97⏰申请时间：截至2022年2月28日💰学费：HK$153,300香港大学    #香港留学#  #饲养员の项目解析库#",0,1,0,,,,
3,4704143233520722,贾若寒,2021-11-16 12:56:48,我是在教育培训领域的普法工作者。贾若寒，中国人民大学法学硕士。雅思考试和托福考试畅销书作家。高等学校语言学教师资格证书持有者。2018新浪五星金牌教师。全国国际教育教师学术联盟2019-2020年度“留学教育行业影响力人物”。教育法律法规研究学者。著有《雅思考官口语》、《雅思考官写作》、《托福写作提分手册》、《托福词汇真题集》等畅销书。,0,0,0,,,,
3,4700230769446380,猫猫鲸,2021-11-05 17:50:04,剥夺一条学术废柴🐳的快乐很简单，一整天阻止我骑车的雨，毕业压力，就业焦虑，已经开始报名了但仍不知能否获得的选调资格，必须两个校区来回奔袭的党员培训。 把学术废🐳搞崩溃也很简单——上述问题同时出现。好像什么都做不好。 去健身了。快停止这无意义的精神内耗。 上海 ,0,0,1,,,,
3,4679954354668528,lalalaoo--,2021-09-10 18:58:50,学位授予 Ø按培养计划要求修满学分 Ø发表符合学校要求的学术论文 Ø通过硕士学位论文答辩 Ø取得《执业医师资格证书》 Ø完成住院医师规范化培训并取得《住院医师规范化培训合格证书》； ,0,0,0,,,,
3,4659635267046843,成都图书馆,2021-07-16 17:18:02,#成都图书馆活动预告# 锦城讲堂注意力——决定孩子的一生时间：7月17日（星期六 10：00 ）地址：成都图书馆二楼学术报告厅主讲：栾莉莉（国家二级心理咨询师、青少年心理咨询师、家庭教育指导师认证考官、感觉统合训练指导师认证考官、高级育婴师认证培训师、教师资格证。长期从事教育工作与儿童心理研究，在儿童潜能开发：注意力、逻辑思维、想象力、记忆力及、感觉统合等方面进行个性化培养指导，具有显著提高少儿各项能力的丰富经验。）讲座概要：在孩子的成长过程中，学习成绩是考量孩子能力的重要指标。但是，有些孩子脑子并不笨，成绩却始终上不去。他们经常会出现这些怎么也改不掉的“小毛病”，例如：上课开小差、写作业拖拖拉拉、计算容易出错、考试时粗心大意、字迹潦草书写困难、性格鲁莽、抗挫能力差等等，家长打过骂过引导过，可是都收效甚微。到底是为什么呢？本场讲座将和您一起探讨以上困惑，助力孩子学习！,0,0,1,,,,
3,4654151189922035,马来西亚国能大学UNITEN,2021-07-01 14:06:15,【逐梦工程·一键开启】#马来西亚国能大学UNITEN# 规模最大的工程学院，课程内容荣获马来西亚学术资格鉴定机构及工程师局，以及国际工程机构的专业认证，采用独特的成果导向教学方式，精心规划课程结构+工程技术技巧培训，配备完善实验室设施，务求让你一次解锁工程专业知识与实践技术，为未来踏入工程行业或学术界铺路。工程学院由4大科系组成，分别是：电气与电子工程电力工程机械工程土木工程另有两大辅助科系，分别为：工程数学与管理社会科学马来西亚国能大学UNITEN工程学院，专本硕博于一体，成功创下95%毕业生高就职率，助你逆袭成为工程领域专家！精彩的海外留学之旅，等你来探索！#留学季#  马来西亚国能大学UNITEN的微博视频,4,2,9,,,,
