页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4987896742285617,杭州仁德妇产医院,2024-01-08 13:11:57,我院是北京专家技术支持单位，与北京名院名医定期开展学术讨论、公益会诊实现全国优质专家技术资源共享，切实助力浙江女性健康诊疗服务 #杭州仁德妇产医院# ,1,0,0,浙江,杭州,浙江,中国
2,4986053359829819,楚雄州中医医院,2024-01-03 11:07:00,【彝医动态】我院ICU与姚安县中医医院急诊科、重症医学科开展学术共建交流活动近日，我院重症医学科（ICU）与姚安县中医医院急诊科、重症医学科开展学术共建交流活动。活动围绕楚雄州中彝医医疗集团“院院联合、优势互补、资源共享、利益互惠、相互促进、共同发展”的工作宗旨，以“入科室、寻问题、补短板、强医术”为目的，开展学术交流座谈、教学查房、疑难病例讨论等活动。ICU主任张雄鹰，主治医师李连良、王文丽、倪堂开、吴玉霞参与交流。座谈会上，我院ICU主任张雄鹰、姚安县中医医院ICU主任代建军分别介绍科室基本情况、工作运行情况及面临的短板问题，以问题为导向进行深入交流。李连良、王文丽针对术后患者的管理进行病例分享和专题讲座。随后，张雄鹰一行来到重症医学科对在科疑难患者进行床旁教学查房。通过认真听取病历汇报、详细查看患者、阅片后，对患者的病因、诊断、治疗方案逐一分析讨论，进一步规范指导ICU医护人员对危重患者的管理，提高危重患者的救治成功率。此次交流共建为实现优质医疗资源扩容下沉、提升县级中医医院重症救治能力起到了积极作用，进一步满足人民群众就近享受优质医疗服务的需求，同时助推了全州紧密型城市医共体和楚雄州中彝医医疗集团建设。姚安县中医医院急诊科、重症医学科、内科、外科、麻醉科等30余名医护人员参与交流。                                                                                                           （吴玉霞）,0,0,0,,楚雄,云南,中国
2,4986041029886271,用户7893523271,2024-01-03 10:17:59,"转让多篇 高校思政，教学管理 等方向稿件,24年2-3月,一二批学术刊 “xxxxx高校图书馆数字资源共享中的应用与挑战”  “xxxxx大学生职业规划与就业指导策略”  “xxxxx中学历史教育创新实践”  “xxxxx高等教育质量监控体系的影响”  “xxxxx小学科学教育创新策略”  “xxxxx大学生心理健康服务创新”  “xxxxx环境教育中的融合与创新”  “xxxxx高职院校教师专业发展的新路径” “xxxxx加强高校思政教育的影响力和覆盖面”  “xxxxx高校思政教师的角色变化与能力提升需求”  “xxxxx传统教育方法在高校思政教学中的融合” “xxxxx与思政教育的互动关系研究”  “xxxxx高校思政教育中的批判性思维培养”  “xxxxx高校思政教育中的道德与价值观教育策略”  “xxxxx高校思政教育的个性化教学方法研究” “xxxxx高校思政教育的舆论引导与管理策略”  “xxxxx下高校思政教育的跨文化交流与挑战”  “xxxxx高校思政教育中的应用与效果评估”  “基于xxxxx高校思政教育内容创新与资源整合” “xxxxx高校思政教育中的信息素养培养”  “利用xxxxx高校思政教育的互动性与学生参与” “高校思政教育xxxxx探讨与指导”  “xxxxx高校思政教育与学生心理健康教育融合策略”  “面向未来的高校思政教育xxxxx”",0,0,1,山东,烟台,山东,中国
2,4984349743651270,厨艺教程,2023-12-29 18:17:26,#清华逐步实现校园常态化开放#是的，清华大学正在逐步实现校园常态化开放。为了满足社会公众的参观需求，清华大学采取了一系列措施，包括扩大校园开放的时间和范围、加强文化资源共享和提高公众的参观体验感等。这些措施旨在让更多人有机会走进清华校园，感受清华的文化底蕴和学术氛围，同时也为清华大学的校园文化传承和发展提供了更好的条件。,0,0,0,重庆,,重庆,中国
2,4984321263275001,健康宜宾,2023-12-29 16:24:16,#工作动态# 四川“寇氏儿科”正式入驻宜宾市中医医院12月28日上午，四川寇氏儿科学术流派与宜宾市中医医院共建“寇氏儿科学术流派工作室宜宾工作站”签约仪式举行。接下来，双方将秉持&quot;携手共进、优势互补&quot;的原则，在医疗资源共享、医疗技术交流等方面开展深入合作，共同打造一个优质、高效、科技的医疗团队，为患者提供更好的医疗服务。&quot;寇氏儿科学术流派工作室宜宾工作站&quot;的成功落地，将助力宜宾中医药高质量发展，为建设&quot;健康宜宾&quot;增添新的动力。据了解，&quot;寇氏儿科&quot;创始于清道光年间，是省内业界和官方认定的六大川派儿科学术流派之一，也是传统四小儿之一，至今已有150多年历史，已传承七代。寇小儿立足于小儿脾胃为本的学术理念，善治各种小儿疑难病症，长期坚持守正创新、自主研发、学术传承。目前已拥有16项科技成果专利及10余项商标权和著作权。在2017到2022年期间，多次被评为全国百强中医馆和中医儿科头部企业，并在2019年5月获批成为四川省首批中医儿科流派工作室建设单位。@宜宾发布 @封面新闻 @宜宾新闻网 @新三江周刊 @宜宾日报 @宜人宜宾  来源：宜人宜宾,0,0,0,,宜宾,四川,中国
2,4981396749687841,在职研vs成人学历888,2023-12-21 14:43:18,西北政法大学同等学力申硕研修班定期举行各类线下活动，西政资源共享，社会各界人士拓展人脉资源，学术探讨交流✅ ,0,0,0,陕西,西安,陕西,中国
2,4980743057182736,绿毛仙客,2023-12-19 19:25:45,古典文献学资源共享  刘锡诚著：《20世纪中国民间文学学术史》（全2册），开封：河南大学出版社，2006 ,0,1,1,江苏,南京,江苏,中国
2,4979302125278510,南昌新闻网,2023-12-15 20:00:00,#南昌建设忙# 【正式揭牌！南昌首个紧密型城市医疗集团落户市第一医院】为真正实现医疗资源共享打造紧密型城市医疗集团全国样板“南昌模式”，提升南昌医疗服务水平再添新动力，12月14日上午，南昌市首个紧密型城市医疗集团——南昌市第一医院东湖区城市医疗集团签约暨揭牌仪式在南昌市第一医院学术报告厅举行。#南昌全力拼建设# （全媒体记者 高晖）正式揭牌！南昌首个紧密型城市医疗集团落户市第一医院,0,0,0,,南昌,江西,中国
2,4978154747989345,随州日报,2023-12-12 16:00:44,【“襄十随神”珍稀食用菌产业学术论坛在曾都举行】12月8日上午，2023年“襄十随神”城市群珍稀食用菌产业学术论坛在曾都举行。此次论坛邀请华中农业大学教授、博士生导师边银丙，省农科院高级农艺师王卓仁等3位专家作学术报告。　　市科协举办此次论坛秉持“资源共享、工作联动、优势互补、合作共赢、协调发展”的宗旨，为四地相关单位、企业架起了与科学家沟通的桥梁，实现科技创新供给与产业发展需求的精准有效对接，促进珍稀菌、食用药菌产业优质高效发展，唱响“襄十随神”珍稀菌健康、营养、绿色品牌。　　随州是久负盛名的中国香菇之乡、花菇之乡，独特的地域气候造就了优质珍稀食用菌生长的“温床”。珍稀食用菌营养丰富、味道鲜美，既可鲜销，又可精深加工，市场前景广阔，种植效益较好，深受大众喜爱。利用稻草、麦秸、玉米芯、棉籽壳等各种农作物秸秆对珍稀食用菌进行栽培，不仅能够减少森林资源消耗，还能将栽培后的废料直接还田，改良土壤、增加肥力。　　市珍稀食用菌学会自成立以来，充分发挥自身优势，顺应自然规律，满足群众意愿，抢抓发展机遇，以做大做强做优随州珍稀食用菌产业品牌为抓手，以延链补链强链为重点，以推动“三产”融合发展为导向，围绕“供应链”打造产业链，持续精准发力，聚力打造随州珍稀食用菌产业集群。（通讯员赵权、叶珍珍）,0,0,0,湖北,随州,湖北,中国
3,4978139763837839,职称论文期刊发表,2023-12-12 15:01:12,《中小学电教》知网 G4  3版5000字符 学术期刊只要和信息技术有关就可 曾用刊名：吉林电教 主办单位：吉林省电化教育馆 出版周期：月刊 ISSN：1671-7503 CN：22-1044/G4 本科栏目：教育技术变革  创新应用实践  教育信息化  网络教育  信息素养提升  资源共享服务 ,0,0,0,河北,张家口,河北,中国
3,4976295129910805,欧怡儿,2023-12-07 12:51:17,古典文献学资源共享 预告丨纪念李学勤先生90诞辰学术座谈会预告丨纪念李学勤先生90诞辰学术座谈会 ,0,0,0,福建,泉州,福建,中国
3,4975986225188488,贵州省平坝监狱,2023-12-06 16:23:48,【签约揭牌！贵州警察学院、贵州省平坝监狱共建实践教学基地】12月5日，贵州警察学院、贵州省平坝监狱教学实习基地签约揭牌仪式在平坝监狱举行。双方签订了实习基地共建协议书。对警院学生实习指导、学术交流、资源共享及人才培养合作等进行了明确，标志着双方相互支持、共谋发展之路正式启程。@贵州监狱,1,1,0,,贵阳,贵州,中国
3,4973155749464949,株洲发布,2023-11-28 20:56:30,11月28日，湖南丝路教育研究院、吉尔吉斯国际大学及株洲铁航卫生中学校三方签约联袂成立吉尔吉斯国际大学中国预科学院。签约后，吉尔吉斯国际大学与株洲铁航卫生学校将在人才培养、学术研究资源共享等方面展开全面合作，建立并发展长期合作伙伴关系。 株洲发布的微博视频 ,0,0,0,,株洲,湖南,中国
3,4972714327540485,锦绣青羊,2023-11-27 15:42:27,🎙【牵手！#金沙博物馆牵手川大启动战略合作# 】日前，成都@金沙遗址博物馆 与四川大学考古文博学院达成战略合作共识，签订学术合作框架协议，开启多学科、跨领域金沙遗址合作研究之路。按照协议约定，双方将在实验室资源共享、数据库共建、学术交流合作、人才培养、共建科研基地等方面展开全面合作，深化馆校双方学术研究、资源、教育优势，推进成都文博事业高质量发展。此次战略合作将在共同探索科学研究、人才培养体制等新模式基础上，深入探讨古蜀文明对中华文明多元一体演进过程的重要贡献，研究古蜀文明的历史价值、文化价值，为将成都建设成为有影响力的科技创新中心贡献力量。详情点击:网页链接 （摄影：张艳）#成都人民公园荣获城园相融十佳案例##成都有个花花与萌兰主题展#中国 成都·金沙遗址博物馆,3,89,88,,成都,四川,中国
3,4971849944662767,往事如盐,2023-11-25 06:27:42,#同宿舍3人全部当选院士# 能当选院士光凭学术优秀还不行，还得有一定的社会关系，所以他们三个在工作以后应该是经常联系相互提携，资源共享。毕业之后同学之间保持联系非常重要。 ,3,10,31,山东,淄博,山东,中国
3,4970623906356319,-小满故事,2023-11-21 21:15:52,我院院长张淼荣幸出席华熙生物全球注射大师盛宴！来自世界各地的医美界精英云集一堂，他们将共谋医美注射技术的创新与进步，共同探讨并推进注射美容技术的创新发展。此次峰会将呈现丰富多元的学术交流与资源共享平台，今后提供专业的学术指导以及前沿的行业资讯。我们将与各位携手共进，打造更安全可靠的注射美容技术，为求美者带来持久稳定的美丽体验。#厦门小满##小满医学##华熙生物#,0,0,3,福建,厦门,福建,中国
3,4969102414447538,中国考古网,2023-11-17 16:30:00,#学术动态# 第四届中国考古学大会动物考古专业委员会分组研讨纪要：与会研究人员围绕祭祀用牲、草食性家畜的起源与扩散、动物资源与生业经济、制骨手工业、动物遗存形态学鉴定与动物考古资源共享平台建设等议题展开了热烈讨论。网页链接 ,0,0,6,,北京,北京,中国
3,4965827583672791,月隐寒霜,2023-11-08 15:36:59,哈佛大学被曝光为权贵子女开后门，这个事情也不是现在才有，而是多年前就已经开始了，有钱人向哈佛捐款，然后学校给他们的子女开绿灯，提供资源或者直接镀金，外界是以为捐款，实际上就是开后门。哈佛为什么这么有钱，不仅玩得起各项学术研究，又能拿到项目搞线上文库，你以为很容易搞学术资源共享吗？人家的钱，都是薅羊毛薅出来的，国内有没有这种后门捐款，都投入到正经事业上？如果有也行，取之于民，用之于民嘛#哈佛大学被曝为权贵子女开后门#,0,0,3,上海,上海,上海,中国
4,4963946094661116,用户5245482525,2023-11-03 11:00:37,#西安微创种植牙##长安诺贝尔正畸##长安南路诺贝尔正畸##西安牙科医院# 诺贝尔口腔拥有国内外顶级的专家团队。在技术引进、设备采购、专家资源共享、学术交流等领域通过跨国、跨行业全面合作和资源共享方面，探索出了一套适合中国人群的现代化医疗服务模式，为牙病患者带来最前端、更全面、更安心的服务体验。,0,0,1,陕西,西安,陕西,中国
4,4961559222947411,芸香书海,2023-10-27 20:56:03,古籍资源共享【读书札记】近日校读明谢肇淛《五杂组》，博闻广识，别开生面，独具一格，自成一家。集知识性、趣味性、批判性、学术性于一体，对了解我国古代社会政治、思想文化大有裨益，值得细读。 ,1,2,8,河北,,河北,中国
4,4961468011513168,成都市第五人民医院,2023-10-27 14:53:36,发布了头条文章：《市五医院妇产科专科联盟妇产科热点问题探讨学术会成功举办》 为加快成都西部妇产科专科联盟建设，发挥各联盟成员优势和特色，提升联盟成员诊疗技术水平和综合服务能力，实现优势互补、资源共享，更好地为患者服务，近日，由成都市第五人民医院妇产科、成都市郫都区人民医院妇产科联合举办了《妇产科专科联盟妇产科热点问题探讨学术会》。 市五医院妇产科专科联盟妇产科热点问题探讨学术会成功举办,0,0,0,,,四川,中国
4,4959222464252441,南京图书馆,2023-10-21 10:10:36,#相阅南图##邂逅阅时光#【中国-中东欧国家图书馆联盟馆长论坛】阶段性成果        自联盟成立以来，成员馆在行动计划框架下进行资源共享、馆际互动、业务培训、学术交流，取得了一定阶段性成果。 ,0,1,3,,南京,江苏,中国
4,4956092242597200,澳门大学,2023-10-12 18:52:13,“中国澳门特别行政区与葡语国家学术图书馆联盟”和“澳门特别行政区与内地学术图书馆葡语资源联盟”领导机关首届会议将于10月17至19日在澳门大学举行，以实现资源共享及促进联盟发展。同时，澳大也将举办“第一届汉语和葡语国际论坛”，打造世界葡语和汉语互动交流平台。  #澳门大学##澳大# ,1,0,4,中国澳门,,澳门,中国
4,4940880306767662,美丽仙林,2023-08-31 19:25:25,【栖霞⇄南审】 为充分发挥南京审计大学人才优势和审计特色教育资源、栖霞区区位优势和爱国主义红色资源优势，实现资源共享、优势互补、共赢发展，8月28日，“栖霞区-南京审计大学”校地联建活动在南京晓庄学院行知园学术报告厅举行。网页链接（拟稿：周宇星 审核：丁慧敏 刘晓晨 发布：周宇星） ,0,0,0,,南京,江苏,中国
4,4938274131414415,zw717407,2023-08-24 14:49:24,8月22日，米东区人民政府与新疆师范大学政法学院签订校地合作协议，建立校地合作，实现校地之间有效交流，促进人才培养、学术研究、基层治理实践等领域的资源共享，推进双方在更多领域、更深层次的合作，形成资源共用、平台共建和课题共创的全方位立体化合作格局。 ,0,0,1,新疆,乌鲁木齐,新疆,中国
4,4932772399158589,谦虚的水晶球球,2023-08-09 10:27:29,日前，中国信通院联合国家药监局医疗器械技术审评中心、医疗卫生机构及企事业单位专家，组织召开脑机接口研究工作组筹备会暨脑机接口技术在医疗器械领域应用研讨会，拟在平台申请成立脑机接口研究工作组，有效协调科研机构、临床机构、学术团体等各方资源开展科研合作、产业合作，实现资源共享，共同推进脑机接口技术的科技创新和健康发展。会上，国家药监局医疗器械技术审评中心审评二部金若男重点提出了基于脑机接口技术的康复器械审评中的主要关注问题，包括性能研究、生物相容性、软件和网络安全、稳定性研究、临床评价路径等方面内容。,0,0,0,河南,鹤壁,河南,中国
4,4927801986123412,保山日报,2023-07-26 17:16:50,健康 龙陵县人民医院正式成为云南省神经外科专科联盟及微创介入中心建设的一员。近日，云南省神经外科专科联盟授牌仪式暨学术讲座在龙陵县人民医院隆重举行。下一步，医院将积极借助专科联盟平台，实现优质资源的横向联合、纵向整合，加强医联体医疗资源共享及学科建设，让先进诊疗技术在龙陵落地生根，推动神经疾病救治水平和服务能力全面提升，让广大人民群众在家门口就能长期享受到顶级的医疗服务，全力打造政府放心、行业公认、群众满意的现代化公立医院。#党报头条# 健康中国 云南省神经外科专科联盟落户龙陵县人民医院 ,0,0,1,,保山,云南,中国
5,4927074856862848,职称论文-著作专利,2023-07-24 17:07:29,《华北自然资源》创刊于2002年，双月刊，是由山西省自然资源厅主管，山西省自然资源厅宣传中心主办的自然资源行业科技综合学术期刊。创刊时间：2003年出版周期：双月刊国内刊号：14-1401/P国际刊号：2096-7519《华北自然资源》主要设有资源共享、工作研讨、环境保护、技术应用、测绘测量、地政管理、地质环境、不动产、国土经纬等栏目。,0,0,0,河北,张家口,河北,中国
5,4926981169484599,青海发布,2023-07-24 10:55:12,【青海、深圳两地专家人才联合会签署战略合作协议】日前，在第四届“智汇三江源·助力新青海”人才项目洽谈会上，青海省专家人才联合会与深圳市专家人才联合会签署战略合作协议，深化两地在高层次人才培养、资源共享、学术研究方面合作。青海、深圳两地专家人才联合会签署战略合作协议 ,1,0,1,,北京,北京,中国
5,4926964982878293,网信临沂,2023-07-24 09:50:53,#临沂# 【临沂大学与市图书馆举行合作签约仪式】7月22日，临沂大学与临沂市图书馆举行合作签约仪式。临沂大学图书馆馆长张根柱表示，此次签约对双方未来在学术资源共享、人才培养、学术研究等领域的紧密合作具有推动作用。（来源：临报融媒）临沂大学与市图书馆举行合作签约仪式 ,0,2,0,,临沂,山东,中国
5,4923078193185750,健康锡山,2023-07-13 16:26:10,#基层亮点#【加强医联体建设 医疗服务能力再提升】为进一步深化医联体单位合作，做好优质医疗资源共享，增强基层医务人员业务水平，锡北镇卫生院与上级医院专家结对，开设专家门诊，查房带教、手术，定期开展学术讲座、业务培训，充分利用上级医疗资源开展传、帮、带，有效提升了卫生院医疗技术水平，让群众在家门口就能享受到优质医疗服务。（拟稿：边雅芳   　　审核：陈珊珊　　　发布：郭宇岚）,0,0,1,,无锡,江苏,中国
5,4919463344606874,我是佩儿,2023-07-03 17:02:03,#大连##大连爆料##大连身边事# 全国各大医科大学慢慢都被爱尔集团资本占据，以后眼科界敢出来说真话的眼科医生会越来越少了！将来眼科界培养出来的医生不是专心学术，而要会做营销推广，吸引大家做手术挣钱才行？战略合作只要跟现任学院负责人沟通好了就可以开展，所谓的资源共享学院一方能看到的实质上的资金和支持不会很多，都在未来的框架协议里，而未来学院能获得什么谁也不可知，爱尔集团肯定能既得利益。@健康中国 @中国政府网 眼科界就只能依靠爱尔集团资本了吗？大连医科大学与爱尔眼科医院集团签署战略合作协议 我分享了 @高校之窗网-中国 的头条文章,1,0,6,海南,海口,海南,中国
5,4919449730156515,青岛西海岸新区中心医院,2023-07-03 16:07:56,#青岛微关注# 【“静”享盛宴！青岛市继续医学教育项目——静脉输液治疗学术交流会新区中心医院成功举办】鸟欲高飞先振翅，厚积薄发谱新篇，策马扬鞭勇奋进，静护花开行致远。为进一步推动新区静脉治疗护理发展，提升静脉治疗管理水平，加强静脉输液治疗专科护理联盟资源共享与协作，2023年6月28日，青岛西海岸新区中心医院成功举办青岛市继续医学教育项目-血管通路装置（VAD）管理新理念、新技术学术交流会。@青岛西海岸新闻网 @大众网青岛 @青岛西海岸发布 @胶南老韩 @西海岸民生 @青岛晚报 @山东卫生新闻网 @青岛广电 @黄岛万象 @青岛西海岸微生活 @青岛新闻广播FM1076 @青岛日报官方微博 “静”享盛宴！青岛市继续医学教育项目——静脉输液治疗学术交流会新区中心医院成功举办,0,1,0,,青岛,山东,中国
5,4912692399966506,晚晚吴要努力,2023-06-15 00:36:44,进行了一次愉快的学术交流和资源共享 晚安💤💤💤 ,0,0,0,浙江,杭州,浙江,中国
5,4912236189454694,重庆科协,2023-06-13 18:23:55,【重庆工业设计协会开展国际学术交流活动助推设计发展】为有效加强工业设计国际化交流，促进优质国际设计教育资源共享，培养青年设计师的国际视野和国际竞争力，6月12日，重庆工业设计协会联合重庆大学艺术学院邀请皇家艺术学院博士John Stevens开展“设计赋能决策”专题讲座。本次讲座吸引了协会50余名青年会员和艺术学院师生参与。Dr.John毕业于英国剑桥大学制造学院，是皇家艺术学院与帝国理工全球创新设计硕士项目负责人。Dr.John以“什么是设计”开场，分享自己对设计思维的三重解读并畅谈设计的四重转变。同时，立足于设计的各个环节，结合实际设计案例，为大家深度剖析设计的具体开展方式及实践技巧。互动环节，听众们结合讲座内容及日常学习经验向Dr.John进行提问，Dr.John依次针对每个问题作出了生动详实的解答，现场气氛活跃、学术氛围浓厚。此次讲座是一场别开生面的设计思维盛宴，有助于设计师们日后开展更深入的专业学习与学术研究。下一步，协会将拓展国际交流的多元形式，持续深化推进国际合作。,0,0,0,,重庆,重庆,中国
5,4908320726713436,核心期刊论文发表EISCISSCIAHCI,2023-06-02 23:05:16,《中小学电教》《中小学电教（教学版）》省一级教育期刊，国家电教类核心期刊，第二批学术期刊。主管：吉林省教育厅，主办：吉林省电化教育馆。级别：省级，月刊，知网、万方；栏目：教育信息化 资源共享服务 教育技术变革 网络教育 创新应用实践 ；教学版：课程改革 技术与应用 课堂教学 探索与实践 学科研究 ；要求：三版5400字符；刊期：三天左右审核，半年左右刊期。,0,0,0,安徽,安庆,安徽,中国
6,4905298320427580,绿毛仙客,2023-05-25 14:55:18,古典文献学资源共享  刘梦溪著：《中国现代学术要略》，北京：生活·读书·新知三联书店，2008 ,0,1,1,江苏,南京,江苏,中国
6,4902422055751751,天津三农,2023-05-17 16:26:03,【交流学习促提升，结对共建谋发展——市农科院蔬菜所党支部5月主题党日活动】为不断拓展党建工作思路，探索加强组织联建、党员互动、活动互联、资源共享的党建工作新途径，进一步提高党组织建设工作水平，同时加强院所对外科技交流与合作，营造浓厚科研和学术氛围。近日，市农科院蔬菜所党支部与西藏昌都市农业科学研究所党支部联合开展“交流学习促提升，结对共建谋发展”主题党日活动。此次活动中，实地考察了市农科院蔬菜所菜花、白菜、西瓜、甜瓜、芹菜、茄子、菜豆、辣椒8个研究室的试验基地，双方就各自党建和科研工作开展情况以及存在问题进行深入交流探讨，双方的经验和做法非常值得互相借鉴和学习，为今后进一步合作提供了启示和帮助。双方表示将继续加强交流与合作，共同携手，不断推进党建和科研工作再创新业绩。,0,0,0,,天津,天津,中国
6,4901679646638474,智写科技公司,2023-05-15 15:15:59,随着互联网的高速发展，网络作为信息交流和资源共享的平台得到了广泛的应用和推广。然而，随着网络上文化、信息的过度复制和流通，以及信息技术的不断提高，论文抄袭和剽窃问题日益严重，这也引起了学术界和教育管理部门的高度关注。为了解决这个问题，出现了专门针对文献抄袭的论文查重系统。查重系统的基本原理是通过将所检测论文与数据库中的文献进行对比，找出可能存在的相似之处，从而对论文的原创性进行评估。因此，查重系统通常检测以下几方面的内容：1.文献引用：查重系统会检测论文中引用的其他文献是否遵循了学术规范，是否存在转载或篡改等不当行为。2.内容重复：系统会检测论文中的字词、句子、段落是否和其他文献存在过多的相似之处，是否存在造成抄袭嫌疑的内容复制。3.段落结构：查重系统会比较论文中各段落的结构、行文方式、文体等细节特征，从而判断是否存在恶意剽窃他人思路的嫌疑。,0,0,0,河南,郑州,河南,中国
6,4898886752144460,大湾区新闻,2023-05-07 22:18:01,【#福田区钢琴艺术协会正式成立#】7日，深圳市福田区钢琴艺术协会成立大会暨乐动福田钢琴音乐会在特区报业大厦二楼报业会堂举行。协会将围绕“幼有善育、学有优教、弱有众扶、老有颐养、劳有厚得”五大板块，资源共享，促进学术交流，进一步推动深圳钢琴事业发展。#推动深圳钢琴事业发展# 大湾区新闻的微博视频,3,1,1,,深圳,广东,中国
6,4894281108029683,绿毛仙客,2023-04-25 05:16:50,古籍资源共享  梁启超著；朱维铮校注：《中国近三百年学术史》，上海：复旦大学出版社，2016 ,2,2,7,江苏,南京,江苏,中国
6,4893998877510186,会务组徐编辑,2023-04-24 10:35:21,2023制造技术与环境安全科学国际学术会议(ICMTES2023)大会简介为适应国际形势的新变化和我国经济发展新时代的基本特点，为我国发展注入新动能，引领、推进大湾区建设和发展，拓展国际科研和学术合作交流渠道，建立科学研究和学术资源共享平台，以全球视野谋划，促进学术科技创新，促进我国科技学术水平的国际合作。国际制造技术与环境安全科学会议（ICMTES 2023）将在中国深圳举行。重点将放在制造技术和环境安全科学上。其目的是为代表们提供一个机会，让他们面对面交流新思想和应用经验，建立商业或研究关系，并为未来合作寻找全球合作伙伴。征稿主题（以下主题包括但不限于）微/纳米材料钢铁陶瓷金属合金材料聚合物材料光学/电子/磁性材料薄膜表面工程/涂层材料成型、加工计算机辅助材料设计模具测试和材料评估材料的微波处理氢与燃料电池科学、工程与技术机械性能和断裂机械动力学及其应用机械可靠性理论与工程振动和噪声分析与控制动力和流体机械能源机械和设备铸造、锻造和焊接机械传动装置液气输送液压控制阀表面粗糙度加工技术和工艺加工生产率和技术分析压力表和开关数控机床和设备电子数据管理超声波加工质量控制制造和生产过程先进材料制造制造设备和自动化制造过程的建模、分析和仿真高速/精密加工和测试技术激光加工技术生产工艺和技术计算机辅助工艺设计装配和加工方法加工质量健康与环境健康相关生物有害物质和检测技术有害物质的生物降解毒性评估和流行病学研究点污染和扩散污染的管理和监管环境污染物监测与分析质量指南、环境法规和监测公众参与经济工具建模和决策支持工具机构发展跨界合作#学术#保研论文#期刊论文##期刊##国际会议#,0,0,0,四川,成都,四川,中国
6,4892558298453044,武汉广播电视台,2023-04-20 11:11:00,武汉新闻【楚能新能源携手中科院团队 共推新型电池材料技术攻关】19日，楚能新能源股份有限公司与中科院松山湖材料实验室共建楚能创新研究院揭牌仪式在楚能新能源江夏基地举行，双方就新型电池材料联合技术开发、学术交流、资源共享、人才联合培养等方面达成战略合作。#自主创新看武汉# 武汉广播电视台的微博视频,0,0,0,,武汉,湖北,中国
6,4892523593991609,江夏融媒,2023-04-20 08:53:06,#江夏新闻# 【楚能新能源牵手中科院 突破新型电池材料攻关】4月19日，江夏企业楚能新能源与中科院松山湖材料实验室共建的楚能创新研究院，正式揭牌成立，这也是中科院松山湖材料实验室在华中地区的首家共建单位，双方将就新型电池材料联合技术开发、学术交流、资源共享、人才联合培养等方面达成战略合作，加速产品落地。网页链接,0,0,0,湖北,武汉,湖北,中国
7,4890860199609560,华西社区报官博,2023-04-15 18:43:22,【专家齐聚共话消化领域创新  医联共建同谱协同发展新篇】4月15日，以“医联共建·协同发展”为主题的四川省医创会消化及消化内镜协同创新分会专家医联学术会议在四川肛肠医院举行。会上，四川省医创会为四川肛肠医院授牌，双方将本着“资源共享、共促发展”原则展开合作，携手共谱医联共建惠民生的新篇章。同时，本次学术会采用了线下会议与“名医在线”网络答疑同步进行的形式，四川大学华西医院消化内科专家分别在线解答了网友提问。（华西社区传媒记者 杨铠）,1,0,1,,成都,四川,中国
