页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023356379725863,草莓啵啵泰,2024-04-15 09:35:52,第八周教育叙事         在这个阳光明媚的春日，我们举办了一场别开生面的亲子活动。         不仅展示平时排练的节目，还有学生们与家长齐心协力，共同制作色彩缤纷的糯米饭拼盘。活动中，欢声笑语不断，亲子间的心灵交流更加深入。通过这场活动，不仅增进了家长与孩子之间的情感，还让孩子们学会了合作与分享。美食与欢聚，成为大家心中最难忘的成长记忆。,0,0,0,广西,南宁,广西,中国
2,5023353372412176,林家乐looklife,2024-04-15 09:23:56,分享视频 林家乐looklife的微博视频 ,0,0,0,福建,泉州,福建,中国
2,5023286305488971,刘学长,2024-04-15 04:57:26,刘学长“引导学生深度学习，提升地理学科素养”高中地理交流研讨活动图片。 ,0,0,0,河北,张家口,河北,中国
2,5023251204670723,w小锦鲤w,2024-04-15 02:37:57,真的很想出国玩 国内我真的玩遍了 去哪都觉得无聊 好想去澳洲 新概念我真的完全学不进去 b站那个胶囊助学计划我也看不懂。。。尤其是造句 写作这种 我根本一窍不通 学生时代那会儿我英语很好 但是仅限于书面 我英语跟人交流的水平就是真的很差 差到如果我一个人出国都得找个地陪给我当翻译的程度 怎么办啊 现在真的在想要不要报个班 专门对接留学或者商务英语的那种 反正自学我感觉我是没戏了,0,0,0,浙江,杭州,浙江,中国
2,5023220713394057,金汤肥脸,2024-04-15 00:36:48,工作之后 因为学校和刘宝根老师又合作 所以在学校里中又接触了几次刘老师 给我最直观的感受就是 他真的是一个很有魅力的人 不仅体现在学术知识上 还体现在和小朋友的交流接触上  只能说在大学当学生的时候真的理论和实践是大大脱节的 所以才感受不到大学老师的厉害之处哈哈哈哈 ,0,0,3,浙江,湖州,浙江,中国
2,5023207813548789,用户7492302418,2024-04-14 23:45:32,很开心以前带的班级的学生只要见到我会热情的打招呼，虽然现在不带他们了，而我也会微笑回应。我更喜欢和学生更多的交流而不是同事，孩子们很天真，很热情，只有跟他们相处的时候我的积极乐观的一面才会被发掘展现出来，我会活的很简单。我自我评价是一个非常无趣的人，真的很谢谢你们给我枯燥乏味的生活带来这么多乐趣。,0,0,0,山东,临沂,山东,中国
2,5023196355232512,张军文,2024-04-14 23:00:00,#志愿者365#   接着，李达老师组织了一系列的志愿服务活动。他带领学生们参观养老院，与老人们交流，并为他们表演节目和献上自己亲手制作的小礼物。他还带领学生们去孤儿院，给孩子们带去欢乐和温暖，组织了一场场有趣的游戏和互动。#志愿者会客厅#志愿者365# ,4,0,6,广东,广州,广东,中国
2,5023195977223129,在等这朵花开,2024-04-14 22:58:30,啊！找一个没有在过学生会的人进学生会，从0教起，excle word都得交，怎么合并单元格啊啊啊啊让你和部门其他同学交流，硬拉着我一个人问我这… ,0,0,0,山东,青岛,山东,中国
3,5023181742014829,一名天才奶秀高调路过,2024-04-14 22:01:55,下午开了一个会以后 会议精神要求我们教育不了学生就去教育家长 一学期最少开三次家长会 一周要和所有家长高质量交流一次 还算了个账，一天只要和八个家长打电话联系一次，一周不就和全班家长沟通了吗 说得很好下次不要再说了 ,0,0,0,辽宁,盘锦,辽宁,中国
3,5023175907218418,皮一叁,2024-04-14 21:38:45,一周差旅生活结束 回家吃到了荠菜花鸡蛋、老妈挖的笋  昨晚听潘校长要求他学生做到“四个一” 每周一次图书馆  每周一篇作文 每周一次心得交流  每月一本书  突然有所顿悟，我要共勉一次每月读本书。 ,0,0,0,江苏,南京,江苏,中国
3,5023175591333018,pzyjqh618,2024-04-14 21:37:30,老阴逼不让我去学生会了，唯一能跟部长交流的机会也没了🫠🫠😅😅😅 ,0,0,0,湖南,娄底,湖南,中国
3,5023174232381736,玩头屑的少女,2024-04-14 21:32:06,上周事记📝周日-因为调休，补上周五的课，学生做青团，和家长沟通交流n久周二：上午作业设计比赛，下午学校教研周三：学生春游，安排段里七七八八杂事后，自己没得去，要去答辩作业设计周五：学校赛课-无网络备课 然后马上去上课的这种颠公比赛以上任务不包含正常的备课、上课、改作业也不包含月初突然通知的队课但是我依旧抓到了两只鹅 我真厉害,0,2,2,浙江,台州,浙江,中国
3,5023169095667142,旅行中的程,2024-04-14 21:11:41,夏季冰丝乳胶凉席三件套床铺款折叠宿舍学生单人可水洗家用空调席 = 11.9    2024/4/14 21:10:36   的定位，不是谁欠谁，也不是谁就是谁的大爷。位高一等只会让距离越走越远。平等社会，夫妻男女的交流应当建立于彼此尊重，相互体谅，换位思考，大度包容。凭道理待人处事 ,0,1,0,江苏,宿迁,江苏,中国
3,5023163503086575,Kkioo_7,2024-04-14 20:49:28,觉得自己是学术gai溜子的一个体现：听完一场报告或者讲述后，在进行学生交流与互动时，听着大家的交流，总有一种为了交流而交流，或者就像仿佛在进行某个游戏的某一步的感觉。 ,0,0,0,陕西,西安,陕西,中国
3,5023161620106341,小张-小韩,2024-04-14 20:41:59,记得这是在2022年见完学生妈妈和她聊完天后，知道她生病后，抬头看到的月亮，随手拍下写了这句话，当时感觉很无力，帮不了忙，又不想让这个孩子这样荒废了，所以就开始了一年多的和他妈妈的交流，前两天他的妈妈发来的一些话，总感觉这次是她很无力了。今天，突然听到噩耗，眼泪不自觉的流下来，是最近我的情绪波动大还是我认识她，替她可惜，或者是经历过身边人的离开，能体会那种痛苦，所以感同身受了。可能身边这样的例子很多，就像今天大姑姐说的，去医院里只有生了孩子是高兴的，其他都是生病了连带家里人都是痛苦的。是啊，我们无法避免这些，那就尽量开心的活，快乐健康的过，多寻找一些快乐吧。希望身边人都健康快乐平安~大家都好好的！,0,0,0,山西,长治,山西,中国
4,5023160237819278,心向潇湘5,2024-04-14 20:36:29,好喜欢这个学生，是一个小女孩 感觉在和妹妹交流一样！ 非常可爱 ！！！而且很聪明很有礼貌！！ 作为一个独生女  并且很少能和比我小的同学接触到 真的好喜欢这个小姑娘啊 ,0,1,0,天津,,天津,中国
4,5023159179023229,侵华日军南京大屠杀遇难同胞纪念馆,2024-04-14 20:32:17,德国迪特福特市代表团一行还在纪念馆报告厅与南京大学德语系的师生进行了交流。南大学生代表做了《和平有你 和平有我》的主题演讲。24岁德国小伙托比亚斯·波林格（Tobias Pollinger）（右三）是德国雷根斯堡大学电信工程专业的学生。这是他第一次参观纪念馆。他表示，“纪念馆在传播和平过程中做了很多努力。我很早就知道南京大屠杀历史，并且我身边的人都知道。”00后德国姑娘特蕾莎·拉克尔（Theresa Rackl）（右二）目前在迪特福特市友好城市组织服务。她说，“不可想象德国人约翰·拉贝、卡尔·京特当年为保护中国难民付出了多少努力。今天我第一次来到这里了解这段历史，感到非常震惊。我们一起为和平努力！加油！”,3,3,17,,南京,江苏,中国
4,5023149401834622,平静之痕,2024-04-14 19:53:26,语文评课（五）       一、 看是否注重师生关系的培养      1.看能否充分确立学生在课堂教学活动中的主体地位，真正体现互助、合作、交流。      2.看能否努力创设宽松、民主的课堂教学氛围。      二、看是否注重教学效果       看课堂教学效果，是评价课堂教学的重要依据。课堂效果评析，包括以下几个方面：一是效率高，学生思维活跃，气氛热烈。二是学生受益面大，不同程度的学生在原有基础上都有进步。知识、能力、思想情感目标都能达成。三是学生学得轻松愉快，积极性高，当堂问题当堂解决，学生负担合理。       课堂效果的评析，有时也可以借助于测试手段。也就是，当上完课时，评课者出题对学生的知识掌握情况，当场做测试，而后通过统计分析来对课堂效果做出评价。当然，我们极少也不会使用这种方式手段的。,0,0,0,安徽,安庆,安徽,中国
4,5023144617708170,上辈子可能是个饺子精,2024-04-14 19:34:25,2024/4/14魔幻的一天开了一上午党员培训大会+交流会开到了接近一点然后下午迷迷糊糊睡了半小时爬起来上了个家教面对那初三的学生“老师你也看盗墓笔记啊？”的疑问，我终于能把那句“看盗笔的人是老了不是死了”说出口了很爽原来你的十五岁我的十五岁都一样今日成就：和导师就论文题目进行battle，惨败《高楼》单曲循环了14遍年末的网易云年度总结一定会有它时隔七年再度对兰摧和花海间的故事上头，我在怀念我那16岁的高一时光吧，怀念什么都不懂但是还是兴冲冲的每一天这感觉很复杂，开始磕的时候摧花正当蜜月，后来A了，现在再A回来的时候惊闻两位大人曾经破镜了，但是现在又重圆了？但是那么多年了，花海仍然是我梦中情奶…奶歌第一人非他莫属,0,0,1,上海,,上海,中国
4,5023132744419175,秋实_ART,2024-04-14 18:47:14,秋实ART电影创作基础试听课之故事是什么？电影创作基础试听课故事是什么？葡萄柚北京大学电影学硕士●中央戏剧学院戏剧影视文学系本科，四年辅导经验，喜欢与学生交流、聊天●在影视行业从业多年，拥有扎实的创作理论功底和丰富的影视剧项目经历。曾与国内知名导演密切合作，获得高度赞许。以编导一体的身份拍摄数部短片，并参与多部短片制作#电影学考研##广播电视考研# 秋实_ART的微博视频,0,0,0,福建,福州,福建,中国
4,5023121528851622,Retni_,2024-04-14 18:02:40,咱就是说why why why tell me why辅导员不理人又没法删 我真的被无语到了 谁家好人天天喜欢打语音电话给你啊要命咱就是说学生就该受这种不平等的关系吗正常交流不好吗非得居高临下压人一头让别人好声好气给你说话吗 哈哈 又被你装到啦没遇到过正常的导员 天生吃高校这碗饭天天整这些关系讨好,0,0,0,广东,东莞,广东,中国
4,5022041243912316,-恰鱼-,2024-04-11 18:30:00,-往期改图 尽量不去‘重画’学生的图， 更多的是提供思路，积极交流，一对一解决‘问题’。 有些改图方向是按照学生的’想法’靠近，并非是’修改’，望理解 改图具有主观性，不能满足所有‘观众’。感谢大家支持！~ ,339,44,917,湖南,长沙,湖南,中国
4,5022778359551078,香港商報,2024-04-13 19:19:02,【世界网球冠军郑洁现身深圳 勉励小学生健康快乐成长】12日，北京郑洁爱心公益基金会世界冠军“校园公益行”活动在深圳福田区外国语小学举行。中国网球协会副主席、网球世界冠军@郑洁 女士，来到学校与学生进行面对面的交流互动，与孩子们近距离接触，亲身示范，指导小队员的动作，并热情地与小队员合影留念。郑洁女士表示，希望孩子们能保持对网球和体育的热爱，快乐成长。(记者 徐乐钊 赵师越）#网球# 网球 香港商報的微博视频,1,0,15,,深圳,广东,中国
5,5023107068726619,蚌埠市教育局,2024-04-14 17:05:13,【随课潜入 润心无声——怀远县乳泉小学开展小学语文教学渗透心理健康教育研讨活动】@安徽省教育厅 为了进一步加强区域间的交流合作，发挥名师的示范引领作用，把语文教学和心理健康教育有机融合起来，让学生在跨学科学习中提升核心素养。4月12日上午，怀远县教育体育局教研室在乳泉小学举行蚌埠市小学语文“王云名师工作室”教学研讨交流观摩活动。蚌埠市小学语文首席名师、特级教师王云、蚌埠市第二实验小学副校长吴敏，怀远县教育体育局教研室小学语文教研员徐请，怀远县乳泉小学校长吴琼，教务主任王珍珍、怀远县各乡镇中心学校、局属学校、民办学校140余名小学语文教师参与活动。活动由乳泉小学副校长刘洪主持。本次活动的主题是小学语文教学渗透心理健康教育研讨活动，分为课例展示和专家点评两个环节。第一节课由乳泉小学司瑞洁老师执教四年级语文《海上日出》。司老师在创设大美中国的具体情境中，激发学生欣赏美感悟美的能力，带领学生赏晴天日出寻景物之变，学习作者按照一定的顺序描写景物变化的方法，同时创设小小解说员带你看日出的情境，引导学生练习说话能力，做积极的分享者。最后，引导学生通过学习作者的写作方法，进行仿写，锻炼了学生的写作能力。第二节课由怀远县新城实验学校陶海曼老师执教五年级语文《青山处处埋忠骨》。陶老师通过补充大量的资料帮助学生了解故事背景，感受人物情感，激发学生的爱国热情。引导学生从文中找出描写毛主席动作、语言、神态的语句，体会一代伟人毛主席作为普通父亲痛失爱子的内心世界。整节课老师深情投入，现场师生深受感染。第三节课由蚌埠市第二实验小学梁晓萌老师执教五年级语文《田忌赛马》。梁老师的教学聚焦思维，让学生习得方法，提升了学生的语文素养，把评价嵌入教学过程中，反馈教与学的效果，及时改进教与学，让学生在学习中思考、在理解中表达。名师点评赋能，深思笃行提升。课后，专家对这三节课分别进行了精彩的点评。吴敏侧重从把握语文学科教学的重点，提升学生语文核心素养方面进行解读，她强调，语文教学要重视文本，创设情境一定要和文本有紧密而具体的联系。同时，课堂上对学生要敢于放手，充分相信她们的学习能力，引导学生在课堂中学会学习，不能以老师的“教”代替学生的“学”，课堂教学要呈现出学生由“不会”到“会”的过程。王云首先肯定了三位老师课堂上的精彩表现，同时指出了她们的不足之处，并有针对性地给予具体教学指导。她指出，课堂教学前要充分了解学情，把握住教学重难点，学生已会或易懂的知识点，不要浪费过多的课堂时间，真正把课堂时间留给学生思考交流。她强调，要把心理健康教育渗透到语文学科的日常教学中，并提出了一些具体可行的学科融合策略。徐请对本次活动进行了总结，他首先对“王云名师工作室”送教活动表示感谢，并指出一要珍惜学习机会，把三节课例和专家点评传递的理念方法内化于心，外化于行，真正做到学有所获、学有所思；二要坚持学习，提升自身素养，强化理论支撑和人文积淀，准确把握语文教学规律和学生身心发展规律，深刻理解教什么、怎么教、为什么这样教、教到什么程度；三要立足课堂实践，提高教学水平，注意语文教学与其他学科的关联，提高跨学科教学能力，主动将语文教学与信息技术深度融合。春之美，在温暖与希望；教之美，在钻研与提升。此次“王云名师工作室”名师进校园教学研讨交流观摩活动，如一缕春风，跨越区域，为城乡教师提供了研学的契机；如一场春雨，润物无声，为一线教师作了全新的示范。充分发挥了教学名师的示范引领和辐射作用，有效架起了区域间同研共学的桥梁，为城乡语文教师们搭建了交流平台，提供了宝贵的学习机会。（怀远县乳泉小学）,0,0,0,,蚌埠,安徽,中国
5,5023106519269702,Sunny耶Yo,2024-04-14 17:03:01,每次自己来市里的医院都是匆匆赶路，连口水都没有喝，真的好渴，这次没有嘱咐复查了，吃个饭吧与医师交流常有羞愧感，像回到学生时代，没有全部心力投入学业导致成绩下滑时，被母亲诘问的时候上一次服药，很苦，工作影响、记性不好、用药时间也很不规律，倒也还算得上符合每日剂量，医师说片子情况很好，连检验报告上的炎症情况也很好当然，安慰，却还是深陷进为什么没有好好照顾自己身体的情绪中。虽然一天后我应该就会给完全抛之脑后不过，这次也要乖乖用药💊 呀身体是自己于这世间战斗、感受的基础，亿万万个细胞的努力要常常开心哦,0,1,0,湖南,岳阳,湖南,中国
5,5023088368158932,飞翔的胖海豚-辛戈,2024-04-14 15:50:54,唐“潮”人——唐代服饰妆容文化葛安丛       复旦大学国际文化交流学院硕士，复旦大学博士生讲师团讲师。曾获得复旦大学优秀学生、北京市人文知识竞赛一等奖，并担任霓衿汉服社社长，拍摄了多部宣传汉服文化的短片     中国有礼仪之大，故称夏；有服章之美，谓之华。服饰文化在中国传统文化中有着重要地位，如今也在被人们以新鲜有趣的视角不断挖掘和呈现，成为新的流行风尚。 上海·学悦风咏书社(首店),0,0,1,上海,上海,上海,中国
