页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4950644738753769,用户nuhbz87bmc,2023-09-27 18:05:47,创业大赛：贵州黔南科技学院还会定期举办创业大赛，鼓励学生创业并提供资金支持和技术指导。 绿洲 ,0,0,0,贵州,,贵州,中国
2,4941166337327323,法国高等教育署南京办事处,2023-09-01 14:21:59,巴黎大区推出了非常多的措施来帮助学生完成高等教育，推进国际交流，支持学生创业等等,0,0,0,,南京,江苏,中国
2,4924091792097647,张家界同城会,2023-07-16 11:33:50,【5个方面11项支持政策 #湖南省鼓励高校师生创业就业#】高等院校是科技创新的重要策源地，也是创业人才的重要培养平台。该方案提出，重点实施创业就业动能提升、主体培育、创新驱动、平台重塑、生态优化“五大工程”，明确提升高校学生创业就业能力、推动优质创业企业发展壮大、发挥创业企业稳岗就业作用、完善创业就业创新平台、优化创业就业环境等15项工作任务，并确立具体指标。（via 湖南日报） 5个方面11项支持政策 湖南鼓励高校师生创业就业,0,0,0,湖南,长沙,湖南,中国
2,4922747232197855,焦糖玛奇琪ovo,2023-07-12 18:31:03,看到学生创业忍不住支持一波 但真的不合我口味。。一点都不甜 ,0,0,0,江苏,泰州,江苏,中国
2,4921641312193579,果立方都是汉臣,2023-07-09 17:16:31,13300 【魏仔老瞒头】学生创业项目，支持一下，百变m3瞒🙏 ,0,32,213,江苏,南京,江苏,中国
2,4921635989358216,Ay_阿歪歪,2023-07-09 16:55:22,#摩登三国# M3百变曹瞒，学生创业支持一下🙏 ,3,5,29,广西,桂林,广西,中国
2,4903478076637494,侯侯hoho好好,2023-05-20 14:22:17,我的520🎁是这个👇男人支持学生创业7块7从学校买的 ,0,0,0,山东,威海,山东,中国
2,4901735425902432,溏渍烛油,2023-05-15 18:57:38,学校学生创业摆的酒摊 支持一下8⃣️ 🍻 ,0,0,0,江苏,南京,江苏,中国
2,4901436197179578,胖咩咩爱吃草,2023-05-14 23:08:36,今天一整个支持学生创业 大学生手机贴膜 大学生美甲 大学生气球 ,0,0,3,河北,保定,河北,中国
3,4889258374205531,山西教育杂志社官博,2023-04-11 08:38:17,【国家高等教育智慧教育平台正式上线“创课平台”板块】“创课平台”设置了创业理论、创业模拟、创业实践、创业支持4个模块，其中创业理论模块上线450多门慕课和微课，为学生提供创业基础理论学习和指导；创业模拟模块包括覆盖企业融资、项目管理等创业过程的虚拟仿真实验，为学生创业提供仿真演练和模拟实操；创业实践模块收录8届中国国际“互联网+”大学生创新创业大赛实况和获奖项目路演视频；创业支持模块汇集了全国100家国家级创新创业实践教育基地简介及联系方式。 点击链接，一起去“创课平台”看一看→网页链接（@微言教育 ）,5,0,3,,太原,山西,中国
3,4888949300136854,微言教育,2023-04-10 12:10:08,#教育头条#【国家高等教育智慧教育平台正式上线“创课平台”板块】“创课平台”设置了创业理论、创业模拟、创业实践、创业支持4个模块，其中创业理论模块上线450多门慕课和微课，为学生提供创业基础理论学习和指导；创业模拟模块包括覆盖企业融资、项目管理等创业过程的虚拟仿真实验，为学生创业提供仿真演练和模拟实操；创业实践模块收录8届中国国际“互联网+”大学生创新创业大赛实况和获奖项目路演视频；创业支持模块汇集了全国100家国家级创新创业实践教育基地简介及联系方式。 点击链接，一起去“创课平台”看一看→网页链接,16,2,5,,北京,北京,中国
3,4868734952408463,中青校媒,2023-02-13 17:25:31,【#食品科大学生创业摆摊卖饼#】近日，一位“00后”小黎大学毕业后，一边摆摊卖饼一边开直播做饼全过程。据悉，他是食品科毕业，起初卖饼是毕业实习项目，后依靠秘制酱料，和手机直播积攒粉丝有多人来排队。尽管创业路艰难，但是父亲一直默默支持，夜以继日地陪伴他。长江日报的微博视频 ,2,0,1,北京,北京,北京,中国
3,4868060693659654,长江日报,2023-02-11 20:46:15,【#好奇笔记#｜#食品科大学生创业摆摊卖饼# 游客排队购买，父亲陪伴支持】武汉大学生陆续返校了，大学周边曙光夜市又是人来人往。这里有一位“00后”小黎，刚刚大学毕业，一边摆摊卖饼一边开直播做饼全过程。他是食品科毕业，起初卖饼是毕业实习项目，后来依靠秘制酱料，还用手机直播，抖音号积攒四万多粉丝，好多人来排队购买。尽管创业路艰难，父亲的默默支持和夜以继日的陪伴，也成为他前进路上的不竭动力。（主创：见习记者张金玉 审看：郑慧） 长江日报的微博视频,6,7,29,,武汉,湖北,中国
3,4864639638706231,德国巴伐利亚州大学BayChina,2023-02-02 10:12:13,#巴州留学# 巴州各高校十分重视对学生就业创业的支持与帮助，除提供各种技能培训、组织招聘会等服务之外，学校还会对学生创业项目提供资金支持。新乌尔姆应用科学大学设立了KickStart@HNU创业启动资金，以鼓励学生实现自己的创业想法。获奖的学生或团队可得到7500欧元的资助，同时学校也会提供各种培训和其他支持。网页链接,0,0,0,北京,北京,北京,中国
3,4850650435295902,刺猬工作不眠不休,2022-12-25 19:44:07,【我校大学生创业实践基地被授牌“武汉青创园”】我校目前拥有省教育厅大学生创业示范基地，市人社局武汉市大学生创业学院，共青团武汉市委青创园三大平台。我校大力支持学生创业创新，为学生提供场地、师资、人脉等多方面优质资源，并在创新创业学院设有项目孵化基地以及专业的办公场地，致力于校创新创业发展。,0,0,0,安徽,铜陵,安徽,中国
3,4836085206616970,少说话多思考-,2022-11-15 15:07:06,中午吃的学校一家西餐厅 没想到是在负一层 中规中矩 下午去还书 买了红甜菜酸奶 支持学校学生创业项目 味道还行 价格小贵 取了两个快递 回寝室 呜呜呜 我爱寝室！ ,0,0,0,黑龙江,哈尔滨,黑龙江,中国
3,4829221597479288,大学生创业与就业促进社,2022-10-27 16:33:33,我校大学生孵化基地开放日活动已经开始咯！         大学生孵化基地位于北校区荷园三栋，是专门用于支持我校在校学生创业，业务范围包括打字复印，娱乐休闲，食品饮料，健身推拿，教育培训和美术音乐等。      孵化基地开放日是由招就处发起，号召全校学生来参观基地各项目，通过此次活动能更好的宣传我校孵化基地，也有助于各位入驻成员向在校生推介自己的项目，活动以自由参观的形式开展，参观者集齐15个章子的即可抽取由基地入驻单位提供的精美奖品。最后，我们还有几份神秘大奖提供给大家。只要大家现在开始发一个9宫格的照片在朋友圈，并写上“欢迎参加创业基地开放日”的标题，在活动结束时得到10个以上的点赞，那么礼品就会送给你们。最后的抽奖地点在3楼的307办公室！那么大家开始行动吧！,0,0,0,湖北,黄冈,湖北,中国
4,4828144362326668,我就是我真实108,2022-10-24 17:13:01,支持学生创业，真不错,0,0,0,北京,北京,北京,中国
4,4824593049329381,举铁的大白兔,2022-10-14 22:01:22,#陕西多措并举支持大学生创新创业#鼓励学生创业，尤其是新生产业，有助于社会发展，希望有越来越多的年轻创业者。 ,0,0,1,辽宁,大连,辽宁,中国
4,4819478984005422,河南农业大学,2022-09-30 19:19:54,【农创空间水果汇，国庆福利大放送！】为了建设文明舒适校园，让同学们能吃上质优价廉的放心水果，河南农业大学招生就业办公室（创新创业学院）招募学生创业团队，筹建农创空间水果汇，共同打造学生自己的线上线下一站式购物服务平台—河南农大农创空间水果汇。为感谢各位同学支持，水果汇特推出开业暨国庆福利大放送活动，凡进店即可领取新鲜水果一份，数量有限，先到先得，欢迎你的到来。活动时间:10月1日10:00—22:00。活动地点:海棠楼地下室北河南农业大学河南农业大学#农大分享#,2,13,14,河南,郑州,河南,中国
4,4815534942062176,吸汀小鹅,2022-09-19 22:07:41,宿舍都没住多久还要交住宿费。净赚全校学生每人800，这堆钱没去更新设施，支持学生创业，是不是全进某些人裤兜里了 ,0,1,1,吉林,长春,吉林,中国
4,4798853042146021,夷陵含光大战王八曲,2022-08-04 21:19:46,逃难进城跟爸爸妈妈姥姥一起吃饭就混着点骨头啃～支持学生创业现买现拍，回家往瓶里一放多少也够点要的价儿了 ,0,4,2,辽宁,盘锦,辽宁,中国
