页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022681739563693,皛遇,2024-04-13 12:55:06,【比赛后续】冠军的产生当之无愧，6000元的奖金，白皛白也心动💗亚军季军准备充分，事后，季军哭得很伤心，因为是季军讲真的，赛事参与为主，看作一次游戏的话，一开始的规则并不合理，但是比赛实力与运气与机会与胆量很重要遂这一次参与赛事，收获颇多看到了当下学生的压力，获奖开心，获小奖难过，可是无论流程如何，走到最后一步不是也很优秀吗？家长称其紧张了，可是，比赛从来都不需要这种解释。第一名所在学校在地方很普通，但是她自己真的不普通第二名材料准备相当充分第三名被家长施压呃有些时候，参与，体验一把冷暖真的蛮重要的再一点，最重要的一点，运气最重要还是实力最重要。取巧的方式并不可取，脚踏实地最重要。脚踏实地，仰望星空，这一刻考研期间所学的内容与所知内容完美的结合在了一起。,0,1,0,贵州,贵阳,贵州,中国
2,5022396098020184,晓辉侃科技,2024-04-12 18:00:04,#上海交大将鸿蒙作为专业核心课程# 。4月12日，华为校园公开课走进上海交大，以HarmonyOS为主题，引起交大学生热烈参与！现在的鸿蒙生态有多火不用多说，吸引大量移动应用加入的同时，也引起了社会对鸿蒙人才的需求井喷！不愧是上海交大，牢牢把握鸿蒙生态带来的未来职业蓝海新机遇，不仅把鸿蒙设为专业核心课程，还与华为联动开设校园公开课，在创新科技的人才培养上又走在了前面！如今越来越多高校把鸿蒙相关课程引入课程体系，更有清华大学、武汉大学、哈工大等知名高校早已开设了关于鸿蒙的课程，繁荣鸿蒙生态的同时，也为毕业生提供更多职场新机遇！,153,372,2039,北京,北京,北京,中国
2,5022667266852749,夕阳照斜辉,2024-04-13 11:57:36,第一次参与取名字大赛 认真参与 请了很多学生帮忙（对成绩提高大的 上好学校的） 我也希望能有一点奖品 有爱就有希望 有希望就不要放弃,0,0,0,河南,洛阳,河南,中国
2,5022656095849068,中国教育新闻网,2024-04-13 11:13:12,　　【校园科技节点亮科创梦】近日，河北省邯郸市复兴区人民小学操场，学生们在体验智能机器人。当日，学校科技节开幕。本次科技节以“智慧启航、科技筑梦”为主题，涵盖了多个科技领域，包括机器人竞赛、科学实验展示、科技大篷车等。学生们在参与实践中感受到了科技的魅力和力量，拓宽了视野，增长了知识。　　聂长青 摄　　《中国教育报》2024年04月13日第2版#教育##教育资讯##科技##科学#,0,0,0,,,北京,中国
2,5022285412962153,杭州校园,2024-04-12 10:40:15,#浙里邀你来吃笋# 浙江农林大学第二届农林“笋”宴即将启幕。活动分为盛宴共尝篇、文化共赏篇、厨艺共展篇以及欢乐共享篇四个篇章，参与其中的师生们有机会免费品尝17道以各类笋为原材料的菜肴。现场活动结束后一周内，各教工、学生食堂还将轮流推出各种以竹笋为主要食材加工的菜肴。欢迎广大师生来浙里吃笋！（来源：浙江农林大学）杭州校园,7,8,81,,,浙江,中国
2,5022642035754482,魏小晖,2024-04-13 10:17:20,#整理收纳进校园#🔹受中国传媒大学之邀，CALO的生活整理师一同走进的「寝室文化月」参与其中的重要项目：宿舍改造和整理收纳沙龙讲座的活动。感受到「年轻人」的积极好学的以及活力和热情，跟他们聊天的时候居然有种「语重心长」的即视感。🔹感受到学校对培养学生基本生活技能的重视，从物品的收纳到宿舍关系的协调看似是小事，实际都关乎未来的生活和工作，往大了也说是：「从小空间开始提高自我管理的能力和技能」#焕新生活季# #整理收纳进校园##中国传媒大学##生活整理##整理收纳# 魏小晖的微博视频,0,0,3,北京,北京,北京,中国
2,5021911627072938,痴史,2024-04-11 09:54:57,南京大学宣布退出世界大学排名，拒绝向排名机构提供相关数据，拒绝支付排名经费，他们决定将这些资金全部用于提升学生教育质量。精心搞科研，扎实做教育。 前有哈工大拒绝给留学生提供津贴，后有南大拒绝世界排名，希望越来越多大学能挺起中国脊梁。力挺南京大学扎扎实实搞教育、不参与虚荣、不参与名利、不参与金钱、干干净净教学，教出干干净净的学生。,255,425,4255,北京,北京,北京,中国
2,5022634204464069,快乐的小狗艾咪ww,2024-04-13 09:46:13,来听中考报考会，老师在台上给家长讲例题，换一页ppt，台下就举起一片手机。实际听下来，有意义的东西少得可怜。教育的主体本来是学生和老师，学校、家长和社会是辅助，但是现在的教育现状是，每个参与者都非常累。这种会本来该是为了帮助家长们明确报考的方向和细节，结果好像又变成了贩卖家长的焦虑。,0,18,4,黑龙江,哈尔滨,黑龙江,中国
2,5022477116507497,保罗车闻Cars01,2024-04-12 23:22:00,帕加尼Alisea概念车，由都灵IED硕士课程的学生设计，为庆祝帕加尼Zonda诞生25周年而打造，设计致敬最初的Zonda，帕加尼参与了该项目。#汽车资讯# #帕加尼zonda# #帕加尼# ,8,8,37,广东,茂名,广东,中国
3,5022625776535250,广西-东盟经济技术开发区,2024-04-13 09:12:44,#广西三月三八桂嘉年华# 4月9日，广西—东盟经开区第二小学开展民族歌舞表演、民族体育竞赛、美食制作比赛、非遗趣味展等特色活动，学生们通过参与滚铁环、打陀螺、斗鸡等民族体育项目，感受壮民族文化，迎接“三月三”的到来。 ,0,0,0,,南宁,广西,中国
3,5022613852130085,这是什么饭_吃一口,2024-04-13 08:25:21,遇见西南医科大的时光#2024运动会# 校园内运动激情四射，学生们以饱满的热情参与各项比赛，展示体育精神。期待精彩纷呈的赛事，为他们加油！ ,0,0,0,四川,泸州,四川,中国
3,5022612772094321,竹溪飞燕,2024-04-13 08:21:03,新时代的好课标准应该是有深度、有广度、注重学生参与和体验、有趣味性的。这样的课程不仅能够让学生学到知识，还能够培养他们的综合素质，为未来的发展打下坚实的基础。 遵义·正安 ,0,0,1,贵州,遵义,贵州,中国
