页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022707439896133,早点睡觉吧33,2024-04-13 14:37:14,【榜单赛事】第十四届全国大学生计算机应用能力与数字素养大赛 - 数字农林赛道 正在火热报名中“数字农林”赛道基于国家新工科与新农科背景，契合国家农、林、水数字化建设战略定位，符合新时代大学计算机教育改革发展。本赛道拟在推动各级院校学生将数字化、信息化、智能化技术与农业、林业、渔业、生态保护与乡村振兴相结合，提升计算机应用能力、数字素养、人工智能交叉融合能力。一、大赛共有5个赛道：数字农业赛项数字林业赛项数字渔业赛项数字生态赛项数字乡村赛项二、组织机构①主办方：全国高等院校计算机基础教育研究会全国高等学校计算机教育研究会工业和信息化职业教育教学指导委员会计算机分委会《计算机教育》杂志社 ②承办方： 北京林业大学三、竞赛对象：竞赛为团队赛，面向高等学校在校学生（包括专科、本科、研究生），每支参赛队伍人数最多不超过 5 人。四、竞赛时间 ①初赛（校赛）：2023年10月28日～2024年4月30日②复赛：2024年5月11~ 12日   ③决赛：2024年5月25～26日注意： 初赛无统一组织则可以团队直接报名复赛五、奖励办法获奖率：40%超高获奖率决赛获奖率【40%内的人数*以下获奖率】一等奖：15%二等奖：35%三等奖：50%报名:到“赛氪平台”搜索“数字农林赛道”,0,0,0,湖南,衡阳,湖南,中国
2,5022705680647658,jping,2024-04-13 14:30:14,袁伟时：有人问苏格拉底什么是美德，他说我不知道，有人问他怎么养成美德。他说我连什么是美德都不知道，更加不可能告诉你怎么养成美德。然后他会一步一步引导讨论、怀疑。逐渐养成怀疑、讨论的精神，平等的相互交流精神。学生和老师之间，也应该是相互平等的。西方从这种怀疑精神发展出什么呢?发展出完整的逻辑，包括形式逻辑。而且更重要的是从这个讨论里面发展出来非常宝贵的理性精神，对老师，对任何的观点、理论，我们都应该讨论，都应该好好考虑它们合不合乎逻辑。很多的现代学科，例如政治学、伦理学，几何学，都是在古希腊的基础上发展起来的。,0,0,0,上海,,上海,中国
2,5022703788753247,黄乐平律师,2024-04-13 14:22:42,【评#家庭教育# 之八】上世纪八十年代学校提倡学生德智体全面发展。当时的说法是，品德不好是毒品、学习不好是次品、身体不好是废品，这个话是不是对见仁见智，毫无疑问有那个时代的烙印。如何培养孩子健全的人格与健康的心理，就是让孩子有正常的学习、生活与社会实践，在孩子成长过程中出现偏差时，家长可以引导孩子向正常的方向发展就可以，在孩子有心理压力的时候教会孩子选择正确的方式来排遣与释放压力。#人格##心理健康# 黄乐平律师的微博视频,0,0,5,北京,,北京,中国
2,5022697619458109,看看新闻KNEWS,2024-04-13 13:58:12,【正在直播：青年就业季 我们在行动丨同济经管学院招聘会进行时 华住领衔40多家企业伸橄榄枝】为推进2024届毕业生就业指导工作，拉近学生与国内外知名企业间的距离，实现用人单位与毕业生的精准匹配与高效对接，同济大学经济与管理学院职业发展中心邀请行业内40多家知名领军企业，举办2024年同济大学经济与管理学院春季综合招聘会。其中，华住集团还将举行招聘宣讲会讲述企业招聘计划和用人理念。#看看直播#  看看新闻KNEWS的微博视频,1,0,4,,,,
2,5022696376632980,王庄子的麦客,2024-04-13 13:53:16,2024新款方形手表女士学生防水个性大表盘高级感气质轻奢小众时尚   80.16     　　另外一种人，总是在心里感受对方好的地方，或者开始的时候也是抱着那幅照片去找。可是当感情开始发展后，他们把注意力从照片移到对方的身上。他们开始注意对方那些已经拥有而自己以前没有注意、让自己感觉满意的地方，他们还会从对方身上发现一些对方拥有的、比照片更好的、对白己更有意义的东西。这样，他们把对照片的重视，漫漫地转移到对方的身上。,0,1,0,江苏,宿迁,江苏,中国
2,5022694044861447,贵州大数据微博,2024-04-13 13:44:00,#数说贵州# 【数字化如何让生涯规划教育更精准】数字时代的到来，悄然改变着每个人的生活，也深刻影响着教育领域。生涯规划教育是实现个体自主发展，培养人生观、价值观以及未来职业素养的重要方式，对学生发展产生深远的影响。传统的教育模式在生涯规划教育方面存在一定的局限性，如教育资源分配不均、教育方式传统单调、个性化指导不足等。数字技术的应用为学校生涯规划教育带来了新的发展机遇。详情戳&gt;&gt;&gt;数字化如何让生涯规划教育更精准 via.中国教育报,0,0,0,,贵阳,贵州,中国
2,5022684305949183,用户7728619308,2024-04-13 13:05:18,研究生确认录取了能不去读吗?有什么影响对个人诚信记录的影响研究生确认录取后不去就读，可能会对个人的诚信记录造成一定影响。许多招生委员会和雇主在选拔人才时会关注学生的诚信记录，如果在考试或入学后不履行承诺，可能会影响到个人在学术界或职业界的声誉和未来发展。对学校和研究机构的影响学生放弃入学资格也会对学校和研究机构造成一定的困扰。学校和研究机构需要为新生做好各项准备工作，包括安排导师、分配宿舍、制定培养计划等。如果学生突然放弃入学，学校和研究机构可能需要重新调整相关安排，浪费了一定的资源和精力。如果担心错过考试的重要时间节点，可使用“ 免费预约短信提醒”服务，届时重要考试节点会以短信形式及时提醒！    如果考上工作决定不去读研最好和研究生院说一声。,0,0,0,河北,张家口,河北,中国
2,5022679711356698,爱舔美釹子,2024-04-13 12:47:03,柳智敏 真的很烦 本来一切都在往好的方向发展了不是吗？绯闻也结束了 个资也在慢慢变多 马上就要回归了    我只是一个每天靠追星获取快乐的大一学生而已 学业也不繁重 但每天不定期的打开微博就会看到不好的事情 到最后受伤的除了我们这些散粉就是正主了 求求了 多爱她一点吧🙏 ,1,1,14,江苏,南京,江苏,中国
2,5022679193098763,泛泛余周-,2024-04-13 12:44:59,#周周周小记# 24年第7周:1.组织评选优团优干优秀志愿者；2.发展党员；3.4月10日河南大学第一附属医院博士引进座谈；4.4月11日丁香园校企合作座谈；5.职业照；6.趣味运动会；7.筹备四月招聘会；8.一周招聘信息15期；9.上报2024届毕业生就业指导季活动计划；10.读书活动月活动安排；11.学生政审组织谈话,0,1,0,山东,青岛,山东,中国
2,5022679058878818,外贸娘子薇,2024-04-13 12:44:27,分享一下今天的报J历程:    起因，我发现我公司被&quot;冒充&quot;在某书平台上发布&quot;兼职信息&quot;。    于是我伪装成大三学生去&quot;🎣钓鱼&quot;，对方提出的条件:    要大学生，勤快，不要玩手机；包吃包喝，早10晚6，160元/天，3天一结。   我去你个蛋蛋的！   紧接着，我又发现，它类似是在发展下线，&quot;188元加入我们团队，下午就能教你&quot;   在我多次与JC叔叔沟通后，发现这种事，真的是太难维权了。   因为我公司目前是&quot;名誉受损&quot;，但是并没有受害者（即交了188元的），只能走法律起诉。   流程长就不说了。   这件事我发现的早，对方4.8日发布的&quot;假冒帖&quot;，目前留言也才200左右。   真要起诉成功了，也赔偿不了我什么，反而是我花费一大堆功夫。   能做的，就是举报该帖。。。。至于它会不会另起炉灶，在我看不见的地方重操旧业？我也不知道。  只能说这事，成功恶心到了我。,0,6,6,江西,南昌,江西,中国
