页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022644325583630,汉语桥,2024-04-13 10:26:26,“我会用心感受这里的发展变化，将亲身经历介绍给家人、朋友和同学们。”2024年巴布亚新几内亚布图卡学园#汉语桥# 营团营员Jathniel Kivori超有感触地说。本次团组活动中，学生们不仅学习了中文、剪纸、书法、武术、巴蜀古诗词、茶艺等课程，还深入了解了巴渝的风土人情和城市风貌。快来一起感受这趟充满乐趣和知识的旅程吧！（via. 中国驻巴布亚新几内亚大使馆）,0,0,0,,北京,北京,中国
2,5022612772094321,竹溪飞燕,2024-04-13 08:21:03,新时代的好课标准应该是有深度、有广度、注重学生参与和体验、有趣味性的。这样的课程不仅能够让学生学到知识，还能够培养他们的综合素质，为未来的发展打下坚实的基础。 遵义·正安 ,0,0,1,贵州,遵义,贵州,中国
2,5022403639642941,科技du,2024-04-12 18:30:02,兄弟们，鸿蒙的好消息真是不断啊，除了越来越多的应用加入鸿蒙生态，鸿蒙人才的培养也是更进一步发展。#上海交大将鸿蒙作为专业核心课程# ，助力鸿蒙人才培养，现场还引入了搭载鸿蒙系统的手机、平板等互动体验产品，吸引了计算机专业等相关专业超百名学生参加。截至目前，已有超过4000个应用加入鸿蒙生态，未来鸿蒙人才肯定会非常吃香，此前就有清华大学、武汉大学、哈工大等多所知名高校开设关于鸿蒙的课程，相信后续会有更多的高校加入！,213,197,1272,安徽,合肥,安徽,中国
2,5022369770377118,周末风云内蒙古体育在线,2024-04-12 16:15:27,【深化教研 共促提升——通辽市教研室到通辽实验中学指导体育教学工作】为进一步推进体育课程改革，持续加强特色体育课程建设，助力学生全面发展，近日，通辽市教研室体育教研员冯立东老师携教研团队深入通辽实验中学调研体育教学工作。 ,0,0,0,内蒙古,,内蒙古,中国
2,5022325617198204,MSO留学,2024-04-12 13:20:00,#MSO留学# 🇸🇬新加坡管理大学2024申请延期通知！新加坡管理大学Master of Sustainability可持续发展硕士，申请截止日期延期，延至2024.5.31🔹课程简介：学生将通过强调可持续推理、沟通、协调和管理等基本核心技能，参与学习如何可持续地利用组织和自然资源，为社会公平的结果服务。🔹学制：1年🔹学费：54500新币/年🔹申请要求：需要GRE/GMAT🔹语言要求：雅思6.5或托福90#留学申请季# #留学申请#,0,0,0,,广州,广东,中国
2,5022293212007039,河北超格教育,2024-04-12 11:11:14,#100天搞定河北特岗# Day9🔥宝子们，艳艳带背来啦！！ 👇今日背诵内容👇✅基础教育课程改革✅教学概述、原则、方法✅新课程背景下的学生观✅新课改下的教师观✅新课程背景下的教学观✅当前课程评价发展的基本特点✅综合实践活动课的主要内容和实施步骤✅教学与教育、智育的关系✅教学的作用和意义✅我国现阶段的教学任务✅不忘初心 牢记使命（写作讲义P50）每周计划获取方式👇①点击特岗课程网页链接回放课表--【单选+填空】教育学6--讲义 ②点击链接网页链接联系获取备考特岗的同学们跟上节奏发布每日背诵内容@河北超格教育 ，有机会获得精美周边哦#河北教师招聘##河北特岗#河北特岗教师河北教师招聘,5,0,5,河北,石家庄,河北,中国
2,5022291096242765,思想火炬,2024-04-12 11:02:50,【徐蓉：推进大中小学思政课一体化建设：循根本、强实践、求创新】伴随着思政课建设内涵式发展对大中小学思政课一体化建设不断提出的新要求，不同学段的思政课建设应从时代新人的接续培养出发凝聚人才培养的合力，从明确课程目标出发遵循学生认知发展的规律，从统筹课程内容建设出发加大教研沟通力度，为此，既需要以鲜明的实践观点引领建设行动，也需要以强烈的问题意识直面建设瓶颈，还需要构建有效的协同机制来提升建设格局。在新的环境条件作用下，不断总结经验巩固已有成效，为高质量推进一体化建设探索新质、新域、新略，创造新的可能性，是办好思政课的应有姿态。【推动新时代思想政治理论课内涵式发展】徐蓉：推进大中小学思政课一体化建设：循根本、强实践、求创新,3,2,2,,北京,北京,中国
2,5021685231652087,泗县教育体育发布sxjtj,2024-04-10 18:55:20,迎“篮”而上  追“球”梦想——泗县大路口镇庆“五一”小学生篮球赛为丰富学生的课余文化生活，进一步推进学校体育活动健康发展，深化体育与健康课程实施，促进学生身心健康发展，4月9日-10日，泗县大路口镇庆“五一”小学生篮球赛在该镇中心学校举行。参加本次篮球赛的共有8支代表队，各代表队发扬“友谊第一、比赛第二”的精神，赛出风格，赛出水平，经过3天激烈角逐，比赛圆满结束。篮球场上，各队队员精神抖擞，灵动过人，完美配合，快速抢断，突破上篮，精彩盖帽，空中接力，投篮命中。双方队员你攻我守，一个个矫健的身影来回奔跑着，一双双炯炯有神的眼睛专注在空中飞来飞去的篮球上……“好球!”“传，快传!”“注意回防！”整个球场人声鼎沸，激情澎湃。啦啦队的心随着队员的身影和投篮跳动着，仿佛他们也成为了赛场上的一员，他们为喜爱的球队加油鼓劲，把手掌都拍麻了，还觉得不能表现自己心里的欢喜和激动。迎“篮”而上，追“球”梦想。多年来，该校高度重视体育工作和学生体质健康，篮球作为学校传统项目，体育组开展系列化、多样化的校园篮球活动，营造以球育美、以球兴校的校园体育文化，培养了学生的积极向上，顽强拼搏的美好品质，为培养新时代德智体美劳全面发展的建设者和接班人积极努力。（陈其龙）,0,0,0,,宿州,安徽,中国
3,5021664710757925,Pange1985,2024-04-10 17:33:48,教育博士考博专业课辅导课程----学生发展与教育           【老万】历史+政治2024年中考全套课程           ? ,0,0,0,广西,玉林,广西,中国
3,5021557468695408,六道口考研小霸王,2024-04-10 10:27:39,北京师范大学教育学部2024年教育博士专业学位复试考核成绩已公示往年实际录取人数都会比计划多一点2023年招生中，教育学部教育领导与管理方向计划招生20人，实际录取的30人；学校课程与教学方向计划招生13个，实际录取23人。位次比较靠前的老师，基本已经锁定胜局；位次在中部偏后位置的老师，还得再等等最终录取结果的公示，觉得不太稳妥，今年还有机会再报一下其他学校，比如浙大，东北师大等目前还未截止报名～#北京师范大学##考博##教育博士##教育领导与管理##学校课程与教学##学生发展与教育##在职博士#,0,0,0,北京,北京,北京,中国
