页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5021701301866299,临汾政法,2024-04-10 19:59:12,#禁毒进校园# 【护校安园我们一直在行动】为进一步加强、规范学校易制毒化学品及重点设备实验室管理、使用及储存安全，为学生们营造健康、阳光、安全的校园环境，4月8日，临汾直属公安分局禁毒大队深入临汾市第一中心学校化学实验室，开展易制毒化学品专项检查工作。@中国长安网 @山西政法 ,0,0,0,,临汾,山西,中国
2,5021605274583894,西红柿炸薯条,2024-04-10 13:37:36,实验室内目前仅有这一位企业导师。该企业导师没有对学生进行过任何科研工作的指导。此外，郑凤老师与该企业导师二人长期处于“和好-吵架郑凤老师拉黑企业导师郑凤老师和企业导师通过学生进行交流”的循环。  二人的关系飘忽不定使得实验室同学非常痛苦，需要同时面对两位导师的情绪。,0,0,0,江苏,盐城,江苏,中国
2,5021563191558508,安柠-芋泥卷卷,2024-04-10 10:50:23,太神金了这也叫什么高校行政，要是学生处的那确实可爽了全部交给学生和兼职辅导员干就行，那才叫高校行政，，，结果点开看是实验室助理wflbb，所有沾上实验室的高校活苦力值加n倍，要管耗材要管实验风险，还得看仓库，还得去破旧的充满安全隐患的实验大楼工作……高校里的实验大楼还不如公司的，整体实验设备都不如公司，属于既不会有钱也不会有闲。。不过要是研究所的实验类行政岗估计又会比公司好，至少设备新场所安全一点而且研究所有钱会大方一点……小编这么会编换我我也能上，该鼠草台班子,0,0,0,福建,厦门,福建,中国
2,5020672856952877,栀柠py,2024-04-07 23:52:31,杀了我吧！！！杀了我吧！！！ 我要疯了！！！！！！！！！！  哦，对了死之前还要把中考报名工作整完，还有寄宿生生活补助学生信息上交，还要记得把门口的实验单子换了，最后再把实验室卫生打扫干净才能安心去世 ,0,0,0,四川,宜宾,四川,中国
2,5020177238589989,抵达恐惧边缘,2024-04-06 15:03:07,【】小学的时候因为父母工作原因每天都会五六点钟到学校，之前总是乖乖坐在教室里不乱跑，但有一天正好要去一栋楼交作业，所以我就想趁现在交掉好了……那栋楼里没有教室没有办公室也没有学生，都是实验室，但小学科学课纯粹是摆设，所以根本没有人会去。里面特别阴冷而且一片漆黑，只有蜿蜒上去的绿色楼梯，我强忍着上楼把作业放在那里，下楼的时候走了另一边楼梯，结果那个楼梯是直通地下室的。我一进去感觉浑身的寒毛都立起来了，到处都是灰尘和杂物，特别黑特别阴森感觉十几年没有进过人了，空气里还有一股淡淡的血腥味（真的是这个味道以至于我现在回想起来都会怀疑我是不是做了个梦），我拔腿就跑但是找不到出口，绕了好久才找到一楼的楼梯……而且后来觉得很奇怪，明明那栋楼根本没什么人去，为什么要到那里交作业？,0,0,8,湖北,武汉,湖北,中国
2,5019900638135265,余庆检察,2024-04-05 20:44:00,#余检转播# 江苏省射阳县检察院近日举办“春风护蕾　未检童行”检察开放日活动，邀请该县人大代表、政协委员和师生代表参加。活动中，检察官以“种下法律树　开出安全花”为主题，为学生们上了一堂法治课，并带领他们参观检察听证室、快检实验室，让他们近距离了解检察工作，提高法治意识。（来源：检察日报）,0,0,0,,遵义,贵州,中国
3,5019003580059489,盈和智能电嚣,2024-04-03 09:19:25,"对学生教室、实验室、宿舍等场所,对各室光线照度、色温、光照均匀度等指标是否符合国家标准情况开展光环境排查工作。 ",0,0,1,广东,佛山,广东,中国
3,5018851508752942,一只吃草的小兔纸,2024-04-02 23:15:08,做科研这么苦这么累，我埋头坚持了到现在，motivation确实是兴趣、好奇心。今天带着学生一起在实验室工作到现在，看了眼时间发现太晚了才打算下班，还意犹未尽。 ,0,6,2,北京,,北京,中国
3,5018844858943115,Yooken_半點,2024-04-02 22:48:43,结束学生常规时期最后一个假期！收拾心情上班的第一天果然效率不怎么高。中途还跑去邻居实验室聊了好久的天，跟好朋友们一起唠嗑真的太能给自己充电了。 希望明天的工作效率能够恢复起来！ 晚安。 ,0,0,1,日本,,日本,日本
3,5018805264714400,想想Meikoo怎么做,2024-04-02 20:11:23,师妹眼里出西施 真心觉得从大一开始遇到的无论是学生工作还是实验室的师姐们 在叙述工作都是美丽富翁 ,0,3,0,新加坡,,新加坡,新加坡
3,5018742004647527,常州网,2024-04-02 16:00:00,【常信院开展“大国小工匠——‘小鲁班’走进大学实验室”科普教育活动】3月26日，常州信息职业技术学院嵇明军大师工作室携手无锡市宜兴经开区实验学校、常州市武进清英外国语学校，举行第102期“大国小工匠——“小鲁班”走进大学实验室”科普教育活动，为学生打造了一堂“沉浸式”科普课，将科技强国的种子播撒在孩子们心中，通过体验式深度学习引导学生拓展格局、成长成才、做新时代好少年。常信院开展“大国小工匠——‘小鲁班’走进大学实验室”科普教育活动,0,0,0,,常州,江苏,中国
3,5018727445695584,Janua9,2024-04-02 15:02:09,#复试#南通大学南通大学考研  急急急！！！！ 本人本科中南林，一志愿苏州大学生物学317分，英一79，四六级已过，一项省级大创，本科有学生工作，获得过奖学金等证书。请学长学姐看看孩子，想咨询一些调剂神经再生重点实验室的建议，复试指导，复试资料，有用信息可以有偿！ ,0,1,2,湖南,长沙,湖南,中国
3,5018480900576611,呜哈哈哈哈哈哈哈哈,2024-04-01 22:42:28,想亖 睡不好吃不好学不好学生会工作干不好实验室也干不好 ,0,3,0,云南,昆明,云南,中国
4,5018414878031967,先炒香辣肉丝,2024-04-01 18:20:06,我医学伦理的工作，实验室里的所有人都看起来很可爱，很严谨。但一开会全变成大傻春，问我：儿童是弱势群体可以理解，为什么雇员和学生也是弱势群体。 你说呢？ ,0,0,0,江苏,,江苏,中国
