页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023229645423173,童颜永在--心理医生,2024-04-15 01:12:17,《三名醉汉闯入山东某大学，对女学生有所企图，三名学生上前阻止，其中一名学生被一醉汉掐住》浏览量：29万点赞量：549网页链接 心理咨询师点评：正义为何迟到？法律为何在邪恶势力面前如此苍白无力，执法机构的公信力在哪？见义勇为，匡扶正义，除暴安良反被压制，恶人却光天化日作案却无事？试问天理何在？,0,0,0,湖北,武汉,湖北,中国
2,5022728188854302,freadren,2024-04-13 15:59:40,老婆参加高峰学校老师举办的公益心理咨询会。现在深圳的学生心理健康问题非常严重，据调查初中生100人中有二十多学生出现不同程度的心理抑郁症；高中生100人中有三十多学生出现不同程度的心理抑郁症。而且有越来越低龄化的趋势。学校心理咨询会现场暴露出孩子各种矛盾，有的孩子严重厌学，有的孩子不上课，也不参加考试。。。有些家长现场心酸得不可抑制哭了。讲师让家长们不要过于焦虑，有的孩子严重偏科恰恰说明他是是某方面天才，有的孩子喜欢撒谎恰恰说明孩子社会应变能力很强。。。家长不要对孩子期望过高，导致压力太大，需要时间走进孩子内心，才能解开孩子心结。,0,0,0,广东,汕头,广东,中国
2,5022698072444466,中青报-温暖的BaoBao,2024-04-13 14:00:00,【你了解高校心理咨询室吗？】近日，中国青年报·中青校媒针对高校心理咨询室建设情况，面向全国高校大学生发起问卷调查，共回收来自246所高校学生填写的有效调查问卷7595份。调查发现，在有需求但没走进心理咨询室的受访者中，没去过的原因包含不了解学校咨询室情况，不敢贸然前往（44.86%）；担心做咨询后被身边老师、同学知道（27.68%）；认为学校心理咨询室不够专业（20.65%）；学校心理咨询室位置有限，预约难度大、程序复杂（17.73%）等。针对学生的担心，西安电子科技大学心理健康教育中心主任魏萍作出解答。#青春正当时奋斗同路人##温暖的baobao# 中青报-温暖的BaoBao的微博视频,0,0,1,,昆明,云南,中国
2,5022505321892199,回踩缝纫机,2024-04-13 01:14:05,晚上和小鱼聊完就打算这周约一下学校的心理咨询来着 某些方面自己确实太偏执了 很难把自己完全代入到单纯的学生身份里 各方面都在把自己往最痛苦的路上牵引 因为害怕太轻而易举的幸福和轻松 从小确实被灌输的是苦难教育 以至于经常无法自控地把本应他人承担的压力强加给自己 合适的路被我看作可耻的退路 明明不喜欢还要走到黑好像才能叫尽力…很多心态都需要慢慢调整 更轻松地面对可能选择的时候也会更明确吧。。,0,2,1,吉林,长春,吉林,中国
2,5022415963554664,珠海市妇联,2024-04-12 19:19:00,#最美巾帼奋斗者# 【王菲：躬耕廿八载，打造珠海特色教育品牌】美术课堂上，她育人不悔，以美的教育唤醒学生美丽的心灵；心理咨询室里，她和孩子们促膝相谈，耐心为他们排忧解难。她是广东省三八红旗手、珠海市香樟中学校长王菲。从一位美术老师，到教研主任，到校长助理、副校长，再到校长，耕耘教坛28年，王菲始终坚持为党育人、为国育才，是珠海教育系统一份温暖而坚定的力量。（观海融媒）#巾帼心向党 奋进新征程##虞美人竞相绽放美成了童话#,0,0,0,,潮州,广东,中国
2,5022410715169445,斗战胜佛是不死之身Y9,2024-04-12 18:58:09,昨日下午＋晚上四小时的实训课今日下午五小时的研究生调剂面试得去打个比赛放松一下了🏐K1325🚂研究生复试结束博士又要开始了学生毕业季也要来了，某些导师与学生的冲突又要升级了还要波及学院前不久刚带着一个心理中心重点关注预警的博士学练八段锦让她放弃了第二次的心理咨询，又迎来另外几个硕博研究生的毕业难问题分班定好班委后还是能感觉到业务能力的差距，为什么只能当副手还是有原因的凡事种种，与我有关又似无关，他们的令人惊艳又或无奈是他们的人生，他们还要为他们的未来奋斗尘缘扰扰，放下难拿起痛，在浑浑噩噩中思念，在明明白白里活着，孰真孰幻。疼痛才有保护，完美只剩虚无。会有很多个我们，去往不同的世界，只是这个世界的意识太过强大，阻断了其他频率的发收，晃神间我们就窥探了遥远的那一角天地了罢。万物有灵，生生不息。 南京站,0,8,8,江苏,南京,江苏,中国
2,5022360671619973,丽江政法,2024-04-12 15:39:18,【法治教育+心理辅导进校园 守护学生健康成长】#利剑护蕾# 4月8日至9日，华坪县教体局、县司法局、县妇联等有关部门组成法治宣传教育小组，到华坪县第一中学、第二中学开展“法治进校园”普法宣传巡讲和心理咨询活动，引领广大青少年学生、教职员工提升法治意识，增强法治素养，预防减少未成年人犯罪，共同呵护青少年健康成长。@云南政法,0,0,0,,丽江,云南,中国
3,5022085959123420,Boobasnot,2024-04-11 21:27:40,心理咨询之总是被学生骗怎么办 ,0,2,0,广东,中山,广东,中国
3,5022064045982621,河南交通广播,2024-04-11 20:00:37,【直播：浅谈青少年抑郁】据《2023年度中国精神心理健康》蓝皮书发布的数据显示，我国中小学生抑郁症检出率达40%。在抑郁症患者群体中，50%的抑郁症患者为在校学生，41%曾因抑郁休学。这些数据说明了孩子们正面临着巨大的心理压力，青少年心理健康问题亟须关注。河南交通广播联合河南省心理咨询师协会特别推出“浅谈青少年抑郁”特别节目。  河南交通广播的微博视频,1,3,3,,,,
3,5021995127278707,宜宾发布,2024-04-11 15:26:45,#宜美家园共同创造# 【学校+医院 共筑学生心理健康防线】4月10日，宜宾职业技术学院携手宜宾市第四人民医院，举办了“减压赋能，携手同行”案例指导及团体辅导沙龙活动。本次活动主要包括案例指导和团体辅导两个环节。宜宾市第四人民医院临床心理科主任、中级心理治疗师、国家二级心理咨询师谭红，为全校辅导员进行案例指导与团体辅导。在案例指导环节，谭红肯定了辅导员以及二级学院相关人员在处理心理问题案例时所做的规范、专业和有效的措施，并提供了后续开展工作的方向和方法，也科普了常见问题的典型症状。她强调，辅导员在与学生互动时，首先要了解学生的感受，同时应注重建立信任关系，运用心理学原理和技巧，帮助学生认识和调整自己的情绪和行为。在团体辅导沙龙环节，所有人员沉浸式体验了团体心理辅导-巴林特小组工作方法。通过小组讨论、角色扮演等形式，让辅导员们学会了用系统的视角看学生问题，汇集集体智慧，准确识别问题的本质和关键因素，迅速找出问题的根源和生发出有效解决方案，从而提高心理育人实效和辅导员育人胜任力。（宜宾职业技术学院）,0,0,1,,宜宾,四川,中国
