页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022435696970491,用户7821123189,2024-04-12 20:37:25,空闲时间赚取生活💰💰💰 超适合学生党，宝妈 并且专人指导，不会随时问 有意私信，无意勿扰#大学生是如何赚取生活费的##适合宝妈、大学生的工作##适合宝妈、大学生的工作# ,0,0,0,黑龙江,鹤岗,黑龙江,中国
2,5022419720866810,蓝山ink,2024-04-12 19:33:56,不痛苦的研究生生活究竟是谁在上啊啊啊啊啊啊啊啊啊啊啊啊啊啊啥都给我干，可轻松死你了，美名其曰锻炼我，你倒是做点导师该给的指导啊上课的PPT让我做！教学设计让我做！试卷分析让我做！学生考试资料归档让我做！筛选投稿让我做！指导本科生毕业论文让我做！指导师妹也让我做！拉她们见其他导师也让我做！那要你干嘛！你有什么用！我请问呢！,0,0,0,河南,郑州,河南,中国
2,5022131085380489,旧里枯野,2024-04-12 00:27:00,运动完去唱k 多少年没来过这种地方了点了四五十首歌 和她们唱好快乐顺便指导一下唱歌哈哈哈哈笑鼠 加班了依旧还是果盘杀手 小吃杀手运动跟上次认识的姐姐一起去的，今天跟她穿得跟双胞胎一样，她好好，带我运动。#小满生活笔记#图五是学生图六是和朋友聊天然后今天喜茶直播 喊cc团券 她直接买了十杯 很牛就是说 （图七）,0,3,5,广东,佛山,广东,中国
2,5022093850974149,horseyr,2024-04-11 21:59:03,使命营第一次作业：描述自己的忘我状态1.工作上，我做课件的时候非常投入，因为是录播课要用啊，可能有点追求完美，以致得了颈椎病。2.生活中，我觉得我助人的时候特别忘我，我带领大家爬山，指导学生功课，让别人有所收获的时候，我特别开心，我觉得这是我的价值。3.家庭中，我特别喜欢为家人做餐食，和孩子一起玩，看到他们每天幸福开心，我也很开心。,0,0,0,浙江,杭州,浙江,中国
2,5021885173596805,黑眼豆豆小怪兽,2024-04-11 08:09:50,够效率。北邮大部分老师还是很好的，当年我们导师不讲重话、发补贴从不拖欠、允许学生短期实习、时常搞团建活动，除了学业也有职场和生活经验的指导。感恩~,0,0,0,北京,,北京,中国
2,5021761911392109,fjjmf,2024-04-11 00:00:02,#熊猫守护者# #每日‬一善# 杨绛先生说：无论人生上到哪一层台阶，阶下有人在仰望你，阶上亦有人在俯视你，你抬头自卑，低头自得，唯有平视，才能看见真实的自己。对有些人来说，生活就是不断破墙而出的过程，而对另外一些人，生活是在为自己建起一座座的围墙。阳光正好，春风不燥，不负美好时光，所得，所不得，皆不如心安理得，总会有不期而遇的温暖！#北邮为郑某所指导学生调换导师#fjjmf的微博视频,1,84,168,江苏,苏州,江苏,中国
2,5021761916371285,A奥特曼小姐姐,2024-04-11 00:00:02,#阿克苏地震#  北邮为郑某所指导学生调换导师 每一个人，都应该用你们的努力去惊艳时光，生活不会亏待任何一个努力的人。  #北邮决定取消郑某研究生导师资格# A奥特曼小姐姐的微博视频 ,4,91,154,浙江,杭州,浙江,中国
3,5021762117178996,-Hello璇子,2024-04-11 00:00:51,#北邮为郑某所指导学生调换导师#正道的光，教育界早该整治了费劲千辛万苦考上的研可不能毁在这种人手里！而且我们要看到的不是事出之后的处罚，是研究生们能够正常的继续后来的生活，平安毕业。只要她还在北京邮电，那些研究生很大概率不会好过，她一日在这个行业一日就会有更多人遭遇这种事 ,0,0,1,辽宁,抚顺,辽宁,中国
3,5021583645084260,神经外科扈玉华医生,2024-04-10 12:11:40,今年门诊来了一位老病号，看到了我10年前在白宝忠主任指导下完成的一例终板造瘘术，感慨颇多。一晃10年过去了，患者仍在复诊，白老却退休了。感恩老主任的教导和帮助，有一天我也会退休回家，而我的学生和伙伴还在继续工作，我治疗的患者也健康的生活着，这也许就是人生的意义，也是医生执着工作的信念。#医学##患者##医患关系# 石家庄·省二院,1,9,59,河北,石家庄,河北,中国
3,5021608968457444,猪小壕,2024-04-10 13:52:18,每当看到类似 图1 的事件时，我就感慨自己的研究生生活何等幸福。我的硕士导师和博士导师都是学识和人品极好的人，他们不仅悉心指导我的研究和发展，而且不会让我帮他们干任何活。我工作以来，带过十几名研究生。得益于导师们的影响，我敢说没有让任何一名学生帮我干过任何一件事，不仅是学术之外的杂活，即便是我承担的学术项目，也不会请他们帮忙。如果学生们需要积累研究经验，我就请他们自己选题、做自己的研究，我会悉心指导，而不是让学生在我的项目里打杂。如果学生志不在学术，只想通过打杂赚点钱，我会鼓励他们在达到课业要求的前提下去真正的单位、企业实习，获取真正的工作经验和劳动报酬。我坚持这么做，自然有很大代价。许多老师卷项目、卷成果，背后可能是众多学生做贡献；我单枪匹马，卷不过他们。领导们层层下派许多任务时，我都自己扛下来，即便他们默认或者明示我可以找学生帮忙。我可以少申项目、少出成果、少评奖项、晚点晋升、多干杂活，也不想丢了我的导师们留给我的为师原则。,26,0,321,北京,北京,北京,中国
