页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022626398865474,timberwolves21,2024-04-13 09:15:12,康涅狄格大学 7 英尺 2 英寸的大二学生多诺万·克林根 (Donovan Clingan) 是连续两年获得 NCAA 冠军的基石，他将参加 2024 年 NBA 选秀，他告诉 ESPN。在赛季末和 NCAA 的出色表现之后，ESPN 百强榜上排名第三的球员预计将争夺状元秀的选秀权。 ,0,0,0,浙江,绍兴,浙江,中国
2,5022602812721203,顺德城市网,2024-04-13 07:41:29,【歌声唱响校园，容桂外国语学校校园文化节好嗨呀】4月10日下午，容桂外国语学校以“传承中华文化，共筑青春梦想”为主题的第八届校园文化节暨初一级班歌比赛在体育馆举行，进一步提高学校学生的审美素养与艺术表现能力，促进校园歌唱水平不断提高，同时也丰富校园文化，展现班级风采，增强班级凝聚力。网页链接,0,0,0,,佛山,广东,中国
2,5022601041151847,Chiquititaaa,2024-04-13 07:34:26,最近心乱如麻，前一天五点多睡的还赶了个早八，昨天上了四节大课，还被白p了一节，累发财了，今天又要赶路，包括下周和五一也一直在奔波。但是学生们挺配合，表现都挺好，我对得起自己也对得起学生，希望一切皆有缘分，生活也待我不薄吧！ ,0,0,0,山东,烟台,山东,中国
2,5022600462599521,教育学马克服老师,2024-04-13 07:32:08,"#每日一题,坚持打卡# 基础知识点题目分享，单选1.班主任采用权威性的领导方式时，对学生的特点和行为有哪些影响？（ ）A. 学生倾向于自主学习和自我管理B. 学生更加依赖班主任的指导和决策C. 学生表现出更多的创造性和独立思考D. 学生之间的合作和交流更加频繁跟着马克服老师教育学每日打卡   网页链接",0,1,3,山东,济南,山东,中国
2,5022411182048026,中国艺考生服务站,2024-04-12 19:00:00,《素描静物》三小时示范|||本期画面重点：（临近考试站在大部分普通学生角度看，不需要做到太精益求精）1⃣️短时间内，每一步骤中画面完整度的表现2⃣️短时间内，挑画面重点塑造，来不及塑造的物体做体积，空间做整体即可3⃣️画面远看看整体关系，近看看主体塑造，面对考试不讲套路，讲绘画思路清晰，将要点在短时间内做到位简单拿分,30,3,65,福建,福州,福建,中国
2,5022519774152433,什么都好好吃a-,2024-04-13 02:11:31,现在我不觉得“社会化程度低、思想不开化、学生气重”是一种贬义词了，恰恰相反，我觉得这是一种个人的自我保护以及被呵护得很好的表现。不知道你们有没有见过那种天生读书很好的人，谈吐却不会拐弯抹角，以前感觉呆呆的，如今却很喜欢和这种人打交道。没有坏心眼，有话说话，不需要你去猜，哪怕夹杂着一点学生样的稚嫩也无所谓。本来就是福气，有资源不用参与竞争的人，生活给予他们的天赋就是单纯。,0,0,5,新疆,阿拉尔,新疆,中国
2,5022499599549200,被偏爱者-,2024-04-13 00:51:21,认真备课，严谨措辞，不开玩笑，拉开距离，再一次验证了几年前一个老师跟我说过的话，不要和学生做朋友，他们心智不成熟，背后有家长，所以一句玩笑话也会变成被谈话的武器，每个小问题都会在不满时被成倍放大。我也很委屈，我也很想哭，但是身为老师，我还得解决问题，安抚情绪，做出承诺，好好表现。 ,0,1,0,河南,新乡,河南,中国
2,5022496414504262,曜暶,2024-04-13 00:38:41,上次玩那个猜真假话，看到我妈竟然知道我不是智性恋的时候我还挺惊讶的，结果今天才知道，她竟然一直觉得是因为我太自卑…别太搞笑，我怎么可能会是因为自卑！听她讲一些学霸的事的时候没有表现出崇拜和感兴趣，是因为接触过后已经祛魅了…而且，接触过后意识到有些哪怕学生时代成绩很好的人，也可能眼界其实挺狭窄的。单单只是从成绩很好考试很厉害的来看，也一样是没办法让我产生崇拜的心理。最后，仔细想了想，其实我真的不怎么自卑，至少智商层面，压根就不自卑。。。所以对于有些我妈分享给我的那种装装的又很傲气的“学霸”，我才真的没什么感觉，还有点反感。我自卑的从来只有一个方面，那就是感情方面…因为每一次我爱上的人都不喜欢我。,0,0,1,广西,南宁,广西,中国
3,5022479615525404,晓看天色暮看云0310,2024-04-12 23:31:55,想起之前的种种表现…我觉得我真是个老实孩子（贬义贬义贬义！！！！！） 什么时候才能抛弃掉所谓的学生思维 变得灵活一点呢 ,0,0,0,浙江,杭州,浙江,中国
3,5022472964149404,向日葵开花啦w,2024-04-12 23:05:30,今天去帮忙弄招聘的事情，领导又提到了我太拘谨，让我要转变以往的学生心态，自信点，大大方方的和同事相处，不要老是唯唯诺诺的，否则很难做好什么事情的。我本来以为自己上班快一年了，已经表现得不是很拘谨内向了，没想到还是老样子啊啊啊啊啊听到大家的评价我更紧张了，含胸驼背摆弄手机壳，领导说“你看看，就是这个样子，又开始了。”原来我全身上下各种动作都在透露着我很紧张我很怯场，一眼就被看穿了我什么时候可以成为一个自信大方的大人，好羡慕那些可以跟人谈笑风生的同事啊,0,2,0,江苏,苏州,江苏,中国
