页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023107291286072,安海那小镇,2024-04-14 17:06:06,关于作为一名老师的反思：关于阅读，很惭愧，始终没有坚持。这10年来的阅读，主要是专业期刊的阅读。关于教育，更多的是站在老师的角度考虑，缺乏儿童视角，更多是为了完成教学任务，有趣性偏弱，因为对实验的要求越来越低，而这是课堂有趣的一个重要环节。关于学生，想让学生在课堂上畅所欲言，却缺乏相应的激励机制或者内驱力的培养。,0,0,0,福建,泉州,福建,中国
2,5023106855075864,蚌埠市教育局,2024-04-14 17:04:21,【聚焦“学为中心 ”助力教师成长——怀远县第三实验小学教育集团开展骨干教师观摩课活动】@安徽省教育厅 “潜心教研勤探索，扎根教学促提升”。为进一步推进“双减”背景下基础教育课程改革，落实新课程标准理念，发挥骨干教师引领作用，加强学习和交流，推进教师专业发展，提升课堂教学质量，4月12日上午，怀远县第三实验小学教育集团在河溜镇实验小学举办了骨干教师观摩课活动。怀远县教育体育局教研室教研员唐继广、娄平，怀远县第三实验小学副校长陈慧，河溜镇中心学校教科研室主任杜锋、教研员徐晓芳及怀远县第三实验小学教育集团音乐、英语学科部分教师参与听课、评课。本次活动由怀远县第三实验小学王莹、张鸽和河溜镇实验小学宣自菊、崔圆圆四位教师进行授课。为了使观摩课达到预期的目的，授课教师都精心准备，认真钻研教材，巧妙设计，充分运用了多种教学手段以及多媒体设备，以扎实的课堂教学基本功，丰富的教学经验，将新课程理念渗透到教学环节中，呈现出了一节节各具特色、精彩纷呈的课堂。“教而不研则浅，研而不教则空。”听课结束后，老师们各抒己见，探讨教学中的种种困惑，提出宝贵的意见和建议，为打造更高水平的课堂献计献策，让每位老师都受益匪浅，使得本次观摩课活动锦上添花。本次活动聚焦“学为中心”，积极探索“促进学生学习、引导学生学会学习、培养学生学习能力”的教学模式，为教师提供了沟通、交流、互相学习的平台，达到了优势互补、相互切磋与共同提高的目的，有力地促进了集团校音乐、英语教师的专业成长。（怀远县第三实验小学教育集团）,0,0,0,,蚌埠,安徽,中国
2,5022983456556540,ItsYuYu_,2024-04-14 08:54:01,Remember 📷 记得初中时期隔壁隔壁班的你 记得高中时期同一教学楼的你 记得大学时期一起去旅游的你 记得硕士时期一起做实验的你 记得博士时期背后工位坐的你 怎么记忆里哪里都有你 六周年快乐皮皮 以后要更爱我@The-KingWinGlory ,0,2,21,河南,安阳,河南,中国
2,5022985099936645,何卿H,2024-04-14 09:00:33,经典总是被一次又一次解构成为了它如今样子。上戏版《雷雨》正在上戏的校园中创排着，导演是濮存昕，演员都是上戏表演系的老师，繁漪这次由表演系主任肖英老师扮演。这是一次很特别的教学演实验，老师要真刀真枪演给学生看，想想都刺激！作为静安戏剧谷的展演项目5.10-5.12还要面向社会观众。今天下午，这场对谈，谈角色谈雷雨谈表演谈戏剧人生。,4,13,36,上海,,上海,中国
2,5023016675705250,平安嵩县公安,2024-04-14 11:06:00,中国消防的微博视频【校园消防安全】校园内人员密集，教学器具多，用电量大，实验室内易燃易爆品多，大家返校时不要携带火柴、打火机，放学离开教室时记得关闭电器和照明开关，严格遵守实验室的操作规范，寝室内不违规使用大功率电器......更多学校消防安全小知识，戳视频~ ,0,0,0,,洛阳,河南,中国
2,5023010882324550,延安市教育局,2024-04-14 10:43:00,陕西省初中学校“教学评一致性”实践现状主题调研活动在延安市实验中学开展网页链接 ,0,1,0,,延安,陕西,中国
2,5023005746924582,躲在角落的一个粽子,2024-04-14 10:22:36,warma昨天学校成人高考不让来上课，于是老师直接带我们到旁边的小学借教室上课去了，长着长着回去了属于是有一说一他们学校确实挺大的，教学楼、实验楼还有操场都是分开的，而且绿化也做的很好，甚至有一个小树林里的亭子，明明只是小学。相比之下我们小学的确好小啊，没有实验楼，连操场和教学楼都是连在一起的，有时候广播还会发出刺啦刺啦的电流声，但是当时一点也没有觉得比别人差，孩子果然都是质朴的啊。小学似乎都是禁止午休时待在学校的，下午来学校的时候就开始刮风，刚到教室就打起雷下雨了。雨是一阵一阵的，巧合的是，每次上课的时候雨就特别大，再加上雷声，老师甚至要喊着我们才听得见，但一下课雨立刻就小了，连雷都不打一下。下午第一节课是数学，老师见我们都挺在意雨，干脆让我们出教室赏雨去了。天气预报上说那天只下小雨，但这至少也是大雨了，我们站在有遮挡的走廊里都能够被淋到，拿秒表测雷，一次雷声甚至持续了15秒以上。每次在雷雨天待在室内，都会感到现代建筑的伟大。我其实很喜欢雨天，虽然有点对不起在外面工作的人，但是我很享受这种宁静的氛围，总之就是很舒心，很安静。但是晚上回家的时候雨又下大了，伞都撑飞了，直接变成落汤鸡了！,0,0,0,陕西,西安,陕西,中国
2,5022982191972515,北京铁路,2024-04-14 08:49:00,#京铁微视角# 近日，北京局集团公司唐山站组织志愿者到路北区光明实验小学开展爱路护路宣传进校园活动，通过现场PPT教学、动画视频展示以及问题抢答等形式，为学生们普及铁路安全知识和相关法律法规，增强同学们的安全意识，营造爱路护路的良好氛围。（郭亚滨 高甄 摄） ,4,1,7,,北京,北京,中国
2,5022979661235111,赛博游牧幽灵,2024-04-14 08:38:56,本人因下雨懒得在实验室和教学楼之间来回跑而第一次在图书馆呆超过5分钟，望周知 p.s.上一次去图书馆因为找不到自己预约的座位而狼狈离场 ,0,2,1,浙江,杭州,浙江,中国
3,5022960402301818,李海北京理工大学,2024-04-14 07:22:25,这是第一次有学生在这个裸机实验中实现了触屏驱动！经常会怀疑是否值得在教学上投入精力，看着学生们这么认真地去完成作业，觉得很值了#bilibili# 欣逸-的视频【嵌入式】LVGL移植——S5PV210裸机开发 ,0,0,4,北京,北京,北京,中国
