页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5009219017769707,中国远程教育杂志,2024-03-07 09:19:03,#产教融合# 【#河南开放大学# 校长孙斌：#职继融通# 是开放大学的必然选择】近年来，河南开放大学坚持走融合发展之路，协同推进开放教育创优提质和职业教育提质培优，取得了很大成绩。开放教育方面，招生数量连年稳定在全国办学体系前五， 2021年获第七届中国国际“互联网+”大学生创新创业大赛金奖，受到国开总部表彰。职业教育方面，郑州信息科技职业学院获批“河南省职业教育品牌示范院校”“河南省省级优质高等职业院校”；在全国职业院校技能大赛中，学校教师获教学能力比赛国家级二等奖1项、三等奖1项，学生获国家级二等奖3项、三等奖3项。河南开放大学校长孙斌表示，融合发展是彰显开放大学特色的重要方面，职继融通是新时代开放大学的必然选择；河南是职业教育大省，河南开放大学已具备较好的职业教育基础；大力推进职业教育与继续教育融合发展，建设继续教育本科与职业教育本科相互支撑、融合发展的新型高等学校是高水平开放大学的鲜明特色。点击链接查看全文网页链接,0,0,1,,北京,北京,中国
2,5007780781490459,保山新闻网,2024-03-03 10:04:01,#保山资讯# 保山教育研究院（保山开放学院）2024年春季开放教育招生简章。#七彩云南 幸福保山# 保山教育研究院（保山开放学院）2024年春季开放教育招生简章 ,0,1,1,,保山,云南,中国
2,5005403161890265,话匣子FM,2024-02-25 20:36:12,【上海松江开放大学2024年春季招生简章】 上海松江开放大学（简称“松江开大”），原名上海电视大学松江分校，成立于1980年。松江开大是一所以现代信息技术为支撑，面向成人开展远程开放教育的大学，是一所既能提供学历教育，又能提供职业培训和休闲文化教育的现代开放大学。上海松江开放大学2024年春季招生简章  （来源：@上海松江发布 ）,0,0,0,,上海,上海,中国
2,5004927108120735,学历娟老师,2024-02-24 13:04:31,我国唯一一所开放教育形式，可免试入学大学专业国家开放大学是教育部直属单位，是教育部批准的具有成人教育办学资质的成人学校。学校前身是1978年邓小平同志倡导并批示创办中央广播电视大学，2012年6月，中央广播电视大学更名为国家开放大学。总校在北京（海淀区），这个学校是以省为单位招生的，咱山东省的分校在省会济南高新区和市中区国家开放大学 济南·银荷大厦,0,0,0,山东,济南,山东,中国
2,5003569021584189,巴楚网信,2024-02-20 19:07:59,巴楚开放大学2024年春季开放教育招生简章网页链接 ,0,0,0,,喀什地区,新疆,中国
2,5003117860753788,我是磨磨唧唧呀呀,2024-02-19 13:15:14,国家开放大学（新疆开放大学）2024年春季学期开放教育本科、专科、中专报名开始啦。 1.公立大学、学信网可查。[强] 2.正规文凭、可考证考研。[嘿哈] 3.互联网+教育，2.5年毕业。[胜利] 4.本科可申请学士学位呦 ,0,0,1,新疆,乌鲁木齐,新疆,中国
2,4998139364512866,礼县文明办,2024-02-05 19:32:28,『【地评线】飞天网评：以高质量数字化推进开放教育现代化_飞天网评_中国甘肃网』【地评线】飞天网评：以高质量数字化推进开放教育现代化 ,0,0,0,,陇南,甘肃,中国
2,4996631290448562,陇南宕昌宣传,2024-02-01 15:39:55,【甘快说】飞天网评：以高质量数字化推进开放教育现代化，来源：中国甘肃网【地评线】飞天网评：以高质量数字化推进开放教育现代化 ,0,0,0,,陇南,甘肃,中国
3,4996536117233318,会投稿的小钱编辑,2024-02-01 09:21:44,发布了头条文章：《双核，硕士可发，不收版面费《开放教育研究》投稿经验分享》  双核，硕士可发，不收版面费《开放教育研究》投稿经验分享 ,0,0,1,江苏,盐城,江苏,中国
3,4996257610732125,lmx2sly8,2024-01-31 14:55:03,1⃣️个观察。家长吃太多所谓“开放教育”洗脑包的后果就是培养出来的小孩极有可能只重表现，一点一点一点一点都不务实，十分、非常、极其特别。在你给她讲知识点或者纠正错题的时候，孩子脑子里想的永远是怎么样完美表达出“噢噢噢我听懂了我完全会了！”或者“老师不然你听听我的思路呢我也是有思考的。”她的重点是个人魅力，因为家长从小的教育就是要做开朗主动积极表现自己的小朋友，所以到了内卷环节，她仍然会误以为成绩选拔靠的是一种面试分，知识本身只是她表达自己的一个工具，压根没静下心去研究过。,0,0,2,辽宁,沈阳,辽宁,中国
