页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4581424831409972,AnnaGoddess,2020-12-12 21:37:41,我总是狂妄自大 明明没有什么深入全面的实践 就以为自己很有一套教育理念 并想着要改变某些老教师的我认为不合适的教学教育方法 ,0,0,0,,,,
2,4579757562006943,关于耗子的日常,2020-12-08 07:12:33,呵呵呵，都说了。 如果只是课上他教学方式方法不合适我，我没话说。 但是每次feedback都忒敷衍，写的都是废话，又慢，这个就是态度问题了真的 ,0,0,0,,,,
2,4535242355901745,海衣苍朵十,2020-08-07 11:05:00,前两天，我们上一个作文课，那个女老师讲得不好我当机立断就打电话换了另外一个老师。于是接下来的日子，孩子学得很安逸而原来那个班的家长还在集体投诉维权其实，只要比较大的机构，认定了他的教学方式方法，老师不合适，就换老师好了。而且不能拖！换老师换时间都是争分夺秒的事情。至于花钱，一定要买小课时包。以上。,0,0,0,,,,
2,4533107925196233,树理理理_,2020-08-01 13:43:33,我方向感不好，第一个教练教学方法不合适，导致我很长时间都一直学不会倒车入库，不骂我但消极对待，记忆里有一次挺阴阳怪气，一度被打击得非常沮丧，恐学车。换了教练后方法合适，学得还不错，犯错了也看我不说不笑安安静静的懒得骂,0,0,1,,,,
2,4503322360948300,用户6694292546,2020-05-11 09:06:21,《中小学教师职称：最大的公平是取消评审！》网易发布网评《教师职称对应的是教育教学能力而非知识，用考试方法来晋升不合适》。 ,1,0,4,,,,
2,4471265974927567,西柚添添,2020-02-12 22:05:43,我其实不想线上教学 因为无法及时获得学生的反馈 学生哪里有问题反映也不够及时 无法回答我的问题 无法进行讨论 总觉得不合适 因为孩子们毕竟还小 不适合这种教学方法 但是没办法啊 大家谁都出不去啊 我现在小区门都出不去了 我明天想下楼在小区里转两圈 我太难了…我到底什么时候能正常上班啊现在抱着平常心完成自己的目标 加油鸭,0,0,0,,,,
3,4440309280523476,是喜欢韩庚的DXY呀,2019-11-19 11:54:52,有些人觉得自己是课程顾问就是老师了吗？还对我指手画脚？你自己连个单词都念不出来凭什么觉得我的教学方法不合适呢？你有本事你来教啊 ,0,2,1,,,,
3,4426209032910006,是可爱的的小亲亲呀,2019-10-11 14:05:30,#韦博英语疑似失联#啧啧啧，我之前还在这家培训过。当时里面好的中教老师早就发现了这家公司教材不更新，教学方法不合适等各种问题。好的老师都跑路了，两年一个分公司的人全员大换血。这还是在我14年的时候，可以见得这公司不行 ,0,0,4,,,,
3,4375901217314515,水晶小草,2019-05-25 18:20:13,家长不必为幼升小焦虑，小学又不是招聘人才，你让“面试班”给孩子包装一下来应对面试官。小学对孩子的面试仅仅是了解孩子的语言表达和算数的能力等，以便学校掌握学生基本情况，可以选择更合适的教学方法。所以，我觉得给孩子报“面试班”会让学校误判你孩子的能力，会导致教师选择不合适的教育方法。,0,0,0,,,,
3,4347201163248226,娱影帝,2019-03-07 13:36:27,#妻子的浪漫旅行# 第二季   包文婧抠门陪老婆逛街要有方法，你们学会了嘛？包贝尔现场教学包贝尔：我太太是个特别抠的人，抠到极致，你既然买了，也退步了了，她怎么看都觉得好看，你知道嘛，有时候不合适，她都非得穿上试一试。张智霖：我曾经买过一件衣服给她，也是一个名牌子来的，卖完之后她一次都没有穿过，那我就已经死心了。汪峰：我经常会拿出一件来，这个我觉得可以，我觉得她逛街，绝对是永远不累的，一个多小时以后，我已经觉得这一天就完了，她应该五六个小时，六七个小时。包贝尔：陪着她一家家进，一家家看，不管她穿什么我都说好看，真的，别人穿我都不知道，但你穿绝对合适，你越歌颂她得越快，付款的时间就越快，你一天的时间就能少华一些。汪峰：女人在买衣服的时候，自己心里找知道要买什么，她问老公的时候她是要从情感上得到肯定，怎么都不行，所以要有方法。#娱影帝## 网页链接,4,2,28,,,,
3,4279209792127931,清文4930,2018-08-31 22:43:01,发表了博文《埋怨与反思》教学的对象是活生生的人，学生是变化的，教学情景也是变化的，旧有的方法不能转变学生，是因为这些方法不合适学生，这时只有改变自己，创新思路，探索新方法，找到合适师生的新路子，师生才埋怨与反思 ,0,0,0,,,,
4,4023158740622987,内衣大掌柜,2016-09-24 09:07:32,1.副乳都出来了，说明bra明显不合适，为什么还要当做教学视频？2.为什么还要坚持穿钢圈都露出来的bra？3.胸偏小，并不具有代表性，像是肩带摘掉的那个方法应该不会适合多数人。4.最后两种方法很伤bra，会使bra变形，最终会影响胸型，特别是在成长期的胸型，怪不得模特有那么怪异的副乳了喽。,0,0,0,,,,
4,3897470356761121,隔壁做菜的,2015-10-13 13:06:47,#不会摄影的厨子不是好诗人#第二首是和室友合作的。凑不齐9张，拿两张丑陋的毛笔抵，最近开始学汉隶了。新来书法老师的教学方法不合适，我等基础薄弱之辈恐难有成。 ,0,1,3,,,,
4,3828543165473313,黛诺京剧,2015-04-06 08:14:44,我看到的干预方法里有一条“自然教学法”，问为什么不用，答曰：用在康复中心不合适。每天眼看着这些孩子在康复中心重复着：拍拍手、摸摸头等一些动作，为家长感到着急啊！这些动作完全可以在日常生活中孩子高兴的时候完成，为什么非让孩子在哭闹中完成一项一项反人类的项目。,0,0,0,,,,
5,3784367757722727,枯木开花1030,2014-12-05 10:37:26,学有定法，教无定法。 教学方法，没有好坏之分， 只有合适不合适只说。 归根结底， 方法只是工具， 只是为学科服务， 要学会博采众长， 为我所用。 ,0,1,1,,,,
5,3737673670025213,四月绿衣,2014-07-29 14:11:47,遇一位同仁 言之凿凿称让美国志愿者去大学教英文不合适 教高中还可以。他们不懂教学法。自己研究英语教学十几年，又考托福如何，深知英语要有上万单词量 上万句子做基础才能学好。我不知在国外呆了十几年为何还理解不到语言需要在用中学呢。我不欲反驳只说各种教学方法都有其优势，队员毕竟是母语 ,2,0,1,,,,
5,3677916883829658,Sunnyrose1962,2014-02-14 16:39:40,全英文教学应该是多年旅居海外的海龟来做，其他人的确不合适。不过我很欣赏台湾 交大吴培元老师那样的教学方法，就是用国语教学，但时常介绍一些数学名词的英文原文，而且也是基本用英文来写。这样才叫做双语教学，同时用两种不同的文化来诠释一个概念或者思路，更增加了同学们对一个问题的理解。 ,0,2,3,,,,
5,3630373088690989,东临碣石以钓闲鱼,2013-10-06 11:57:36,中小学的教学还是太枯燥了点，应该生动有趣点；作业太多了点，就没有别的方法吗？另外奥数题太多了点吧，有数学天赋的去搞可以，所有小学生都做这个不合适吧。 //@乐淘李勇:同意，中小学教育需要进步，但方向绝不是去参照外国培养懒汉后代的所谓”快乐教育”。,0,0,0,,,,
6,3534687375080062,中国-民教网,2013-01-15 10:56:44,#教育改革要尊重学生的选择权 #“男生班”实行的是自主招生。学校事先把“男生班”的具体教育教学方法、内容告诉学生、家长，因此，选择“男生班”的学生、家长都是事先知道并认同其办班理念的。学校还告诉家长、学生，如果觉得“男生班”不合适，也可以中途转出。网页链接 ,0,0,0,,,,
6,3429671393298724,问_地,2012-03-31 16:00:43,如果上课时，不按照指导意见里面的课时，比如就象你开头提到的，““2.1信息获取的方法”和“2.2因特网上信息的浏览与获取”两节内容安排为一节课”，是否不合适？那么，在上这个内容... ——看到yong言的博文《如何用好教学指导意见》有感而发的评论。网页链接 ,0,0,0,,,,
6,3425934990886171,罗飚,2012-03-21 08:33:34,只要方法对，学生配合学，根本没必要花那么多的时间。差就差在三点：一、老师不好好教；二、学生不好好学；三、教学方法不合适。所以才会花很大的力气，取得小小的成绩。//@教育报邓兴军: 太棒了！严重地赞一下,2,0,0,,,,
6,3422682056068050,初夏单车幸福,2012-03-12 09:07:35,这个方法不合适，不可取，，考勤质量虽说提上去啦但听课质量令人担忧。用这种方法硬把人按在教室浪费的青春谁来陪，为什么教学方法不改进改进，，，,0,0,0,,,,
