页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022635643640945,海东日报社,2024-04-13 09:51:56,【市人大扛牢监督使命护航教育高质量发展】近年来，海东市人大常委会结合职能优势，持续关注海东教育事业发展，通过执法检查、专题调研、专题询问、代表视察、与省人大联动开展调研等形式，全方位开展监督，助推各类教育均衡发展。针对目前我市学前教育教师没有编制、身份不明确、同工不同酬、工资待遇偏低以及教师队伍不稳定、影响学前教育质量等问题，市人大常委会重点围绕学前教育教职工同工同酬情况开展了专题调研，在听取汇报、实地调研、查阅资料、随机访问等形式全面了解学前教育教职工待遇情况的基础上，就如何解决好同工同酬问题，提出了改进建议。督促市政府把学前教育列入“十四五”规划的重点内容，健全经费投入长效机制，落实教师工资待遇保障政策和养老、医疗、失业、工伤等四项社会保险，提高志愿者教师的待遇，确保师资队伍稳定，促进了全市普惠性学前教育的发展。随着城乡一体化进程加快，乡镇农村学生进城就读人数增多等因素，“城区挤、乡镇弱”的现象成为人民群众反映十分强烈的问题之一。针对这些现象，市人大常委会坚持把义务教育优质均衡作为监督的重点，连续几年开展义务教育法执法检查、义务教育优质均衡发展情况专题调研、“双减”工作代表走访座谈、“双减”政策落实情况调研等，积极征求代表、群众、基层教育工作者的意见建议，督促市政府及相关部门大力实施义务教育薄弱环节改善与能力提升工程，积极改善办学条件，推行集团化办学改革试点，以“优质校+薄弱校”“优质校+城郊学校”的方式，发挥优质学校辐射带动作用，实现每一个学生从“有学上”到“上好学”的愿望。为推动海东实现更高水平、更符合本地实际的现代职业教育，市人大常委会在调研全市职业教育发展情况的基础上，由市人大常委会组成人员、教侨委组成人员、人大代表组成询问团，围绕社会普遍关注的职业教育有关热点难点问题向市政府和市教育局、青海高等职业技术学院等应询单位进行了询问。通过专题询问，市政府积极召开全市职业教育协调发展专题会议，确定中高职各自独立发展，实行“3+3”一体化联合培养。同时，市委市政府划拨土地重新修建海东市中等职业技术学校，将海东市中等职业技术学校从青海高等职业技术学院独立出去，设独立法人，独立办学，有力推动全市职业教育步入了快速发展的新阶段。在特殊教育方面，根据省人大常委会的统一安排，省市两级人大先后三次联动调研全市特殊教育普惠发展情况。通过召开座谈会、听取汇报，走访特殊教育学校、随班就读学校、送教上门家庭，详细了解我市特殊教育发展过程中的情况和问题。在此基础上，向相关部门提出改进工作建议。通过省、市、县三级人大联动督办的方式，解决了部分特殊教育学校开办食堂难等具体问题，全面落实了特殊教育工作岗位补助，以人大监督的刚性力度和民生温度，促进特殊儿童融入社会，进一步提升了公众对特殊教育的认识和接纳度。（记者 蒋晖）,0,0,0,,,青海,中国
2,5022635409539441,禅城发布,2024-04-13 09:51:00,【全区幼师由市青少宫专门系统培训！禅城启动“菁师成长计划”】日前，佛山市禅城区教育局在佛山市青少年文化宫艺术剧场举行幼儿教师“菁师成长计划”启动仪式。未来，该项目将面向全区幼儿园教师，通过系统的舞蹈、声乐以及视频制作培训，提升该队伍的艺术素养，促进幼儿兴趣培养和全面发展。 ,0,0,0,,佛山,广东,中国
2,5022627841967823,一只用户丶,2024-04-13 09:20:56,新旧观念的冲突。近期出现了北邮导师压榨学生被举报的新闻，在知乎上大多数人当然是支持学生，但也有少部分利益相关的教师仍在辩护。他们的观点是“互帮互助”，但核心点在于导师权力远大于学生，互帮互助难以做到整体性的公平。因此分工明确才是未来的发展方向。既然他们说是“互帮互助”，那么他们为什么还依然坚持当下环境并为之辩护，而非相信“分工明确”更是正确的做法呢？除了他们是直接利益相关者会受损之外，另一个原因是他们根深蒂固的传统观念，传统的认为老师就是应该高学生一等，骨子里仍然认为导师愿意互帮互助是导师善、不愿意的话学生也得受着。这也代表着是S人的思想，根据感觉认识世界，我所体会到的即代表它是正确的。没有对现象背后的本质和根源进行深入洞察和剖析。通过这件小事让我想到了当年前动荡年代，陈独秀、鲁迅等人带领的新文化运动时期新旧文化各方的辩论。100年多去了，新旧文化的冲突依然存在。或许这与人的本性和性格有关，靠感觉认识世界和靠直觉认识世界二者的差异。有一个有意思的比喻，用来形容二者，如果说社会是一个螺旋上升的过程，感觉之人负责螺旋，直觉之人负责上升。我肯定感觉之人的贡献，但我更愿意去做一个直觉之人，探索世界的本源，从根本上思考一些问题，做一些事。,0,0,0,中国台湾,台北市,台湾,中国
2,5022003733728517,营养医师王兴国,2024-04-11 16:00:57,#老师说他只是吃到了时代的红利#这话没错。我们家兄弟姐妹六人，都通过考“大学”（广义的、大专也算）从辽宁西部的穷山沟走出来，在不同城市工作生活，身份分别是教师、国企职工、地产商、医生、场主和公务员。年轻的时候觉得这都是自己打拼、父母支持的结果，后来才认识到这都是国家四十年高速发展红利的功劳。形势比人强，要抓住时代的机会。,4,7,48,辽宁,大连,辽宁,中国
2,5022464220599544,碗盆纪事录,2024-04-12 22:30:46,【糖果】📝未知距离2120网页链接高中教师宋亚轩✖️教官刘耀文HE成年人戏码 发展迅速看不下去的速速退出勿上升真人适配BGM:《怪天气》/周六，万里无云。虽然宋亚轩已有了新宠，但男朋友回来不容易，两人抛开鼠标去约会。知道宋亚轩肯定要去拍拍立得，刘耀文特地把迷彩服穿回来。宋亚轩还是白衬衫，黑裤子，带着一副金丝眼镜。老板娘直夸他们登对。宋亚轩红了耳朵，扯着刘耀文袖子出门接着就开始傻笑，惹得刘耀文也跟着笑。“马上去哪啊？”这次约会刘耀文不让宋亚轩做功课，说今天跟着刘向导绝对保证吃好喝好玩好。刘耀文牵起他的手十指相扣:“走！去海洋馆！”海洋馆最牛的地方在于氛围，蓝蓝的色调，身旁有各种各样的鱼群时不时在你身旁游过，宋亚轩肯定喜欢，说不定在这个地方再来个kiss就更好了。事实证明宋亚轩真的很喜欢他不仅把刘耀文的耳机借走拍照，还趴在玻璃上告诉刘耀文:“这是面膜鱼。看你头上这个，他上班会吃同事！”刚凑近宋亚轩想亲一口的刘耀文:……但他还是被逗笑了，随后又立即正色:“轩轩真棒！原来真有吃同事的坏鱼！”旁边的工作人员:……我也是你们play中的一环是吗？“看这个轩轩！热带鱼颜色好鲜艳啊！”宋亚轩凑过来看，立刻赞同。“轩轩，这个面包蟹你知道它最适合生活在哪儿吗？”“我的胃里？”“对！哈哈哈哈哈哈哈……”刘耀文牵紧他的手。宋亚轩卫衣叠穿白衬衫，脖子上还挂着自己的耳机，乖乖的被牵着走。出了水族馆迎面就是冰冷的风，宋亚轩刚缩脖子，刘耀文就把身上的羽绒服脱给他了。他拢了拢外套笑眯眯的看刘耀文穿着迷彩服揽他的肩膀:“你不冷吗？”刘耀文帮他抬手穿好，又压下他乱翘的呆毛在唇上轻啄一下:“我都能抱着你那个我冷什么。”宋亚轩脸腾的烧起来，下意识就要甩开他的手。刘耀文“嘿嘿”把人重新搂回来，“穿着嘛轩轩，你穿这个好乖好软，我喜欢看。”“好吧。”他看似不情愿的被拽着走，实际颧骨早已上扬，压都压不住。周日天气倒还不错，两人牵着鼠标去遛狗。宋亚轩早就欣赏过边牧的聪明，蹲下身和鼠标对视:“握手！”可惜小鼠标听不懂爸爸在说什么，歪着脑袋看他，差点要上去舔一口。“我们鼠标还小呢，不急不急，以后会握手的！”刘耀文把他拉起来，狗绳也接过，一只手牵宋亚轩一只手拉鼠标，可谓是人生幸福美满。“怪就怪天气🎵……”两人晃着手走远。热恋期的小情侣做什么都很好笑。就因为一个飞盘让鼠标带着刘耀文飞奔，已经让宋亚轩在草地上笑的起不来。刘耀文无奈的牵着小鼠标去拉他的手:“有多好笑，你就知道逗我。”“这说明我喜欢的不仅是你的脸，你的身材，还有你有趣的灵魂！”宋亚轩轻佻的用指尖勾了勾他的下巴。“你喜欢我什么？我知道——！”他捂住刘耀文的嘴，“你喜欢我的痣！对不对！”“……”这个梗过不去了。刘耀文一只手搂过宋亚轩往怀里一拽，嘴唇非常精准的咬上宋亚轩小痣。“嘶！你是狗吗！”宋亚轩拍他一掌，想从他手中夺回鼠标却没成功，反而把自己也搭进去了。他哼哼两声，手揣在兜里不给刘耀文牵。刘耀文弯着眼笑，又讨好的拽着他袖子。“轩轩哥哥……”“干什么？我可不吃你这套，文弟。”话虽这么说，但两人的手指已经勾在一起。鼠标在前面撒了欢的跑，刘耀文被拉的又差点飞出去。“回家！回家鼠标！”刘耀文洗了草莓，等他出来吃，宋亚轩直接飞扑到身上，咬了个草莓含在嘴里。刘耀文笑着抱住他，帮他揪掉蒂。草莓的汁水有一些许飞溅到刘耀文手指上，他直接含了进去。刘耀文眼神立刻变了。“腰不疼了？”宋亚轩立刻端着草莓准备闪人，结果又被拦腰抱住。“每次都这样，撩完就想跑。”刘耀文抬下颌暗示宋亚轩，他立刻讨好的送上一颗草莓，眼睛亮晶晶的。刘耀文咀嚼完就扣着宋亚轩后脑勺去亲他，唇舌被撬开，口腔里都是草莓的汁水，清香又甘甜。宋亚轩粉嫩的舌头被嗦的发麻，脑子空白到宕机，直到被推到床上才回神，但已经来不及了。刘耀文的红玉被宋亚轩抓在手里。他的头发落在宋亚轩鼻尖上，痒痒的。“别拽太死啊哥们儿，不然喘不上气谁来弄——”宋亚轩一脚踢在他大腿根，被抓住脚腕。“乖，放手。”宋亚轩被弄得心头发热，看着刘耀文卸下红玉，他总感觉刘耀文在这种事上从不做无关的事。果然，下一秒——“啊……”宋亚轩被冰的昂起头，胡乱抓了个东西想将腿合上，只可惜红玉的大部分都已经进去，宋亚轩想拔却被刘耀文压的死死。“阿，阿姨给你买……你这是大不敬！”/按需解锁🔒哦～总是这样，没几下就缴械投降了。宋亚轩脱力落回床里，胸腔大幅度起伏，整个人又红又肿。,1,0,25,中国香港,,香港,中国
2,5022477195415052,化材学院2021级化学班团支部,2024-04-12 23:22:19,为进一步强化教师教育办学特色、凝聚教师教育文化氛围，夯实师范专业能力基础，引导师生主动服务于基础教育和职业教育改革发展，推动以实践能力为导向的人才培养模式改革，促进职前准教师理论与实践结合的专业成长，强化师范生数智素养，提高学生教育教学技能，增强学生择业、就业竞争力。化材学院在4月12日与2511教室开展教师技能决赛。 贵阳·贵州师范大学(花溪校区),0,0,0,贵州,贵阳,贵州,中国
2,5022449762828905,嬍少女,2024-04-12 21:33:18,体育教师基本功大赛到底哪个货发明的真是修老命了，上学没有完成过的上班还要折腾一把老骨头，学生有没有全面发展我不知道，反正我是全面发展了 ,0,0,0,江西,宜春,江西,中国
2,5022442840655087,玄武发布,2024-04-12 21:05:48,#玄武身边事# 【“登山式”课堂什么样？长江路小学全面展示课堂教学变革成果】4月11日上午，玄武区“聚焦课堂教学变革”现场会在南京市长江路小学举行，区教育局、区教师发展中心相关领导、教培员以及全区各中小学幼儿园书记、校园长一同走进春光明媚的长小校园。 网页链接 ,0,0,1,,南京,江苏,中国
3,5022432349914064,广州荔湾发布,2024-04-12 20:24:07,#荔湾播报##荔见工#【有编！荔湾好岗上新】广东广雅中学公开招聘中学教师19名，职员教辅人员3名； 广州市志愿者协会招聘行政综合办公室会计、服务助理、实习生；广州荔湾人才发展有限公司招聘党务工作者、法务工作者；还有广州市键创电子科技有限公司、广州市交通站场建设管理中心有限公司、中德联合口腔医院（广州）有限公司等多家企业正在招聘。此外，2024年“民营企业服务月”系列专场招聘会也在陆续开展。8次现场招聘会，4场网络招聘会提供多个好岗！找工作的街坊别错过啦～详情：有编！这个事业单位招22人！荔湾好岗上新，年收入可达18万→,1,1,1,,佛山,广东,中国
3,5022429891527458,酒洒西四,2024-04-12 20:14:21,昨天在教师发展中心竟然看到她的书。回来各处搜搜，还好淘宝有卖，赶快下单一本。 ,0,0,0,江苏,南京,江苏,中国
