页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023765243104345,天山网信,2024-04-16 12:40:34,国家因“你”而不凡 #V聚天山##争做中国好网民#  　　4月15日是第九个全民国家安全教育日，今年的主题是“总体国家安全观·创新引领10周年”。国家安全重于泰山，人民利益高于一切。维护国家安全，人人有责！ 来源：石榴云/新疆法治报 天山网信的微博视频 ,0,0,1,,乌鲁木齐,新疆,中国
2,5023763542312241,鄯善公安,2024-04-16 12:33:48,今年4月15日是第九个全民国家安全教育日，今年的活动主题为“总体国家安全观·创新引领10周年”。为贯彻落实总体国家安全观，增强全民国家安全意识，营造维护国家安全的浓厚氛围，鄯善公安制作了一组“4·15全民国家安全教育日”海报，快来看看吧↓~ @平安天山 ,0,0,0,,吐鲁番,新疆,中国
2,5023443131827533,焦作消防,2024-04-15 15:20:36,豫见火焰蓝 【“蓝朋友”与“蓝宝”共话国家安全】2024年4月15日是我国#第9个全民国家安全教育日# ，今年的活动主题是“总体国家安全观 创新引领10周年”。树立国家安全意识自觉关心、维护国家安全是每个公民的基本义务。今天，@郑州消防 制作了《“蓝朋友”与“蓝宝”共话国家安全》短视频，让我们携起手来共同守护国家安全！#415全民国家安全教育日# 河南消防的微博视频,34,1,19,,焦作,河南,中国
2,5023762837146612,新浪广东,2024-04-16 12:31:00,#广东身边事# 【广东打造国家安全“海陆空”学习课堂】今年4月15日是第九个全民国家安全教育日，今年宣传主题是“总体国家安全观·创新引领10周年”。日前，在广东，万米高空中、珠水两岸旁、纵横交通线上，一场场别开生面的国家安全宣传教育活动正在进行。（羊城晚报金羊网）网页链接 ,1,0,0,,广州,广东,中国
2,5023762080858445,中国禁毒在线,2024-04-16 12:28:00,【国家安全记于心 禁毒宣传同步行】2024年4月15日是第九个#全民国家安全教育日# ，当日上午，湖南省湘潭县公安局开展以“总体国家安全观 创新引领10周年”为主题的宣传活动。在活动现场，民警通过摆放展板、展示毒品模型、发放宣传单和纪念品等方式向群众宣传禁毒、保密等知识，进一步提高广大群众的国家安全意识，提高自身的法律素养，营造全民依法维护国家安全和自我保护的良好氛围。@湖南禁毒,0,0,2,,北京,北京,中国
2,5023761587241319,中国科技志愿,2024-04-16 12:26:01,【“小荷之声”青少年核科普志愿者体验营启动仪式在京举办】4月15日，第9个全民国家安全教育日到来之际，以“总体国家安全观·创新引领10周年”为主题的“4·15”全民国家安全教育日核安全主场活动暨第二届“小荷之声”青少年核科普志愿者体验营启动仪式在京举办，“提升核安全科学认识，增强核安全软实力”主题沙龙同期举行。#科技志愿#  “小荷之声”青少年核科普志愿者体验营启动仪式在京举办,0,0,0,,北京,北京,中国
2,5023754583540799,山西教育招生考试,2024-04-16 11:58:12,#山西教育海报进校园#@山西农业大学  山西农业大学是我国著名高等农业学府，教育部本科教学评估优秀高校，全国首批深化创新创业教育改革示范高校，国家中西部基础能力建设入选高校。#2024年山西高考##院校推荐##高考加油##高考志愿# ,1,0,1,,太原,山西,中国
2,5023753527103829,朔州市政府网,2024-04-16 11:54:00,【朔州：共筑国安防线 同守国家安全】4月15日是第九个全民国家安全教育日，今年的主题是“总体国家安全观·创新引领10周年”。我市各地通过开展形式多样的宣传活动，普及国家安全法律知识，推动全民国家安全意识和法治意识深入人心。 朔州：共筑国安防线 同守国家安全 ,0,0,0,,,北京,中国
2,5023724837015567,法治成都,2024-04-16 10:00:00,【微博云学法🎁互动享好礼】 #全民国家安全教育日#有奖答题 总体国家安全观  创新引领10周年  🎪&lt;学法互动礼&gt; 📌参与有奖答题活动 即有机会获得学法礼品   #汇聚起维护国家安全的强大力量#微博云学法 ,7,43,40,,成都,四川,中国
2,5023750914054192,乌鲁木齐晚报,2024-04-16 11:43:36,【共筑国家安全防线——乌鲁木齐市广泛开展全民国家安全教育日宣传活动】今年是习近平总书记提出总体国家安全观十周年，4月15日是第九个全民国家安全教育日。国家安全，根基在人民，力量在人民。连日来，我市各区县各部门各单位紧紧围绕“总体国家安全观·创新引领10周年”主题，开展形式多样的宣传教育活动，推动总体国家安全观深入人心、落地生根，汇聚起维护和塑造国家安全的强大合力。网页链接,0,0,0,,乌鲁木齐,新疆,中国
