页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5020996077884272,不知道起什么名字好ff,2024-04-08 21:16:53,#为什么广东说粤语的人越来越少了#粤语是一种语言文化，在普及普通话的年代，慢慢失去了它的存在感，学校不准讲，家长不教。后代也就不会了。是现代教育的一种缺失，单一化。社会需要多元化，百花齐开，。粤语是非常有魅力的。将来失去了它，是国家社会教育的缺失！国家应该重视起来。祖国语言不能太单一化。这是上下五千年传统文化之语言类文化。,0,0,1,广东,广州,广东,中国
2,5020987604861538,期刊杂志论文咨询,2024-04-08 20:43:13,Ssci 正刊，各个方向，系统录用，稳妥包检索 1.世界多元文化音乐教育下XX音乐文化传承研究 2.音乐文化传承中XX钢琴音乐文化价值取向研究 3.大数据时代下的高校英语教师XX教学能力提升策略 4.以人工智能技术促进XX外语翻译教学改革创新研究 5.XXXX视域下高校体育教学模式创新策略研究 ,0,0,0,四川,成都,四川,中国
2,5020265496972420,知書club,2024-04-06 20:53:49,知書club新书介绍丨二战后的美国大学如何影响和塑造了全球知识体系的建构？ 高等教育机构如何将金钱和智力转化为知识生产？ 全球化时代，跨学科研究如何通过非院系形式实现转型？ 跨国合作——数十位顶尖学者、大学领导者的深入采访； 多元文化——十余年课题追踪，沉浸式研究的经典实践； 区域研究——大量一手数据，破解全球与本土的复杂难题。 放眼世界，认识自己——见微知著、重思大学教育使命的力作。#读书##繁花##小巷人家#,0,0,0,广东,广州,广东,中国
2,5020183504617958,Lingingling-8220,2024-04-06 15:28:00,果然脱离粉圈是最正确的决定。大家年纪不一样，受到的教育程度不一样，思想三观各不相同。参与其中时， 看不下去的事情不由自主想扭转局面，让其他人都跟“自己”的步伐一致，说“你”认为好的话，但是文化本就是多元化的，所以有“强求”甚至 带有“命令”味道的文字，也的确是不妥的。最后想说 别让开心的事情变味儿了。多去问问自己的初心是什么。祝大家都好,0,4,3,陕西,西安,陕西,中国
2,5020180639909311,清净觉悟-,2024-04-06 15:16:38,净公恩师法语菁华1 、佛教是教学，是释迦牟尼佛对于九法界一切众生至善圆满的教育。如果我们用现代的眼光来看佛教，佛教是现代人所说的多元文化的社会教育，释迦牟尼佛是多元文化社会教育的工作者。2 、他老人家有究竟圆满的智慧，他明了社会是多元的，所以有许多不同的族群、不同的宗教信仰、不同的国家民族、各种不同的文化、不同的生活方式。3 、我们居住在一个社会上，如何能够和睦相处、互相尊敬、互相敬爱、互助合作，真正能做到世界大同？这桩事政治做不到，所以世尊舍弃王位，放弃政治。4 、这桩事武力也做不到。我们在经典上看到，释迦牟尼佛年轻时代，武艺超群，他可以作将军，他可以作元帅。他知道这个方式达不到社会和谐、安定、繁荣的目标，所以也放弃了。5 、经济与科学技术，这是现代我们亲眼看到的，也不能够增进人民的幸福。物质生活的水平提升了，伦理道德几乎完全丧失了。6 、今天这个世界灾难很多，我们活在这个世间，无论是哪个阶层的人物，不管男女老少，不论哪一个行业，都没有安全感，精神生活非常空虚。7 、今天所谓的自然灾害，我们不知道，与我们的思想行为有密切的关系。世尊明了，所以他放下一切，从事于多元文化社会教育的工作。8 、世尊不但以言教，而且也身教。佛经里面所讲的三轮教诲，三轮是“身、语、意”，无一不是教导一切众生，他老人家给一切众生做最好的榜样，最好的示范！,0,0,0,新疆,乌鲁木齐,新疆,中国
2,5019966468000879,-红尘之莲,2024-04-06 01:05:35,【师父：用什么方法消除误会与病痛？】现在交通便捷，资讯发达，整个地球，一般人讲地球村，地球变小了，这个意思说往来密切了。那么对于住在地球上这些众生，特别是各个不同的族群，不同的宗教、不同的文化，不同的生活方式，一定要多了解、多留意。我们推动多元文化、推动佛陀教育，自自然然就得心应手，就没有障碍了。交往非常重要的一桩事情，叫交通。为什么会产生隔阂、产生猜疑、产生误会、产生冲突，都是缺乏交往这么个缘故。我们人的身体，我们知道身体器官很复杂，如果血气畅通无阻，这个身体健康。毛病从哪里出的？管道不通，哪个地方有障碍，于是乎毛病出来了。处理的方法：只要使管道恢复畅通，这病就好了。这是一个基本的知识。治病，药物帮助管道畅通，消除里面的障碍，药物是用化学的方法；针灸、按摩是用物理的方法，你哪个地方阻塞不通，用针灸把它打通，用按摩的方法把它打通，它就恢复正常。佛法里面还有更高明的方法：念咒，念咒也是物理的方法，物理治疗。你什么地方有病，佛教你念个咒，这个咒一念，病就好了。#香港发现首例人类感染猴疱疹病毒#,0,0,1,四川,乐山,四川,中国
2,5019883291809064,z夏天的风zz,2024-04-05 19:35:04,事业单位的特征包括：经费来源的国家化、事业单位范围的广泛性、提供公共服务、属于非公共权力机构、属于知识密集型组织。 事业单位的范围教育、科学、技术、文化、卫生、体育等众多行业部门和领域。其主体具有多元性，其规模具有宏大性，其范围具有广泛性。 ,0,0,0,浙江,,浙江,中国
2,5019742020832564,用户7911757654,2024-04-05 10:13:43,马来西亚是一个多元文化的国家，拥有丰富的国际学校，提供多样化的课程。马来西亚的入学灵活，录取率高，没有语言成绩要求。马来西亚的生活费用较低。Scopus期刊发表也是众多毕业生的重要指标，马来西亚的学校分为公立和私立，两类正规大学都受中国教育部的认证。#东南亚留学##期刊发表# ,0,0,0,江苏,南京,江苏,中国
2,5019570412457335,洋洋洋兮兮,2024-04-04 22:51:48,🔔:改造主义教育，要素主义教育，永恒主义教育，新托马斯主义教育，存在主义教育，分析教育哲学，终身教育，多元文化教育思潮 英语语法:同位语，插入语 每日一句Day6 🐸:察举制，董仲舒 ,0,2,0,安徽,安庆,安徽,中国
2,5019514594918545,Kiwi艺97895,2024-04-04 19:09:59,今日阅读分享：1.教育的本质是成为快乐的人2.所谓的国际化并不是顺应西方的潮流，而应该是文化多元，相互尊重，相互包容。3.只有当我们用平等的眼光去看待所有生命，给予它们尊重与爱护，世界才会在我们面前呈现出它的无限生机。4.管理就是要把员工“激活”了，让每个人都快乐地工作、快乐地思考，快乐地创新。,0,0,2,湖南,长沙,湖南,中国
