页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5014005795783170,首都教育,2024-03-20 14:20:00,【东城区少年宫春季学期开学】#教育资讯# 近日，东城区少年宫全面开启2024年春季学期教育教学活动。本学期，区少年宫共开设美术、书法、舞蹈、合唱、器乐、戏剧等9大门类291个兴趣小组和艺术团。本学期，区少年宫两个校区分别为学员们安排了丰富的教育教学活动，并根据新老学员不同的学习需求，分设初级班、中级班、高级班，在每周三、周四的16：30至19：45，周六、周日的8：30至19：00开展教育教学活动。戳↓↓图一睹为快,0,0,0,,北京,北京,中国
2,5011892655100183,中戏颖儿lynda,2024-03-14 18:23:08,🔸颖享课堂·航帆少年🔸#校园[超话]# 戏剧课堂初启幕，青春扬帆正当时 新学期里新气象，心手相牵同筑梦 #2024##教学##戏剧##戏剧课堂##艺术教育# 北京 ,0,0,4,北京,,北京,中国
2,5010555760805253,秋思听戏,2024-03-11 01:50:48,【梨园旧影】戏剧家张庚旧照。原名姚禹玄，生于1911年1月22日，湖南长沙人。中国戏剧理论家、教育家、戏曲史家。1934年参加左翼剧联，开始从事戏剧活动。在将近半个世纪的编辑、教学、研究和领导戏剧运动的实践中，撰写了大量有关戏剧艺术和戏剧运动的评论、讲稿、报告、论文和专著。中华人民共和国建立后，他全力投身于戏曲革新工作，认真贯彻&quot;百花齐放，推陈出新&quot;的方针，对编演现代戏、新编历史剧和整理改编传统剧目等进行了深入探讨和有益的实践。他对表演、导演、音乐都有较深的修养。论著有《中国戏曲通史》《戏曲艺术论》等。,0,1,2,上海,上海,上海,中国
2,5007438942830988,论文髮表,2024-03-02 11:25:40,《艺术家》 期刊级别：省级，知网，月刊 字符数：5000-5300字符/3版 出刊时间：24年5-8月 收稿方向：高职及以上艺术教育教学，艺术涉及设计，摄影，绘画，雕塑，影视，戏剧，舞蹈，音乐等 ,0,0,0,河南,鹤壁,河南,中国
2,5006418052123015,期刊论文代发指导,2024-02-28 15:49:01,《参花》新增艺术教育栏目大量征稿：音乐、舞蹈、美术、摄影、雕塑、戏剧、公共艺术教育/教学等，具体看内文；不收涉及思政、美育、素质教育、教育理论、教育管理、课改、教学评价、课程体系构建、课程应用等方向 ,0,0,0,河北,张家口,河北,中国
2,5003400915977796,中国教育报,2024-02-20 08:00:00,【山东临朐以优先投入、重点保障、均衡配置等举措改善农村校办学条件——给乡村教育“强筋健骨”】2023年秋季学期，山东省潍坊市临朐县实验一小教育集团成立后，该校齐鲁名师、省特级教师袁丽与8名骨干教师一起，来到了教育集团在山旺镇的桲林校区，将戏剧融合课程和游戏化语文教学法带进了这所偏远的乡村小学。他们的到来，是临朐多措并举引导大批优秀教师去乡村校任教的结果。    近年来，临朐以优先投入、重点保障、均衡配置为重点，把“办人民满意教育”融入乡村振兴战略，全力改善乡村办学条件，补齐农村教育短板，缩小城乡教育差距，给乡村教育“强筋健骨”。一系列实招下来，当地不少学生开始回流到村小就读。    上学期一开学，临朐县新华中学副校长李晓梅便多了一个新身份——新华中学海岳校区执行校长。原来，为加快新建乡村学校的发展，临朐县组织新建的曾家洼学校与县直优质校新华中学“联姻”，成立了教育集团。    “集团学校实行捆绑式考核、一体化发展，在集团核心校共立、共建、共研、共享、共控理念的引领下，从学校管理、教师发展、学生成长、育人质量等方面进行一体管理评价、一体驱动发展，带动集团校快速提升办学质量。”李晓梅说。    上述做法在临朐并不是个例。位于临朐县西部山区的五井镇八岐山小学的孩子们，也惊喜地迎来了很多新教师。临朐县第二实验小学副校长、分校区执行校长王金德带着管理团队和骨干教师团队来到五井镇八岐山小学，不仅为这所仅有300名学生的乡村学校带来全新的管理理念，还有效解决了艺体教师短缺的困难。“学校艺体课程开齐开足了，学生社团也搞起来了，孩子们的音乐、美术素养得到了提升。”八岐山校区教导处主任鞠京花高兴地说。    财政并不富裕的临朐，在近3年的中小学幼儿园建设中，对教育的投入以年均11.6%的幅度递增，近3年累计投入26.8亿元，新建改扩建中小学48处、幼儿园53所，实施农村薄弱学校改造提升等项目151个，扎实推进“强校扩优”行动，乡村学校办学条件大幅提升。    “本来我们想让孩子去城里上学，现在家门口新建了教育园区，办学条件、教学质量和城里的一样，家长们打心眼里高兴。”临朐县蒋峪镇蒋峪小学学生家长郇金美说。经济基础薄弱、交通区位偏远的蒋峪镇，自2021年被确定为山东省首批教育强镇筑基试点镇以来，累计投入财政资金1.52亿，高标准建成了4.8万平方米的教育园区，对镇域内的4所乡村学校进行提升改造，学校面貌焕然一新，很多孩子不再舍近求远进城上学。     临朐县教体局总督学丛林介绍，针对乡村学校处所多、布局散、规模小、基础弱等问题，临朐县以系统治理思维，连续打出集团化办学、学区制改革和学校优化整合三套“组合拳”，精准锚定教育资源、教育评价、服务保障三大要素，一体化建模，全过程优化，有力推动乡村学校高质量发展，初步实现了农村学校规模化、优质化的办学目标。    在帮新教师快速成长方面，临朐也下了不少功夫。上学期新分配到临朐冶源街道冶北小学的教师唐铭，并没有像往年的新教师一样直接上岗，而是先在县城的东郡小学跟岗实习。“学校提前给我们找好了‘师傅’，不是特级教师就是学科带头人，从课堂教学、班级管理到家校沟通，一样样教我们，我觉得自己成长得很快。”唐铭说。    临朐还建立了义务教育学校教师乡村服务期制度，探索推行新任教师“双聘”管理改革，2023年新招聘的487名新任教师，首个聘期全部在城区任教，第二个聘期到乡村任教，以“双向交流”的方式，让新教师在短时间内接受不同岗位历练，缩短成长期，踏上“一年入门，三年成骨干，五年成名师”的专业成长路径。    “我们将紧抓山东省首批乡村教育振兴实验区建设这一重大机遇，创新实干、久久为功，不断推进全县教育尤其是乡村教育高质量发展，努力办好人民满意的教育。”临朐县教体局党组书记、局长张学说。（本报记者 魏海政 通讯员 李耀武 李春雨）,1,0,1,,北京,北京,中国
2,5003077381523334,期刊论文陈编辑,2024-02-19 10:34:23,《艺术时尚》文艺类 / 省级 / 维普/ 旬刊 收教育教学 艺术 美术 音乐 文博专业期刊目前补收22年、23年版面国内刊号：CN:32-1831/J国际刊号：ISSN:2095-4115主管单位：江苏省文学艺术界联合会主办单位：江苏省文化交流中心栏目设置：美学交流、 电影电视、戏剧戏曲、音乐舞蹈、文艺新见、艺术广角、 文化视野、作品鉴赏其他说明：收稿方向：文化、文学、艺术（音乐、美术、舞蹈、戏剧、电影、民俗、设计、电视、雕塑等各科艺术）、历史、非遗等（除思政、党建外都收）#评职称##论文发表##艺术##美术教育##文博#,0,0,1,四川,遂宁,四川,中国
3,5001630665147120,樂天中戏考研,2024-02-15 10:45:39,中戏考研✓【戏教学硕专业一】戏剧教育#中戏考研# 611艺术学基础🌏精美的ppt的背后，是大量翻阅资料收集电影素材，最终才能形成课程中有力的辅助材料，生成具体课件是一个漫长的过程，但是我们依然坚持，课前充分准备，尽可能让学生从枯燥的课本中获得图文并置的理解，课后也回放课程来深刻总结，确保下次课程的完整性。,0,0,0,山东,烟台,山东,中国
3,4998812934346055,湖南教育发布,2024-02-07 16:09:00,【新春走基层：#高校辅导员让思政课潮起来# 】记录基层教育故事，触摸时代脉动。@湖南农业大学 商学院辅导员常徕是一名有着20年经验的辅导员，也是一位思政教育的“潮”人。他将音乐、戏剧等创新手段融合到思想政治教育中，开创了“艺术思政”新路径，鼓舞和激励大学生为梦想奋斗，曾获评全国优秀教师、最美高校辅导员等称号。#物理教师反映每天一节体育课导致无法完成教学# 湖南教育发布的微博视频,5,5,32,,株洲,湖南,中国
3,4998786405632954,育见新闻,2024-02-07 14:23:35,【#我陪爸妈看晚会# 】由国家老年大学、中国教育电视台、中央戏剧学院主办的国家老年大学教学成果展演暨2024年国家老年大学春节特别节目将于2月7日正式上线播出。其中以真实故事改编的节目《我带妈妈来上学》生动展现了国家老年大学“德学康乐为”的办学宗旨。#龙年到祝福到# 育见新闻的微博视频 ,113,100,1064,,北京,北京,中国
