页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4537473789069096,学海造舟人,2020-08-13 14:51:55,“从技术起家的大疆对将技术创新有一种异样的偏执和热情，特别推崇把技术做到超饱和，一项技术不仅要够用还要足够好。“” 我们在教育技术领域应该也要应该做到技术超饱和，足够的好用，客户不会感知技术的存在。现在的教育技术市场炫技的太多，考虑技术如何融入教学的少。 ,0,0,0,,,,
2,4405481570870886,青春菏泽,2019-08-15 09:21:59,#小荷学堂# 数学课程的规律性与音乐音符的律动性在一定程度上具有异曲同工之妙，七个音符的巧妙排列组合构成了数学中不同的排列方式，课堂中，充分利用现代教育技术利用虚拟钢琴软件让学生们将律动的真情实感切身融入到跳动的音符中，将原本枯燥缺乏实感的数学课程变成绘声绘色的音乐课堂 ,0,0,1,,,,
2,4275126465552308,时尚炫恋520,2018-08-20 16:17:19,发表了博文《中学英语课堂教学与信息技术的融合研究》中学英语课堂教学与信息技术的融合研究【摘要】随着信息技术的发展，越来越多的英语教师将信息技术融入英语教学，借助先进的现代教育技术理念和手段，结合英语学中学英语课堂教学与信息技术的融合研究 ,0,0,0,,,,
2,4253763306687796,shiww185,2018-06-22 17:27:46,教育技术在地理课堂上的应用教育技术是一种新兴的教育手段，在课堂教学的过程中融入现代化的教育方式，改变课堂教育的形式，视、音、图等多种形式的结合使得课堂形式丰富、内容直观、充满乐趣，在吸引学生的注意力方面具有极强的价值。多媒体技术走进课堂在一定方面改变着课堂教育教学的模式。技术是一种手段，且只是一种知识传递的载体。这种手段的运用必须要结合具体的教学内容，以及教学要达到的教学效果。切忌为了技术应用而应用，课堂上到处都是动画、视频等，从而冲淡了教学的主题，学生知识沉浸在技术带来的新颖而忘记技术背后隐含的课堂基本理论。所以课堂技术的应用要做到目的性和新颖性，实用性和创新性的结合。地理学科本身所具有的特征，使其在应用教育技术上具有得天独厚的优势。传统文字表达不出地理学动态的演变趋势，更无法直观展示区域间的对比、内在联系等，在课堂上充分利用纪录片、动态图、利用图层的叠加等更形象生动前面地展示地理学科的复杂性和综合性。,0,0,0,,,,
3,4216116039298841,商学院岳绮云,2018-03-10 20:10:57,"#河北地质大学新生“诚意”社会实践培育计划# @河北地质大学社会实践部  商学院工管八班岳绮云地点：图书馆课题：大中小学开展优秀传统文化教育的实践和经验典型调查研究内容和经历：此次调查目的融入中国优秀传统文化,推动语文教学改革的必要 性随着教育技术的现代化, 我们的教育观也随之发生变化, 虽然对传统文化的传承人们依旧挂在嘴边, 但效果却常常不尽人意。所以我们小组想要了解并调查大中小学开展优秀传统文化教育的实践和现状，并且观察经验进行研究。",0,0,0,,,,
3,4191158995818170,上善若水任方圆乐悠悠,2017-12-31 23:20:35,发表了博文《教育技术之我见》教育技术，顾名思义，就是把信息技术融入到了教育里面去。比如说把多媒体计算机搬进课堂实现了教学多媒体化，这样便能解决在教育过程中遇到的问题，也就是以信息技术作为手段，来实现新教育技术之我见 ,0,0,2,,,,
3,4186806587245717,地球不适合你O_o去火星吧,2017-12-19 23:05:40,发表了博文《20171213专家讲座《融入式思维教学——来自美国科学教育的启示》》12月13日下午，学习了北京师范大学教育学部教育技术学院赵国庆老师关于《融入式思维教学——来自美国科学教育的启示》的讲20171213专家讲座《融入式思维教学——来自美国科学教育的启示》 ,0,0,1,,,,
3,4171220641992986,xmbu_教科院17教育技术2团支部,2017-11-06 22:52:41,今晚在现教楼312教室，17级教育技术2班进行“放飞梦想，增进民族团结”的团特色活动，活动中各位少数民族同学尽情展示自己的特长，让我们融入这个大家庭中。@西北民族大学教科院团委  @西北民族大学 ,0,0,3,,,,
3,4161816449375480,西北师大教育技术学院团委学生会,2017-10-12 00:03:47,下午4点30分，校园里寒风凛冽，而教育技术学院二楼的三指导工作室中却有着如家庭般的温暖，因为在这个小小的房间里，所有少数民族同学聚在一起，由学院汪书记组织开展了少数民族会议，此次会议除了加强少数民族同学的自我管理能力外，还涉及了对他们的身心安全的慰问，使少数民族同学更好的融入到西北师大这个大家庭中，真是一次暖心的会议。 兰州·金牛街,0,0,0,,,,
3,4053074081482383,LCL小雨点,2016-12-15 22:20:26,在小学，以信息化整合英语教学，就是将信息技术作为工具和手段渗透到英语教学中，使英语教学融入了现代的教育思想观念与教育技术，实现英语教学改革，提高教与学的效率，使学生更好地掌握信息技术，培养学生信息素养和综合能力。 ,0,0,1,,,,
4,3961573968076907,新津检察,2016-04-07 10:31:39,#新优质学校巡展#【做现代的教育 培养未来的人】新津县花桥小学秉承“让花儿幸福绽放”的办学理念，围绕“传承国学，融入世界；点击方寸，放眼未来”的办学思路，锐意进取，开拓创新。先后被评为“全国教育信息化创新应用特色学校”、“省现代教育技术示范校”、“成都市未来学校”建设单位等。 ,0,0,0,,,,
4,3955473251930828,安庆市名师工作室-王晓苏工作室,2016-03-21 14:29:35,发表了博文《[原创]适应信息时代需求提升教育技术能力》21世纪是信息化时代，现代信息技术已充分地融入我们的生活和工作中，将信息技术与课程深度融合正成为现代教育的新主流。作为一名中小学教师，应更新教育观[原创]适应信息时代需求 提升教育技术能力（前言） ,0,0,0,,,,
4,3909958569061171,15教技团支部,2015-11-17 00:10:29,通过支部大会，我们确立了班级的班徽，设计者将‘教育技术’分开融入入这个图中，图中有一本打开的书，书即为教育育人，饱含我们对未来的期望。书上有浏览器的特殊图标，‘技术’这个特性就可以一眼能够看... 2015年11月17日 ,0,0,1,,,,
4,3872881010239356,火兰围脖,2015-08-06 16:37:29,这输入法可真懂现在的一些Teacher，输入PPT，出现:泡泡堂，陪陪他，碰碰头，骗骗他……在PPT取代粉笔板书成为主流的大学课堂，纯粹的教学令人感动。现代教育技术的理念要融入教学咋就那么难呢?动不动就跑偏了！啥时候对非师范专业的大学教师的岗前培训能不走形式呢?,0,0,0,,,,
4,3783653610260777,旧金山玩乐,2014-12-03 11:19:40,【盘点美国中小学教师最常用的10款教育工具】科技正在改变教育，教育技术融入课堂的桉例越来越多，今天为大家介绍美国老师最喜欢的十款教育技术工具，大家也可以给自己小孩借鉴哦！ 网页链接 ,6,1,1,,,,
4,3782965089898398,手机用户2912137315,2014-12-01 13:43:43,【推荐:美国教师最常用的十款教育技术工具】 科技正在改变教育，教育技术融入课堂的案例越来越多，今天为大家介绍美国老师最喜欢的十款教育技术工具。 网页链接 网页链接 ,0,0,0,,,,
4,3780156332409102,漫步步行者,2014-11-23 19:42:44,分享自胡铁生-正高级教师-微课追梦人《美国教师最喜欢的十款教育技术工具》 -  科技正在改变教育，教育技术融入课堂的案例越来越多，今天为大家介绍美国老师最喜欢的十款教育技术工具。     ...  (来自 @头条博客)   美国教师最喜欢的十款教育技术工具 ,0,0,0,,,,
5,3769217155522459,笑晚-马拉松,2014-10-24 15:14:21,技术是入侵教育的外来物种，能否和谐融入原来生态，还需要教育技术领域的人们不懈奋斗啊 ,0,0,0,,,,
5,3763439627272376,阳绯,2014-10-08 16:36:30,发表了博文《教技第四课》28号那天下午现代教育技术实验课上，老师教我们如何使用电子白板进行教学。第一次接触电子白板，我发现它的功能非常之多，电子白板在PPT课件的基础上融入了手写功能，这个功能不仅仅是网页链接 ,0,0,0,,,,
5,3751375399477658,我想有个猩猩,2014-09-05 09:37:35,对学校现代教育技术的困惑是什么？可以集文字、图形、图像、音频、视频等多种媒体于一体，把静态、枯燥的材料融入三维空间中，产生极其活跃的动态画面，使教学更充实、形象、生动，刺激学生听觉和视觉感官，给学生以耳目一新的感觉。突破了传统教学黑板+粉笔的单一手段的局限性，全方位调动学生的思维 ,0,0,0,,,,
6,3750827069884599,雨点儿_62184,2014-09-03 21:18:42,发表了博文《作业1》现代教育技术，顾名思义就是现代技术和教育技术的完美结合。对于师范生的我们来说，以后有很大可能会成为一名教师，然而在现代社会，只有教育技术是远远不够的，还需要我们把现代技术融入到教学作业1 ,0,0,0,,,,
6,3740926050232439,资本360_VC风险投资_天使投资,2014-08-07 13:35:36,【百度3000万收购传课网，或融入度学堂】8月6日，据新浪科技报道，百度已全资收购传课网，估值近3000万美元。这是此前传出投资传课网的新进展。百度此次全资收购传课网，估值将近3000万元，主要看好收购传课网的K12教育内容和在线教育技术优势。 ,0,2,0,,,,
6,3740656889193554,商学院杂志,2014-08-06 19:46:03,#大公司的秘密#【百度3000万收购传课网，重金押注在线教育】百度3000万全资收购传课网，主要看好收购传课网的K12教育内容和在线教育技术优势。传课网已融入百度在线教育业务“度学堂”，补充在线课程分享平台内容。而百度则为传课网带来流量优势和线下教育机构资源。百度如此大手笔是为哪般？ ,4,1,3,,,,
6,3740653626474508,中国企业家俱乐部,2014-08-06 19:33:05,【百度全资收购传课网，估值近3000万美元】百度此次全资收购，主要看好收购传课网的K12教育内容和在线教育技术优势。目前，传课网已融入百度在线教育业务“度学堂”，补充在线课程分享平台内容。而百度则为传课网带来流量优势，以及线下教育机构资源。 ,5,0,2,,,,
6,3727166077966019,用户5120369181,2014-06-30 14:18:22,发表了博文 《2014年06月30日》 - 让现代教育技术真正融入教学   芹池中学  张学胜   我国基础教育的现状，多年来由于受旧的认识观和教育观的影响，以及对新的教育思想、教育观念不能进行深入理 2014年06月30日 ,0,0,0,,,,
7,3688492523187887,FAN_SHEN笑语,2014-03-15 21:03:28,"发表了博文 《培训感想 1》 - 今天进行了教育技术的培训。现在终于知道了什么事教育技术。简单地说，不是指单纯的信息技术，而是将技术融入到教育中去。  还初步学会了freemind ,思维导图，操作很 培训感想 1 ",0,0,0,,,,
7,3666312490831702,枣尚电子书包智慧课堂,2014-01-13 16:07:57,#教育技术# 数字化教学充分利用了网络教学资源的时效性、共享共建的优势，丰富了课堂中的教学内容，拓宽了孩子们的知识面，让孩子们从此刻开始融入到社会中，适应社会的竞争发展，而不是只知道书本上的理论知识。网页链接 详情: 网页链接 ,1,0,0,,,,
