页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5021934544225347,宝藏读书,2024-04-11 11:26:01,读吴军《大学之路》有感：精英学校很多时候无法培养精英，成为精英靠个人。教育泡沫时代教育投资尤其要注重投入产出比，投入太大造成成本高、期望值高，容易陷入低不成高不就，无法适应社会。英伟达黄仁勋分享他的成功之道其中很重要一点就是对自己期望值低，把自己教育成本推高，期望值就会随之升高，对人生成长反而是坏事。所谓降维打击，在现实中会因为无法达到预期不断失望的反馈陷入泥潭。,0,0,1,海南,海口,海南,中国
2,5021642876782993,陈玥梦,2024-04-10 16:07:02,整个家国，以及家庭对小孩的教育投资都很大。世界少有的。但教育投资收益却越来越低。'市场需求不那那么多人才 就业者。只能降级就业。 ,0,0,1,北京,,北京,中国
2,5021551380401756,王禹5224,2024-04-10 10:03:28,这些老壁灯很多都没在国外生活经历，信口开河。看名字下面的资料，教育投资的肯定骗你们去国外定居嘛。,0,0,1,澳大利亚,,澳大利亚,澳大利亚
2,5021313575947504,我一定会成功勇敢的向前冲,2024-04-09 18:18:31,如何区分教育投资和教育消费？怎样把钱花的有收益？ ,0,0,0,湖北,武汉,湖北,中国
2,5020441436226012,王海,2024-04-07 08:32:56,我叫方建辉，家住广东省惠州市，2022年3月，我通过路边传单看到惠州市三众教育投资有限公司的广告，宣传他们可以代办理中级职称，便去了他们位于惠州市惠城区江北16号小区双子星国际大厦A座1406的窝点交了8000元钱。但是，到约定时间2023年3月后，他们说评审没评审下来，24年的接着办。#代办职称考证都是诈骗 ##王海揭秘考证诈骗##代办职称遇恐怖诈骗 #2024年1月27日，对接人说离职了，把老板肖佳推荐给我，肖佳说会退钱的，但是一直不退前几天我发现惠州市三众教育投资有限公司【2024年3月21日】申请注销，可能是跑路或者打算换其他营业执照继续诈骗。这段时间我在网上发现大量跟我一样，被这个团伙诈骗的受害人。他们还有一本营业执照，叫深圳三众教育科技有限公司，除了代办职称外，很多受害人是因为办安全员证而被骗，大多数受害人是在网上被诈骗的，我们请求深圳和惠州的市场局终止他们的注销申请，更请求惠州的帽子叔叔能早点把诈骗团伙绳之以法。 王海的微博视频,23,26,77,河北,保定,河北,中国
2,5020536490951696,Yana_yeelen,2024-04-07 14:50:39,花了55买了第三只翻页笔 真是一笔昂贵的教育投资啊！ ,1,0,0,山东,青岛,山东,中国
2,5020105492923205,小马宋,2024-04-06 10:18:01,太太昨天买了一台小猿学练机，我看不过就是墨水屏的小平板，问她多少钱，她说四千多。 我吃一惊，这也太贵了。我问，你花那么多钱在孩子身上，觉得将来能赚回来吗？ 太太回：男人喜欢投资，老讲究投资回报。女人只是爱消费，我这不是教育投资，是教育消费，就跟买条裙子一样，没考虑过回报。 ,4,13,51,中国,,,中国
2,5020308438785304,小川在种花,2024-04-06 23:44:27,而且随着一个人社会地位的升高，权力的增加，这个人身上的官杀克性会越来越重。鬼气，再是贵气，也很克好吧。那么这些人越需要一些食伤的东西来压制，孩子，兴趣爱好，才华表演，教育投资等等。不要嘲笑那些牛逼老丈人培养女婿，然后培养一个白眼狼女婿，他们只是找到了他们以为的食伤而已。政治人物喜欢养宠物，尤其是狗也很好理解。总之，阴阳法则解决问题的模式就是平衡，要留一个窍来逃出生天。,0,0,2,北京,北京,北京,中国
2,5020279271328090,关向前_,2024-04-06 21:48:33,我弟弟高二要买词典笔，几百块钱说贵也不贵，他自己说是“为教育投资”，我听了真是两眼一黑，哎，高中我英语词典都翻烂了，真是鸡娃不如鸡自己 ,0,8,2,上海,上海,上海,中国
3,5020184198252463,Rullenn,2024-04-06 15:30:46,我是一个彻头彻尾的废物，我爸妈在我身上的教育投资毫无回报 我是最失败的投资品，成绩烂得要死也没有任何特长精神状态更是差得要死简直是私人一个 ,0,0,0,湖北,武汉,湖北,中国
3,5019571360892860,群群白白,2024-04-04 22:55:34,清明节扫墓一整天，从一个灵堂奔波到另一个灵堂。盒里的人几乎是未曾谋面的，唯一一位至亲我曾目睹她慢慢离去。和姐姐们又聊起生活和工作、太少的钱和太多的疾病，草草了了的一生后，我们也许连一个盒子都买不起。想想这个毕业证之所以重要只是给一个家庭二十几年的教育投资一个交代吧，经历了地狱酷刑的学生时代连滚带爬活到今日，只是因为一不小心落在了这个时代，但是这么想来又荒谬无比，那只是一张有字的纸而已，毕业后又将为更多的“有字的纸”碌碌奔忙。同一时间的另一处地方，是我想去又去不了的展子，想去去年我曾在展子结束回到酒店后坐在地上放声大哭，把老妈吓了一大跳，我一边哭一边把纸片铺满一整个床铺，告诉她二十年来我从未活得如此开心。周围的人全做了老师，在如今这个时代获得了让很多人羡慕的安稳，而我成为了格格不入的那个特例。我拿着空空的简历站在卷到飞起的就业市场里，后悔把所有的时间和精力都倾注在创作中，但下一秒又嘲笑自己，为什么要后悔自己曾经真正地活过，不是为了有字的简历。站在坟墓前，生与死的界限如此刺骨地摆在眼前，又突然不愿意再把自己的下一个二十年活成上一个可怜样，我已经没剩几个二十年了。,1,29,96,福建,厦门,福建,中国
3,5019949876381907,刘佳颖1026,2024-04-05 23:59:39,我的公司名字“#福建以物教育投资集团” 取自于《庄子》名言“物物而不物于物，念念而不念于念”意思是利用外物而不受制于外物，保持内心的平静和清明，超越琐碎的念头，达到心灵的升华。这句话的含义可以理解为，我们应该学会利用外物，而不是被外物所驱使，同时也要保持内心的平静，不被琐碎的念头所困扰。 刘佳颖1026的微博视频,1,1,3,福建,厦门,福建,中国
3,5019846092000399,浅-天真无邪,2024-04-05 17:07:15,打算给坦克总报个班，然后算了下现在的教育投资，惊人每个月，幼儿园5500➕游泳200*4➕体能110*4➕乐高120*4➕平衡成140*4➕网课450➕巧虎160。这以后要是个学渣，估计会后悔，还不如留着钱娶媳妇了。现在才3岁1个月，等到6岁，3年，光教育就得花我的30个，奶奶的腿。,0,0,0,天津,,天津,中国
3,5019158407020847,永远在下雨_,2024-04-03 19:34:37,老爷们赚钱了就是好 不墨迹直接给钱又tmd教育投资了 ,0,0,2,广西,玉林,广西,中国
3,5018734613234784,羊城街坊,2024-04-02 15:30:38, 广州市白云区广云外国语学校，简称“ 广云外校”，由广东嘉乐教育投资有限公司出资举办的九年一贯制、义务教育高端民办寄宿学校，广外教育合作与发展中心联盟学校。#广州学校##记录校园生活# ,0,0,0,广东,广州,广东,中国
3,5018679122858869,噗哈哈_潼,2024-04-02 11:50:08,预约了温温周日看学校，问了一下学费，瞬间没有了任何购物欲望了准备开启无尽头且无回报的教育投资吧 ,0,0,0,广东,深圳,广东,中国
3,5018462661644065,南方周末,2024-04-01 21:30:00,#学校民转公国有公司被判赔近3千万#【民办学校骤然转公后，国有公司被判赔近3000万元】时隔近一年，一起因学校“民转公”引发的合同纠纷案终于告一段落。2024年2月21日，云南省红河哈尼族彝族自治州中级人民法院作出终审判决，认定蒙自市教育投资服务有限责任公司需赔偿东莞四海教育发展有限公司2943.36万元。蒙自教投为蒙自市财政局间接全资控股的子公司。“我们当时根本没有回旋的余地了。”梁云东向南方周末记者表示，整个转公过程大致发生在二十来天的时间里，“当时的政府已经不顾我方强烈抗议及反对，强制学校转公，并单方面向社会公告，我们不同意他们也要派工作组入校强制接收。”双方合作宣告破裂后，蒙自南开、东莞四海、云南紫龙作为共同起诉人，先后向蒙自市人民法院、红河州中级法院提起行政诉讼，请求认定蒙自市教体局、政府作出的转公行政行为违法，但两级法院均作出裁定，表示不予受理。民办学校骤然转公后，国有公司被判赔近3000万元,7,9,23,,广州,广东,中国
3,5018388470957025,56号敎室,2024-04-01 16:35:11,全国第一例：云南蒙自南开学校被强制要求转为公办，政府的国有公司“蒙自市教育投资服务有限责任公司”被判赔近3000万元。法院判决结果已经认定政府强制将学校转公，并因此给学校造成损失，迄今为止，仍未向学校方支付款项。学校已向法院申请强制执行。 ,0,0,0,四川,成都,四川,中国
4,5018377703655212,双阳发布,2024-04-01 15:52:24,【喜报|市文旅局发布首批研学旅行基地名单，我区六家企业榜上有名！】#双阳发布# 我区东华知行研学旅行基地（东华教育投资集团有限公司）、长春奢爱研学旅行基地（长春奢爱农业科技发展有限公司）、满医满药研学基地（长春金荷药业有限公司）、蜜蜂文化科普馆（吉林省香辰有机农业有限责任公司）、亿嘉文旅爱国主义教育研学基地(吉林省亿嘉禾和旅游开发有限公司、长春国信南山温泉研学旅行基地（长春国信南山酒店有限公司）在内的六家企业榜上有名。 喜报|市文旅局发布首批研学旅行基地名单，我区六家企业榜上有名！,0,0,0,,长春,吉林,中国
4,5018369398669498,起名字是个麻烦事牙,2024-04-01 15:19:23,还没毕业，已经负债5w多了，是大学四年和研究生三年的贷款，让我一直走到现在，毕业要找个好工作，不枉费这么多的教育投资。 ,0,0,0,上海,上海,上海,中国
4,5018291050121880,吉隆坡EatonResidences豪景园,2024-04-01 10:08:04,发布了头条文章：《吉隆坡国际学校旁的Eaton Residences豪景园 教育投资双保障》  吉隆坡国际学校旁的Eaton Residences豪景园 教育投资双保障 ,2,0,7,马来西亚,,马来西亚,马来西亚
4,5018247019888989,育阳-规划未来,2024-04-01 07:13:07,学业规划【十年以后，咱们国内的教育还会像现在这么卷吗】随着经济增长放缓，家庭对于教育的投入可能会面临弹药不足的困境，家长想卷也卷不动了。此外，学历贬值和教育投资回报率下降也让教育的性价比逐渐降低。不过，这并不意味着教育将失去其重要性。相反，体力劳动的稀缺和薪资上涨可能会让具有工匠精神的高级蓝领成为社会的香饽饽。父母也需要放下过度期待和焦虑，接受孩子的平庸并努力培养他们的优点。每个孩子都是独一无二的，因材施教和提高自己的认知才是有远见的父母应该做的事情。我们需要共同努力，去弥补孩子在教育上的信息差，让他们在未来的社会中更加自信和从容。教育环境会如何变化，取决于我们每个人的选择和努力。让我们一起为孩子们的未来加油，期待他们能在更好的教育环境中茁壮成长！,0,0,0,河南,南阳,河南,中国
4,5018008471475689,玫瑰色天空与铲车,2024-03-31 15:25:12,读书有用。但教育投资未必赚得回来。这最后就可能变成了某种卑微的疼痛。,0,0,1,四川,成都,四川,中国
4,5017677469057825,彼泽泽泽泽泽泽,2024-03-30 17:29:55,zxb从开年到现在花了4w进行教育投资 我倒要看看 他到底投资什么 ,0,0,0,安徽,池州,安徽,中国
