页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022278570217174,小李编辑LZZ,2024-04-12 10:13:03,-------知网核心推荐------《中学数学教学参考》创刊于1972年CN：61-1032/G4ISSN:1002-2171国家级学术期刊，G4纯教育刊国家教育部主管，陕西师范大学主办3版起发，全文正文，25年版面主收：中学数学方向稿件主要栏目：解题探索，教法新探，教研·课题，高考频道，中考频道，时代记忆，百家观点，教学设计等等论文发表期刊发表#评职称##教师##数学#,0,0,0,河北,石家庄,河北,中国
2,5022271209474798,大邑教育,2024-04-12 09:43:48,【大邑教育资讯】 4月10日，悦来镇学校开展小学数学以“四析三定”为工具的教材解读培训、研讨活动。活动结合全县教材解读培训会的精神，以四年级的《街心花园》一课为载体，从教材分析、编排分析、学情分析及教学目标、重难点的确定四个方面进行了详细的分析和说明。 ,0,0,0,,成都,四川,中国
2,5022231547086041,声发哥,2024-04-12 07:06:12,本人十年教育机构教学经验，曾在上海昂立，新东方等机构带初中数学物理小班，一对一，在上海的家长需要线下家教的可以私信我 ,0,0,0,上海,上海,上海,中国
2,5022040183278228,江苏师范大学研究生就业,2024-04-11 18:25:47,"南通市崇川区24年招聘110名全额拨款事业编制教师。4月18日9:00- 4月20日16:00报名。笔试日期为2024年5月5日，笔试内容为教育教学理论和公共基础知识。语文、数学学科岗位的含相应学科专业知识。01- 05、09- 26岗位面试采用模拟上课和答辩的形式，06- 08、27- 37岗位的面试采用模拟上课、答辩和专业素质测试的形式。模拟上课和答辩主要考察应聘人员的教育教学水平、组织协调能力、个性心理、仪表举止等综合素质和语言表达、板书等教学基本功。应聘人员按抽签顺序进行备课、模拟上课和答辩，备课30分钟，模拟上课时间不超过12分钟,答辩不超过3分钟。",0,0,0,江苏,徐州,江苏,中国
2,5022031860466193,逐乐逐梦,2024-04-11 17:52:43,xd 工作有感谢淙老师  上海市闵行区教育学院初中数学教研员讲了单元教学设计启发 多注意知识的内在联系  可以在每个大单元知识开始前花费一节课的时间带领学生寻找内在联系  启发学生对知识的整体了解启发  注意问题的设置  比如想要学生探究的事解题方式  就不能把问题设置为具体的问题的答案  不能问两地的距离 但可以问  有哪些方法可以找到两地的距离,0,0,1,河南,洛阳,河南,中国
2,5021967709113169,雯她她,2024-04-11 13:37:48,招聘岗位为满足我校初中阶段教学工作需要，公开招聘该阶段数学、物理、化学、英语、语文学科老师各两名，历史、政治学科老师各一名。任职要求5年左右教学经验，必须持有初中或初中以上相应学科教师资格证书。985 211教育背景，学而思或公立院校教学经验等优先录用。熟悉天津教学体系优先录用。薪酬福利综合年薪资可达15万至20万五险一金 节日福利 团建等等工作校区：河北省廊坊或秦皇岛，可提供住宿私立学校直招 非中介 有意者请私信简历#河北省教师招聘##北京教师招聘#廊坊教师招聘#秦皇岛教师招聘#,0,0,1,河北,廊坊,河北,中国
2,5021920865028073,埇桥教育,2024-04-11 10:31:40,#埇桥校园快讯# 【宿州市第十二小学“高质课堂”教学观摩活动语文专场精彩纷呈】       继首日的数学课程精彩展示后，宿州市第十二小学教育集团的“高质课堂”教学观摩活动在第二天迎来了语文专场的热烈开展。4月10日，校园内书香四溢，教师们齐聚一堂，共同见证了一场充满智慧与激情的语文课堂。       活动伊始，十二小浍水路校区独特的“故事分享课前秀”便赢得了在场教师的热烈掌声。学生们用稚嫩的声音讲述着他们心中的故事，情感真挚，引人入胜。这不仅展示了学生们丰富的想象力和语言表达能力，也为接下来的观摩课奠定了良好的氛围。       随后，吕培培、王莹莹、鲁莉、蔡珂、沙美侠五位老师分别执教了五节不同课型的观摩课。她们以独特的教学风格、巧妙的教学设计和生动的课堂氛围，引导学生们深入文本，感受语文的魅力。课堂上，学生们积极思考、踊跃发言，与老师们形成了良好的互动。       安徽省特级教师陈德峰也对今天执教的五节课进行了精准点评。陈德峰校长以“三有”为抓手对每位老师的课堂表现进行了细致入微的分析。他不仅对老师们的教学设计、课堂氛围掌控以及学生互动等方面给予了高度评价，还针对每个课堂中的亮点和不足提出了宝贵的意见和建议。       埇桥区教体局副局长蒋何峰对活动给予了高度评价。他表示，此次活动不仅展示了十二小教师们的专业素养和教学能力，也为全区教师提供了一个交流学习的平台，对于推动区域教育质量的提升具有重要意义。       此次“高质课堂”教学观摩活动语文专场的成功举办，不仅为师生们提供了一次难忘的学习体验，也为学校的教育教学工作注入了新的活力。未来，十二小将继续秉承“眼里有学生，脑中有课标，心中有方法”的教学理念，不断提升课堂教学质量，为学生的全面发展奠定坚实基础。,2,0,3,,宿州,安徽,中国
2,5021815745282538,闽江师专23数教2班团支部,2024-04-11 03:33:57,#我班团日齐分享#       23小学数学教育2班团支部于2024年4月10日星期三20：00在旗山校区教学楼2011教室开展四月份以“提振精气神 建功新福建”为主题的团日活动圆满结束啦～     通过本次团日活动使得团员们更加了解了福建，并交流讨论了关于福建的各个小地方的发展，希望都能够发展的越来越好。团员们都发表自己的看法，团支书进行总结以及邀请团员进行感悟分享，末尾还设置了一些小游戏，为此次团日活动画上完美句号。在此再次感谢前来参加的同学们。@闽江师范高等专科学校团委 @闽江师专校团委组织部- @闽江师专初等教育系,0,0,0,福建,福州,福建,中国
3,5021563482538742,石狮融媒,2024-04-10 10:51:33,【石狮一名师工作室获泉州授牌】4月9日，泉州市“十四五”中小学（幼儿园）名师工作室授牌仪式举行，由石狮一中蔡振树老师领衔的中学数学名师工作室获此殊荣。据介绍，蔡振树现为教育部新时代“双名计划”名师培养对象，福建省石狮市第一中学副校长，正高级教师、福建省特级教师、福建省中小学教学名师、福建省学科带头人，福建省网络名师工作室和泉州市中学数学名师工作室领衔人等。,0,0,0,福建,泉州,福建,中国
3,5021553287496196,用户7633477059,2024-04-10 10:11:01,《新时代思想政治教育理论与教学探索》仅缺3主 《高等数学高级教程》教材，缺2主 《互联网+时代计算机应用技术与信息化研究》缺2、3主 ,0,0,0,河北,邯郸,河北,中国
