页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022630197597078,律师张海爱国启蒙,2024-04-13 09:30:18,#思想者互动# 为什么说人民群众是铜墙铁壁？而不说资本家官员是铜壁？原因很简单，因为大部分的人民群众对自己的居住国没有选择余地，正式出国的机会都没有。同时他们接触的教育也都是配料私方，在这种配方下出来的大脑不会有超出配方者的可控范围。 当然了，也有一些人会说为什么能有离岸爱国呢？那是因为在这种既有二千年的封建模式下，他们成为了受益者，他们以为这个世界原本公平的体制就是这样的，而不会去想到自己只是一场不公平竞赛中的幸运儿或者说是无耻的食利阶层。,5,27,31,山东,青岛,山东,中国
2,5022667701486884,小好好要努力努力再努力,2024-04-13 11:59:19,润物细无声的家风家训天下之本在国，国之本在家每一个孩子背后折射反映着家庭的教育观念与家风家训家庭教育对人的影响是基础性和全局性的优秀的家庭教育影响孩子的一生颜氏家训有机会一定要读一下教授们的观点令我颇有收获不得不说茶歇真不错 我们就是网友口中所说的学术猪八戒吧哈哈哈哈哈哈哈#优秀的家庭教育影响孩子一生#,0,0,0,江苏,徐州,江苏,中国
2,5022664521944002,xiang000zi,2024-04-13 11:46:41,职业教育与普通教育是同等重要的两种不同教育类型。二者在遵循共同的教育规律和内容，承担着不同的育人目标和任务，不能混为一谈或顾此失彼。普职融通，就是职业教育和普通教育能够实现教育资源融合共享、育人通道相互通达，为学生在成长过程中的多元选择、多次选择和多样化成才提供机会！ ,0,0,0,江苏,常州,江苏,中国
2,5022642547721470,盛世菠菜,2024-04-13 10:19:22,教育头条别人的文字自己看不懂或是无法理解透彻是正常现象，就像我看诗或是看古文，就会遇到一些无法理解的内容，我也会遇到他为什么要如此说话或是如此做人的困惑……我喜欢把困惑放在心上慢慢思考和寻找解决的机会，若是某个问题经过努力解决了，内心会无比兴奋。若是自我能从绝望、痛、煎熬、离别、无能为力、分离、攻击、痛彻心扉、无能为力……等人性黑暗深渊里开出花来，也就没有什么能够阻挡自己前进的步伐。关于放下，说一点我的感受体验，我是一个特别容易放下的人，因为我知道过去是幻觉，无法作用于现在。我本人觉得放不下的根本是过去的回忆和过去拥有相对于现在更好，另外就是自己贪，既想要过去的美好和价值，又想要现在拥有的美好和价值，内心放不下是必然。例如：若是在异乡活得精彩自由活力四射，我是容易放下故乡的；若是我的现任男友相对于前男友好很多，我是能放下前男友的；若是我现在的自由职业者比职场工作惬意，我是能放下职场工作的……,0,0,0,河南,濮阳,河南,中国
2,5022549757657440,爱在伦敦进行时,2024-04-13 04:10:39,这次回北京，妹妹又被陌生人搭讪，夸漂亮，然后有童模的机会等等。（当然很有可能就是商业目的的彩虹屁。但是但是，为啥不拍姐姐的彩虹屁而只挑妹妹，说明妹妹还是相对符合国内审美吧）。很明显的是，妹妹渐渐长大，五年级了（今年要开始接受sex and relationship education 性和恋爱关系教育。注意可不是单纯的性教育，也会讲consent等等这些恋爱中必知的话题），对自己的认知也在慢慢发展。打比方说，如果小的时候只是喜欢花裙子，现在能知道在别人眼里她穿花裙子是好看的。想到了很多自己童年时各种被他人的评价，有好的（皮肤白），也有不好的（腿粗）。不过更重要的是对于漂亮女孩的羞辱。记得当时初中班里有个女孩长得非常妩媚，好像大家默认就是她会比较“骚“，“狐狸精”（都是贬义）。还有学校里传播哪个女孩特别漂亮，有男生在学校等，也是带着一种羞辱的口气，压不住暗藏的嫉妒羡慕恨。后来到了国外，有很长一段时间我非常矛盾。自己非常喜欢打扮，喜欢用衣服穿搭来表达自己，尝试不同的风格造型可以换心情。但同时内心一直很羞耻，“我是个好孩子/好学生，聪明努力上进的好学生不会那么在意外表”。我不知道现今是否还那么明显，但至少作为80后稍好一点的学校，知识分子氛围里我感觉这种潜移默化的价值观还是存在的：“臭美都是不正经的二流子干的事”等等。花了很多年的时间去整合自己这两方面：我是个思想有追求，好学的人，有足够才华毅力在自己喜欢的领域拿到双博士学位；同时我也很爱一切美好的事物，我喜欢自己也美美的，打扮的样子符合自己的审美，自己的风格。每天早上画一个妆觉得一天都精神气爽。这两点不相悖，他们可以在一个活生生的女性身上同时存在。回到开头，我对于妹妹符合大众审美这件事，尽量不给她添加任何评判。我希望她并不回避自己的外貌在别人眼里是这样的，同时这不定义她是怎样的人：可以是调皮捣蛋的，机灵活泼的，安静神秘的，深思熟虑的。有句话我很喜欢，也许妹妹有天会懂How I look is the least interesting part of me也送给大家,33,39,287,英国,,英国,英国
2,5022633605988693,澳英大班长,2024-04-13 09:43:50,【澳英择校】 班长好，本科教育学，杜伦大学和昆士兰大学的教育学，比较推荐就读哪一个？本科学校在国内排名不是很好，希望研究生有机会深造一下 #留学申请季##澳洲留学##英国留学#  网页链接 ,0,0,4,北京,,北京,中国
2,5022633369797691,333教育学山西师范-重庆师范学前,2024-04-13 09:42:54,下一战上岸学前教育，本科学前教育专业，初试在376至以上的同学，都可以考虑吉外的调剂希望给宝子们提供帮助，有任何问题可以咨询一能调剂已经结束 预计会开二轮调剂的名额，家人们要争取机会，一站上岸#调剂上岸#考研调剂#复试调剂#拟录取#考研#学前教育#吉林外国语大学 #吉外调剂 #吉外复试#调剂,0,1,1,山西,晋中,山西,中国
2,5022629427416484,Ezoey徐佩玲,2024-04-13 09:27:14,揭晓昨日答案B。在流年盘中，当木星在太阳返照盘中逆行时，这表明这一年专注于内在成长、反思和重新评估你的信念和愿望。与其寻求外部扩张或机会，重点转向内在智慧、精神探索和对个人哲学更深入的理解。这段时间可以重新评估长期目标、教育追求和你想拓宽自己视野的领域。,0,1,0,北京,,北京,中国
2,5022621387457020,gudaoguai,2024-04-13 08:55:16,最近给我们办公室打扫卫生的是一个文静和仔细的墨西哥女孩，第一次是前辈带她过来，跟她演示和讲解做什么，怎么做。  职业不分贵贱，各行各业都需要，可我有点难受：那么年轻，如果有机会受好一点的教育，想来会不同吧。  【4K收藏画质】王菲《但愿人长久》中秋必听|2002极致修复 Hi-Res无损 ,0,0,0,美国,,美国,美国
2,5022615905239788,一个很潮很萌的名字,2024-04-13 08:33:30,选结婚对象，千万别说：我啥也不图就图他对我好。要么图他有钱， 给你和未来孩子挣够口粮、教育经费、窝身之地，要么就是你自己有，就图对方颜值高器大活好还会逗你开心，再不然最差最差就是基因优秀，生出的娃智力超群才华出众还模样俊。否则，你一生一次孕育你后代的机会就白瞎在傻缺身上和他家了，孩子这个人质在那，你还得当一辈子背锅侠。如果你说结婚不生孩子，那你没必要结婚，真的。#闲言碎语#,0,12,5,北京,北京,北京,中国
3,5022583328605041,签悠选,2024-04-13 06:24:03,移民倾向是指个人对移民的倾向或倾向性，通常表现为渴望或愿意移居到另一个国家以改善生活条件、追求更好的教育、工作机会或生活质量等。这种倾向可能受到多种因素的影响，包括个人的家庭背景、经济状况、政治环境、社会文化以及对目标国家的认知和评估等。对于吴先生来说，他的移民倾向可能受到以下因素的影响：家庭因素： 他的女儿和妻子已经移民美国，这可能促使他考虑加入家人，享受团聚的福利，并在家人身边度过更多的时间。家庭成员的移民行为对他的移民倾向产生了重要影响。个人状况： 作为一位刚刚退休的个体，他可能正处于人生转折点，寻求新的生活体验和机会。退休后的生活可能让他有更多的自由和灵活性，可以考虑更改居住地点。经济因素： 尽管他已经退休，但他可能仍然关注自己和家人的经济状况。移民到美国可能为他提供更多的经济机会和福利，比如更好的医疗保障、更高的退休金待遇或者更广阔的就业市场。社会环境： 吴先生所在的社会环境可能也影响着他的移民倾向。如果周围的人或社会氛围对移民持积极态度，那么他也更有可能倾向于选择移民。个人愿望和追求： 最重要的是，吴先生个人的愿望和追求将直接影响他的移民倾向。如果他渴望更好的生活品质、更广阔的发展空间或者更好的教育资源，那么他可能更愿意考虑移民。总的来说，吴先生的移民倾向是一个综合考量各种因素的结果。通过理解他的个人背景、家庭状况和社会环境，我们可以更好地理解他为什么选择通过签签网办理美国探亲签证，并且了解他是否将来会考虑更深入地移民到美国或其他国家。,0,0,0,北京,北京,北京,中国
3,5022490141397348,Jacy_Joo,2024-04-13 00:13:46,我看到了很多问题 觉得我目前做到了的也很有限 但我在这里也真的拥有很多 也会觉得云南 自然 乡村的环境 乡村教育给了我成长的机会 一面是我选择了奉献乡村教育 一面是乡村教育包容了有许多不足 甚至还不太合格的我 ,0,0,0,云南,昆明,云南,中国
3,5022478990049977,心理学今赞,2024-04-12 23:29:27,#心理学调剂##心理健康教育调剂##考研调剂#  本科英语，跨考中央民族大学心理健康教育，初试354分，以初试最低分、复试逆袭第一、总成绩第一调剂上岸江汉大学心理健康教育全日制！ 只有要有机会，就要全力以赴，即使自己是最低分，又何妨呢！ ,0,0,2,湖南,长沙,湖南,中国
3,5022476487363621,英语吴俊姬老师,2024-04-12 23:19:30,Day 1997【姬姐家庭教育分享】 孩子需要一定的自由和独立空间来发展自己的个性和能力。给予孩子适当的自主权，让他们有机会做出自己的决策和选择。 #姬姐讲堂# ,0,0,0,广西,南宁,广西,中国
3,5022474980295673,请给我旺仔牛奶_,2024-04-12 23:13:31,寝室茶话会开始了本期主题依旧是“焦虑”“生活”“工作”——“如果公费你觉得苦的话，那考编你只会觉得更苦”“现在这地方教育已经饱和了，它没有给你那个机会，你没有资格”“以后师范的分只会更高”“别说我们这种双非了”“拿校奖真还没什么  在我们这种学校 要拿含金量高的国奖”“诶 cx二位女士 如果大学不搞那些杂七杂八的东西会更快乐吗”“如果不入党不卷不加学生会不参加任何比赛不兼职不求高分……每天上完课就出去放松放松 但不挂科 确实很舒服……”“前提是家里有矿。”“对”“以前觉得四五千的工资好少 现在想我连那么多都挣不到”——“反正他们一天都在说上岸 其实没有真正的岸”“真的 世界的不公平真的让人愤恨”“算了复读……我真不知道自己还能不能坚持”——“天哪灯火通明了十一点”——“我才知道我对语文只是情怀，不是热爱。”——茶馆里的最后一幕神奇般浮现在我脑海“将!你完啦!”,0,0,0,湖南,,湖南,中国
3,5022410078948605,数学育儿加西,2024-04-12 18:55:37,我的老大已经大了，我现在有机会看看我对他小时候的教育，现在为止，没有什么后悔的，人生不是有唯一答案的题目，一种体验而已。 放轻松，没有什么不得了的事，孩子最终都会找到合适的位置。 ,1,0,16,加拿大,,,加拿大
3,5022462243506296,清晰kite,2024-04-12 22:22:54,#我在大山里捡了一个女儿#看着她在大山中无忧无虑的笑容，深知教育与关爱的重要。公益活动，让每个孩子都有梦想照进现实的机会。 ,0,0,0,福建,福州,福建,中国
4,5022461697726413,独奏曲目E小调,2024-04-12 22:20:44,你儿子就当一辈子妈宝男吧哈哈无药可救我以为找到机会了，把之前我和我妹的感受都陈述出来，结果我妈还是有些维护着给我弟辩解....最后还说“你们都小气的”为什么啊，为什么我们在一起想办法怎么教弟弟的时候，又反过来攻击我们，想法达不成一致家庭教育是父母是兄弟姐妹一起的，为什么你什么也不相互通气，自己承载所有，对是你对，错就更是你错了“我以前（幼儿园）一直觉得全家全世界就只有我和妈妈”这句话，是弟弟说的这句话，乍一听没什么、也没关系，当时我读书早出晚归的，六七岁的年龄差，和弟弟自然有些距离感，爸爸也不咋管可是他的世界也没有差一两岁的小姐姐再可是，他现在是不是也还是这样觉得我那自认为的“被疏离感”油然而生，我和我妹说起这件事的时候，我直接难过的哭了出来，她会震惊她会心疼可是我妈怎么会懂呢，她说我们都是小气的人我说虽然我爸脾气差，但是当时情景下确实是我弟不对，她说我们都是小气的人,0,4,0,广东,深圳,广东,中国
4,5022458275435146,Ai凯凯Ya,2024-04-12 22:07:08,#我在大山里捡了一个女儿# 因为这些充满爱心的公益活动，也让大山里的女孩得到了平等，受教育的机会点亮了他们的人生 ,0,0,0,北京,,北京,中国
4,5022450131668216,一网天下198511,2024-04-12 21:34:46,教育部不允许重点班 穷人正在失去唯一的上升机会 再无小镇做题家网页链接 ,0,0,0,陕西,榆林,陕西,中国
4,5022448988983878,吃我诺诺子一拳,2024-04-12 21:30:14,以前我们被应试教育恐吓着高考是改变人生的唯一机会，往后又是考研和考公，又是选伴侣。每一个选项好像选错了天就塌了，可是人生其实真的没有那么脆弱，人生的容错率大到你难以想象，功利主义导向的思考方式往往使我们忘却了生命的本质是一场历程。无数人忽略了一个真相，很多事情其实根本没有意义。吃喝玩乐不是虚度光阴，吃苦耐劳也不一定值得歌颂。人生本就是不停的去感受去体验，爱你所爱。可是我们总爱去和别人比较，徒增自己的焦虑内耗。不一定要做世俗大家认为有意义的事，如果你想发呆，看日落数星星都有意义。你只是来体验生命的，不是用来演绎完美的，慢慢接受自已身上那些灰暗的部分，原谅自己的迟钝和平庸，允许自己出错，允许自己偶尔断电，带着缺憾拼命绽放，不断尝试、收获、感受然后放下。换成我们都能理解的话就是：在吃汉堡比赛里，输赢并不重要，因为怎么样你都能吃到汉堡。,0,3,1,北京,北京,北京,中国
4,5022439694667134,2来了619,2024-04-12 20:53:18,#冒个泡##安徽华图教育省考面试 最大优惠下架仅：4小时！ 再犹豫就要错过啦！ 全省多期班名额都已不多！ 抓紧私聊占位了 把握机会、一次上岸 ,0,1,0,安徽,宿州,安徽,中国
4,5022426545522325,D79AMI,2024-04-12 20:01:03,这上面理由是其一，我要说的是另外一个原因。目前，教育向快乐教育发展。后果是普通人很少向上的机会了。虽然说是因材施教，但如何成为一个“材”呢，那就是课本上来的，一遍一遍肌肉记忆来的。成功是99%汗水加上1%灵感，灵感是浇筑在汗水上的。如果不是天才，投胎又是平凡家庭，放弃所谓的“傻瓜教育”，去挥洒汗水，浇筑自己的灵感,0,0,0,浙江,杭州,浙江,中国
4,5022422516633610,诚朴留学背景提升,2024-04-12 19:45:03,‼️敲黑板！2024年IEO国际经济学奥林匹克竞赛已正式开启报名啦！今年的IEO赛事全球站将在中国香港举办，近距离体验IEO的机会可不要错过哦！🌈距离IEO的测评时间已经不远，为了帮助大家更好地备战IEO赛事，诚朴教育已经推出体系化的IEO竞赛辅导课程，名师团队助力冲奖。👇🏻感兴趣的同学可以私戳咨询哦~,0,0,0,安徽,马鞍山,安徽,中国
5,5022282156874610,大雄作手,2024-04-12 10:27:18,1，努力是为了看到更大的世界，为了有自由选择人生的机会，为了以后可以不向讨厌的人低头，为了能够在自己喜欢的人出现时充满自信。  2，成年人的世界里，只有筛选，没有教育；只有选择，没有改变。人呀，是叫不醒的，你永远叫不醒一个装睡的人。 ,5,2,15,广东,揭阳,广东,中国
5,5022418345398267,一只金烊,2024-04-12 19:28:28,为什么一进去就紧张的没有逻辑没有思考 手机屏保和电脑桌面最终也只是一场梦 求求他给我发通知吧，别再挑本科了，大家都录走了，求求你让我进复试吧 这几天往死里背教育热点，一定不能进去什么都说不出来，那个大标题其实基本都见过，但是一进去就是说不出来 老师，真的很好但是我没有机会了 ,0,0,0,吉林,长春,吉林,中国
5,5022415808368847,橡皮泥白又白,2024-04-12 19:18:23,展会将是了解教育行业前沿的好机会，期待深入交流！#中国高等教育博览会##海信商用显示##交互#,0,0,0,江苏,泰州,江苏,中国
