页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022688898451991,昊新Vin,2024-04-13 13:23:33,这种模式容易造就大量抑郁症候群~这种教育模式容易影响健康~,0,0,0,江苏,南京,江苏,中国
2,5022686839574667,中国动漫博物馆,2024-04-13 13:15:22,4月12日，杭州中国动漫博物馆与杭州二中白马湖教育集团党建共建签约仪式在白马湖畔的中国动漫博物馆举行。馆校双方以党建为引领，以共同打造特色动漫思政课为抓手，探索以动漫为形式载体的馆校合作新模式。#中国动漫博物馆# 中国动漫博物馆的微博视频 ,0,1,0,,杭州,浙江,中国
2,5022665356084559,安徽经济报,2024-04-13 11:50:00,【安徽省建立学校食品安全“你呼我应”新模式】近日，安徽食安办、省教育厅、省市场监督管理局联合印发通知，部署在全省各级各类学校（含托幼机构，以下简称“学校”）建立食品安全“你呼我应”工作机制，及时回应广大师生及学生家长学校食品安全方面的投诉和建议，防范化解学校食品安全风险隐患和矛盾纠纷。　　通知明确，督促学校建立“渠道畅通、回应及时、处理得当、回访满意”的食品安全投诉问题或建议处理工作机制。各级各类学校要通过线上线下等方式建立食品安全“你呼我应”渠道，公示处理投诉问题的责任人姓名、职务、手机号码、办公电话、电子邮箱等相关信息，在食堂就餐区和食品超市等显著位置张贴公示“你呼我应”的渠道和方式，有条件的可通过官方网站、公众号、家长群等方式予以公示。　　通知要求，学校接到投诉后，要第一时间回应，对需要现场处理的，应迅速到达现场，第一时间和投诉人见面或取得联系；相关人员均要做到“即呼即应”，能立即答复的立即答复，不能立即答复的要在做好解释的基础上，告知答复时限，并在要求时限内予以答复。对投诉的问题能立即整改的要立即整改，不能立即整改的，要明确整改时限；对初步判断为疑似食品安全事故或存在重大食品安全风险隐患的，要立即向市场监管和教育等相关部门报告并迅速启动应急处置预案。　　通知规定，学校在处理结束后2个工作日内对投诉人进行满意度回访，跟踪问效，定期深入分析投诉问题的类别性质、产生原因等，做到举一反三，防止同类问题再次发生，更好地呵护广大师生“舌尖上的安全”，切实增强广大师生的获得感、幸福感和安全感。,0,0,0,,合肥,安徽,中国
2,5022657378518823,中国教育新闻网,2024-04-13 11:18:18,　　【数字化如何让生涯规划教育更精准】数字时代的到来，悄然改变着每个人的生活，也深刻影响着教育领域。生涯规划教育是实现个体自主发展，培养人生观、价值观以及未来职业素养的重要方式，对学生发展产生深远的影响。传统的教育模式在生涯规划教育方面存在一定的局限性，如教育资源分配不均、教育方式传统单调、个性化指导不足等。数字技术的应用为学校生涯规划教育带来了新的发展机遇。　　教育数字化带来生涯规划教育新机遇　　生涯规划教育旨在帮助学生了解自身潜能、规划人生目标、培养未来职业素养，实现自主发展的教育。当前学校生涯规划教育的开展存在部分教育内容和现实生活脱节、教育资源分配不均、教育方法传统单调、个性化指导不足等问题，生涯规划教育的效果很难保障，而教育数字化为生涯规划教育提供了新的契机。　　教育数字化是弥合城乡生涯规划教育鸿沟的现实需求。传统的学校生涯规划教育通过专题课堂教学、生涯规划社会实践、个别生涯规划辅导等方式开展面对面的生涯规划指导。生涯规划教育的实效性如何，在一定程度上取决于生涯规划教育资源的丰富性、生涯规划咨询师的专业储备等。由于经济社会发展水平差异，不同区域、学校间教育资源分布不均，城区有更多的网络、数字化平台、名师资源等，更有利于学生做出适合的生涯规划决策，而郊区存在优质资源薄弱、优秀师资缺乏等问题。教育数字化运用互联网、移动技术等手段可以实现资源共享，是弥合城乡生涯规划教育鸿沟的现实需求，提高生涯规划教育质量，促进教育公平。　　教育数字化是促进生涯规划教育模式转型的时代特征。以往学校开展生涯规划教育活动，主要是一对多的课堂讲授方式，教师很难对每个学生的体验或者感受做到及时反馈。因此，学校生涯规划教育开展存在互动性不强的现实问题。通过互联网信息技术开展线上活动、建立生涯规划教育社群、全网优质资源获取、创设虚拟职业体验活动等，学生可以课内课外、线上线下自主学习和实践，参与多样在线互动，促进生涯规划教育模式的转型。　　教育数字化是学生个性化生涯规划指导的内在要求。个性化的生涯规划辅导是根据学生特点、需求和目标，为他们量身定制的“一对一”的生涯规划指导，但传统的个体指导与咨询，很难实现同时对两个以上学生作针对性指导，存在咨询效率不高、咨询专业性不足等问题。通过数字技术，我们可以开展线上大规模数据测评，为学生勾勒数字画像，为学生提供更精准的职业规划和指导，助力学生为未来职业生涯规划做好准备。　　教育数字化赋予学校生涯规划教育新动能　　生涯规划教育是实现学生自主发展、培养人生观、价值观及责任意识的重要手段。数字时代以资源共享、互通互联、智能技术为特征，其独特的优势为生涯规划教育注入了活力，赋予学校生涯规划教育新动能。　　打破时空边界，实现生涯规划教育信息共享。数字时代的教育资源更加丰富和多样化，极大地拓展了学生视野。一是，资源不再局限于教师的生涯规划知识储备，学生可以通过网络获取到来自全球各地的生涯规划知识和信息，更好地了解职业、行业和就业市场，从而更好地规划自己的学习和生涯发展。二是基于网络，学生可及时获取最新的科研成果和技术动态，与世界各地的同龄人开展生涯规划探访与合作，激发他们的生涯规划意识和合作精神。　　创新教学方式，增强生涯规划教育互动性。直播教学、网络课程、翻转课堂等，以及创设虚拟教学环境等，为学生提供了更多接触职业世界的机会，通过沉浸式的观察和体验做出适合自己的生涯规划决策。与此同时，数字化可以实现教师和学生随时随地交流和互动，使教育过程更加民主、多元，学生也可以通过实时在线测评、讨论、小组合作等方式，提高沟通和协作能力，培养团队精神。　　赋能生涯规划个性辅导，大规模因材施教成为可能。首先，在线采集学生的学习行为、优势能力、价值观倾向等方面的数据信息，海量的测评数据形成学生画像和教育知识图谱，为个性化的生涯规划教育提供数据支持。其次，在数字化环境下，利用AI算法，可以实时监测学生阶段性的学业成绩、兴趣爱好、生涯规划探索领域，为学生推荐合适的选修课程、实践活动和生涯规划导师，根据每个学生的特点和需求进行定制化的教学，实时跟踪学生学习情况，提供线上线下个性化、差异化的学习体验，动态地调整指导方案，这些技术可以根据学生的学习兴趣、能力和需求，为他们提供更加精准、更有针对性的学习建议和指导。　　教育数字化开辟生涯规划教育新路径　　互联网、云计算、大数据和人工智能等技术，在资源共享、AI互动及大数据监测方面改变了传统生涯规划教育模式，教育数字化要在生涯规划教育的实践中发挥更大的作用，则需要重塑生涯规划教育理念、提升数字化素养、搭建数字化生涯规划教育平台，赋能学生生涯规划探索，引导学生自主发展。　　适应数字化时代发展，重塑师生生涯规划理念。数字时代教育者和受教育者都需要调整原有的教育观念，适应科技发展带来的教育方式和学习方式的变革。学校需转变生涯规划教育理念，用数字化思维和技术开展学校生涯规划教育实践。首先，数字时代新的技术层出不穷，职业和行业的变迁较为频繁，促使学校生涯规划教育不仅仅关注学生大学专业选择、未来职业所需的知识和技能，也要及时更新生涯规划教育课程内容，培养学生终身发展的职业素养，开放地面对未来职业世界，培养学生的生涯规划适应，积极应对生涯规划的不确定变化。再者，每个人的生涯规划是一个动态的发展过程，学校生涯规划教育旨在回归育人初心，引导学生成为一个有能力自我激励、自主决策、自我实现并贡献社会的个体。教师要树立动态生涯规划发展观，鼓励学生通过不断的尝试和探索找到适合自己的职业发展方向，客观认识学生的生涯规划决策的不稳定性，培养学生的自主性、创造力和团队合作精神，他们可以自由地对生涯规划进行动态调整，适应不断变化的未来世界，实现个人价值和人生目标。　　提升师生数字化素养，创新生涯规划教育新模式。数字时代，运用大数据、人工智能等数字技术打造无边界课堂教学，为生涯规划教育提供更便捷、高效的教育服务，也对师生数字化素养和能力提出了新的要求。一方面，开展有针对性的培训，以实践导向、面向课堂、依托真实教学场景的方式，提升教师数字化素养。如鼓励教师使用数字化教学工具，如在线课件、数字化教材、在线测试、网络授课等，参与校内外数字化教学资源建设，将数字化素养纳入教师评价体系，全面提升教师教学能力与数字素养。另一方面，在生涯规划教学过程中，创新生涯规划教育新模式，重构生涯规划教育内容，实现线上线下教育融合，引导学生掌握信息技术，注重提升学生数字素养与能力，培养学生跨学科融合能力、沟通与协作精神、团队合作意识、创意与创新性，构建以学生生涯规划发展为中心，开放、共享、个性化、智能化的生涯规划教育新格局。　　搭建数字化生涯规划教育平台，助力学生自主发展。一是搭建国家层面的城乡一体化的数字化生涯规划教育平台，汇集全国乃至海内外优秀的生涯规划慕课、微视频、教案及活动方案等课程资源，分享各具地方特色的教育资源，互学互鉴。二是依托行政部门、学校与企业联合开发学生生涯规划发展的AI智能指导系统，做好学生大数据调研，建立学生生涯规划发展个人档案，形成学生画像，并制定严格的网络安全保密制度，保护学生隐私，利用人工智能技术，为学生提供更加精准的个性化推荐和服务，助力学生自主发展。三是搭建大学或者研究机构、学校、家庭、社区、学生服务的反馈机制，发挥数字化生涯规划教育平台在学生升学、成长中的导向作用，记录教师、家长、同伴、社区等多主体的评价反馈，助力学生自主发展。　　（李海燕 作者系北京教育科学研究院副研究员，本文系北京市教育科学“十三五”规划重点课题“新高考背景下普通高中学生多元发展的路径及指导模式的构建”[项目编号CEAA2020045]的研究成果）#教育##教育资讯##数字化#,0,0,0,,,北京,中国
2,5022648982309601,褐色丶橄榄枝,2024-04-13 10:44:56,欣赏衡水二中的教育理念和教育教学模式的人，当北京市西城区某示范性高中校长，这简直拉低智商…… ,0,0,0,北京,北京,北京,中国
2,5022333326852830,学霸爸爸长不大,2024-04-12 13:50:38,三十年前的家长在教育孩子方面和现在的模式完全不同，但是孩子该成才还是照样成才。三十年前的家长大部分的文化水平都很低，基本上不具备辅导孩子知识的能力，但是有一部分的孩子还是能够养成自觉学袭的袭惯。哪怕放学后家长还没有下班，仍然可以自己主动地去完成老师布置的作业，然后还会自己主动去学袭老师没有布置的内容，最后经过时间的沉淀，自然而然地成为真正的学霸。那时候虽然家长在具体的知识学袭上没法手把手地去教孩子，但在其他方面对孩子的影响还是非常深远的。比如农村的孩子，父母都是双职工的孩子，家里有兄弟姐妹的孩子，父母平时为了养家糊口，都是非常辛劳的。所以家里的每个孩子每天都要干一些力所能及的事情来减轻家长的负担，孩子也都非常清楚自己家里是个什么情况。由于很多家长文化水平不高，所以都希望自己的孩子将来能够多读书，做个文化人，能够比自己要过得好。如果孩子是块读书的料，一般情况下砸锅卖铁也会想办法供孩子去读书。而对于孩子来说，只要是想学袭的，都会非常珍惜这种学袭的机会，根本就不需要家长去督促。但是现在时代不同了，家长们大部分的文化水平也都比较高了，知道现在内卷厉害，都知道提前抢跑，让孩子早早地就开始陷入到具体知识的学袭中去。孩子啥都不懂就开始学袭各种知识，既体会不到学袭的乐趣，也体会不到家长的艰辛。而对于家长来说，每天辛苦上班，回到家还要辅导孩子学袭，这么辛苦的辅导模式没有几个家长能够坚持下来，不是决心不够，而是身体、大脑吃不消，大人孩子都一样。现在的孩子也是很可怜的，虽然吃穿不愁，但是从小就被灌输必须考大学，必须要考前几名，必须要上重点学校重点班，也不管孩子是不是学袭的料，都是按照最会学袭的学霸标准来要求自己孩子。孩子是这块料的就算了，肯定很容易就进入到这种状态，孩子不是这块料的就比较惨了，天天逼着他做他最不擅长的事情。家长如果也搞不清楚该怎么来科学地教育孩子的话，那么即使是在目前双减这种大环境下，孩子仍然会学得很痛苦，关键是花了时间还不见效。但是有一点不得不承认，现在的孩子接触到的知识比三十年前要多了很多，但是考试的内容变化不大，甚至难度还在进一步降低，那么为了有足够的区分度，现在的试题大部分都提高了思维的深度。换句话说就是现在考查具体的知识点的内容并没有变多，而是把阅读理解、辨析、材料分析等内容加入更多到考试中去。答案没有标准化了，但答题模式是标准化的。也就是说以前大家可以通过背标准答案就可以获得高分，现在这种标准答案变少了，都是需要进一步思考后，从内在逻辑上来找寻正确答案。这就从思维上面进一步提高了要求，你必须要有更高阶的思维模式才能获得更高的分数，单纯地从知识层面的熟练掌握是无法和其他人区分开来，大家这方面几乎没有差距。以前到了高中才开始考查大家在思维上的差距，现在这种趋势是下放到了初中，甚至有进一步下放到小学高年级的趋势。现在初中各科拿满分的几率是越来越小了，甚至在小学高年级也不再是一个班满分一大堆，层次逐渐变得清晰。但是基础题的分更容易拿了，大家的差距主要体现在思维类型的题目上。所以为了应对将来这种模式，各位家长应该注重思维能力的培养，单纯地陷入到基础知识的学袭中也很难在初中和高中脱颖而出。即使有很多很好的学袭方法，也是需要有足够能力去匹配的，尤其是自学的能力。我们现在所学的知识都是已知的知识，没有让大家去自己创造新的知识，所以如何应用这些知识则是考查大家的另外一个能力。简单来说就是学以致用，举一反三的能力，如何把已知的知识变成自己的知识，然后结合实际问题，提出解决方案的能力。这个能力从何而来呢？主要还是通过大量的阅读和精读得来。大量的阅读可以让你接触到海量的知识，见识不同的观点，开拓你的视野，打开你的思路（脑洞大开）。精读可以让你辨别分析一些深层次的观点、底层的逻辑，能够把一些事情看得更加通透。逐步提高自己的思维能力，提高答题的正确率。这种能力是经常长期的积累逐渐培养起来的，达到这个层次后再来配合一些具体的答题技巧或者是套用某些答题模板才能够答到得分点上，按照出题人的意图拿到高分或全分。所以在把课内的基础知识学得很熟练后，就需要多让孩子阅读。培养能力有时比具体知识的提前学更加重要。,12,0,10,湖北,孝感,湖北,中国
2,5022644531889964,泽普县融媒体中心,2024-04-13 10:27:15,#全面加强国家通用语言文字教育教学# 泽普县赛力乡阔孜马勒村积极探索多形式的国家通用语言文字学习模式，锚定学习目标、细化工作措施，多渠道、多角度、常态化开展国家通用语言文字学习。@天山网 @人民日报 @新疆发布 第一招，线上线下课堂“普及学”。阔孜马勒村在国语学习上充分利用县委党校教育平台和线下集中学习等方式将村民群众集中统一组织学习，采取“面对面”“一对多”的形式进行授课，重点围绕“听、说、读、写”下功夫，坚持每周5次中心课堂结束后，组织学员开展学习辅导、口语交流、随堂测试、现场答疑解惑，对当日学习内容进行抽检，切实提高学习的针对性和实效性，引导大家规范使用国家通用语言进行日常交流，提高口语交际能力。@头条文章 @新华社 第二招，“小手拉大手”带动学。充分利用周末和节假日开展“小手拉大手·全家一起学”活动，以日常问候语、生活简单用语为主要内容，在家让孩子主动教家长学习国家通用语言，积极营造全民学用国家通用语言的良好氛围，不断提高辖区群众学习使用国家通用语言文字的自觉性和主动性。@新华网 @新民周刊 第三招，积分奖励“巩固学”。为了更好地调动广大村民参加国语学习的积极性，阔孜马勒村充分发挥村规民约积分制管理平台作用。将国语学习纳入“村规民约+积分制管理”内容，定期对学员学习成效、测试结果进行综合评估，将评估结果反馈到村党支部，表现优秀的村民，分别给予积累不同数量积分作为奖励，依托周一升国旗现场落实积分兑换奖励，有力提升群众学习国语的积极性和主动性。@泽普县机关工委 @泽普县远教_695 第四招，举办“多彩活动”辅助学。为提高辖区村民学习热情，依托学习教育阵地开展诗歌朗诵、读书分享、自我介绍等活动23场次，组织党员群众学唱红色歌曲、观看红色电影、讲述红色故事等，在潜移默化中养成使用国家通用语言文字的习惯，形成“比学赶超”的良好氛围。采取“口试+笔试”相结合的方式，依据测试成绩，了解和掌握村民的学习成效，推动国家通用语言文字教育培训提质增效。@新疆泽普宣传 @新疆泽普政务 泽普县赛力乡阔孜马勒村将持续巩固现有学习形式，不断创新学习方法，进一步强化了辖区村民国家通用语言文字的运用水平，为引领辖区村民群众说好普通话，写好规范字打下了良好基础，使辖区村民在学习中相互交往交流交融，不断巩固和夯实“中华民族一家亲 同心共筑中国梦”的地位。@新疆泽普县政府办 （泽普县赛力乡阔孜马勒村 罗强）,0,0,2,,喀什地区,新疆,中国
2,5022637543919906,OneIverson,2024-04-13 09:59:29,昨天和發小一起重看柯南劇場版《貝克街的亡靈》，感歎青山剛昌想當年是多麼超前的一個人。短短一部電影的時間，有多少討論二十多年後才正式被拎出來，甚至是最近這些年才逐漸進入更多亞洲人的視野裡。開頭從「亞裔天才兒童弘樹的自殺」引出「原生家庭」問題，接著是對日本「教育模式和體制」的反思和質疑，以及社會層面上的「階級固化」和「精英主義的危機」。隨後又是VR遊戲裡創作者「個人意志投射」的正當性，再到「AI的濫用」，最終居然從歷史故事閉環到了「天生壞種DNA」上。無疑是朵心中最好的劇場版，這樣的劇場版已經是02年的了。不過昨天才意識到小孩兒們的運動量真大啊，從白教堂生生硬走去貝克街，又東跑西跑一陣兒，再到查理十字車站上火車。但末尾最經典的火車頂追逐戰，蘭的縱身一躍，感覺工藤新一你小子應該還沒旁邊的弘樹小哥傷心，就在那兒哭著喊爹說自己不行了沒法兒了，爹立刻給你變個長得跟爹像的福爾摩斯出來鼓勵啟發你。哥們兒是真二次元腦袋啊，老婆沒了可以哭，福爾摩斯一來靈感乍現。,1,0,6,湖北,襄阳,湖北,中国
2,5022635612176555,苏家屯发布,2024-04-13 09:51:48,区教育局举办劳动教育科技创新大赛#新时代六地辽宁杠杠滴##辽宁好网民守法好公民##有一种美好叫辽宁# 为全面构建“以劳树德”、“以劳增智”、“以劳强体”、“以劳育美”、“以劳健心”的“五育并举、融合育人”的区域劳动教育新模式。4月12日，由区教育局主办，区职业教育中心承办的“五育融合 以赛育人”主题劳动教育科技创新大赛正式开赛，教育局相关领导出席了本次大赛的开幕式，区教育局相关负责同志致开幕词。本次大赛共设5个赛项，分为个人赛和团体赛，采取先培训后比赛的方式，由职教中心对参赛选手进行集中培训后进行比赛。来自全区初中八年级的151名学生围绕网络综合布线技术、数控加工编程技术、电子设备装接、焊接机器人技术、3D打印技术进行设计和比赛。参与大赛的选手、指导教师、家长对本次大赛给予了高度评价。,0,0,0,,沈阳,辽宁,中国
3,5022310521897016,杳杳离歌,2024-04-12 12:20:00,什么才是无趣？是wb千篇一律精心挑选的模式九宫格连文案都透着机器化的气息，是营业必跟风必模仿没有丝毫个人特色的，是脑中无墨水把无礼当真性情的，是艹着文艺风透着一股子爹味教育的，这类人娱乐圈多的是，可我三是内🐟争相模仿的存在，不是他长大了，是你索求的太多了，是你长成了你最痛恨的大人模样，要让他事事都按照你所想的来，既然如此就早日放过他，千篇一律的提线木偶多的是你挑选[送福],5,12,185,贵州,黔南,贵州,中国
