页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022657380879902,期刊论文专利王编辑boxuewh2018,2024-04-13 11:18:19,大量收单报纸：中国文化报（理论版）、中国教师报（理论版）、中国艺术报（理论版）、中国教育报（普通版）、新华日报、宁夏日报、黑龙江日报、精神文明报、江西日报专著挂名：多个方向专著转让第二第三作者，人满出书，需要的联系！南大书评、C扩书评、北大书评、全科接单，一手资源，出刊速度快！ 核心期刊电影、经济、法律、农业、扶贫、生态经济、传媒、电视等方向 核心期刊 均可发表  要求某某大学单位,0,0,0,江西,南昌,江西,中国
2,5022655291850938,期刊论文发表李编辑老师,2024-04-13 11:10:00,【中国教育报】教育部门主管，专门为中国教师服务《普通版》：字 符：1800-4000左右周 期：2个月左右见报！！！！方 向:思政，体育，马克思，教育，文化，伦理，党建，社科，音乐，新闻传播类等都可！！！！《理论版》 也叫理论周刊  单位认可为南核C刊级别以上字 符：2000字以上收 稿：教育科研，传统文化，艺术教育，伦理，党建，社会学等类稿件！要 求：大学单位硕讲起发！教师教育,0,0,0,江西,南昌,江西,中国
2,5022651649622270,西宁市广播电视台,2024-04-13 10:55:31,#西宁关注# 【特写：用党的纪律建设最新成果筑牢忠诚廉政根基】党纪学习教育是落实全面从严治党要求、加强党的纪律建设的重要举措。正在开展的市委理论学习中心组党纪学习教育读书班通过高标准高质量组织开展党纪学习教育，推动党的纪律建设最新成果入脑入心，切实把党纪学习教育激发的动力转化为推动高质量发展的实绩。 西宁市广播电视台的微博视频,0,0,0,,西宁,青海,中国
2,5022651352090417,网信北辰,2024-04-13 10:54:21,【市委理论学习中心组举行集体学习：深入学习贯彻总体国家安全观，以高水平安全保障高质量发展】　　全民国家安全教育日即将到来，4月12日，十二届市委理论学习中心组举行第18次集体学习，深入学习贯彻总体国家安全观，认真落实习近平总书记视察天津重要讲话精神，树牢底线思维和极限思维，增强风险意识，坚持问题导向，发扬斗争精神，更好统筹发展和安全，以高水平安全保障高质量发展，为谱写中国式现代化天津篇章提供坚强安全保障。　　市委书记陈敏尔主持会议并讲话。市委副书记、市长张工，市人大常委会主任喻云林，市政协主席王常松出席。市委常委，市政府党组成员、副市长，市高级人民法院、市人民检察院主要负责同志参加。　　会上，国家安全部有关领导同志围绕“总体国家安全观·创新引领10周年”作专题辅导报告。市委副书记陈辐宽，市委常委、市委政法委书记衡晓帆作交流发言。　　陈敏尔在讲话中指出，党的十八大以来，以习近平同志为核心的党中央高度重视国家安全工作，创造性提出总体国家安全观，为做好国家安全工作提供了根本遵循和行动指南。今年2月，习近平总书记在视察天津时提出在提升城市治理现代化水平上善作善成的重要要求，强调要贯彻总体国家安全观，统筹发展和安全，提高安全保障和防范化解风险能力。我们要准确把握总体国家安全观的深刻内涵，坚持好、运用好贯穿其中的立场观点方法，进一步增强做好国家安全工作的责任感、使命感，扎实推动党中央部署落地见效。要增强底线思维和极限思维，居安思危、未雨绸缪，凡事从最坏处着眼，做最充分的准备，朝好的方向努力，争取最好的结果。要强化风险意识，健全国家安全风险监测预警体系，加强风险评估，完善国家安全工作预案，不断增强驾驭风险、迎接挑战的能力。要坚持问题导向、目标导向、结果导向，把发现问题、解决问题作为着力点，把化解矛盾、破解难题作为突破口，细化完善措施，狠抓工作落实。要发扬斗争精神，敢于斗争、善于斗争，敢打敢拼、善作善成，积极有效预防、化解、应对、处置各种矛盾风险。　　陈敏尔强调，要统筹好发展和安全，完整、准确、全面贯彻新发展理念，深刻认识安全是发展的前提，发展是安全的保障，把发展和安全一体谋划部署，应对好传统安全和非传统安全，以高质量发展促进高水平安全，以高水平安全保障高质量发展。要把政治安全放在首要位置，坚定维护政权安全和制度安全，牢牢掌握意识形态工作领导权，抓好各领域安全工作，守住安全生产底线，筑牢首都政治、安全“护城河”。要加强韧性安全城市建设，立足超大城市特点，硬件和软件并重，加快“平急两用”公共基础设施建设，健全统一指挥、各方协同的应急管理体系，充分利用大数据、人工智能等信息技术，推进大城细管、大城智管、大城众管。要强化党建引领基层治理创新，坚持政治引领、综治能动、法治保障、德治教化、自治强基、智治支撑作用，加强党组织对基层各方力量、各种资源、各项事务的统筹协调，充分发挥基层党组织战斗堡垒作用和党员干部先锋模范作用，做实做细社区服务管理，强化矛盾纠纷排查化解，提升基层治理效能。　　陈敏尔强调，要保持“时时放心不下”的责任感，对国家安全工作时时盯紧、时时跟进、时时推动，对风险隐患时刻警惕、处处留心，做到守土有责、守土负责、守土尽责。要严格落实国家安全责任制，坚持党政同责、一岗双责、层层履责、失职追责，做到各司其职、各负其责、各就各位。要加强国家安全意识教育，提升全民国家安全意识和素养，营造全社会共筑安全屏障的浓厚氛围，形成维护国家安全的强大合力。要加强国家安全干部队伍建设，提升法律政策运用能力、防控风险能力、群众工作能力、科技应用能力、舆论引导能力，锻造津门国安铁军。　　市级有关部门负责同志参加。,0,0,0,,,天津,中国
2,5022646230585803,萍乡消防,2024-04-13 10:34:00,【#萍乡#开展消防宣传进党校“四个一”活动】4月10日，@萍乡消防 深入市委党校开展消防宣传进党校“四个一”活动，140余名学员参加了理论授课、警示教育、消防基本技能实操实训及逃生演练培训，支队长苗成为参训学员进行了专题授课。#消防演练# 萍乡消防的微博视频 ,6,3,7,,萍乡,江西,中国
2,5022643940496673,网信红桥,2024-04-13 10:24:54,【市委理论学习中心组举行集体学习：深入学习贯彻总体国家安全观，以高水平安全保障高质量发展】全民国家安全教育日即将到来，4月12日，十二届市委理论学习中心组举行第18次集体学习，深入学习贯彻总体国家安全观，认真落实习近平总书记视察天津重要讲话精神，树牢底线思维和极限思维，增强风险意识，坚持问题导向，发扬斗争精神，更好统筹发展和安全，以高水平安全保障高质量发展，为谱写中国式现代化天津篇章提供坚强安全保障。网页链接,0,0,0,,,天津,中国
2,5022643288017175,说教师,2024-04-13 10:22:19,最早提出启发性教学的是（   ）。  单选题教师资格证#教育理论##教育综合知识#教师招聘笔试   网页链接 ,0,1,15,安徽,合肥,安徽,中国
3,5022635870127633,SCI核心期刊SSCI发表-何编辑,2024-04-13 09:52:50,EI源刊、稳妥收、成题环境设计，室内设计，风景园林设计2.基于******旧住宅适老性室内设计改造3.基于******室内环境防疫改造设计研究4.基于******室内恒温方案设计钢琴演奏1. ******钢琴演奏型艺术人才培养和创造性思维的构建2. *****钢琴演奏理论与高职教育教学实践研究艺术设计方向1、基于****技术的艺术设计专业教学资源库的开发研究2、基于****的高校艺术设计创新教学路径优化3、基于****的影视制片管理优化策略,0,0,0,河北,张家口,河北,中国
3,5022635578885330,樊迪博士,2024-04-13 09:51:41,维格森是以色列数学家、计算机科学家，美国科学院院士，任职于美国普林斯顿高等研究院数学学院。他的研究包括计算复杂性理论、算法和优化、随机性和密码学、并行和分布式计算、组合论和图论、CS理论与数学和科学的联系。维格森一生都在从事教育和研究。过去四十年来，对理论计算机科学研究做出了开创性贡献。此前，计算机科学家发现随机性和计算难度（即识别没有有效算法的自然问题）之间存在显着的联系。威格德森与同事合作，撰写了一系列极具影响力的关于用硬度换取随机性的著作。他们证明，在标准且广泛相信的计算假设下，每个概率多项式时间算法都可以有效地去随机化（即完全确定性）。换句话说，随机性对于高效计算来说并不是必需的。这一系列作品彻底改变了我们对随机性在计算中的作用的理解，以及我们思考随机性的方式。该系列有影响力的论文包括三篇：《Hardness vs. Randomness》、《BPP has subexponential time simulations unlessEXPTIME has publishable proofs》、《P=BPP if Erequires exponential circuits:Derandomizing the XOR Lemma》 #校园创作者激励计划# 东北大学,0,0,2,辽宁,沈阳,辽宁,中国
3,5022633407808701,题名金榜时,2024-04-13 09:43:03,事业单位招考简章：2024年金华义乌市职业教育集团国贸学校校区招聘专业课教师专业理论知识【专项针对本次密押】【只复习题库即可，高分通过考试】【签协议】【（详询见主页） 】 ,0,0,0,河北,沧州,河北,中国
