页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022090057482427,武汉教育电视台,2024-04-11 21:43:57,【#如何加强心理健康课程领导力？十三个城市300余位专家武汉共研启新思#】4月10日至11日，乘着江城正浓的春意，第二届中小学心理健康教育研究城市共同体论坛在湖北武汉圆满举办。来自杭州、成都、长春、合肥、济南、兰州、柳州、洛阳、南昌、曲靖、武汉、西安、株洲等共同体内13个城市的300余位教科研单位领导、心理教研员、中小学校长、心理教师汇聚一堂，集合城市力量，共同研讨中小学心理健康课程育人效能提升的新路向。网页链接（via.武汉市中小学心理健康教育）,0,0,0,,武汉,湖北,中国
2,5022087603030766,wyl雪莱,2024-04-11 21:34:13,今天上午去听了一个教授的讲座，最大收获是解决了我一个最大的困惑，在平时工作中我有职业倦怠，而要解决这个问题就是要对自己有更高的要求，而在教学中更高的yi要求是要参与教育研究。你可以把你教的每位学生当做你的研究对象，可以把每日心得记录下来，这位老师也说了要写作，写作是每一位教师成长的必经之路。,0,0,1,河南,郑州,河南,中国
2,5022025659716151,育见新闻,2024-04-11 17:28:05,为全面加强义务教育招生入学管理工作，促进教育公平，近日，教育部办公厅印发通知，对开展义务教育阳光招生专项行动作出部署。专项行动有哪些重点任务？又将为义务教育招生带来哪些新改变？今天，我们来共同“育见”中国教育科学研究院基础教育研究所副研究员 牛楠森，中国教育科学研究院区域教育研究所副研究员 李建民。,0,0,0,,北京,北京,中国
2,5022012051820530,两江交汇,2024-04-11 16:34:00,#江汉新闻# 【这些大咖云集江汉，带来打开中小学“心”教育的钥匙】4月10日至11日，第二届中小学心理健康教育研究城市共同体论坛在江汉区举办。来自杭州、成都、长春等13个城市的300余位教科研精英汇聚一堂，集合城市力量，共同研讨中小学心理健康课程育人效能提升的新路向。本届论坛由中小学心理健康教育研究城市共同体主办，武汉市教育科学研究院、杭州铭师堂教育研究院承办，武汉市江汉区教育局、武汉市一初学苑、武汉市第十九中学、武汉市江汉区红领巾学校协办。这些大咖云集江汉，带来打开中小学“心”问题的钥匙,0,0,0,,武汉,湖北,中国
2,5021979340439809,中国国际教育巡回展,2024-04-11 14:24:00,| 2024中国国际教育巡回展 ● 院校集结 | —— 巴塞罗那自治大学巴塞罗那自治大学（UAB）是一所国际领先的公立大学，致力于促进交流、合作和人才培养。大学位于西班牙经济中心，美丽的地中海明珠城市——巴塞罗那。UAB在所有学科领域中提供高水平的教育研究，拥有100多个本科学位课程，约300个官方硕士及校级硕士课程，约70个博士学位课程。巴自治的学科设置多样且与研究活动密切相关。经过50多年的发展，巴自治大学在研究教学领域里的出色表现，不但傲居西班牙之冠，更被公认为欧洲最优秀的大学之一。在2024年QS世界大学排名中，巴自治世界综合排名第149名，在社会学、管理学、经济学、传播学、环境科学等领域均获得世界排名前100名的好成绩。巴自治一直以来追求科研创新，致力于培养各方面的优秀人才。,0,0,0,北京,北京,北京,中国
2,5021969904829838,AutumnWillBeFree-,2024-04-11 13:46:32,4.11将教育素养转化为教育效果的中介和桥梁的是教育研究,0,0,0,山东,淄博,山东,中国
2,5021968466447662,一根烤肠三块钱,2024-04-11 13:40:49,被植入了小学生病毒，看见老师或者走的时候和老师打招呼什么的。刚刚来上课路上看见教育研究方法的老师，脑子还没反应过来手已经摆起来了。 ,0,0,0,江西,南昌,江西,中国
2,5021910211758941,南岗检察,2024-04-11 09:49:20,#龙检信息快车# 黑龙江省穆棱市检察院近日与黑龙江省政法管理干部学院开展“检学研共建”签约仪式，并举行“实战实用实效检察专业化教育研究基地”“法学研究实践基地”揭牌仪式。据悉，接下来，双方将通过组织教育培训、法律政策研究、互派干部交流、科研课题申报等方式，促进理论研究与检察实务良性互动，共同培养高素质法治人才。,1,1,2,,哈尔滨,黑龙江,中国
2,5021906719740191,A-期刊论文杂志社发表,2024-04-11 09:35:27,《广东职业技术教育与研究》 主办单位：广东科技出版社有限公司 出版周期：月刊 ISSN：1674-859X CN：44-1653/Z 栏目：职教动态、中职教育研究、高职教育研究、本科职教研究、教学实践与课程改革、教育管理与德育工作、产教融合与校企合作。 ,0,0,0,河北,张家口,河北,中国
3,5021797068047457,bonn1_e,2024-04-11 02:19:44,即使我已经学过两遍教育研究方法这门课 也不妨碍我产出像史一样的学术垃圾 我真服了。 ,0,6,3,海南,海口,海南,中国
