页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022470391988881,超格松松,2024-04-12 22:55:17,#松松答疑# 一个案例中教导学生学会求真和质疑，这也是体现了科学性和思想性吗？【答疑】算。科学性和思想性统一原则是教学的教育性规律的反映，体现了我国教学的根本方向和质量标准。我国自古以来提倡“文以载道”，并有“教书育人”的好传统。一般来说，科学性是思想性的基础；思想性又为科学性的动力。人文社会学科具有鲜明的思想性，如语文、历史、政治等都是提高学生思想修养、进行人生观教育的重要教材；自然学科也蕴含着丰富的人文精神，尤其是它所运用的研究方法、经历的艰辛过程和所揭示的客观规律，均有利于养成学生的实事求是的科学态度。自然科学让大家养成的求真、质疑和实事求是的科学态度也是思想性的体现～（图二是老王的书）,2,1,16,上海,上海,上海,中国
2,5022409017267346,论文期刊辅导代发,2024-04-12 18:51:24,《卷宗》省级，旬刊，龙源收录，1版2500字符起发，现在收6月刊期，7-8月左右出刊，欢迎来稿！国际标准刊号：ISSN 1005-4669，国内统一刊号：CN 51-1737/G0。期刊栏目：学术前言、科学研究、理论探讨、经验交流、百家论坛。收稿范围：经济金融、经营管理、理论创新、财会审计、教育教学、科学技术、行业创新、文化建设、社会发展、历史艺术、影视传媒、计算机技术，通信技术类、电子技术类、电气控制类、电子商务类、电算化类、多媒体教学类、科技教育、基础科学、建筑工程、图书馆及科技管理、人事管理、经济管理等各个领域，不收北京和成都的文章。评职称论文发表期刊论文发表论文#期刊论文#,0,0,2,山东,济南,山东,中国
2,5022406896780608,长宁发布,2024-04-12 18:42:59,均衡发展 科学育人为促进义务教育优质均衡发展及“双减”背景下教育教学质量的提升，4月10日上午，长宁县2024年义务教育优质均衡发展小学劳动教育教研组长专项研究工作会议在实验小学召开。会议对长宁县小学劳动教育检测方向进行细致分析，以双向细目表清晰呈现数据，深入剖析存在问题，针对性提出改进建议。结合“国检”要求，分析本次检测试题，把握测试核心，细化措施办法。各学校劳动学科教研组长就各自学校在监测中发现的问题以及改进措施进行了认真的讨论。会议对义务教育均衡发展总体目标，解读指标，结合本县劳动教育基础情况，提出要加强师资队伍建设、完善教学内容体系、强化家校合作机制等改进建议。奋斗正当时，扬帆再出发，此次义务教育优质均衡发展小学劳动教研组长专项研究工作会议的召开，为小学劳动教育指明了方向，明确了奋斗目标，让我们一起为长宁县的教育事业添砖加瓦！,0,0,0,,宜宾,四川,中国
2,5022335347721455,不请餍足,2024-04-12 13:58:40,请大数据把我推送给浙江师范大学儿童发展与教育学院，儿童发展科学专业过面的友友。还在纠结导师的选择吗？你心仪导师的教学态度是放纵自由、还是严谨耐心？助你了解详细状况，一切尽请私信，本专业学姐在线解答！ ,0,0,3,浙江,,浙江,中国
2,5022334459054719,辽阳日报官方微博,2024-04-12 13:55:08,#追寻先烈足迹辽宁在行动##新时代六地辽宁杠杠滴# 太子河区王家镇中心小学，现有14个教学班，376名学生，在职教师58人。长期以来，学校始终以“一切为了学生”为核心理念，以培养“合格加特长”的学生为教育特色，打造科学的发展模式和鲜明的办学风格。 ,0,0,0,,辽阳,辽宁,中国
2,5022302292938133,AllenDella,2024-04-12 11:47:19,自考本科统考只考3科的专业！！艺术教育-美术教育🎨🎨自考艺术教育专业有两个方向，一个是美术教育✅另一个是音乐教育✅毕业时颁发艺术教育专业毕业证！🎈专业介绍：主要研究美术相关的基础理论，掌握科学的教育理论和教学方法，接受教师基本素质和基本能力的训练，并能组织课外美术活动，有初步的科研和创作能力，例如：对油画、国画、装饰画、书法、篆刻等方面的课程进行讲授。🎈就业前景：1、在中小学，培训机构，从事美术教学，社团辅导，学校宣传，班级管理等工作。2、也可以在传媒类的机构，从事广告设计，装潢艺术设计，美术设计等工作。🎈学费：4000/年，一共是需要交两年的学费。🎈优势：1、难度比较低，统考科目只有三门‼顺利的话一次统考就可以考完，️而且不考高数，英语（二）可以选考，不考英语（二）需要加考三科校考科目。2、取得考籍起三年内顺利毕业的，可以免考英语申请学位证书‼️3、成都师范学院可以考英语四六级‼️注意：自考是不需要线下上课的❗️还有外省的同学需要到四川来参加考试❗️#自考##自考本科##四川自考#广东自考#小自考#江苏自考#广东自考#广东自考,0,0,0,四川,成都,四川,中国
2,5022299801256349,昆明市教育体育局,2024-04-12 11:37:24,#昆明教体新闻# 【“科教兴国，乡村振兴”助力城乡教育优质 均衡发展公益捐赠活动在县教体局举行】4月8日下午，陶行知教育基金会在县教体局举行公益捐赠活动，向各学校捐赠“新东方科学实验创客教室”“家校共育”智慧学校系统，心理健康测评Saas软件系统、教师题库组卷系统、教师备课教学卡等物资。陶行知教育基金会中教英才公益基金管委会周鹏副会长、陶行知教育基金会外联部葛彩红部长，县教体局分管领导、相关科室负责人、县城片学校负责人参加捐赠仪式。（信息来源：禄劝县教育体育局网页链接）,0,0,0,,昆明,云南,中国
2,5022292109951436,中国蓝新闻,2024-04-12 11:06:51,小学教育 【#杭州一学校角角落落都在发光#】对杭州市蒋筑英学校的师生们来说，“光”这个字的意义更为特殊。我国著名光学科学家蒋筑英是学校校友，当年学校更名就是为了纪念他。在校园里，孩子们沐浴着各种“光”，仿佛能和“老学长”产生某种跨越时空的互动。比如，教学楼里挂着的简笔画，打开手电筒，会构成创意十足的“神作”。一个个来自光的浪漫，成了孩子们上学的一份期待。中国蓝新闻的微博视频,0,0,0,,杭州,浙江,中国
2,5022269884337654,西海都市报官方微博,2024-04-12 09:38:32,【中小学校园刮起“头脑风暴”——西宁市城中区首届中小学生科技创新周决赛见闻】在神奇的科学世界，感受机器人操控奥秘，体验脑洞大开的乐趣……4月11日，由西宁市城中区教育局主办，城中区青少年活动中心承办，城中区教学研究室、城中区教育局信息中心协办的城中区首届中小学生科技创新周决赛，在西宁市华罗庚实验学校举行。决赛共设5个项目，分别为计算机编程、机器人挑战赛、纸飞机飞行赛、纸桥承重比赛、制作黏土“瞭望塔”项目。比赛期间，同学们全神贯注，有条不紊地调试和操作，各种创新思维在赛场上相互碰撞。仅凭一些黏土及若干牙签，一座高塔便能拔地而起，怎么才能做到？同学们可是费了一番劲。在黏土“瞭望塔”比赛区，来自西宁市南川东路小学六年级的潘锐昕与李嘉熙分工协作、相互配合，将牙签作为框架的梁和柱，黏土揉捏成小球后作连接点，一层一层组合成“瞭望塔”的骨架式构造。不到10分钟，一个约有60厘米高的“瞭望塔”便搭建完成了。为了让黏土干得快一些，更好地保持稳定性，两个搭档就地取材，用托盘作风扇，加速黏土硬化。“在地基搭建上，我们采用了大三角形的结构，中间部分采用正方形的结构，这样会让整座塔更稳定。顶端再加上‘避雷针’，可以增加高度和美观度。”拿着自己画的主塔结构图，潘锐昕详细阐述着团队的设计理念。他说，希望最终参评的时候，“瞭望塔”可以保持较高的稳定性，获得好成绩。当黏土“瞭望塔”比赛区的同学们还在设法让高塔保持稳定时，一旁的纸桥比赛区，来自华罗庚实验学校四年级的赵明轩与王亦佳已经把制作区从桌子上挪到了地面上。两个人一个负责将纸张裁剪成所需的大小和形状，另一个负责搭建拼接，检查纸桥的稳定性和固定性。“这是一场挑战耐心的比赛，我们不断寻找方法让纸桥更加稳固。看到作品成型，所有的辛苦都是值得的。”一座平桥搭建完成，赵明轩还在纸桥上画了一条龙。随着比赛结束，赵明轩和搭档小心地托起纸桥，走向参选区。主场的比赛如火如荼，分场的机器人挑战赛及纸飞机飞行比赛也吸引了不少同学驻足观看。随着机器操控，赛场上的机器人根据指令开始行动，“抢夺”着场上的红绿小球，既有趣味性，也有观赏性。“不知道如何垃圾分类时，不用纠结，对着这个垃圾桶喊一声就会自动识别。”科技创新周决赛现场的集中展示区内，小小“科学家”带来了他们引以为傲的科创作品。其中，一款无接触的迷你声控垃圾桶引人注目，创作者是西宁市七一路小学六年级的张宝分。对着语音识别器说出“电池”，标有“有害垃圾”的红色垃圾桶便会打开，说出“剩菜”后，标有“厨余垃圾”的绿色垃圾桶便会打开，科技感十足。“实行垃圾分类后，我发现很多人不明确自己投放的垃圾类型，所以我就想设计一款能识别具体类型的垃圾桶。从学习理论知识到设计研发，花费了几个月的时间，作品上的电板电线都是我一根根接上去的。尽管失败了很多次，但最终还是成功了。”张宝分说。而她的目标是在初高中阶段进一步优化声控垃圾桶，达到能在现实生活中使用的效果。西宁市阳光小学师生带着3D打印技术制作而成的青海特色美食来到赛场，牛羊肉、土豆丝、土火锅都是用彩泥制作的。菜品装入3D打印技术的模具后，一盘青海美食便诞生了，同学们无尽的奇思妙想在科技大赛中升腾。中小学科学教育是培养科技创新人才和提升全民科学素质的基础性工作，是有效提升国家科技核心竞争力、推动教育强国建设的重要突破口。西宁市城中区教育部门从生活中的“小科学”开始，帮助同学们建立科技创新思维。西宁市城中区教育局副局长马娜说，科技竞赛活动平台的搭建，是助力课内外科学教育融合，做好科学教育加法的重要抓手，对提升全民科学素质、推动创新人才自主培养、实现高水平科技自立自强具有关键支撑作用。“青少年想象力强、思维活跃。今天，一大批具有创新精神和实践能力的中小学生展现了在科技创新方面的能力。我们会大力加强科教联合，全面提升青少年科学素质，着力培养青少年的科学精神和创新精神，使他们真正成长为未来科技创新的领军和骨干人才。”马娜说。（西海全媒体记者 吴予琴 文/图）,0,0,0,,西宁,青海,中国
3,5022076144191730,武汉教育,2024-04-11 20:48:41,#多彩校园#【高考地理如何备考，这场研讨活动中有“秘籍”】4月10日，一场以“观产业发展，探人地和谐”为主题的地理教学研讨活动在武汉市建港中学举行。本次活动由武汉市教育科学研究院主办，吸引了来自湖北省地理学会、湖北省中学地理专业委员会的众多专家以及全市各区地理教研员、高三地理教师的积极参与。活动紧密围绕高考评价体系之等级性考试备考展开，通过专题设计和专题复习课展示，为高三地理教学提供有效指导。网页链接（via.长江日报）,0,0,0,,武汉,湖北,中国
