页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5021409950304288,贝贝迪熊,2024-04-10 00:41:28,农村地区的幼儿教育师资力量明显不足。由于农村地区的教育经费有限，吸引高素质的教师前来工作非常困难。同时，由于城市的发展更加吸引人，许多优秀的教育人才流向城市。这导致了农村地区教师队伍的空缺和教师素质的不高，进一步影响到了幼儿教育的质量。 ,0,0,0,湖北,武汉,湖北,中国
2,5021409706771826,太不想工作了,2024-04-10 00:40:30,农村地区的幼儿教育师资力量明显不足。由于农村地区的教育经费有限，吸引高素质的教师前来工作非常困难。同时，由于城市的发展更加吸引人，许多优秀的教育人才流向城市。这导致了农村地区教师队伍的空缺和教师素质的不高，进一步影响到了幼儿教育的质量。三、幼儿教育观念的落后在部分农村地区，幼儿教育观念相对落后。由于长期以来重男轻女的观念以及务农思想的影响，农村地区的家长对幼儿教育的重视程度较低。一些家长认为，幼儿园教育对于孩子们的成长没有太大的帮助，因此在教育投入上存在一定的问题。,0,0,0,湖北,武汉,湖北,中国
2,5021291343512321,我不丧了还不行吗,2024-04-09 16:50:10,我说学会儿吧 图书馆进不去了 我又说学会儿吧 实验室也进不去了 有钱能不能优化一下网站啊我请问 教育经费也不知道拿去干嘛了都 ,0,5,2,浙江,杭州,浙江,中国
2,5021212650243381,塔列郎,2024-04-09 11:37:28,学校组织看电影那是教育经费中受教育的一部分，不是单纯娱乐，可不得要写学习体会，不然就没这个经费了。,0,0,1,北京,北京,北京,中国
2,5021025899648453,阳光的摇曳多姿,2024-04-08 23:15:23,#虐猫考生说不是很懂网络舆论暂不回应#寡廉鲜耻！！！我们国家的高等教育这么多年在干嘛呢？是教育经费充足到臭水沟里捡个垃圾也能重金粉饰成宝贝的地步了吗？？？呵呵，那还“过紧日子”过个屁啊，资源都能被用来培养这种败类了！我看，经费口子开得很大嘛！！！@微言教育 @兰州大学 @东南大学,0,1,4,山东,青岛,山东,中国
2,5020935112887323,衡水税务,2024-04-08 17:14:38,#税收服务高质量发展##税助发展向新而进#  划重点！企业发生的职工教育经费支出不超过工资薪金总额8%的部分准予税前扣除 划重点！企业发生的职工教育经费支出不超过工资薪金总额8%的部分准予税前扣除 ,0,0,0,,衡水,河北,中国
2,5020771447472786,小眼睛一族,2024-04-08 06:24:17,教育经费都给洋鬼子了！你生在奴隶社会，认命吧 评论配图,0,0,0,北京,,北京,中国
2,5020584231307199,红星资本局视频,2024-04-07 18:00:21,【六大行人均薪酬超30万元，交通银行人均薪酬最高达到43.55万元】三月末，六大行年报悉数披露完毕。2023年，六大行人均薪酬均超过30万元，其中5家银行均较2022年上涨（该数据包括工资、奖金、津贴和补贴以及社保、住房公积金、工会经费和职工教育经费等）。六大行中，交通银行人均薪酬最高，达到43.55万元，排名第一。中国银行人均薪资排名第二，人均薪资为35.78万元，相较于2022年的33.54，同比增长6.68%，是六大行中涨幅最大的银行。建设银行人均薪资排名第三，为34.32万元，相较于2022年的35.99万元，有所下降，同比下降4.64%，是六大行中唯一下降的银行。人均薪酬排名第四的是工商银行，人均薪酬34.24万元。农业银行人均薪酬排名第五，去年人均34.118万元。邮储银行以32.98万元的人均薪酬排第六位。（上游新闻） 红星资本局视频的微博视频,0,0,1,,成都,四川,中国
2,5020554413736284,山西教育招生考试,2024-04-07 16:01:51,【山西省教育投入创新高】2023年，山西省一般公共预算教育支出首次超过900亿元，达到913亿元，年增长率6%，在全国31个省区市中排名第八，再次跻身全国前十📈。此举展示了山西省持续增强教育经费投入的决心，即便在财政收支紧张的背景下，也确保教育投入只增不减，力促教育高质量发展。#山西教育#投入增长#质量发展#（来源：山西日报）,5,0,4,,太原,山西,中国
2,5020158759797209,老李校长,2024-04-06 13:49:41,教育在开放的经济时代是投资在冷战经济下行的时候是赔钱政府未来肯定先砍教育经费学校关停并转，老师下岗分流普通人家慢慢也不投教育了投那么资源在娃的教育上也找不到好工作本都收不回来大家慢慢的回到80年代以前的思维以前的人不投教育不是人家傻是投教育也没用小孩早早出去给家里挣钱养家才行未来就是这个样子未来就是学个技术学个手艺无论是老龄化的中国，或者跑英联邦国家当蓝领都过的不错现在最不缺的就是读个文科，商科，只会打嘴炮的高学历的废物——老李校长,9,8,23,上海,,上海,中国
3,5020472405918935,风闻社区,2024-04-07 10:36:00,#四川一校长嗜赌成性#，打麻将一晚输赢7、8万，被查后表示“要想狗不吃屎除非把狗打死”。 #四川一校长嗜赌成性4年挪用教育经费210余万# 观察者网微丢视频的微博视频 ,5,5,18,,,上海,中国
3,5020146005967135,拆台CT,2024-04-06 12:59:00,#两公费师范生违约被通报#   公费师范生违约，现有的处罚是退还教育经费，并缴纳相应违约金。  此外还有公布违约记录，并计入人事档案。  要我说，应该取消其学位毕业证吧？    拆拆的台 ,8,38,143,四川,成都,四川,中国
3,5020254335664690,喝红茶的三叔,2024-04-06 20:09:28,这是湖南一个县2022年（非2023年）的人口，财政，教育经费开支。全县常住人口50.5万人，出生3247人，死亡4403人。死亡人数远超过出生人口，明显的人口减少趋势。全县财政收入12.8亿元，上级补助38.2亿元。教育经费支出10.36亿元。如果没有补助，教育经费得是80%了。这条不是说教育，是说社保。你想想，现在能用大量补助支持教育，难道以后就没有大量资金补助养老基金吗？我一直认为，不交社保的人是傻的。,9,49,229,浙江,杭州,浙江,中国
3,5019863657747074,生椰抹茶小丸子_,2024-04-05 18:17:03,我以为文章的钱是从老师的教育经费里出的，没想到是妈妈付的😭😭😭现在我好像也没有什么报答的方式，如果有什么能让我妈开心的话，一定是考上研究生🥺🥺🥺 ,0,0,0,江苏,常州,江苏,中国
3,5019757285476106,samil丿iang,2024-04-05 11:14:22,"【史上最牛上访】47年因教育经费删减，上海交大三千学生要进南京上访，但北站火车停开不卖票。学生在厂房找到一个车头和27节车厢，由机械工程系自行DIY组装并开出车站；政府大惊拆掉一段铁路，土木工程系利用路边工具材料重新铺好,政府又拆一段并收走材料,学生拆掉火车后段铁路补前段。 ",0,0,0,广西,,广西,中国
3,5019502428032129,幺幺推wen,2024-04-04 18:21:39,女主刚回国，直接被奶奶送去相亲。“姜小姐，我希望结婚后，你能当全职太太，每个月我会给你五十万的生活费，不能干涉我的私生活，这包含了家庭日常开销，小孩的教育经费.…”姜漾安静地听着相亲的男人说完，心里想着，奶奶到底从哪找到的奇葩，她看上去很穷？“抱歉，我们不合适！”女主说完，礼貌的一笑，站起来准备离开。“我目前没有结婚的打算，抱歉。”女主听到熟悉的声音，转头看向旁边桌，卫庭筠？眨了下眼睛，云城那么小，相亲还能碰到前男友？一个小时后，女主站在民政局门口，看着手中的结婚证，心想，怎么就答应他的协议结婚了？“我要出差一周，回来后我们再去拜访长辈”女主看着离开的车，心里想：逃得还真快.•男主坐在车上，打开结婚证，黑眸深不见底，他找了五年的人⋯•#小说#,0,1,1,吉林,长春,吉林,中国
3,5019444021824792,非主流教育专家刘博士,2024-04-04 14:29:34,我的马甲是 @大熊湖的春天 年入百万的家庭，孩子享受的是什么样的教育资源？年入百万税前，到手74万。如果你说的是到手100万，那税前要140万了。按照我的看法，在孩子身上投入的教育经费，不能超过家庭收入的三分之一。也就是25万。如果按照一个孩子算，上私立学校，差不多15万（含各种杂费开销），业余特长班5万，旅游和游学费用5万。别的地方我不熟悉，北京上海，15万元的学校，是第三档。第一档：30万人民币+第二档20-30万人民币第三档10-20万第四档10万以下 注：这里说的档次是按照费用分。有些很牛的学校，收费是第三档的。,1,0,4,上海,,上海,中国
3,5019436390025078,西安月老牵线,2024-04-04 13:59:15,西安月老牵线#互动问题# 女网友:昨天的离异有孩男生，让我问问大家，尤其是女生，他适合找个什么样的女生？或者什么样的女生和他匹配？男，35岁，离异有男孩，男孩跟着爷爷奶奶在老家，老家在常州，教育经费爷爷奶奶可以包到大学毕业（包括留学费用），身高181体重80，硕士，有上海户口，年入30。上海有房无贷，内环三房，价值1千5百万。独生子，父母资产5千万。许多人关心离婚原因，男生说主要是性格不合，大家都有错，离婚对双方都是解脱，只是对不起孩子。每周都会回常州老家看孩子。愿意给彩礼50万+，房子无贷不愿意加名字。要求女生：学历本科，年龄30左右，未婚。颜值在前30%。大家说说看~~~,0,2,1,安徽,安庆,安徽,中国
3,5019152445605925,方银行财税老师,2024-04-03 19:10:57,#cpa注会打卡[超话]#注册会计师#cpa税法##注会税法#  【每日三练——注会税法】 【多选】下列支出中，可全额在企业所得税前扣除的有（   ）。 A.技术先进型服务企业的职工教育经费 B.软件生产企业的职工培训费用 C.核力发电企业的操作员培养费用 D.高新技术企业的研发人员培训费用 ,0,1,0,四川,成都,四川,中国
4,5018825026703044,济宁二中谭天宇,2024-04-02 21:29:54,陶庙镇有幼儿园19所，在园幼儿1006人，专任教师45人；小学8所，在校生2800人，专任教师170人，小学适龄儿童入学率100%；初中1所，在校生820人，专任教师72人，初中适龄人口入学率、小升初升学率、九年义务教育覆盖率均达100%，财政预算教育经费350万元，占财政总支出的38.9%。 ,0,0,0,山东,济宁,山东,中国
4,5017925955618132,万热老王,2024-03-31 09:57:19,如果自己就办学一流能吸收世界各国一流学生，那无可厚非，如果只是为了完成留学生招收指标，便于申请更多的国家教育经费，那无异于手拿公款投资诈骗硬件，试图诈骗更多有限国家教育经费！说好听点叫浪费，说不好听就是诈骗！//@当年小帅V:转发微博,0,0,0,贵州,黔西南,贵州,中国
4,5017786483213595,幻糊糊,2024-03-31 00:43:06,这特么就是拿留学生公寓的幌子捞钱啊，这还不明显吗，这样有着国际名号的项目相对容易获批，反正钱来自本校与国家的教育经费。接工程的人一运作。。。你们懂得//@路诞先生:还舔洋大人呢？//@绫鸢洛憨://@骠骑尉--松亭先生:可耻的国妓主义卖国精神！,0,0,0,湖南,长沙,湖南,中国
