页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023017553891001,云南平安高速,2024-04-14 11:09:31,#春季行动# 【前车闪避后车追尾 开车时请集中注意力保持好车距】4月4日18时许，秦某驾车行至沪昆高速（西往东）1186km处时，因注意力不集中、没保持好车距追尾了前车，所幸两车人员都系好了安全带没有受伤。民警对秦某进行了严厉的批评教育和安全教育，对其违法行为依法处罚。秦某负事故的全部责任。#高速交警提示# 在高峰时段行车时，更要集中注意力，切勿分心驾驶。@湖南高速警察  湖南高速警察的微博视频,0,1,1,,昆明,云南,中国
2,5023016163738788,白婚纱与小婚礼,2024-04-14 11:03:59,家庭教育几不要1 不要只关注成绩，孩子的兴趣与心理健康同样重要。2 不要过度溺爱，培养孩子的独立性与责任感。3 不要忽视沟通，倾听孩子的心声，了解他们的真实想法。4 不要过于严厉，温和而坚定的引导更能塑造孩子的品格。家庭是孩子成长的摇篮，愿每位家长都能用智慧与爱心，为孩子创造一个健康、快乐的成长环境。#家庭教育##孩子成长##智慧育儿#,0,0,0,广西,桂林,广西,中国
2,5023014015470613,我要保护视力,2024-04-14 10:55:27,#被妈妈看到避孕套了怎么办#中国的家长大部分都是不负责任的，从性教育的普及程度可以看出来。 ,0,0,0,广东,广州,广东,中国
2,5023012544316602,兵团长安网,2024-04-14 10:49:36,#国家安全我们守护#【达布达尔边境派出所开展全民国家安全教育日“三进”宣讲活动】在第九个全民国家安全教育日，新疆喀什达布达尔边境派出所民警进牧区、进校园、进边企向辖区干部群众、校园师生、抵边工人讲述国家安全的重要性、急迫性以及公民责任感。（张晨光） ,5,5,11,,乌鲁木齐,新疆,中国
2,5023011623406178,正版夜风吹1031,2024-04-14 10:45:57,不想当个委屈的好姐姐那就拒绝一些事情要不然过度的顺从和纵容只会养成不知感恩的白眼狼俗称   吃力不讨好惹一肚子气是妹妹怎么了我就得天天惯着了去她大爷的一直被父母灌输是姐姐就需要让着弟弟妹妹可是那是他们的孩子不是我的孩子我没有去承担养育孩子，教育孩子的责任责任转嫁我现在愈发感觉我爸妈真的是个只谈奉献和责任不谈待遇的CPU大师我之前感觉我姥爷是CPU大师后来发现他们是一脉相承啊呸想得怪美把我给吃干榨净啊呸然后在那边说什么 你是我的老大怎么怎么你是大姐怎么怎么转头一股脑全给自己的其他小孩别说什么家里穷家里穷有穷的活法富有富的活法不爱就是不爱找什么垃圾借口冠冕堂皇虚伪至极呵呵哒,0,0,0,河南,郑州,河南,中国
2,5023007950766963,静谧豁达,2024-04-14 10:31:21,"《寿康宝鉴》节选（求子三要）人间有多少人是想求子都求不得，又有多少人是想生出个贤良儿女但却生了个不孝子，甚至是坏种。就算勉强是求子得子，又有多少人无心无力教导小孩，甚至不知如何教育小孩。没有尽到责任！《求子三要》这篇文章明确告诉大家了，关于如何求子得子，如何生出一个身体健康的小孩，如何教育小孩成为一个品性贤良的人。一般来说，母亲的责任是最重要的。第一节制性欲，保养身体，为胎儿培育好先天条件。第二勉力实行郭伦尽分，积累功德，为孩子立好福德。第三作为作好胎教和幼教，以免孩子长大后心无主见，随波逐流这三点要事,务必切实遵行。在以致诚心，礼拜、称念观世音菩萨，祈求赐给有福德智慧、能光耀祖宗、贡献国家社会、有德有才的贤良儿女。这样去做，一定能所求如愿，不辜负大士圣恩！#求子##传统文化##寿康宝鉴##家庭教育##胎教#",0,0,0,福建,漳州,福建,中国
2,5023004541586592,想到沙漠开吉普,2024-04-14 10:17:48,有时候研究八字和案例发现，三姐这个路子的人女生，嘴甜，很甜美，和风细雨如沐春风但缺点是不上台面，心不正，没有内核撑家和担起后代教育的责任；正妻这个路上的女生整体很刚强，很多都男生性格，烈，有攻击性但是心正，能扛事，有风雨会跟丈夫一起抗着 阴阳太极才能转动起来。 ,1,0,0,河南,郑州,河南,中国
2,5023002658345619,您就不要管我啦,2024-04-14 10:10:19,#70后教师回应29年助养300名孩子#所以说老师这一个责任有时候不仅凸显在教育上面，连自己的身心也可以得到一个好好的教育。 ,0,0,0,广东,汕头,广东,中国
2,5023002317816647,run5xi5sheng,2024-04-14 10:08:58,是谁呢？？？是谁呢？？？是谁呢？？？……自己做自己的“分内事”没有呢？？？自己做自己的“分内事”没有呢？？？自己做自己的“分内事”没有呢？？？………不自觉遵守所受的教育人的做人做事的道理和规矩的见不得好的有非分之想的不道德的不遵纪守法的不做好人好事的不救人救世的…不承担自己的责任的有资格理直气壮的名正言顺的对好人指责上指责下的吗？？？………… ,0,0,0,四川,攀枝花,四川,中国
2,5023001619727000,奋斗-_-年轻人,2024-04-14 10:06:12,#70后教师回应29年助养300名孩子# 在他的教育哲学中，爱和责任并行，通过助养让更多孩子得以继续他们的学业和梦想 ,0,0,0,福建,福州,福建,中国
