页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023578475203052,爱小时_苏简简,2024-04-16 00:18:25,【打败高考/  现身蛋团演唱会计划】第26 篇  太焦虑了 每次焦虑最近总是控制不住自己刷手机转移注意力。显然不能解决我焦虑的事实。所以决定把手机🔒住，最近就不登手机了。  真的好焦虑。可恶的数学怎么这么难了。可恶的二模，真的给我好大压力。可恶的手机… ,0,2,0,黑龙江,佳木斯,黑龙江,中国
2,5023577630312052,春_水_煎茶,2024-04-16 00:15:03,学校组织了一场不正规的模拟考，在班里我比较靠前，但还是很焦虑。目前看来我文科占极大优势，并且力挽狂澜把我从糟糕的数学手里拽回来。可是数理化作业好多，老师要查，我又不会，导致每天文科作业几乎不写，理科作业几乎都抄。这个状态，好迷茫 ,0,1,0,江苏,徐州,江苏,中国
2,5023575048197859,向阳花开_2015,2024-04-16 00:04:48,#数学140分以上就能被知名大学锁定吗#又焦虑了 ,0,0,5,江苏,淮安,江苏,中国
2,5023569350760182,正派的娃,2024-04-15 23:42:09,#数学140分以上就能被知名大学锁定吗#我娃上小学。下周期中考试。老师焦虑，家长焦虑，就连九岁半的娃都有点担心（焦虑）万一考不好被区别对待。这种现象是个病。。。 ,0,0,0,上海,,上海,中国
2,5023561490892184,馒头cracker,2024-04-15 23:10:55,伯远xevier和汤伯远的似曾相识的梦境不同，大馒头很少做这样的梦。关于大馒头的梦做的最多的就是关于焦虑的梦，一直答也算不出来答案的数学题和怎么填也填不完的英语答题卡，虽然大馒头脱离考试已经很久了，但是梦境中的焦虑可能也与现实中的压力相匹配。有段时间在产科经历了几次大出血羊水栓塞的抢救，导致那段时间总做关于抢救的梦。后来去了妇科，这样的梦就少了很多。前一阵做实验不顺利，就开始做🐭排队来找大馒头的梦。不过按照汤伯远说的，或许大馒头也可以尝试去接纳这种既定的状态，进而走向更好的情境，临睡前小汤牌鸡汤来一口。,0,10,4,辽宁,大连,辽宁,中国
2,5023561129139849,杨猪咩咩猪,2024-04-15 23:09:29,考试之前数学坚决不写新题，不然我会染上焦虑症 ,0,0,1,湖北,武汉,湖北,中国
2,5023560592525252,Sereupity,2024-04-15 23:07:21,是这样的 历史两次第一了 这次考不好我就会非常焦虑 数学两次小测不及格了 如果这次考不好我也会非常焦虑 总之考得好也会有压力考不好也会有 这个现象从初中就开始了 infj内耗的一生 ,0,4,1,上海,,上海,中国
3,5023556734290719,来口灵丹,2024-04-15 22:52:01,每天只需要焦虑数学题难不难，今天吃什么的生活真的很舒服 ,0,0,0,湖南,衡阳,湖南,中国
3,5023552866356785,被爱着的百变小樱,2024-04-15 22:36:39,数学一下子掉了，这次到没有太焦虑，只是切切实实的一个感受：最近不学什么，那一科的守护神就会生气，让你不可能发挥好的。 ,0,0,0,山东,青岛,山东,中国
3,5023545614929407,婉慈416,2024-04-15 22:07:50,不想上学了，学校一天天的一堆事，数学跟不上，讲的快听不懂，网课讲的又有偏差，不一样，其他科老师对我很好，马上开始了，有点焦虑，我怕考不好辜负了他们的教诲（数学老师除外，他天天难嫌弃我们，讲的快，小嘴巴巴的，都听不懂说的什么），而且宿舍还不好，一天天的不想待，不待她们说，待吧我受不了。,0,0,0,山东,泰安,山东,中国
3,5023540420018870,kissnokiss-,2024-04-15 21:47:12,昨天整理东西翻到了大概一年前写的随记，那个时候生活还是有色彩的，阳光、树叶和小鸟是我每天幸福的源泉。现在每天去学校的路上都不再刻意放慢脚步看看新长的嫩叶，嗅嗅沾满露珠的花了。一起床就开始焦虑今天早上的连堂数学课和永远也不会做的物理题，和同学比迟迟没有进步的自己。现在的我就是一个断情绝爱的写字机器，能影响我情绪波动的东西都所剩无几的。为什么会变得麻木？我不想丧失感知美好的能力。,0,0,0,四川,眉山,四川,中国
3,5023536267657322,是长安月,2024-04-15 21:30:41,突然很讨厌把握自己人生道路的感觉 但是其实我清楚知道我不会因为今天多做任何一件事 就会到达我想要的终点 但是还是焦虑缠身 很讨厌学着比数学更难的数学 却在应聘被认为是形同国内陆本偏文的经济系 真是做咩 ,0,0,1,浙江,宁波,浙江,中国
3,5023533147095899,愚鱼遇雨吐泡泡,2024-04-15 21:18:18,今天的数学题真是有些难，对于基础知识尚不熟练的孩子，直接打击哭了。 我做了一遍也觉得难，忽然认识到孩子真是不可能会了，于是我也想哭。 这种充满胸腔的焦虑啊！！！真的，乳腺直接就开始疼了！ ,0,0,0,江苏,连云港,江苏,中国
3,5023523519858438,就还是木木,2024-04-15 20:40:02,儿子是懂点心理学的，今天他数学考了个70分回来，班上其他考的多的没听他说，尽是跟我说，谁谁应用题全错，谁谁应用题全部没做，最低分12分，还有谁谁40几分，30几分。这么听来，我还是真的一点都不焦虑了呢。 ,0,0,1,上海,,上海,中国
4,5023489092224660,小圆旼咚,2024-04-15 18:23:14,TF家族 数学越学越差了怎么办 快高考了好焦虑 ,0,3,0,上海,,上海,中国
4,5023481609060818,木木滴木瓜,2024-04-15 17:53:29,每当焦虑的时候，总会梦到在做数学题，不会解 焦头烂额 要不就是在考试，净是自己不会的题目 很焦虑 ,0,0,0,湖南,长沙,湖南,中国
