页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023397052417988,Ericlark学长,2024-04-15 12:17:30,如何选择靠谱的留学中介机构，需要推荐的可以按照下面格式发给我 哪个城市的机构： 天津、嘉兴 申请的国家： 澳大利亚、瑞典 申请什么项目： 世界百强名校、双学位留学 你的专业： 广告学、数据科学 想了解的机构： 慧德中介、A派国际 有想找靠谱留学中介机构可以来问我! #日本留学##欧洲留学##留学申请攻略中介机构评价反馈#,0,2,0,四川,成都,四川,中国
2,5023064486315859,爱编程的魏校长,2024-04-14 14:16:00,#给孩子第一推动力#如何让闺女具有全面的牛逼的思维模式？脑科学，记忆之道，笔记之道，错题本，刻意练习……学习方法论，她已经知道了，剩下就是更多的实践体会。如何构建合理的知识结构，上大学的时候，我也会告诉她。数据，对比，逆向思维，批判性思维，全面思维。科学研究的五大范式。商业上：产品是进化的，进化是有规律的；创新也是有规律的。市场细分；人无我有，人有我精，人精我转；自己不能革自己的命。组织一定是不断膨胀的，直到死亡。差不多，应该可以了。这是加加上中学前，我写下的一条#育儿笔记#，供大家参考。#育儿daybyday#,55,3,65,北京,北京,北京,中国
2,5023390299852077,皮皮侠学术风向标,2024-04-15 11:50:40,【学术资讯】文科生也能成为科学家！95后一作收获“科研自信”18岁以前，杨婉男从未想过自己会成为一名科学家。原因是，她从小酷爱哲学，高中学的是文科，父母辈中也没有一个从事与科学沾边的工作。高中毕业后，杨婉男来到英国爱丁堡大学读生物学；大三时她对神经科学产生了浓厚兴趣，争取到美国麻省理工学院（MIT）神经科学实验室做实验的机会；大三结束后她成功从生物学转到神经科学专业；如今，这个曾经是文科生的“95后”女孩，来到美国纽约大学医学院神经科学系教授György Buzsáki的实验室，攻读神经科学博士。从文科跨界到生物学再到钻研神经科学，杨婉男的求学和科研经历达到了令人称奇的程度。近日，杨婉男更以第一作者身份在Science上发表论文，揭示了大脑选择性记忆的生理机制。值得一提的是，这是博士四年级的杨婉男首次以第一作者身份发表文章。“现在，我想为研究记忆奋斗一生，希望能成为一名优秀的科学家。”杨婉男说。杨婉男一直秉持着这一点：永远保持好奇，永远充满热情。#数据皮皮侠##学术资讯#,0,0,0,四川,成都,四川,中国
2,5023389961949929,健识局,2024-04-15 11:49:20,#章泽天家族病史##健识在关注##健识健康# 近日，2024年科学突破奖颁奖典礼在洛杉矶电影学院举行，30岁的章泽天以女企业家的身份出席了典礼。同期她通过社交平台自曝家族病史:“其实，我家里也有帕金森基因。我摄入过多咖啡因或睡眠不足时，大拇指已经开始会有点发抖了。”最新的流行病学统计数据显示，我国60岁及以上人群中帕金森病的患病率为1.37%，且随年龄增长而升高。值得注意的是，在疾病早期，帕金森病常被误认为是肌体正常的老化过程。对此，医务人员提示，帕金森病的早期实际上是有迹可循的。研究发现，帕金森病是一种常见的神经退行性疾病，且随年龄增长而升高，影响神经系统及受神经支配的身体。由于帕金森病早期症状可能很轻微，因此常被患者及家属误认为是正常的老化，不会被注意到。图源：鲁中晨报（健识局 廿十三）,0,0,5,,北京,北京,中国
2,5023379834276574,喆妈公益阅读,2024-04-15 11:09:05,#微博领读官计划##喆妈推荐新书# 《关于气候变化的10个误解》科学又好玩的气候变化漫画书，由中国社科院、中国科学院的气候专家审读并推荐；以幽默和直接的口吻，轻松有趣的漫画，科学权威的数据，剖析了关于气候变化的10种常见的误解，并告诉我们可以为保护气候做些什么。   ◎这是一本将科学知识、情景对话、统计图表与可爱的动物巧妙结合的气候科普漫画◎用幽默的漫画轻松拆解关于气候变化的10个误解，解释这个火热的议题到底是怎么回事◎适合6-99岁阅读，无论你是儿童、青少年还是成人，因为气候变化是当今世界面临的最严峻挑战之一，也与我们每一个人的生活息息相关◎入围第13届由法国高等教育、研究与创新部评选的 “科学之味”奖◎获得自然之友“玲珑计划——公民气候行动计划”的资助和支持◎由中国社会科学院可持续发展研究中心副主任陈迎研究员、中国科学院大气物理研究所魏科研究员气候专家联合审读和推荐◎科学权威：内容基于IPCC和众多权威作者的研究◎内容丰富：一座关于气候变化的知识宝库，包括气候系统的运行机制、温室气体、极端天气、碳中和、《巴黎协定》、气候模型、生物多样性、地球生态超载日、碳足迹、减缓和适应、绿色低碳转型技术……◎故事化的讲述方式：全书由一位气候专家与几个对气候感兴趣的儿童、青少年、成年人的情景对话徐徐展开，在一问一答之间将知识娓娓道来、将误解一一击破◎行动感召力：让普通人轻松掌握关于气候变化的知识，唤醒更多人的气候意识，了解可以采取的气候行动，并为每个人提供具体的行动方向◎时尚鲜艳的视觉设计：色彩缤纷、充满活力和趣味，给读者愉悦的阅读体验◎如果想进一步深入研究这个主题，书末还提供了丰富的参考文献。◎印刷采用FSC认证的可持续纸张和绿色环保油墨，尽力减少碳排放入围：第13届由法国高等教育、研究与创新部评选的“科学之味”奖2022年法国威立雅（Veolia）基金会环境图书奖资助：获得自然之友“玲珑计划——公民气候行动计划”的资助和支持获得法国对外文教局版税资助计划的支持,2,2,2,湖南,长沙,湖南,中国
2,5023378415029053,烟台市蓬莱区融媒体中心,2024-04-15 11:03:27,“中国天眼”——500米口径球面射电望远镜（FAST）又有新发现！利用“中国天眼”的丰富数据，中国科学院国家天文台李菂研究员带领团队提出了一种全 网页链接 ,0,0,0,,烟台,山东,中国
2,5023371186931688,中土哥,2024-04-15 10:34:43,为了找到辱骂萨卡的球迷，阿森纳已经开始与数据公司进行合作。据悉，阿森纳此举是为了找到一名在社交媒体上对萨卡进行辱骂的种族主义者。阿森纳已经联系了推特方面的管理人员，要求对涉事的帖子进行删除。目前，他们正与数据科学公司Signify合作，来寻找这名球迷。据了解，该公司将会使用人工智能技术来识别有越界行为的球迷。去年，18名阿森纳的会员因为不当的行为而被俱乐部禁止观看比赛。昨天，伦敦大都会警察局也证实了该消息，但他们表示目前还没有逮捕任何人。一位球迷表示，萨卡需要一些教训，否则他将会继续破坏这项运动。这是发生在阿森纳2-2战平拜仁的欧冠比赛之后，萨卡在那场比赛的最后时刻与诺伊尔在禁区内有接触，他想借机要一个点球。据《太阳报》报道，在接受相关举报后，推特并没有删除这条帖子，他们坚称其“没有违反安全政策”。阿森纳的一位消息人士表示：“维护球员的利益是我们的首要任务，我们工作现在全部的重点都在支持萨卡上。我们已经开始了调查，我们将会采取强有力的行动来杜绝这种行为。”,0,0,0,广东,广州,广东,中国
2,5023370002825414,今日闵行,2024-04-15 10:30:00,【#上海居民常见恶性肿瘤五年生存率达58%# 今年本市计划继续向50万居民提供免费的大肠癌筛查服务】4月15日-21日是第三十五届上海市肿瘤防治宣传周，今年的主题是“综合施策，科学防癌”。最新监测数据显示，2020年上海新发癌症病例8.5万例，发病率为576/10万，发病前三位的癌症依次是肺癌、大肠癌和甲状腺癌；2020年全市有3.86万人因癌症而死亡，死亡率为262/10万，癌症仍是本市居民的第二位死因。上海已连续四十余年实施肿瘤登记监测，持续加强癌症筛查适宜技术研究和推广，常态化开展常见癌症筛查，稳步推进癌症早发现、早诊断和早治疗，改善患者生存状况。全市常见恶性肿瘤诊断时早期比例提升至40%，癌症五年生存率达到58%，处于国内领先水平，并呈稳步上升趋势。2013年，上海市启动社区居民大肠癌筛查，至今已累计筛查589万人次，发现癌前期病变患者9万余人，大肠癌患者约2.5万人，诊断时早期比例达46%，高出未参加筛查患者30个百分点。通过社区筛查检出的大肠癌患者5年生存率达到了85%，较同年全市50岁以上大肠癌患者生存率高出21个百分点，大幅延长了大肠癌患者生存期。今年，本市计划继续向50万居民提供免费的大肠癌筛查服务，推动早日实现“50岁以上人人参加一次大肠癌筛查”的目标。（新闻晨报）,16,0,0,,上海,上海,中国
3,5023364814476730,职称论文_专著,2024-04-15 10:09:24,《企业改革与管理》 F经济刊，中国人文社会科学引文数据库收录，知网万方收录，5400字符3P， 征收企业相关方向文章。 栏目设置：管理观察、案例分析、人力资源、商业金融、财务审计、企业文化、产业观察等。 ,0,0,0,河北,张家口,河北,中国
3,5023364590603846,知识分子,2024-04-15 10:08:31,"【#美国本地人不愿做博士后了吗# 在美国，本地人已经不愿意做博士后了？】根据美国国家科学基金会（National Science Foundation,NSF）的最新数据，在美国博士后这一学术界的中坚力量正在流失。一些PI表示现在博士后的招聘越来越难，科研项目不得不推迟，尽管经费在缩水，大学迫于压力仍开始考虑提高工资和福利待遇。根据美国国家科学基金会（NSF）近期发布的《2022科学与工程专业研究生及博士后调查》(Survey of Graduate Students and Postdoctorates in Science and Engineering, GSS)数据，2022年秋季，美国机构雇佣的科学、工程和健康（Science, Engineering and Health，简称SEH）领域博士后人数为62,750人，比前一年下降了约1%。这个变化看起来不大，但美国博士后人数从2019年达到顶峰之后，已经出现连续多年的下滑。2020年至2021年间，NSF此项调查涉及的机构博士后人数一共下降了2,353人，下降幅度达到3.6%。自2019年以来，博士后人数减少了2,033人，下降幅度达到5.2%。一旦按照国籍对博士后群体进行分类，其间的差异便显得尤为突出。从2021年到2022年，美国公民和永久居民选择做博士后的人数从29,755人下降到27,289人，下降了8.3%，这一降幅是自1980年该调查开始以来年度降幅最大的一次。与此同时，持临时签证的博士后人数却上升了5.6%，从33,573人增加到35,461人，与2020年的水平大致相同。对于有出路有选择的美国本地人来说，博士后似乎在成为一个越来越没有吸引力的选项。Science的一项调查，从研究人员的角度印证了博士后流失的现实。当时他们联系了100多位美国研究人员——他们在科学协会的招聘网站上发布了博士后职位的招聘广告。有37位研究人员回复了Science记者，其中四分之三都表示在招聘方面遇到了挑战。“今年的情况让我很难接受：……我们的招聘信息完全没有得到回应。”其中一位写道。“申请人数比 2018到2019 年少了10倍。”另一位写道。这些遇到招聘困难的学者涉及 STEM各领域，包括生物医学、化学、环境科学、人类学、物理学和计算机科学。一些学者表示，不仅博士后申请数量不足，申请质量同样下降了。一位学者写邮件给Science表示他已经做了两轮招聘，花了半年时间才招到合适的候选人，而过去他只需要用一个月的时间。详情戳下方链接查看↓↓在美国，本地人已经不愿意做博士后了？#博士后##美国#",8,1,10,,上海,上海,中国
