页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022403310649815,加梨不加糖_,2024-04-12 18:28:44,吗的终于把这个破文献检索作业写完了。 ,0,0,0,江苏,扬州,江苏,中国
2,5022277849317780,小猪小猪呼噜噜噜噜噜噜噜噜噜n,2024-04-12 10:10:10,那么颠的文献检索老师我为何忍到今天才吐槽？因为上课没时间吐槽下课还拖堂……真的好颠。颠。什么人都能读博吗？什么人都能当老师吗？三四个班的大课。你不带小蜜蜂就算了。坐第三排都听不清楚你讲。。谁整两页英文文献格式让改错啊？大姐。大姐。答应提前做完作业这周就结课呢？？大姐。怎么又加两节课。,0,0,0,湖北,荆州,湖北,中国
2,5022251516953692,热恋期都这样_,2024-04-12 08:25:33,#才知道医学生不用学毕业论文#假的，我学护理的，有专门的课，文献检索和护理研究 ,0,0,0,山西,吕梁,山西,中国
2,5022071362422665,_抹茶妹妹,2024-04-11 20:29:41,太厉害了！！！！不愧是文献检索课，在校内网站找电子书更方便了！！！ ,0,1,0,四川,南充,四川,中国
2,5022067095509919,里鹅lier,2024-04-11 20:12:44,动物一点半做到六点十分晚上无缝衔接文献检索 现在终于可以休息了 好累啊 ,0,10,1,江苏,镇江,江苏,中国
2,5022048845825230,师尊师尊你理理我,2024-04-11 19:00:13,野鸡文献害我不浅翟xl事件让知网在当时还是中学生的我的心中一举神化  觉得知网＝权威这段时间毕业论文开题，文献检索看到其中一个话题的相关文献高达几千条，于是没有一点点防备地挑了热度最高的几篇作为参考文献开始研究结果今天开题答辩的时候，老师们非常头疼地说这种说法没有权威佐证于是我  就这样  安详地  s了,0,2,1,山东,济南,山东,中国
2,5022007022849083,春有凉风秋有月,2024-04-11 16:14:01,真的要尴尬炸了，上文献检索课，老师教我们搜索专利，我和室友在下面搜寝室所有人的名字，还没搜完呢，老师继续补充，说可以看见所有人的搜索记录，接下来我们寝室所有人的名字出现在了大屏上 ,0,2,1,四川,南充,四川,中国
2,5021900181081220,halcyon-Estella,2024-04-11 09:09:28,讨厌文献检索课！！！！！！！！！！ ,0,0,0,福建,福州,福建,中国
2,5021784615945000,小权眨眨眼,2024-04-11 01:30:15,不是….没人告诉我文献检索期末作业要写论文综述啊…… ,0,2,1,江西,南昌,江西,中国
3,5021746064788298,Potatomian,2024-04-10 22:57:04,今天可以说是我开学以来最开心的一天！今天早晨上完文献检索课，中午吃到了最好吃的盒饭！四个菜全都非常好吃😋吃到炸蘑菇的那一刻我可以原谅整个世界中午去美美洗了衣服，把裤子和内衣全部都洗了，没有玩手机特别高效，然后美美睡了一个半小时的午觉出发去健身房进行了一个半小时的超强运动！太爽了太开心了，放的还是我最爱听的女团kpop，还认识了一个身材好的美女，太自由太开心了觉得皮肤都变好了！晚上又去图书馆学了三个小时今天终于明白，自身磁场一旦强，谁也没法影响你,0,1,0,辽宁,沈阳,辽宁,中国
3,5021723332182537,萧灵月_,2024-04-10 21:26:44,太好了！学会了一个文献检索的新方法 ,0,4,0,安徽,合肥,安徽,中国
3,5021696845417651,aus_dem_nichts,2024-04-10 19:41:29,不过身为獾院却几乎是全能的霍克美玲小姐！？魁地奇很强成绩也很好只要写论文就有强悍如斯的文献检索能力！？ ,0,0,1,广东,广州,广东,中国
3,5021680703376787,小猪小猪呼噜噜噜噜噜噜噜噜噜n,2024-04-10 18:37:21,我真的。很容易精神状态不稳定。导致。厌学。狂吃。嗜睡。今天一个文献检索给我整得。我的天像泼妇一样。我稳定的情绪呢。。。我真的又不想学了。。。尼玛明天又有免疫课。。 ,0,0,0,湖北,荆州,湖北,中国
3,5021660748710184,-小山眠秋i,2024-04-10 17:18:02,这节文献检索课，老师说我们吃吃喝喝聊聊天，说摄像头看的一清二楚，我们不信的话让我们看看，然后就打开让我们看，打开后同学们都开始招手，试图在画面中找到自己，老师本来让我们看看是为了威慑我们，结果同学们都当成了玩笑，有点子好笑（大学生们真可爱）（附🧅拍的图）#校园生活##迷惑行为大赏#,0,3,3,河南,,河南,中国
3,5021617237788842,医晋升咨询,2024-04-10 14:25:09,🚀 论文投稿感到迷茫？实验数据不会分析？文献检索找不到方向？别担心，我们提供专业的SCI一条龙服务，从选题到发表，每一步都为您保驾护航！🔍 我们的团队由经验丰富的科研专家组成，他们深谙学术界的风向，精通数据分析和科研方法论，能够为您提供最精准的科研指导。📈 不想错过科研前沿？想要快速提升学术影响力？选择我们的核心期刊一条龙服务，让您的研究工作事半功倍，轻松迎接每一个科研挑战！🔖 现在就关注我们，解锁更多科研秘籍，让学术论文不再是难题，而是您通往学术巅峰的阶梯！#论文期刊##核心期刊##毕业论文##SCI##论文#👉 点击进主页了解更多，让我们成为您科研路上的得力伙伴！💡,0,0,1,广东,东莞,广东,中国
3,5021581095737219,Gulugulu_didida,2024-04-10 12:01:32,文献检索 谁让你作业那么那么多的 ,0,0,0,浙江,杭州,浙江,中国
3,5021567030920594,吃一口黑心汤圆,2024-04-10 11:05:39,上文献检索课 老师说搜索论文作者结果他搜马思唯。。。 ,0,2,0,四川,,四川,中国
3,5021562253609969,手机有什么好玩,2024-04-10 10:46:40,跨专业选的课是小组作业不是个人作业我又爽了…还好还没开始做 差点就要一个人无助地进行文献检索！ ,0,1,0,上海,,上海,中国
4,5021530725550687,mino993,2024-04-10 08:41:23,关于我文献检索的兴趣，就不是从本专业出发 ,0,3,1,广东,清远,广东,中国
4,5021195957437745,慧家妈妈小食馆,2024-04-09 10:31:08,泥也要学文献检索吗？ ,0,2,1,广东,深圳,广东,中国
4,5021044911901720,小晗憨ly,2024-04-09 00:30:56,我这屎一样的文献检索以及医学英语词汇 肝炎 我：liver inflammation 百度：chronic hepatitis  第一步文献检索就要难倒我 ,0,1,0,广东,广州,广东,中国
4,5020956066321795,lnstfirisla,2024-04-08 18:37:54,如果能回到上学期我绝对不选文献检索这门课 要不是看中了他的学分我也不会像现在这样写作业写到崩溃 ,0,3,0,浙江,金华,浙江,中国
4,5020546159085818,中南大学湘雅医院,2024-04-07 15:29:04,【全球首例！医生将患者肾脏分离，切掉两个肿瘤后再回植体内】日前，中南大学湘雅医院泌尿外科牵头，血管外科、器官移植中心、麻醉科、手术室等多学科协作，完成了一台“腹腔镜肾部分切除+肾动脉瘤切除+大隐静脉移植肾血管重建+自体肾移植术”。根据文献检索，通过将患者肾脏切除分离，在离体的肾脏同时切除肾肿瘤和肾动脉瘤，然后再将肾脏成功回植到患者体内的术式，国内外尚未见报道。,3,0,20,,长沙,湖南,中国
4,5020625406005452,咸菜粥55,2024-04-07 20:43:58,有ISSN号的被EI收录的会议论文集算期刊吗？ISSN（International Standard Serial Number）是用于期刊、报纸、杂志等连续出版物的国际标准编号，而EI（Engineering Index）是工程学领域的文献检索数据库。一般情况下，有ISSN号的被EI收录的会议论文集不算期刊，而是会议论文集。期刊是指按照一定的周期（如每周、每月、每季度等）出版的连续性出版物，而会议论文集是指在某一特定时间和地点召开的学术会议上发表的论文集合。虽然有些会议论文集会被EI收录，但它们并不具备期刊的连续性和周期性，因此不能算作期刊。需要注意的是，有些会议论文集会被EI收录，并且被认为是高质量的学术论文集，这些论文集的论文质量和水平可能比某些期刊还要高。因此，在选择发表论文的时候，需要根据具体情况综合考虑，而不是仅仅看是否是期刊。#学术期刊论文发表#马来西亚理科大学#ei##论文##论文发表##期刊发表#,0,0,0,江苏,南京,江苏,中国
4,5020609803717054,屁则则,2024-04-07 19:41:58,文献检索老师真是个sb ppt不读非要摇人读 最后一节课非要点人上去检索 真他妈给你闲的 明天又有她的课 还是早八 好想死 ,0,0,0,山东,济南,山东,中国
