页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5016112802825304,大中盛唐,2024-03-26 09:52:30,政企事业群，信息化系统集成，数字化转型，软硬件系统集成，提供项目整体解决方案，包括有工业互联网智能制造，智慧党建，智慧工地，智慧交通，智慧金融，智慧教育，智慧医疗，智慧农业数字乡村，智慧水利，智慧电力，智慧园区，智慧城市以及新能源等等，技术改造升级，咨询规划设计，项目补贴申报一站式服务[發][發]唐先生15994388767微信同步,0,0,0,广西,南宁,广西,中国
2,5014491116865947,执著的老宋,2024-03-21 22:28:30,1、Kimi接入端：掌阅科技：提供数字阅读服务，拥有丰富的电子书资源。华策影视：主要从事影视剧的制作与发行，拥有强大的内容生产能力。掌趣科技：专注于移动游戏的研发和运营，提供多样化的游戏产品。海天瑞声：提供智能语音和语言技术解决方案，服务于教育、医疗等多个领域。中广天择：提供广播电视节目制作、 发行及相关服务。2、算力端：润泽科技：提供数据中心服务，包括云服务、大数据服务等。亚康股份：专注于数据中心的运营和服务，提供云计算基础设施服务。润建股份：提供通信网络维护和优化服务，支持数据传输和处理。先进数通。：提供企业级信息技术服务，包括数据中心建设和运营。3、潜在应用端：办公：万兴科技：提供办公软件和云服务。福昕软件：提供PDF编辑和阅读解决方案。金山办公：旗下有WPS Office等办公软件产品。汉仪股份：提供字体设计和字库产品，服务于出版和设计行业。医疗：润达医疗：提供医疗信息化解决方案。嘉和美康：专注于医疗健康领域的软件开发和服务。电商：光云科技：提供电子商务平台和解决方案。焦点科技：提供电子商务及相关服务。教育：科大讯飞：提供语音识别、语音合成等智能教育产品和服务。鸥玛软件：专注于教育信息化领域。佳发教育：提供教育考武信息化产品和服务。小说：掌阅科技：提供数字阅读服务。中文在线：提供网络文学阅读平台。Z法：金桥信息：提供Z法信息化解决方案和服务。,10,1,10,福建,厦门,福建,中国
2,5014084942040355,游资赵老哥v,2024-03-20 19:34:30,新出炉事项动态1、道恩股份：公司有应用到机器人制造上的改性材料，如机器人手臂尼龙材料、合金材料等。2、丝路视觉（300556.SZ）：有MR（Mixed Reality）交互内容和解决方案的相关产品和服务，目前在K12教育、职业技术教育、智能制造、智慧文旅、工业园区等领域有应用落地。3、宏德股份（301163.SZ）：公司中小型高端部件绿色生产技术改造项目主要用于风电设备、泵阀等关键零部件的生产及加工。具体信息请查阅公司2022年5月24日发布的《关于使用超募资金用于建设中小型高端部件绿色生产技术改造项目的公告》（公告编号：2022-014）。4、金信诺（300252.SZ）：公司电磁兼容仿真及设计实验室主要研究解决相关线缆及组件的系统性电磁干扰等问题。5、荣科科技（300290.SZ）：神州视翰是公司100%控股子公司，医疗客户覆盖全国超过2000家医院，在智慧门诊、数字病房、远程医疗等垂直领域位于行业前列。6、今日1只个股连续12天上涨，为艾艾精工；12只个股连续11天上涨，包括飞亚达、永悦科技、宜宾纸业等；此外，新金路连续10天上涨；中国海诚、汇得科技、歌力思等连续9天上涨。7、AI手机概念股冲高，福蓉科技再度涨停走出3连板，思泉新材涨超6%，天音控股、道明光学等跟涨。8、CPO概念午后加速回落，中际旭创、新易盛跌超4%，天孚通信跌逾3%，早盘一度涨近6%创新高。9、阿尔特（300825.SZ）：公司是国内领先的提供独立整车研发及系统解决方案的智能科技公司，已正式宣布成立AI机器人事业部，从事机器人设计服务、代工生产、AI编程智能化场景运用及飞行汽车研发等机器人行业领域的前沿研发和创新。10、爱克股份(300889.SZ)：公司通过委托第三方公司，同其合作进行设计，定制了能适用于公司生产的灯具以及云控系统的RDM芯片，目前已经申请到RDM芯片版权证书，但并不直接参与芯片的研发与生产。11、爱乐达：公司目前未涉及低空经济相关领域。12、北大医药：公司目前主要从事化学药品制剂的研发、生产和销售以及医药流通等业务。13、艾艾精工12连板，大理药业（中医药）、永悦科技（低空经济）7连板，宏达新材（有机硅概念）5连板，博信股份（机器人概念）、电广传媒（游戏）4连板，财信发展（污水处理）、北方铜业（金属铜）5天3板，新亚电子（F5G）、傲农生物（猪肉）、东风汽车4天3板。14、富信科技：公司应用于400G高速光模块的Micro TEC实现导入需要向下游光模块厂商送样验证。15、德宏股份（603701.SH）：公司暂未涉及汽车拆解业务。16、保隆科技（603197.SH）：机器人相关的传感器与公司主营业务汽车电子传感器技术领域相通，存在快速拓展潜力。公司仍在持续评估，争取拓展更多机器人领域的传感器业务机会。17、先锋新材，收关注函：要求公司说明卢先锋与贺沁铭签署股权转让协议交易背景及目的。18、博汇科技（688004.SH）：公司已适配麒麟、统信等国产操作系统，飞腾、海光、鲲鹏等国产CPU，并获得了相应的兼容性证书，在实际项目中应用。19、保隆科技（603197.SH）：公司的空气弹簧和双目立体视觉摄像头已获得头部新势力车企的飞行汽车项目定点。20、杭叉集团：目前公司暂不涉及低空经济领域，机器人领域设备已有相关产品，公司一直致力于AGV产品及智慧仓储的研发与拓展，目前已有相关成熟产品与方案，其中叉车式AGV种类及销量均为行业领先。21、赛升药业(300485)：公司参与了京津冀“3+N”联盟药品集中采购和广州交易集团有限公司开展的易短缺和急抢救药品联盟集中带量采购工作，公司产品脱氧核苷酸钠注射液和盐酸精氨酸注射液分别中选。22、华测检测(300012)：公司在低空飞行器领域的主要业务有无人机的环境可靠性试验、电磁兼容试验、有害物质检测等服务。,30,30,194,广东,韶关,广东,中国
2,5011471589444457,蘑菇的二姐,2024-03-13 14:29:58,没想到联想在智慧教育这块深耕了这么多年啊。未来教育一定是智能化的，科技与教育结合，一定能教育行业带来新的活力。2024年3月7日，浙江丽水举办了“新IT 新算力” 2024联想东南大区智慧教育沙龙，探索科技与教育的深度融合。现场看到联想在AI生态、教育智能解决方案等领域的最新进展，还是蛮惊喜的。联想这一系列基于人工智能的创新产品，还是引起了不少关注。联想在智慧教育领域的深耕与探索，为教育行业的未来带来新的可能性。一想起未来教育生态全面走向智能化，想想都挺激动的。,19,15,124,浙江,杭州,浙江,中国
2,5011463433357911,Tech产经网,2024-03-13 13:57:34,【“新IT 新算力”】2024年3月7日，浙江丽水举办了“新IT 新算力” 2024联想东南大区智慧教育沙龙，探索科技与教育的深度融合。活动展示了联想在AI生态、教育智能解决方案等领域的最新进展。现场还展示了一系列基于人工智能的创新产品，吸引了众多与会者的关注。这一盛会标志着联想在智慧教育领域的深耕与探索，为教育行业的未来带来新的可能性。联想作为科技领域的领军企业，将继续引领智慧教育的发展潮流，为构建更加智慧、高效的教育生态贡献力量。 Tech产经网的微博视频,69,17,253,,北京,北京,中国
2,5011105249758228,中国教育新闻网,2024-03-12 14:14:16,【人工智能助力信息科技教育解决方案在合肥发布】近日，人工智能助力信息科技教育解决方案在安徽合肥发布，方案以课程标准为纲领、实验教学为核心、认知大模型技术为支撑，聚焦“人工智能+”赋能信息科技教育新模式探索，旨在解决信息科技学科的教、学、评难题。据了解，该解决方案目前已在安徽、湖北、四川、广东等地39所学校进行规模化试点，覆盖178位信息科技教师，16300名学生。合肥市教育科学研究院教育信息化应用研究中心主任田钰介绍早在2014年国家启动新一轮课改，合肥市就开始了课程改革探索实践，基于合肥市国家级高中“双新”示范区建设的经验、合肥市区域STEAM教育教学实验，逐步建立专业化骨干教师团队进行课程研究与推进，提炼出基于核心素养的大单元教学策略，并汇聚了一定规模的优秀课例资源。以《人工智能赋能教育创新是教育强国建设的紧迫任务》为主题，国家教材委员会科学学科专家委员会委员、教育部义教信息科技课程标准研制组组长、北京航空航天大学教授熊璋介绍了世界数字教育发展趋势、中国数字教育发展战略。他强调，要通过人工智能改变学、改变教、改变师生交互、改变教育治理，激发新质生产力。教育部义务教育信息科技课程标准研制组成员、华中师范大学教授吴砥指出，数字素养已成为数字时代人才的必备素养，信息科技课程是培育数字素养的关键性基础课程。他从信息科技课程教学的现状与问题、创新路径及评价改革方向三个方面，结合案例展开，并提出根据信息科技课程“科”与“技”并重的特点，改造教育环境，重构教育资源，创新教育方法。作者：方梦宇,1,0,0,,北京,北京,中国
2,5010060146638874,庚子归拙斋,2024-03-09 17:01:23,人工智能助力信息科技教育解决方案发布会，熊璋、吴砥教授分别从人工智能国际趋势，我国战略和学校课程实施等角度演讲。 ,0,0,0,山东,枣庄,山东,中国
2,5009317464114873,墨贡科技,2024-03-07 15:50:15,盱眙县农业农村局领导一行莅临墨贡科技3月6日上午，盱眙县农业农村局领导一行莅临墨贡科技参观指导。墨贡科技作为一家专注于技术服务和文化艺术推广的互联网科技企业，一直致力于为书法教育提供智能化、信息化的解决方案。在公司负责人介绍下，盱眙县农业农村局领导一行先后参观了墨贡科技的多功能展厅、文化走廊、研发中心、设计部、企划部、教研部等企业办公区域。墨贡科技相关负责人向领导介绍了公司的发展历程、核心技术、产品及解决方案。领导对墨贡科技在书法教育领域的创新给予了高度评价，并对公司在推动书法教育现代化、科技化所做的贡献表示肯定。墨贡科技将以此为契机，继续深耕书法教育领域，推动实现优质资源的共建共享，传播中华书法文化。#墨贡科技#,0,0,0,浙江,杭州,浙江,中国
3,5008868114176375,love舍得369,2024-03-06 10:04:41,【软通动力🇨🇳】：作为鸿蒙生态全场景解决方案提供商，目前公司已与各行业100余家设备厂商建立了生态业务合作，涵盖智能家居、运动健康、智慧出行、办公教育、影音娱乐等领域。公司基于OpenHarmony研发的WiFi HarmonyOS Connect模组获得了华为颁发的“HarmonyOS Connect生态模组技术S级技术认证”,0,0,1,福建,福州,福建,中国
3,5008679417940387,半杯馊茶,2024-03-05 21:34:53,人工智能将是未来企业的重要发展方向，比如人工智能+医疗、人工智能+教育、人工智能+制造等。通过将人工智能与各个领域相结合，可以带来更高效、更智能的解决方案，提高生产力和创新能力。#周鸿祎称将全情投入人工智能加# ,21,29,51,四川,成都,四川,中国
