页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5020298621749546,环球红酒之旅_Plus,2024-04-06 23:05:27,GPT-5红队测试开始，传将于今年6月发布这几天，网上陆续有多人晒出了OpenAI发给自己的红队录取通知书。这意味着该模型正在进行一系列的安全性和性能评估。红队测试通常由专业的安全团队进行，他们使用各种方法和技术尝试找到并利用系统的潜在漏洞。这样的测试对于确保人工智能系统的安全性至关重要，有助于开发团队在正式发布前识别和修复可能的安全问题。通过这种严格的测试过程，可以提高系统的可靠性和用户的信任度。安全测试对于新版GPT如此重要的原因，一方面是ChatGPT已经有了非常大的用户数，如果在安全性上出问题，OpenAI可能也会面对像谷歌一样的舆论压力。另一方面，To B业务是OpenAI的主要收入来源，定制化的ChatGPT能大大增强各个企业的业务能力和效率。有人表示，红队测试会持续90-120天。此前有传闻说，GPT-5将于今年6月发布。看起来，红队测试与模型发布的时间线十分吻合。有人总结了目前关于GPT-5和红队的最新传闻，大致要点如下——-OpenAI预计于今年夏天发布GPT-5，部分企业客户已收到增强功能的演示；-GPT-5「实质性更好」，相比GPT-4进行了重大升级。它需要更多的训练数据；-GPT-5的潜在功能包括生成更逼真的文本、执行翻译和创意写作等复杂任务、处理视频输入以及改进推理；-Sam Altman表示，GPT-5仍在训练中，没有确切的发布日期，广泛的安全测试可能还需数月。然而，他确认OpenAI今年将「发布一个惊人的新模型」。Sam Altman在多个场合提到了GPT-5的开发。他在世界经济论坛上表示，OpenAI的下一个大型模型将能够执行许多任务，并且具有“通用智能”，这可能意味着GPT-5将比现有的模型更加智能。此外，他也提到了GPT-5将具备的新功能，如高级推理、更好的图像分析和视频功能等。此外，有关GPT-5的预期功能，包括更好的语音模型、视频模型、推理能力，以及更高的费率限制等。OpenAI还在努力使下一代ChatGPT更具定制化和个性化，能够了解用户、电子邮件、日历等，与其他外部数据源连接。不过，在万众瞩目期待GPT-5面世的呼声中，也有一些不一样的声音。比如有人觉得，GPT-5无法驾驶你的汽车，GPT-5无法解决核聚变问题，GPT-5无法治愈癌症......另外，我们对模型的追求，非得是更智能吗？更便宜、更快、更不费水电的模型，可能比单独的GPT-5更有革命性意义。#chatgpt##gpt-5将于今年年中发布#,0,0,0,广东,广州,广东,中国
3,5019390636459178,中国三峡集团,2024-04-04 10:57:26,【三峡发展公司一项成果在全国制造业智能化解决方案创新大赛中获奖】3月30日，首届全国制造业智能化解决方案创新大赛在重庆市落下帷幕。由三峡集团所属三峡发展公司工程检测中心报送的“升船机钢丝绳无损检测系统”经过现场路演与答辩，在技术专家、产业生态专家组成的评审团评估后，从78项入围作品中脱颖而出，荣获大赛“智能检测装备创新”赛道优秀作品奖。@科技日报@国资小新,1,0,5,北京,北京,北京,中国
3,5019096841717719,中国教育报,2024-04-03 15:30:00,【用好AI助教提升高校教学质量】近日，清华大学以“千亿参数多模态大模型GLM”为平台与技术基座，研发出多个AI助教系统，服务不同学科领域师生。这些AI助教系统不仅能够提供24小时的个性化学习支持、智能评估和反馈，还能辅助学生进行深入思考，激发学习灵感。据悉，2024年，清华大学将开展100门人工智能赋能教学试点课程，利用人工智能辅助或深度介入课程，打造人工智能助教、人工智能教师，持续创新教学场景，提升课堂教学效率与质量。    AI技术在教育领域中融合应用乃大势所趋。目前，AI助教作为人工智能技术深入到教育教学和管理全过程、全环节的生动体现，具有重要的示范应用和推广价值。传统的信息化教学主要依靠多媒体和在线技术平台，在实践中常常因教师数字素养不高、大学生学习积极性主动性难以调动、大学生学习表现性评价功能较为薄弱等问题而未能得到深度的推广应用。随着数据存储与计算能力的快速提高、核心算法的不断突破，人工智能技术支撑下的智能化教学条件将进一步拓展教学互动空间，推动教学方法和教学评价的创造性应用。正因为如此，AI技术的应用正在逐步改变传统的教学模式，赋能教师的教和学生的学，深刻影响高等教育教学方式方法变革，为教育教学带来新的机遇和挑战。    尽管目前AI技术还在试点过程中，但高校借助AI工具实现了科学的课堂重构且成效显著，足以证明其广阔的发展空间。一方面，AI助教的应用释放了教师和真人助教的时间，使人工智能与教育教学深度融合，既满足了学生的个性化需求，又能够让教师专注于完成机器无法替代的教学环节。当下，教师在任教过程中，需要根据学生的课堂表现采用手动记录、人工反馈等方式进行过程性考核或诊断性评价。教师要花费不少时间和精力在学生学习表现的数据收集与整理上。而AI助教可以随时调用数据且不受其他外界信息的干扰。这种AI技术恰好可以把教师从简单重复的工作中解放出来，集中精力关注学生的个性化和深层次的发展需要。    另一方面，人工智能技术在实践应用与检验中不断升级迭代，充分适应教育高质量发展需要，有助于创造一个更加包容的教学环境。目前来看，AI助教系统主要是用来辅助学生完成大作业和给出评价反馈信息。这种让学生亲身感受AI魅力的体验，有利于激发他们对知识的求索精神和对科学的探究欲望。尽管学生对AI助教的需求各不相同，但AI助教在内容的准确性、反馈的建设性等方面并不逊于真人助教，而且在信息的即时性和针对性方面甚至更具优势。毕竟人工智能技术面对复杂的教学环境可以突破人脑的思维惯性和行为惰性。可见，智能化教学场景可以为教学全过程赋能并为提高教学质量和效率提供支持。    随着越来越多的高校将AI助教系统应用在多样化教学场景中，人机互动的教学新模式将更加完善。特别是把人工智能技术和教育教学全过程有机结合起来，让大学生主动地学、让教师创造性地教，使教务部门高效地做好教学管理和优质服务，创造出人机协同、多方共赢的育人场域。    当然，在教育场景中用好AI助教还要警惕技术陷阱。AI助教面对数量较多、个性多样的学生能够针对性提供信息与思路，解决一些基础问题。但是目前AI的智能水平有限，知识量丰富却思想性不足。因此，在AI助教的使用过程中，师生都应保持主体性和理性。面对人工智能技术在高等教育中独特的应用优势，高校要重视培养大学生的数智思维，让其具备与人工智能协作的能力。毕竟大学生的社会性和情感性发展不能委托给AI助教，他们与真人之间的深层互动是AI技术所不能替代的。    总之，在人工智能技术快速进化的时代，高等教育应与技术领域密切合作，共同推动人工智能教育的发展，实现教育的优质公平和社会的繁荣进步。高等教育要用好AI助教变革和超越传统课堂教学，明确人工智能技术的基础应用和进阶应用，优化现代教育教学条件，加强教育数字化背景下人工智能的合理规范和监管，更好地推动教育改革创新和教育资源共建共享。  （作者：陈武林 系深圳大学教育学部副教授）,1,0,0,,北京,北京,中国
3,5017757840048918,游戏圈资讯君,2024-03-30 22:49:17,微软新AI专利获批：帮老板追踪、评估你的工作表现，判断员工是否“摸鱼” 根据美国商标和专利局（USPTO）公示的清单，微软获得了一项关于人工智能的专利，可利用AI系统基于员工对文档的处理，洞察员工修改、删除、添加等操作情况，从而判断员工在工作中是否“摸鱼”，或者努力工作。微软在该专利中表示，现有技术无法准确描述员工和文档之间的关系，因此无法区分哪些员工只是做了少量编辑，哪些员工对文档内容作出大量贡献。微软希望借助 AI 工具洞察这种文档关系，希望未来 Microsoft 365 不仅能跟踪员工的活动，还能对其进行报告。#游戏新星媒体扶持计划#,28,12,163,陕西,西安,陕西,中国
3,5017517495943788,爱可可-爱生活,2024-03-30 06:54:15,【三层评估法则：快速迭代，系统优化AI产品】- 构建语言模型产品的成功关键是快速迭代。必须具备评估质量、调试问题和改变系统行为的流程和工具。   - 评估系统有3个层次：单元测试、人工和模型评估、A/B测试。单元测试成本最低，频率最高。   - 单元测试要包含特定功能的场景和通用场景，要不断根据新出现的错误更新。还要用语言模型生成测试用例。   - 日志记录对话是模型评估的先决条件。要使查看数据无障碍，构建特定领域的数据查看和标注工具。定期人工评估样本很重要。   - 可以用更强大的语言模型做自动评估。要跟踪模型和人工评价的相关性。自动评价也可以用于合成数据。   - A/B测试确保AI产品驱动了预期的用户行为。当AI产品较成熟时再考虑。   - 评估系统为微调和调试解锁能力。大部分微调工作是收集高质量数据，评估系统已具备数据生成和整理引擎。   - 评估基础设施可重复使用于调试。可快速定位、复现错误，评估解决方案的效果。点评：  - 作者基于多年从事语言模型相关工作的经验，指出鲁棒的评估系统对AI产品的成功至关重要，这一观点非常中肯和实用。  - 文章强调了快速迭代对AI成功的重要性，并提出了质量评估、问题调试等必备流程和工具，为AI产品开发提供了清晰的指导。  - 作者将评估分为三个层次：单元测试、模型和人工评估、A/B测试，这种分层思路有助于系统地开展评估工作，提高评估的针对性和有效性。  - 对于第三层A/B测试，作者建议要谨慎对待，只有在产品足够成熟时才适合引入，这体现了作者对AI产品负责任开发的重视。  - 文章还提到了评估AI子组件(如RAG)的重要性，这为进一步优化和改进AI系统提供了思路。  - 作者强调评估系统不仅能加速迭代，还能解锁微调和调试能力，从而大幅提升AI系统质量，这一观点具有启发性，值得AI从业者深思。《Your AI Product Needs Evals - How to construct domain-specific LLM evaluation systems.》 网页链接 #机器学习# #人工智能#,37,1,25,北京,北京,北京,中国
3,5016882300059941,合肥班长,2024-03-28 12:50:11,根据安徽中信惠远V估价智能评估系统监测2024年2月份全市九区均价有所下跌，跌幅最大的为滨湖区，全市均价16975元/㎡，环比下跌0.53%。 ,11,8,23,安徽,合肥,安徽,中国
3,5016910003700777,有六顶思考帽,2024-03-28 14:40:17,华为智能驾驶系统具备环境识别和自动避障功能，通过车载传感器和摄像头感知周围环境。遇到紧急车辆如救护车、消防车时，系统能自动识别并执行避让操作。这一过程涉及对交通状况和道路条件的实时评估，计算安全避让路径，并控制车辆沿该路径行驶，确保紧急车辆优先通行。此功能提升行车安全，减少交通事故，并优化道路通行效率。 有六顶思考帽的微博视频,8,6,95,广东,东莞,广东,中国
3,5016995766734785,魔法小荟,2024-03-28 20:21:05,微软近日获得了一项人工智能专利，其基于员工对文档的处理，能帮助老板评估员工的工作表现。该AI系统收集员工在指定时间内对文档的活动数据，以判断他们在工作中的表现。人工智能行业专利申请显示增长趋势。2014年至2021年，中国人工智能专利申请数量逐年上升，2021年达到44780项的最高峰。专利公开数量从2014年的986项上涨至2023年的55986项。在人工智能企业专利信息中，发明为主，拥有发明信息的企业有1263家，申请实用新型的企业有1043家。全球管理咨询机构麦肯锡发布的报告显示，以AIGC为代表的AI技术将给全球经济带来超过7.9万亿美元价值。,0,0,0,加拿大,,加拿大,加拿大
4,5016961750928622,睢宁县技师学院,2024-03-28 18:05:55,热烈祝贺江苏省徐州市祥祥房地产评估公司钦王成同志通过江苏省人社厅高评委副教授级（副高）建造师评定。论文1：国家级杂志《中国房地产业》2021.10全文第一作者发表《GIS系统在城市规划土地中的应用》。论文2：《建筑电气系统中智能照明技术的集成与优化》本次提交省厅高评委专家组。 睢宁县技师学院的微博视频,0,0,0,江苏,徐州,江苏,中国
4,5016922290919308,全球IT数码排行榜,2024-03-28 15:29:07,#微软新专利可帮老板评估员工表现#美国商标和专利局（USPTO）最新公示，微软成功获得一项关于人工智能的专利。该专利描述了一种利用AI系统评估员工工作表现的新方法。系统通过收集员工处理文档的活动数据，如修改、删除、添加等操作，洞察员工工作状态，判断其是否尽职尽责。#微软新专利帮老板判断员工是否摸鱼#钛媒体影像的微博视频,108,106,113,河南,郑州,河南,中国
