页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5016968069122420,OWILiYE,2024-03-28 18:31:01,我有时候觉得这个专业特别幽默。。。老师们根本不清楚学生的水平就开N2的课 可事实是N3的听力听起来都吃力 然后班主任也挺搞笑的 在班上问能不能把别的同学翻译的中文翻译回和课本上一样的日文 太搞笑了 人工智能都做不到的事情 你想让我们背书就直说啊 ,0,0,0,海南,海口,海南,中国
2,5015847596982940,chenrryle,2024-03-25 16:18:40,把人工智能基础带成CAD课本。。。 ,0,0,0,广西,南宁,广西,中国
2,5013223650362000,期乐无比,2024-03-18 10:32:02,关于人工智能：70后、80后、90后接触到“人工智能”这一个词，应该是在初中课本上，现在慢慢被变成现实。       人工智能基于两个前提：一是电力，二是芯片技术的不断更新。芯片的不断更新，类似于人脑中神经纤维不断形成更精密的网络，不过它需要肉体的人来更新它、不像自然人体可以在受到外界刺激时会自动更新，所以这是人工智能的最大局限。       至于它的运行速度为什么那么强大，是因为有人给它提供源源不断的电力，这个动力可以随时被掐断。       故从以上两个前提来说，人工智能永远也无法控制人类。,0,2,4,重庆,,重庆,中国
2,5010828417568719,Stoorm,2024-03-11 19:54:14,西南财经大学 收人工智能课本 柳林面交 因为论坛没蹲到🥹🥹 ,0,0,0,四川,成都,四川,中国
2,5009274623493482,清华大学,2024-03-07 13:00:01,【清华AI助教来袭！开启教学新时代】清华大学积极推进信息技术与教育教学的深度融合，2023年9月28日，清华大学启动新的试点计划——#人工智能# 赋能教学。想象一下，你的课本里住着一个智能助手，它能帮你理解复杂的知识点，还能给你提供个性化的学习建议。这可不是科幻小说的情节，在清华的几门课程里，已经成为现实！,64,1,66,北京,,北京,中国
2,5009791161731973,吉林乌拉圈,2024-03-08 23:12:33,#人类已为核聚变发电做好准备# 人工智能助力核聚变发电，人类离无尽能源更近一步！几十年来，核聚变一直被誉为近乎无限的清洁能源来源。学校课本上都讲过，当通常相互排斥的两个原子被迫融合在一起时，就会发生聚变，释放巨大的能量。因此，专家们一直在努力研究掌握在地球上实现聚变能源的技术。乌拉圈,1,0,1,山东,青岛,山东,中国
2,5009346793047709,长城汽车,2024-03-07 17:46:47,我们一起跳进地理课本，踏遍祖国大好河山，行万里路，不积跬步！#长城汽车##长城智能新能源#长城汽车,202,1,213,北京,,北京,中国
2,5008989559720766,贝壳财经,2024-03-06 18:07:16,【#清华大学5门课程已使用智能助教#，今年将开100门试点课程】“学生课本里住着一个智能助手，它能够帮学生理解复杂的知识点，还能提供个性化的学习建议。”这个原来存在于想象中的场景，如今已经在清华大学的部分课程中成为现实。3月5日记者获悉，清华大学以“千亿参数多模态大模型GLM”为平台与技术基座，研发出多个AI助教系统。自2023年秋季学期开始8门课程试点，已有5门课的智能助教系统完成开发并投入使用。（新京报）,4,0,1,,长春,吉林,中国
2,5008968748111493,陕西交通广播,2024-03-06 16:44:34,【来了它来了！#西安首张港澳个人旅游签注今天签发#】3月6日是西安可签发往来港澳“个人旅游签注”的第一天，西安市民王女士拿到了首张港澳“个人旅游签注”，#西安正式成为内地赴港澳个人游城市#。据了解，符合条件的市民可在全市35个出入境网点的人工窗口及智能签注设备提交申请，可自行选择办理赴香港3个月一次，3个月两次，1年一次，1年两次，赴澳门3个月一次，1年一次，6种类型的“个人旅游签注”，“个人旅游签注”持有人在港澳地区每次可逗留不超过7天。陕视新闻的微博视频 #西安人有自己的课本封面#,1,0,0,,西安,陕西,中国
3,5008933040951345,新京报,2024-03-06 14:22:41,【#清华大学5门课程已使用智能助教#，今年将开100门试点课程】“学生课本里住着一个智能助手，它能够帮学生理解复杂的知识点，还能提供个性化的学习建议。”这个原来存在于想象中的场景，如今已经在清华大学的部分课程中成为现实。3月5日记者获悉，清华大学以“千亿参数多模态大模型GLM”为平台与技术基座，研发出多个AI助教系统。自2023年秋季学期开始8门课程试点，已有5门课的智能助教系统完成开发并投入使用。全文↓ 清华大学5门课程已使用“智能助教”，今年将开100门试点课程,6,1,5,,北京,北京,中国
