页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023316295287762,转来转去转不停-无实时锦鲤版,2024-04-15 06:56:36,健康作息表，每天有规律的生活，可以让你远离压力和焦虑，保持身心愉悦！人的一生，本就是学习、认人、识人的过程，学会管理自己的时间，支配自己的时间。自律是一种习惯，它并不依赖于初始的优秀程度，反而是通往优秀的必经之路，持之以恒地自律能让人不断提升自我。只有将目标深深铭记于心，并通过每日的实际行动去接近它、实现它，才是真正的自律。#中医建议的最佳作息时间表##阳光信用# 转来转去转不停-无实时锦鲤版的微博视频,4,146,101,江苏,苏州,江苏,中国
2,5023577092919886,我不是小小吴,2024-04-16 00:12:55,4月16日记录一下最近学期初团委的推优工作正常推进支书的工作稳步进行虽然说一百遍辞职最后还是放不下心偶尔几天烦的不行耳机里的白噪音像抚平我的镇定剂带着才能入睡偶尔几天也有点小兴奋看见相机里的自己总是阳光但是镜头外体态奇怪 没有表情管理又会陷入焦虑到底怎样能成为小太阳INFJ➕摩羯双重buff无尽的反思自我怀疑我喜欢傍晚吹起头发的风喜欢速度的声音喜欢清新的空气喜欢安静的发呆也喜欢人潮的嬉笑只希望能够一直对生活有信心，望勇敢！,0,0,0,吉林,长春,吉林,中国
2,5023573120387654,蓝山不是咖啡xxzl,2024-04-15 23:57:08,妈呀，越看招聘信息越感受到一种深深的焦虑。。。。。真你妈这死专业三不沾，还不如学会计去呢，好歹还能做管能管理类，姐真是焦虑，部分企业的待遇我说别太好了。。。。不属于自己的。。。。越看越焦虑。。。感觉自己已然是超级大废物。。。。。对不起不是专业费，是我自己是个垃圾，对不起。。。。。 ,0,0,0,河南,郑州,河南,中国
2,5023563077653940,桃气红豆鲨,2024-04-15 23:17:14,开个管理例会，我都能焦虑 ,0,1,0,湖南,长沙,湖南,中国
2,5023539277596480,bullet_lawyer,2024-04-15 21:42:39,心惊肉跳的一下午，开完庭回来表情彻底冷漠😐，老板安慰我，安慰不了就敲打我（指情绪管理），说着说着闯了个红灯，然后请我吃饭，结束一天。  怪我平时都是喜剧人小太阳的人设，所以一静/闷起来就让人那么焦虑。但今天确实是我从业以来最黑暗的一天，做不了表情管理了。 ,0,3,2,广东,广州,广东,中国
2,5023532738678845,英国求职小姐姐_Prada,2024-04-15 21:16:40,『直播回顾』应届生，社招怎么上岸项目管理岗🙋♂️  #英国求职##微博原创者计划##你有工作电话焦虑症吗# 英国求职小姐姐_Prada的微博视频 ,0,0,0,英国,,英国,英国
2,5023530834199224,-柏森森,2024-04-15 21:09:06,焦虑有屁用 我先去把眼前的会计证考了 请叫我时间管理大师 ,0,0,1,河北,秦皇岛,河北,中国
2,5023530523297968,心理咨询师李风涛,2024-04-15 21:07:52,莫用显微镜，深究自身短板管理学中有个“长板效应”：只要把自己擅长的部分发挥到最佳状态，并坚持不懈，就能打造出自己的竞争优势。扬长避短，才更容易脱颖而出。美国歌手凯斯·黛莉，有着优美动人的歌喉，她却时刻纠结于自己的龅牙会影响自己在观众心中的形象。为了遮掩龅牙，她唱歌时总是把上唇向下撇。然而，这样不仅影响唱歌，也让她的样子变得滑稽可笑。老师史密斯夫人忍不住劝她，“凯斯，长龅牙又不犯罪，别再拼命遮掩了，把你的歌声发挥到极致，才是征服观众的最佳方式。”听了老师的话，凯斯·黛莉试着将注意力转移到自己的歌声上，不再纠结于龅牙，开始放松面部，尽情放声歌唱。如此，观众反而陶醉于她的歌声，没人注意她的龅牙了。凭借着天赋与努力，凯斯·黛莉很快成为家喻户晓的歌星。你看，当你开始接纳自己的不完美，不再用显微镜放大自身短板，而是尽全力发挥自身优势，人生便会迎来新的生机与可能。对此，松下幸之助曾告诫我们：“人生成功的诀窍，在于经营自己的个性长处，经营长处能使自己的人生增值，否则必将使自己的人生贬值。”在如今快节奏的社会，盲目补短板只会蹉跎岁月、错失良机。把握机会、发挥专长，才能更好地抢占先机，形成竞争优势。真正的智者，不会在短板上做无谓的消耗，而是把有限的精力倾注于自己所擅长的地方。当你的长板足够长、实力足够强时，自然有底气去创造美好的生活。 #焦虑症##情感##心理成长联盟##家庭教育#,1,0,0,陕西,西安,陕西,中国
2,5023529594521042,零食拜拜呦,2024-04-15 21:04:11,越来越喜欢突击完成deadline了…可以焦虑到想亖一整天，但正事一点也不做，不到最后一刻绝不开搞，还效率奇高，我们p人有自己的时间管理 ,0,4,4,辽宁,大连,辽宁,中国
3,5023528920812146,蓯邇苡後Sunny,2024-04-15 21:01:30,好好管理自己，别等到生活来麻烦你。成天熬夜，生病了才知道健康可贵；总是“月光”，急用钱才发现自己没有储蓄。试着放下经历过的失败，接纳自己的不完美；试着不去在意他人的眼光，踏实走好自己正确的路。人生从来就是不进则退，再强大的焦虑，也会败在行动力和自律面前。 ,0,0,0,上海,上海,上海,中国
