页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022289655238053,kouyu,2024-04-12 10:57:06,营销最大的意义在于交换价值（价值导向）；广告想被记住一定要高频次；公关就是让别人替你说好话，不说坏话；品牌是系统学，需要强调的是品牌承诺很关键。 另外，品牌与营销本身就是互相缠绕，谁管谁其实不重要，掌握它们的知识、方法、工具，指导你的事业才更重要！ ,0,0,0,北京,,北京,中国
2,5022280067582757,广州市场监管,2024-04-12 10:19:00,#节能小知识##科普知识#【质子交换膜燃料电池的优势】质子交换膜燃料电池是在电动汽车上最有应用前景的电力能源之一，具有以下优势：1.高效：燃料电池的转换效率可以达到50%以上，远高于传统热机的转换效率。2.环保：燃料电池只产生水和少量热能，不会产生有害气体和颗粒物等污染物。3.可持续：氢气是一种可再生的能源，可以通过水解或者从天然气中提取得到。4.静音：相比传统内燃机发动机，燃料电池运行时几乎没有噪音。（供稿：广州能源院）,0,0,0,,广州,广东,中国
2,5022102292273474,Ssfvbunxoie,2024-04-11 22:32:35,人与人之间的本质其实是筹码交换，爱，物质，资源，知识等等都是筹码，小孩在一样都没有的时候才会想到拿自己最后的筹码来交换 ,0,0,1,广西,南宁,广西,中国
2,5021980185332927,秋日前后,2024-04-11 14:27:23,我们所拥有的最大的财富就是我们自己。你要学会去应这个时代的潮流，规则去武装，强大自己。用知识武装，。有些人一看到你就会明白，他全身上下全都是取之不竭的财富，随便抛出一点点东西都能交换他所需要的货币资金。 ,0,1,0,云南,昆明,云南,中国
2,5021965453362628,尴尬癌晚期小野喵,2024-04-11 13:28:50,读书只是知识的叠加与人格成长无关感情不讲逻辑只有心与心的交互感受才能让两个人彼此共情，靠得更近搞事业才讲价值交换任何人和人之间的感情如果相信价值交换逻辑那就是告诉自己“有价值，才被爱”价值交换的强交易感永远等不来愿意为了彼此打破规则的真情不管是爱人离别的痛苦背叛的伤感欣喜的丧失失望的落空所有正向和负向的情感体验和情绪都可以精准的表达自己的感受都不隔离，都可以耐受才是安全感不要放大别人的阴暗不要用心死冷酷剥夺自己爱的权利永远保留柔软的部分在肝肠寸断的破而又立的重复里架高韧性，强复原力，高灵活性表达高兴与失望，失落与获得因为没有人能避免情感创伤而成长从来都是整合而不是追求单一的痛苦或单一的快乐,0,0,0,辽宁,沈阳,辽宁,中国
2,5021712819427127,一瓶空空的酱油,2024-04-10 20:44:58,临开展了，最近来找我玩的海人好像变多了所以我再说下…… 海o我这边基本没有交换无料……无料我会想点简单领取条件的，可以不用交换……不用给博主交换……（可能）冷知识，我吃这张图的上下组合cp…… 给我两对bl无料可能一口气拆了博主四对cp（大悲）冷门bg人的命也是命…… ,0,0,4,上海,上海,上海,中国
2,5021622812280459,刘上性格学讲师,2024-04-10 14:47:18,德鲁克说，知识经济时代，人人都是管理者。因为有着共同的目标，所以我们彼此交换价值，一起把事情做好、做成，我们不再是上下级关系，而是背靠背、肩并肩的战友，刘上老师的《领袖智慧与团队引领》让我们肩并肩达成目标。#刘上老师##上师好性格#九型人格团队建设刘上老师讲性格#性格分析#,0,0,0,河北,沧州,河北,中国
2,5021613871599415,大厨Alex,2024-04-10 14:11:47,今天去客户公司拜访顺便学到了一点新知识。客户跟我讲为什么CBD的高楼，比如酒店、写字楼、大型商场这种地方大多用的是旋转门。主要考虑的是建筑的能源效率，旋转门在防止室内外空气交换方面非常有效。传统的摆门和滑动门在开启和关闭时会让室内外的热量发生大量交换，尤其是门需要频繁使用的地方，就是我上面说的那几种场所。相比之下，旋转门有助于维持建筑的温度，冬天保持室内温暖，夏天保持室内凉爽，大大降低了建筑的供暖和制冷成本。所以这种场所一般都会选择旋转门。还有一个次要原因是，有些场所比如酒店和大型商场，会使用高级香水，所以你一进门就能闻到那种清香，用旋转门可以限制气流交换，这样也能保持室内的香味。所以在这些地方安装旋转门在经济和使用效果上更划算。,18,12,128,澳大利亚,,澳大利亚,澳大利亚
3,5021403701839153,沙虫骑士,2024-04-10 00:16:38,我觉得人不应该只是看看地上，看看周围，忙于工作，忙于生存赚钱，烦于生活琐事。偶尔还是停下来，要看看天空。那一天我跟我媳妇凝视了天空好久，用寻星软件找了好多天上的星座，我女也普及了天文知识，我女肉眼都能发现小熊座也跟媳妇聊了好久人生，看着满天繁星，感觉到跟夜空宇宙交换能量，满天的繁星银河真能治愈人的，人真的很渺小很渺小。比起大海，山川，天空才是yyds   说了快一年了，今年我们家就要添置一部天文望远镜。我自己玩！顺便带我女观测,0,1,1,湖南,邵阳,湖南,中国
3,5021377681951693,倾听九月天,2024-04-09 22:33:15,不上学并不意味着没有出路 但相比于上学 这会更难 如果将出路定义为财富 那么财富的本质是价值交换 即交换个人价值 上学可以让人从知识 能力 经验 文凭等方面提升个人价值 而不上学且不自学 意味着没有能力 知识 个人价值约等于零 因此 不上学的人需要花费极大的努力 才能达到上学的人的起点 然而 上学可以实现阶级跨越 从苦力到科学家 需要的只是知识 如果自学 也需要付出两倍的努力 总的来说不上学有出路 但比上学难,0,0,1,山东,聊城,山东,中国
3,5021288737541196,飞儿Mary,2024-04-09 16:39:49,法硕 Day 21、复习内容①民法构造：人身权，物权（自物权、他物权），知识产权，债权（法定之债、意定之债）②担保物权依据交换价值，无使用价值③新增考点：合同编通则司法解释、生态环境侵权司法解释、彩礼纠纷规定2、学习内容第一章 绪论：民法概述、民法的调整对象、民法的基本原则@民法杨烁 @华研法硕,0,0,0,上海,,上海,中国
3,5021224094928523,商越诚,2024-04-09 12:22:57,近来思考随笔： 当现实世界获取货币价值的知识能力门槛提高，并且人们不愿通过提供体力劳动来换取货币价值时，人们转到网络世界以视频或者直播的方式来进行比以往更快捷且无地理空间限制的财富交换流通。 ,0,0,1,海南,海口,海南,中国
3,5021204275006453,风雨过后自有晴,2024-04-09 11:04:11,我大概是2008年左右接触的电脑？那时候因为养鸟养仓鼠和追星喜欢逛贴吧，那时候的网友很热心很中二，也没那么看重利益，自己无偿获取了挺多养鸟资料的。 现在，什么都是文化知识产权。要资料，拿钱交换。 ,0,0,0,湖南,娄底,湖南,中国
3,5020970016572153,无心的鱼0825,2024-04-08 19:33:20,蒲熠星#敢问蒲熠星如何应对#  如果阿蒲可以和任何一样物品交换身份一天，你希望变成？ A.一台能环游世界的飞机 B.一本拥有无数知识的书籍 ,0,0,1,黑龙江,哈尔滨,黑龙江,中国
4,5020880565962648,reksha,2024-04-08 13:37:53,Hinton老爷子说硅基智能可以很方便的共享知识（可以在几乎无限带宽下共享梯度），而碳基（人类）只能用每秒几字节的带宽共享知识，所以硅基智能最终会超越碳基。貌似三体人也可以无限带宽共享，所以科技发展的快。不过我觉得带宽低未必是坏事，低带宽可以让交换的知识更浓缩（类似squeeze操作）。至于共享认知，历史上认知进步几乎总是从个别个体开始的，就像基因多样性一样，不同个体有更大diversity，群体就可以同时explore更大的cognitive space,2,0,11,新加坡,,新加坡,新加坡
