页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5023330141471933,茶画一堂art-tea,2024-04-15 07:51:37,知识可以传递，但智慧不能。知识可以通过书本和他人的教授获得，但智慧却只能为觉醒的灵魂所拥有。（黑塞） 茶要自己品和感受，以及自我感悟。🙏 ,0,1,1,广东,广州,广东,中国
2,5023302911525045,丹增梅朵929,2024-04-15 06:03:25,【晨起感恩】感恩上天宇宙孕育万物感恩大地母亲承载万物感恩伟大祖国培养护佑感恩父母祖宗血脉传承教导感恩古圣先贤的大爱与智慧感恩今生传递善知识的老师感恩所有家人朋友陪伴成长感恩万物滋养我的身体细胞感恩每件事的发生来成就我感恩生命中的所有一切恩赐我是如此的健康 如此的幸福 如此的富足,0,0,0,江苏,无锡,江苏,中国
2,5023214218252389,大暑shs,2024-04-15 00:10:59,#仲景爷爷再救我一次#  @仲景宛西制药 2综艺66勇士不仅通过节目内容传递健康的生活方式，还积极组织健康知识讲座、研讨会等活动，邀请医学专家、营养师等权威人士，为观众提供科学、实用的健康指导。2.为了更具体地帮助观众管理健康，勇士们还会通过合作医疗机构，为观众提供定期的健康检查服务。这不仅可以让观众及时了解自己的健康状况，还能在出现问题时及时干预，预防疾病的发生。,0,0,0,河南,郑州,河南,中国
2,5023212520606018,用户7876924829,2024-04-15 00:04:14,#仲景爷爷再救我一次#  @仲景宛西制药 以微综艺的形式传递有关药物的知识，这样会让大家更容易接受并且更加轻松的接受这些知识！微综艺的内容也非常的丰富多彩！特别吸引人！ ,0,0,0,辽宁,大连,辽宁,中国
2,5023169903858289,四川监狱,2024-04-14 21:14:54,分享知识传递正能量#法治的能量# 传播法治@法治四川,43,47,31,,成都,四川,中国
2,5023206908103930,miraclertain,2024-04-14 23:41:56,其实这次还有个不满的地方……传位amy那里……该说是太轻佻还是太急……没有做好足够的准备是最开始就猜得到的，但是amy本人没有任何特别之处吗？谁＋k2c知识辅助都可以实现异族之间的王冠传递？那为什么这一万年就是没出过一次意外呢 ,0,2,2,上海,上海,上海,中国
2,5022975780979727,来自天鹅之城的小团团,2024-04-14 08:23:31,#每天早起打卡#早上好，今天科普一个跟早餐有关的小知识。临床发现，很多胆结石患者通常有个共同习惯——不吃早餐。不吃早餐容易诱发胆结石，是因为当人体摄入食物后，会刺激肠黏膜，传递一个信号给胆囊，让它排空储存的胆汁帮助消化。前一天晚餐和第二天早餐间隔较长，胆汁在胆囊中储存、浓缩的时间本来就已很久，如果再不吃早餐，很容易扰乱胆囊的排空规律，造成胆汁淤积，引起结石。三门峡职业技术学院,0,52,39,河南,三门峡,河南,中国
2,5023202192918712,新传考研酱,2024-04-14 23:23:12,新传考研 传播学带读2 | 人类传播的发展历程和传播媒介的分类知识要点1、人类传播的发展历程2、哈特的传播媒介分类人类传播的发展历程口语传播:将声音与周围事物或环境联系起来的符号，促进了人类思维能力的发展，由于人体能量的限制，口语只能在很近的距离内传递和交流口语使用的音声符号是一种转瞬即逝的事物，记录性较差。文字传播:打破口语传播在保存时间和地理距离的局限，能够将信息长久保存下来，并传递到遥远地方，扩展了人类的交流和社会活动的空间。印刷传播:印刷术的发明使得信息的大规模复制批量生产成为可能，信息得到进一步的生产和推广。电子传播:1、电子媒介形成了人类体外化的声音系统和体外化的影像信息系统。2、电子技术的发展推动了计算机的诞生。3、电子技术的发展特别是数字技术的发展，开创了人类传播媒介大融合的时代。哈特的传播媒介分类美国传播学家A·哈特把有史以来的传播媒介分为三类:1.示现的媒介系统。即人们面对面传递信息的媒介，主要指人类的口语他包括表情、动作、眼神等非语言符号，它们是由人体的感官或器官本身来执行功能的媒介系统。2.再现的媒介系统。包括绘画、文字、印刷和摄影等。在这一类系统中对信息的生产和传播者来说需要使用物质工具或机器，但对信息接收者来说则不需要。3.机器媒介系统。包括电信、电话、唱片、电影、广播、电视、计算机通信等。这些媒介，不但传播一方需要使用机器接收一方也必须使用机器。目前带读活动正在进行，大家可以私信酱酱进👗，在群里打卡❗️,0,0,0,江苏,南京,江苏,中国
3,5023170908132377,梅影窗语,2024-04-14 21:18:53,所有的知识语言都是体验的降维投影。试图用一个低维信息含量的东西去传递一个高维的认知是很难成功的。 这就是很多事情，无法用言语传递复制信息的原因。 所以禅宗教外别传，不立文字。语言和文字只是体验的降维投影。悟，妙不可言，佛曰:不可说不可说。书不尽言，言不尽意。道，于悟不于言，于心不于书。很多事都是只能意会不能言传，因为你说也说不清楚你的心真正的悟的道，只能让对方自己感悟琢磨，就像《天道》里芮小丹说，不是我悟到的，你给我我也接不住。所以才有了那句:静待花开。今天的感悟。春夜细雨绵绵，我自心花怒放。有些绕，有些烧脑。但若感到直指人心，自会拈花一笑。20240414🙏,0,0,0,山东,青岛,山东,中国
3,5023161007738564,juice粥,2024-04-14 20:39:33,#看见公益# 温暖有你一份，点击网页链接捐助，助力乡村儿童健康成长。乡村教育，是希望的田野，是未来的种子。在这片广袤的土地上，每一个孩子都是一颗璀璨的星辰，等待被点亮。振兴乡村教育，不仅是知识的传递，更是梦想的播种。当我们走进乡村学校，看到孩子们渴望知识的眼神，心中不禁涌起一股暖流。他们的笑容如此纯真，梦想如此灿烂。让我们一起携手，为乡村教育注入新的活力，点亮孩子们的未来之路。让知识的光芒，照亮每一个角落，让梦想的种子，在乡村的大地上生根发芽，绽放出绚丽多彩的花朵。@麦田教育基金会 @微公益 @新浪公益,0,7,7,江苏,苏州,江苏,中国
3,5023133103031989,半城山月半城花,2024-04-14 18:48:40,邓为#邓为苏易水#    别让环保欠费，别让环保掉线，别让环保停机，别让环保不在服务区。装点美丽新世界，传递环保新知识，世界环境日，让环保从此不关机！  @邓为D ,0,0,0,安徽,宿州,安徽,中国
3,5023085379977308,中国科技志愿,2024-04-14 15:39:01,#科技志愿服务# 【简阳市科协开展“世园会有我·与科技同行”科技志愿服务活动】#科技志愿# 为传播绿色文明的生活环保理念，倡导节约资源和保护环境，贯彻绿色、生态、低碳、循环理念，4月12日，由简阳市科协主办，简阳市营养师协会承办的科普植物知识 传递绿色文明--2024年“世园会有我·与科技同行&quot;科技志愿服务活动在简城街道开展。 简阳市科协开展“世园会有我·与科技同行”科技志愿服务活动,0,0,0,,北京,北京,中国
3,5023079394708795,逍遥一笑菌,2024-04-14 15:15:15,#是导师不是老板#在充满创新与挑战的场景中，导师的角色远超过老板的定义。他们不仅是知识的传递者，更是智慧的引领者。导师们以无私的奉献，耐心的指导，助力我们在学术的海洋中航行。他们关心我们的成长，尊重我们的个性，鼓励我们勇于探索，敢于挑战。在这个场景中，导师是我们的引路人，是我们的合作伙伴，更是我们的朋友。让我们以感恩之心，珍惜与导师共度的每一个时刻，共同书写学术的辉煌篇章。,0,0,0,重庆,,重庆,中国
3,5022951848543375,王人平,2024-04-14 06:48:25,为什么我们有那么多孩子厌学，因为我们总是传递给孩子“学海无涯苦作舟”“吃得苦中苦，方为人上人”的扭曲信念，而忽视了知识自身的乐趣和价值。其实好奇心、探索欲是每个生命诞生时固有的能力和渴望，孩子生来都是爱学习的，我们要做的只是不灌输给他们限制性的信念，压制他们的天性。,32,3,44,黑龙江,哈尔滨,黑龙江,中国
3,5023047399247403,繁花里的旧梦,2024-04-14 13:08:06,当一个人永远不会被遗忘时，那么他将永远不会离去，知识需要传承，爱也需要传递，我们会永远保持初心，无悔青春路，永为物竞人！ ,0,1,0,黑龙江,伊春,黑龙江,中国
3,5023021817925024,風綠春庭,2024-04-14 11:26:27,240413·对称性破缺 午晚场“人到底应该为何活着 而又该如何死去”第一次，我刚走出剧院就立刻加场。第几次，我在剧院问我自己，人到底应该为了什么而活着。为了喜爱的事物，为了远方理想，为了振兴祖国，亦或者，可以不为了什么。我们仰望恒星，恒星散发光芒，传递温度，传递知识。我们端详棱镜，棱镜折射海洋，折射问题。我们证明宇恒，宇恒解决对称，宇恒解决两级。但是，我们仍然充满疑问，仍然不断追问。为什么，科学可以做计划，而科学家是计划不来的。为什么，大海的颜色并非反射天空，大海本身比天空更蓝。为什么，付出了再多的努力，努力也无法跨越男女之间的鸿沟。科学的难题或有迹可循，命运的困境始终如迷。我们发问着，我们解决着，我们迷惘着。“坚持和热爱 微小而繁多”或许，我们可以停下脚步，原地思考。题始终是解不完的，真正的人生总在起起伏伏之间。在人生这张答卷下，没有选个ABC的选择题，也没有写个解字的问答题，只有没有题目也没有格式的白纸。那我们在无边的黑暗里，在无尽的焦虑中，该如何走下去，走过这冬夜寒风。靠坚持，靠热爱，正是这些微小而繁多的东西，给予我们能量，如火炬一样，从前往后，从长到幼，一代又一代地传递，一代又一代地传承，传递者有师生，有友人，有那些素未谋面却给予过我们精神力量的你。“一棵树最终成为它要成为的样子”全剧都如雪花一般精巧，我尤为喜欢此类结构对称的剧，全剧串联起来如完丝合缝的玻璃蝴蝶，蝴蝶在比天更蓝的蓝色里振翅，飞向山谷里那棵自由生长的树。教育的本质是一棵树摇动另一个树，一朵云推动另一朵云，一个灵魂唤醒另一个灵魂。*树间透下的阳光，照在北苑六号的饭缸上，照在躲避空袭的树林上，照在骄傲地说我们的物理教材是女性编写的女学生上。继续向前走吧，没关系的，你往下走，不管是否带着问题，也不管是否获得答案，你总会成为你该成为的样子，成为属于你自己的，独一无二的树。最后补充。我真的太喜欢瞿健雄和顾静薇的这一段故事了，太喜欢二位真诚细腻的女性情感了，也太喜欢健雄年老后遇见女学生的桥段了，两部剧我到这里都哭得泣不成声。我永远被女性之间的情感打动，这种情感如水一般，透亮又透彻，穿越了一切时间和空间，也穿越了生死与战争。所以春逝快点来南京吧我真的好想看好喜欢路雯姐姐啊，姐姐业务能力好强，签名的时候还给我签了一切顺利，希望姐姐也要一切顺利，一直快乐话剧九人,0,6,11,江苏,南京,江苏,中国
4,5023011994862898,数字社会纪事,2024-04-14 10:47:25,金融、计算机这些所谓的热门专业会变成公共知识，以往国外教育会把这些专业通过社会、教育制度等变成文化资本，传递到下一代，但是今天随着互联网和慕课等的发展，这些知识可以被大众获取，可以得到更广泛的传播，文化资本转变成公共性的知识，不再是私人性的。 ,0,0,0,江苏,南京,江苏,中国
4,5023006142760007,小善良汇聚大温暖,2024-04-14 10:24:10,#70后教师回应29年助养300名孩子#这位老师的善举，让我们看到了教育不仅仅是传授知识，更是传递爱心和温暖。 ,0,0,0,海南,海口,海南,中国
4,5023001345264384,布偶尔追忆,2024-04-14 10:05:06,#70后教师回应29年助养300名孩子#这位老师不仅仅是传授知识，更是传递爱和希望的使者，为社会培养了一批批有用之 ,0,0,0,广东,揭阳,广东,中国
4,5023000560405012,职业观众王富贵,2024-04-14 10:01:59,#70后教师回应29年助养300名孩子#教育不仅是传授知识，更是传递爱和希望。让我们向这位教师致敬，也让我们从自己做起，用爱和行动去温暖更多的人。真的是由衷佩服，希望社会上能有更多这样的人。 ,0,0,0,河南,郑州,河南,中国
4,5023000062330228,河南应急广播,2024-04-14 10:00:00,#应急知识科普#【#这个消防设施关键时刻能救命#】自动喷水灭火系统，在火灾初期，随着起火部位燃烧反应的逐渐加剧，大量的高温烟气或是火焰辐射温度会向棚顶传递，当棚顶温度超过68摄氏度时，自动喷水灭火系统的喷头就会由于感温元件玻璃球的触发开始动作，进行喷水灭火。大家在日常生活中一定注意保护消防设施，不要在喷头上悬挂物品，也不要贪图美观用装饰物、吊板等将喷头遮掩、包裹。中国消防的微博视频,0,0,0,,郑州,河南,中国
4,5022999812244087,遛鲸娱的猫,2024-04-14 09:59:01,#70后教师回应29年助养300名孩子#看到这位70老师的事件真的很令人敬佩，让我们感受到了教育并不只是传递知识，也是一种传递爱的过程 ,0,0,0,河南,郑州,河南,中国
4,5022998885041389,初陌琉璃,2024-04-14 09:55:20,#70后教师回应29年助养300名孩子# 教育者的光辉，不仅是知识的传递，更是爱心与责任的承载，这位老师做到了 ,0,0,0,福建,福州,福建,中国
4,5022998245410104,暖暖撩人醉,2024-04-14 09:52:47,#70后教师回应29年助养300名孩子# 这位老师的行为让人深受感动，他不只是传授知识，更是在传递爱和希望 ,0,0,0,福建,福州,福建,中国
4,5022994549969615,君子和而不同999,2024-04-14 09:38:06,教书育人，不仅是在传递知识，更需要传递的是温暖和爱。一个有温度的老师，会用心去关爱孩子，去给孩子们传递更多的温暖。#70后教师回应29年助养300名孩子# ,0,0,3,辽宁,葫芦岛,辽宁,中国
4,5022951503562157,周至东家庭教育,2024-04-14 06:47:03,早上好，亲爱的家长们！🌞 新的一天开始了，孩子们又迎来了成长的黄金时刻。让我们携手并肩，为他们的未来播撒希望的种子🌱。请记住，家庭教育不仅仅是教导知识，更是塑造性格、传递价值观的关键。每一句鼓励，每一次陪伴，都是孩子成长道路上不可或缺的力量源泉。💪让我们从今天开始，用满满的爱与耐心，去灌溉每一个孩子的梦想之田。愿他们茁壮成长，绽放出最灿烂的笑容！🌟 💖,0,0,0,广东,深圳,广东,中国
5,5022874356416584,tomzeng007,2024-04-14 01:40:29,为什么要有人工智能AI，因为人记不住这个世界上这么多知识，人与人之间的交流传递信息这个效率太低了，信息差永远存在，指望人一代一代传承教授这些信息比用人工智能这种方式效率低。 ,0,0,0,广东,深圳,广东,中国
5,5022833471655528,路过白宝的猫,2024-04-13 22:58:02,知识给人以爱，给人以光明，给人以智慧，应该说知识就是幸福，因为有了知识，就是摸到了有史以来人类活动的脉搏，否则就不懂人类生命的音乐! 努力求取知识的目的在于为社会人类贡献一点力量。阳光洒满心田，温暖每一寸土地；正能量传递四方，照亮前行的道路。愿你我都能在阳光下茁壮成长，在正能量中勇往直前。 我们不能改变世界，但可以选择活得精彩；我们不能选择出生，但可以选择活得像自己。不用谁施舍阳光，我们自己就是太阳永远年轻，永远热泪盈眶每天告诉自己一次，我真的很不错。会有那么一天，你活成了你最爱的样子，让所有的伤痕都变成了积累。#凪玲#,0,0,3,北京,北京,北京,中国
5,5022478403633189,四川监狱,2024-04-12 23:27:06,#本周做什么都顺的星座#我在微博涨知识，传递正能量@法治四川,37,38,23,,成都,四川,中国
5,5022810470879366,薄荷味冰坨子,2024-04-13 21:26:38,能用自己的画讲故事的人很了不起 能用自己的画传递情绪的人很了不起 能用自己的画散播知识的人很了不起 能在自己的画中收获成就和快乐的人很了不起 你的画很了不起 ,0,1,0,北京,北京,北京,中国
5,5022804307348325,江汉大学人工智能学院青协,2024-04-13 21:02:09,#3.7图书馆清洁#        勤劳，是青春最亮丽的底色。3月7日，在图书馆的静谧之地，勤劳的身影忙碌而有序。人工智能学院的志愿者们，手捧书册，整理书架，为读者们营造一个整洁舒适的阅读环境。        他们默默奉献，无声付出，用勤劳的双手传递着知识的力量。在图书馆的一角，志愿者们用实际行动诠释着勤劳的意义，为知识的海洋增添了一抹亮色。让我们一同加入志愿服务，用勤劳的双手书写青春的华章，为知识的传承贡献自己的力量！@江汉大学青年志愿者协会 @江汉大学爱心社 @江汉大学,0,1,0,湖北,武汉,湖北,中国
5,5022726861883293,专心日记,2024-04-13 15:54:24,丹丹 想着你要干事业，继续把知识传递给下一届，很不舍，但我们为了提升自己不断深造本就是一件伟大的事情。我祝你工作顺利，学生乖巧好学，希望你在教育行业继续展现你的天赋与光芒，以后每次听到你的名字，我都会露出灿烂的笑。你的一根毛同学敬上相逢一场，唯有感激。,0,0,1,河南,安阳,河南,中国
5,5022718892969701,章搏言,2024-04-13 15:22:44,【#筑牢国安防线守护津彩家园# 】今天，你乘坐“总体国家安全观号”主题列车了吗？今天上午，#总体国家安全观号主题列车发车啦# ！与此同时，在天津站火车站还上演了精彩有趣的 #国家安全主题快闪艺术表演#。在第九个全民国家安全教育日到来之时，让我们一起传递国安知识，共同为国家安全宣传助力。 章搏言的微博视频,0,0,3,天津,,天津,中国
