页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5021905580985957,知识管理觉行者,2024-04-11 09:30:56,#行者互联 每日一文# 《第二十届「中国知识管理研修班」盛大开幕》 在春雨绵绵的北京，一场知识的探寻之旅正式拉开序幕 网页链接 第二十届「中国知识管理研修班」盛大开幕 ,0,0,0,北京,北京,北京,中国
2,5021527608656101,总裁精粹,2024-04-10 08:29:00,知识管理的底层逻辑。管理知识，提高自己 ,60,0,39,重庆,重庆,重庆,中国
2,5021628547468202,十轮网,2024-04-10 15:10:06,生成式AI应用在知识管理领域议题备受关注，而叡扬资讯知识管理系统推出智能生成全新功能，提供客户企业级最弹性、最安全、最严谨的问答式知识搜索。Vitals ESP知识管理系统产品上市20周年，两岸三地已 叡扬知识管理系统结合大型语言模型，企业数字大脑AI再创新 ,0,0,0,宁夏,中卫,宁夏,中国
2,5021588829504486,李依依啊,2024-04-10 12:32:16,20公司治理的奥秘(最终版)              21公司法务如何进行知识管理              22公司法律师必备:损害公司利益责任纠纷案件办理实操 ,0,0,0,广西,玉林,广西,中国
2,5021425963892771,为你钟情百分百,2024-04-10 01:45:05,"11法律人如何做信息检索与法律研究(杜国栋)法律人成长规划】            12《何去何从,法科生的毕业规划》法律人成长规划】          14迈向成功律师的十二个阶梯法律人成长规划】          15方向东:从为什么到如何做,讲透律师个人知识管理法律人成长规划】 ",0,0,0,广西,玉林,广西,中国
2,5021248016351578,没有我找不到的电子书,2024-04-09 13:58:00,《你的知识需要管理》有读者这么评价这本书：“全书完全按照金字塔原理组织内容，分为知识的学习、保存、共享、使用、创新几个部分。对于新手，本书是知识管理较好的入门书，而对于已经有一定知识管理经验的读者，其中关于搜索引擎和管理工具的应用也不乏亮点。在知识共享方面对我启发较大。打算把关于搜索和共享两个板块的内容重读做笔记。”,19,0,24,浙江,杭州,浙江,中国
2,5020966012324801,苍南言,2024-04-08 19:17:25,自我管理的6个层面： 1、健康管理：饮食、睡眠和运动 2、情绪管理：觉察、表达和舒缓 3、精力管理：意志、情感和体能 4、行为管理：沟通、交往和仪态 5、知识管理：输入、整理和应用 6、时间管理：紧急、重要和价值 ,23,10,23,甘肃,兰州,甘肃,中国
2,5020530927206478,萧秋水,2024-04-07 14:28:32,互联网从内容稀缺到垃圾泛滥，感觉也没用多少年。以后垃圾会越来越多。每个想成长的人都必须学会知识管理，从垃圾里面筛选真正有用的东西。 ,2,0,9,广东,深圳,广东,中国
2,5020884517522849,MUS1UM,2024-04-08 13:53:35,如果一个人心地比较坚硬的话，就要给她一些温暖吧，让她感受人的温暖。 如果一个人心底比较柔软的话，那就给他一些打击，让她能够承受得住这样的打击就好了。 所以，这确实知识管理，还算不上我之前狂喷的社会阶层问题。 ,0,0,0,吉林,通化,吉林,中国
3,5020649300429017,基础软件开发,2024-04-07 22:18:55,通过掌握时间管理、目标管理、知识管理和精力管理这四个模型，我们可以更好地掌控自己的生活和工作，实现更高的成就和满足感。 ,0,0,0,天津,天津,天津,中国
3,5020523033527065,涛-Phd,2024-04-07 13:57:11,DIKW知识管理 数据-信息-知识-智慧 ,0,0,0,浙江,杭州,浙江,中国
