页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5022367346593081,云集能技术有限公司,2024-04-12 16:05:49,4-10 云集资讯1、甘肃：6起森林火灾4起火情 陇南市相关县区被约谈2、广东省绿化委员会召开绿美广东生态建设工作视频调度会暨清明假期森林防火工作会议3、优势互补 合作共赢 ——中国科学院西双版纳热带植物园到广州开展榕属植物协同研究和应用调研交流4、番禺区发布关于“我为绿美广东再种一棵树”的倡议书5、森林防灭火 | 牢记森林火灾扑救安全“十个必须”6、西山林场：人防技防双管齐下7、平安清明！广东各地森林防火形势继续保持稳定8、维西林草丨维西县林业和草原局乡镇蹲点组开展清明节武装巡护工作9、丽江：林草科普助力乡村振兴,0,0,0,广东,,广东,中国
2,5022358358199759,今日宿松,2024-04-12 15:30:06,【松滋市与宿松县召开历史溯源交流座谈会】4月11日，松滋市与宿松县两地政协召开历史溯源交流座谈会。松滋市政协副主席邹璇，县政协副主席钱香付出席会议。会上，两地文史专家们进行了深入交流发言，分享了各自在地方历史文化研究领域的成果，并对如何更好地保护和传承地方文化提出了建设性的意见和建议。网页链接,0,0,0,,安庆,安徽,中国
2,5022357013928155,杂志社--马老师,2024-04-12 15:24:46,学术期刊论文发表学术会议 知网收录 【教育创新实践与研究国际学术会议】 2版4000字符 24年刊期 主办单位:中国国际科技促进会国际学术交流工作委员会 承办单位:北京华图致胜教育咨询中心 ,0,0,0,河北,石家庄,河北,中国
2,5022347347887430,后哲学之药,2024-04-12 14:46:21,尼尔斯·玻尔：物理学与其说是对先验给定事物的研究，不如说是一种整理和审视人类经验的方法的发展。在这个意义上，我们的任务必须是以一种独立于个人主观判断的方式来解释这种经验，从而在普通人类语言中可以明确交流的意义上是客观的。——“论物理学与人类知识会议”开幕词 ,1,1,0,湖北,武汉,湖北,中国
2,5022340717217190,四川国资,2024-04-12 14:20:00,#市州国资动态# 【五粮液荣获“国有企业党建工作创新成果奖”】近日，由中国企业改革与发展研究会企业党建工作委员会和《国企》杂志社主办的“国企党建经验交流暨‘国有企业党的建设调研基地’工作会议”在广西防城港市召开。受曾从钦书记委托，五粮液集团公司党委委员马丽娟参加会议，并围绕“五酿五美”党建品牌建设作交流发言。详情见：网页链接,0,18,6,,成都,四川,中国
2,5022304132399358,世界建筑,2024-04-12 11:54:37,4月10日，“共鉴科研硕果，共创数智未来“——BIMBase科教产品交流会在北京成功举办。本次会议由北京构力科技有限公司（以下简称“构力科技）主办，中国建筑科学研究院有限公司、国家建筑工程技术研究中心支持指导，清华大学出版社、北京工业大学协办。会议邀请到十余家主流媒体，多位来自全国各地的学术界、产业界专家、高校负责人现场参加，线上超万人观看，共同参与了这场科技与教育的交流会。本次活动旨在推动产教融合，探讨智能建造前沿技术，为广大致力于相关软件开发、科学研究、教学实践、人才培养工作的专家学者搭建交流平台。通过深入交流和探讨，促进“智能建造”领域专家与高校的合作与创新，共同推动”智能建造“的人才培养与科研发展。,0,0,1,,北京,北京,中国
2,5022293571141899,沈阳城市学院-绿岛酒店管理学院,2024-04-12 11:12:39,我院教师受邀出席2024山地旅游与国家公园可持续发展国际学术会议2024年3月29日至31日，“2024山地旅游与国家公园可持续发展国际学术会议”在四川旅游学院成功举办，会议以“山地旅游与国家公园可持续发展”为主题，旨在加强国内外学者在山地旅游与国家公园领域的交流与合作，提升学术研究的深度和广度，为推动相关产业的可持续发展提供有力支撑。会议吸引了来自国内外知名高校、研究机构的专家学者，以及旅游业界代表共计200余人参加。在主旨演讲环节，与会专家学者围绕会议主题展开了一系列精彩的演讲。中山大学保继刚教授、同济大学吴承照教授、前美国农业部森林局与土地管理局旅游和解说项目主任Bonnie Lippitt女士、美国纽约大学董二为教授、Christopher Gaffney教授、四川旅游学院刘勇教授也分别发表了精彩演讲。绿岛酒店管理学院院长付冰教授主持了“山地体育旅游高质量发展”分论坛并担任点评专家。辽菜文化产业研究所负责人宋玲老师在“山地旅游与绿色低碳”分论坛中做了题为“山地体育旅游餐饮服务保障的高质量发展途径研究”的学术发言，主要研究围绕山地体育旅游的餐饮服务保障，探索其高质量发展途径。宋玲老师还向与会专家和学者介绍了辽菜文化产业研究所关于辽菜文化产业研究的相关成果。会议期间，付冰和宋玲两位老师还受邀参观调研了四川旅游学院希尔顿酒店管理学院，山地旅游研究院。通过参加国际学术会议，加深了我院与国内外大学之间的学术交流，为辽菜文化产业研究所和一流学科建设奠定了基础。,0,0,0,辽宁,沈阳,辽宁,中国
2,5022277551261439,中国文博,2024-04-12 10:09:00,#第四次全国文物普查# 4月11日，第四次全国文物普查领导小组办公室在京召开普查试点工作总结会，总结交流试点工作经验，研究部署下一阶段工作。国家文物局副局长、第四次全国文物普查领导小组办公室副主任关强主持会议并讲话。会议指出，开展普查试点，是贯彻落实《国务院关于开展第四次全国文物普查的通知》《第四次全国文物普查总体方案》要求和第四次全国文物普查领导小组第一次会议部署的重要举措。试点工作组织有力，推进迅速，国省市县四级联动，截至3月31日，13个试点县（区）基本完成实地调查，在组织实施、队伍组建、经费投入、设备应用、普查宣传等方面探索出一些宝贵经验。针对试点中发现的普查标准、采集软件等问题，第四次全国文物普查领导小组办公室同步研究完善。会议要求，要全面完成试点收尾任务，形成总结报告；完善普查标准，广泛征集线索，践行应保尽保；优化普查软件，抓紧部署省级普查系统；做好经费保障，尽快采购普查设备；凝练试点经验，在实地调查中推广应用；严肃普查纪律，惩治违法违纪。会上，13个普查试点县（区）普查办负责同志作汇报发言，与会人员针对试点发现的重点难点问题进行交流讨论。第四次全国文物普查领导小组办公室各工作组负责同志、秘书，试点所在省级普查办、试点县（区）普查办负责同志参会。,0,0,4,,,北京,中国
2,5022226610389030,陕西党建网,2024-04-12 06:46:34,陕西新闻【省委组织部召开党性教育培训机构建设座谈会 郭永红出席并讲话】4月10日，省委组织部在陕西渭华干部学院召开党性教育培训机构建设座谈会，围绕加强教育培训机构交流协作和资源共享、提升党员干部培训质效听取意见建议，研究推进各项重点任务。省委常委、省委组织部部长郭永红出席会议并讲话。郭永红强调，要深入学习贯彻习近平总书记关于干部教育培训的重要论述和历次来陕考察重要讲话重要指示精神，认真落实中央部署和省委要求，注重发挥特色优势，坚持内涵式发展，切实提升党性教育培训机构办学水平和影响力。要聚焦学习贯彻习近平新时代中国特色社会主义思想这一主题主线，持续加强理论教育，推动党员干部更加坚定自觉拥护“两个确立”、做到“两个维护”。要紧扣开展党纪学习教育，把《中国共产党纪律处分条例》作为重要内容，注重以案促学、以训助学，精心安排主体班次教学课程，突出重点对象抓好纪律培训，引导党员干部学纪、知纪、明纪、守纪。要充分挖掘利用丰富红色资源，优化创新方式方法，进一步提升党性教育的吸引力、感染力。要加强师资队伍建设，用好第六批全国干部学习培训教材，加大精品特色课程开发力度，着力提高培训保障能力。要建立健全教育培训机构交流协作机制，优化整合各方力量，促进优势互补、联动发力，持续推动党性教育走深走实，更好助力赋能全省高质量发展现代化建设。座谈会前，郭永红还到渭华起义纪念馆、杨震廉政教育基地，就组织开展党纪学习教育、发挥党性教育培训机构作用等进行了实地调研。,0,0,1,,西安,陕西,中国
3,5022087387289216,眼科视光医生梅颖,2024-04-11 21:33:22,COOC2024大会于2024年4月11日-13日在上海跨国采购会展中心举行，此次会议将为国内知名专家和各省市县卫生系统专家搭建一个高水平、大范围、多层次的学术交流平台。国内众多顶尖大咖受邀参与。在COOC2024的会前会上，众多眼视光领域的顶尖专家纷纷展示了各自的研究成果，并分享了新颖的学术观点，为我们呈现了眼视光医学的前沿知识和发展趋势。我也借此机会，向与会者深入介绍了关于角膜塑形术数字个性化验配的研究。这次参会，不仅为我们个人提供了一个向同行展示研究成果的窗口，更为所有与会者创造了一个深入交流、思想碰撞的难得机会。,0,0,3,上海,,上海,中国
